G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	Time	Experiment
1	1	0	1	0	0	1	1	1	1	0.0	0
0	1	0	1	0	0	1	1	1	1	50.0	0
0	0	1	1	0	0	1	1	1	1	100.0	0
0	0	1	1	0	0	1	1	1	1	150.0	0
0	1	0	1	1	0	1	1	1	1	200.0	0
0	0	0	1	1	0	1	1	1	1	250.0	0
0	0	1	0	1	0	1	1	1	1	300.0	0
0	0	0	0	1	0	1	1	1	1	350.0	0
0	1	1	1	1	0	1	1	1	1	400.0	0
0	0	0	1	1	0	1	1	1	1	450.0	0
0	0	1	1	1	0	1	1	1	1	500.0	0
1	0	0	1	1	0	1	1	1	1	550.0	0
1	1	1	1	0	0	1	1	1	1	600.0	0
1	1	0	1	0	0	1	1	1	1	650.0	0
1	0	0	1	0	0	1	1	1	1	700.0	0
1	0	1	1	0	0	1	1	1	1	750.0	0
1	1	0	1	0	0	1	1	1	1	800.0	0
1	0	1	1	0	0	1	1	1	1	850.0	0
1	0	1	1	0	0	1	1	1	1	900.0	0
1	1	0	1	0	0	1	1	1	1	950.0	0
1	0	0	1	0	0	1	1	1	1	1000.0	0
1	1	0	1	0	0	1	1	1	1	0.0	1
1	0	0	1	0	0	0	1	1	1	50.0	1
1	0	0	1	0	0	0	1	1	1	100.0	1
1	0	0	1	0	0	0	1	1	1	150.0	1
1	1	0	0	0	0	0	1	1	1	200.0	1
1	0	0	0	0	0	0	1	1	1	250.0	1
1	1	0	0	0	0	0	1	1	1	300.0	1
1	0	0	0	0	0	0	1	1	1	350.0	1
1	1	0	0	0	0	0	1	1	1	400.0	1
1	1	0	0	0	1	0	1	1	1	450.0	1
1	1	0	0	0	1	0	1	1	1	500.0	1
1	1	0	0	0	0	1	1	1	1	550.0	1
1	1	0	1	0	0	1	1	1	1	600.0	1
1	0	1	1	0	0	1	1	1	1	650.0	1
1	0	0	1	0	0	1	1	1	1	700.0	1
1	0	1	1	0	0	1	1	1	1	750.0	1
1	0	0	1	0	0	1	1	1	1	800.0	1
1	0	1	1	0	0	1	1	1	1	850.0	1
1	1	0	1	0	0	1	1	1	1	900.0	1
1	0	0	1	0	0	1	1	1	1	950.0	1
1	1	0	1	0	0	1	1	1	1	1000.0	1
1	0	1	1	0	0	1	1	1	1	0.0	2
0	0	1	1	0	0	1	0	1	1	50.0	2
0	0	0	1	0	0	1	0	1	1	100.0	2
0	0	0	1	1	1	1	0	1	1	150.0	2
0	0	0	1	1	1	1	0	1	1	200.0	2
0	0	0	0	1	1	1	0	1	1	250.0	2
0	0	1	0	1	1	1	0	1	1	300.0	2
0	0	1	0	1	1	1	0	1	1	350.0	2
0	0	0	0	1	1	1	0	1	1	400.0	2
0	0	1	0	1	1	1	0	1	1	450.0	2
0	0	1	0	1	1	1	0	1	1	500.0	2
1	1	0	0	1	1	1	1	1	1	550.0	2
1	1	0	1	0	1	1	1	1	1	600.0	2
1	0	1	1	0	0	1	1	1	1	650.0	2
1	0	1	1	0	0	1	1	1	1	700.0	2
1	1	0	1	0	0	1	1	1	1	750.0	2
1	1	0	1	0	0	1	1	1	1	800.0	2
1	1	1	1	0	0	1	1	1	1	850.0	2
1	1	0	1	0	0	1	1	1	1	900.0	2
1	1	0	1	0	0	1	1	1	1	950.0	2
1	0	0	1	0	0	1	1	1	1	1000.0	2
1	1	1	1	0	0	1	1	1	1	0.0	3
1	1	1	1	0	0	0	0	0	1	50.0	3
1	1	0	1	0	1	0	0	0	1	100.0	3
1	1	0	0	0	1	0	0	0	1	150.0	3
1	1	0	0	0	1	0	0	0	1	200.0	3
1	1	0	0	0	1	0	0	0	1	250.0	3
1	1	0	0	0	1	0	0	0	1	300.0	3
1	1	0	0	0	1	0	0	0	1	350.0	3
1	1	0	1	0	1	0	0	0	1	400.0	3
1	1	0	0	0	1	0	0	0	1	450.0	3
1	1	0	0	0	1	0	0	0	1	500.0	3
1	1	0	0	0	0	1	1	1	1	550.0	3
1	1	0	1	0	1	1	1	1	1	600.0	3
1	1	1	1	0	1	1	1	1	1	650.0	3
1	1	1	1	0	0	1	1	1	1	700.0	3
1	1	1	1	0	0	1	1	1	1	750.0	3
1	1	1	1	0	0	1	1	1	1	800.0	3
1	0	1	1	0	0	1	1	1	1	850.0	3
1	0	1	1	0	0	1	1	1	1	900.0	3
1	0	0	1	0	0	1	1	1	1	950.0	3
1	0	0	1	0	0	1	1	1	1	1000.0	3
1	0	1	1	0	0	1	1	1	1	0.0	4
1	1	0	1	0	0	0	1	0	1	50.0	4
1	0	0	1	0	0	0	1	0	1	100.0	4
1	0	0	1	0	0	0	1	0	1	150.0	4
1	0	1	1	0	0	0	1	0	1	200.0	4
1	0	0	0	0	0	0	1	0	0	250.0	4
1	1	0	0	0	0	0	1	0	0	300.0	4
1	1	0	0	0	0	0	1	0	0	350.0	4
1	1	0	0	0	0	0	1	0	0	400.0	4
1	0	0	0	0	0	0	1	0	0	450.0	4
1	0	0	0	0	0	0	1	0	0	500.0	4
1	1	0	0	0	0	1	1	1	0	550.0	4
1	0	0	0	0	0	1	1	1	1	600.0	4
1	1	0	1	0	0	1	1	1	1	650.0	4
1	1	0	1	0	0	1	1	1	1	700.0	4
1	0	1	1	0	0	1	1	1	1	750.0	4
1	1	0	1	0	0	1	1	1	1	800.0	4
1	1	0	1	0	1	1	1	1	1	850.0	4
1	1	0	1	0	0	1	1	1	1	900.0	4
1	0	0	1	0	0	1	1	1	1	950.0	4
1	1	1	1	0	0	1	1	1	1	1000.0	4
