isTs	is1stLast	prevCol	del.t	condName
True	f	NA	NA	"""0"""
True	m	"""0"""	50.0	"""1"""
True	m	"""1"""	50.0	"""2"""
True	m	"""2"""	50.0	"""3"""
True	m	"""3"""	50.0	"""4"""
True	m	"""4"""	50.0	"""5"""
True	m	"""5"""	50.0	"""6"""
True	m	"""6"""	50.0	"""7"""
True	m	"""7"""	50.0	"""8"""
True	m	"""8"""	50.0	"""9"""
True	m	"""9"""	50.0	"""10"""
True	m	"""10"""	50.0	"""11"""
True	m	"""11"""	50.0	"""12"""
True	m	"""12"""	50.0	"""13"""
True	m	"""13"""	50.0	"""14"""
True	m	"""14"""	50.0	"""15"""
True	m	"""15"""	50.0	"""16"""
True	m	"""16"""	50.0	"""17"""
True	m	"""17"""	50.0	"""18"""
True	m	"""18"""	50.0	"""19"""
True	l	"""19"""	50.0	"""20"""
True	f	NA	NA	"""21"""
True	m	"""21"""	50.0	"""22"""
True	m	"""22"""	50.0	"""23"""
True	m	"""23"""	50.0	"""24"""
True	m	"""24"""	50.0	"""25"""
True	m	"""25"""	50.0	"""26"""
True	m	"""26"""	50.0	"""27"""
True	m	"""27"""	50.0	"""28"""
True	m	"""28"""	50.0	"""29"""
True	m	"""29"""	50.0	"""30"""
True	m	"""30"""	50.0	"""31"""
True	m	"""31"""	50.0	"""32"""
True	m	"""32"""	50.0	"""33"""
True	m	"""33"""	50.0	"""34"""
True	m	"""34"""	50.0	"""35"""
True	m	"""35"""	50.0	"""36"""
True	m	"""36"""	50.0	"""37"""
True	m	"""37"""	50.0	"""38"""
True	m	"""38"""	50.0	"""39"""
True	m	"""39"""	50.0	"""40"""
True	l	"""40"""	50.0	"""41"""
True	f	NA	NA	"""42"""
True	m	"""42"""	50.0	"""43"""
True	m	"""43"""	50.0	"""44"""
True	m	"""44"""	50.0	"""45"""
True	m	"""45"""	50.0	"""46"""
True	m	"""46"""	50.0	"""47"""
True	m	"""47"""	50.0	"""48"""
True	m	"""48"""	50.0	"""49"""
True	m	"""49"""	50.0	"""50"""
True	m	"""50"""	50.0	"""51"""
True	m	"""51"""	50.0	"""52"""
True	m	"""52"""	50.0	"""53"""
True	m	"""53"""	50.0	"""54"""
True	m	"""54"""	50.0	"""55"""
True	m	"""55"""	50.0	"""56"""
True	m	"""56"""	50.0	"""57"""
True	m	"""57"""	50.0	"""58"""
True	m	"""58"""	50.0	"""59"""
True	m	"""59"""	50.0	"""60"""
True	m	"""60"""	50.0	"""61"""
True	l	"""61"""	50.0	"""62"""
True	f	NA	NA	"""63"""
True	m	"""63"""	50.0	"""64"""
True	m	"""64"""	50.0	"""65"""
True	m	"""65"""	50.0	"""66"""
True	m	"""66"""	50.0	"""67"""
True	m	"""67"""	50.0	"""68"""
True	m	"""68"""	50.0	"""69"""
True	m	"""69"""	50.0	"""70"""
True	m	"""70"""	50.0	"""71"""
True	m	"""71"""	50.0	"""72"""
True	m	"""72"""	50.0	"""73"""
True	m	"""73"""	50.0	"""74"""
True	m	"""74"""	50.0	"""75"""
True	m	"""75"""	50.0	"""76"""
True	m	"""76"""	50.0	"""77"""
True	m	"""77"""	50.0	"""78"""
True	m	"""78"""	50.0	"""79"""
True	m	"""79"""	50.0	"""80"""
True	m	"""80"""	50.0	"""81"""
True	m	"""81"""	50.0	"""82"""
True	l	"""82"""	50.0	"""83"""
True	f	NA	NA	"""84"""
True	m	"""84"""	50.0	"""85"""
True	m	"""85"""	50.0	"""86"""
True	m	"""86"""	50.0	"""87"""
True	m	"""87"""	50.0	"""88"""
True	m	"""88"""	50.0	"""89"""
True	m	"""89"""	50.0	"""90"""
True	m	"""90"""	50.0	"""91"""
True	m	"""91"""	50.0	"""92"""
True	m	"""92"""	50.0	"""93"""
True	m	"""93"""	50.0	"""94"""
True	m	"""94"""	50.0	"""95"""
True	m	"""95"""	50.0	"""96"""
True	m	"""96"""	50.0	"""97"""
True	m	"""97"""	50.0	"""98"""
True	m	"""98"""	50.0	"""99"""
True	m	"""99"""	50.0	"""100"""
True	m	"""100"""	50.0	"""101"""
True	m	"""101"""	50.0	"""102"""
True	m	"""102"""	50.0	"""103"""
True	l	"""103"""	50.0	"""104"""
False	NA	NA	NA	"""105"""
False	NA	NA	NA	"""106"""
False	NA	NA	NA	"""107"""
False	NA	NA	NA	"""108"""
False	NA	NA	NA	"""109"""
False	NA	NA	NA	"""110"""
False	NA	NA	NA	"""111"""
False	NA	NA	NA	"""112"""
False	NA	NA	NA	"""113"""
False	NA	NA	NA	"""114"""
False	NA	NA	NA	"""115"""
False	NA	NA	NA	"""116"""
False	NA	NA	NA	"""117"""
False	NA	NA	NA	"""118"""
False	NA	NA	NA	"""119"""
False	NA	NA	NA	"""120"""
False	NA	NA	NA	"""121"""
False	NA	NA	NA	"""122"""
False	NA	NA	NA	"""123"""
False	NA	NA	NA	"""124"""
False	NA	NA	NA	"""125"""
