TF	Gene	rank
FBgn0033010	FBgn0033010	1
FBgn0003866	FBgn0014343	2
FBgn0004198	FBgn0004606	3
FBgn0003651	FBgn0003460	4
FBgn0002733	FBgn0002609	5
FBgn0033010	FBgn0002521	6
FBgn0033010	FBgn0000611	7
FBgn0002609	FBgn0002733	8
FBgn0033010	FBgn0013263	9
FBgn0039209	FBgn0029504	10
FBgn0004893	FBgn0027339	11
FBgn0013469	FBgn0000659	12
FBgn0039209	FBgn0027339	13
FBgn0259789	FBgn0004795	14
FBgn0016076	FBgn0029867	15
FBgn0004893	FBgn0004859	16
FBgn0259789	FBgn0003612	17
FBgn0002609	FBgn0024244	18
FBgn0036152	FBgn0014018	19
FBgn0003460	FBgn0261963	20
FBgn0011274	FBgn0000567	21
FBgn0004198	FBgn0020912	22
FBgn0005659	FBgn0259211	23
FBgn0039209	FBgn0267033	24
FBgn0004893	FBgn0267033	25
FBgn0259789	FBgn0029822	26
FBgn0036152	FBgn0030787	27
FBgn0261963	FBgn0085424	28
FBgn0259789	FBgn0015396	29
FBgn0259789	FBgn0001180	30
FBgn0036152	FBgn0043364	31
FBgn0036152	FBgn0005612	32
FBgn0036152	FBgn0033183	33
FBgn0002609	FBgn0034599	34
FBgn0259789	FBgn0035997	35
FBgn0026869	FBgn0033010	36
FBgn0039209	FBgn0025800	37
FBgn0015239	FBgn0022935	38
FBgn0259789	FBgn0031434	39
FBgn0039209	FBgn0278608	40
FBgn0004893	FBgn0029895	41
FBgn0005659	FBgn0005612	42
FBgn0019650	FBgn0024244	43
FBgn0039209	FBgn0029895	44
FBgn0259789	FBgn0259789	45
FBgn0004893	FBgn0265276	46
FBgn0016076	FBgn0250732	47
FBgn0039209	FBgn0002914	48
FBgn0028550	FBgn0259938	49
FBgn0267033	FBgn0032223	50
FBgn0267033	FBgn0037794	51
FBgn0020309	FBgn0010228	52
FBgn0036294	FBgn0262937	53
FBgn0259789	FBgn0030680	54
FBgn0267033	FBgn0264075	55
FBgn0004893	FBgn0004893	56
FBgn0259789	FBgn0003598	57
FBgn0004198	FBgn0085424	58
FBgn0259789	FBgn0030710	59
FBgn0052264	FBgn0026160	60
FBgn0033010	FBgn0032587	61
FBgn0028550	FBgn0028550	62
FBgn0005659	FBgn0000567	63
FBgn0036152	FBgn0039350	64
FBgn0039209	FBgn0039209	65
FBgn0015602	FBgn0034570	66
FBgn0036152	FBgn0021872	67
FBgn0025525	FBgn0003651	68
FBgn0002609	FBgn0266411	69
FBgn0004893	FBgn0039209	70
FBgn0036294	FBgn0029672	71
FBgn0039209	FBgn0030432	72
FBgn0042696	FBgn0262937	73
FBgn0039209	FBgn0024321	74
FBgn0000504	FBgn0000459	75
FBgn0033010	FBgn0000370	76
FBgn0024244	FBgn0020912	77
FBgn0015602	FBgn0000541	78
FBgn0024244	FBgn0002609	79
FBgn0015602	FBgn0262582	80
FBgn0015602	FBgn0261885	81
FBgn0004198	FBgn0003053	82
FBgn0014343	FBgn0003866	83
FBgn0011274	FBgn0005612	84
FBgn0004198	FBgn0011274	85
FBgn0042696	FBgn0014018	86
FBgn0011274	FBgn0039209	87
FBgn0267033	FBgn0037446	88
FBgn0261963	FBgn0261963	89
FBgn0042696	FBgn0038551	90
FBgn0011274	FBgn0016076	91
FBgn0003053	FBgn0261963	92
FBgn0042696	FBgn0085405	93
FBgn0259789	FBgn0033581	94
FBgn0261963	FBgn0024244	95
FBgn0259789	FBgn0260789	96
FBgn0005659	FBgn0035721	97
FBgn0039209	FBgn0023094	98
FBgn0259789	FBgn0035414	99
FBgn0039209	FBgn0036134	100
