Converted with https://www.biotools.fr/drosophila/fbgn_converter
Mdh2	FBgn0262559
CG4598	FBgn0032160
Nup93-2	FBgn0038274
rad50	FBgn0034728
Tcp-1zeta	
CG16704	FBgn0031558
CG3651	FBgn0032974
Sema-1a	
Klc	FBgn0010235
Ripalpha	FBgn0032189
Jon99Fii	FBgn0039777
fs(2)ltoPP43	FBgn0004811
psd	FBgn0086265
CG12384	FBgn0033624
CG5867	FBgn0027586
Sir2	
Lst8	FBgn0264691
eIF2B-beta	
CG11099	FBgn0034485
SelD	FBgn0261270
CG6836	FBgn0036834
GstZ2	FBgn0037697
CG3542	FBgn0031492
lectin-28C	FBgn0040099
mRpL36	FBgn0042112
nmo	FBgn0011817
CG31998	FBgn0051998
vkg	FBgn0016075
CG16717	FBgn0036028
Las	FBgn0029158
mRpL48	FBgn0031357
CG15117	FBgn0034417
CG7120	FBgn0035888
CG6701	FBgn0033889
CG2025	FBgn0030344
NaCP60E	FBgn0085434
CG11107	FBgn0033160
raptor	FBgn0029840
CG11601	FBgn0031244
magu	FBgn0262169
CG9643	FBgn0031485
CG6455	
CG13319	FBgn0033781
Sgf29	FBgn0050390
Hsp27	FBgn0001226
CG17068	FBgn0031098
CG4259	FBgn0031389
Mcm2	FBgn0014861
Syx13	FBgn0036341
CG2063	FBgn0033400
eIF-2alpha	
CG10237	FBgn0032783
CG8814	FBgn0031478
dgt6	FBgn0039638
Mlp60A	FBgn0259209
Tbp	FBgn0003687
r-l	FBgn0003257
CG3775	FBgn0030425
phr	FBgn0003082
CG9674	FBgn0036663
Aats-cys	
Npc1a	FBgn0024320
CG11671	FBgn0037562
CG34371	FBgn0085400
CG2685	FBgn0024998
CG8093	FBgn0033999
mst	FBgn0020272
Dat	FBgn0019643
l(2)37Bb	FBgn0002021
CG5466	FBgn0038815
CG5514	
crb	FBgn0259685
CG42319	FBgn0259219
CG9849	FBgn0034803
Clic	FBgn0030529
CG14798	FBgn0029588
TSG101	FBgn0036666
Claspin	FBgn0052251
RIC-3	FBgn0050296
