TF	Gene	Rank
mamo	CG32857	1
bab2	Ubx	2
Snoo	CG5151	3
Atf6	Atf6	4
tsh	mirr	5
Atf6	CG32350	6
Dif	dnd	7
Dif	wmd	8
mamo	CG33502	9
Atf6	CG33217	10
Atf6	CG17883	11
Dif	Mmp1	12
ct	zfh1	13
Atf6	CG14464	14
Dif	CG6966	15
CG8301	CG2931	16
Atf6	Stlk	17
svp	so	18
Dif	CG13606	19
tj	CG9626	20
Atf6	Cals	21
vri	GstT4	22
rgr	Sk2	23
Atf6	MFS10	24
Atf6	CG10465	25
Dif	ple	26
Atf6	Ephrin	27
Dif	slow	28
Atf6	CG6191	29
Atf6	CG3107	30
Atf3	CG10353	31
Atf6	Nipped-B	32
E(spl)mbeta-HLH	E(spl)m3-HLH	33
Atf6	PIP4K	34
Ets98B	Gasp	35
Atf6	MED26	36
CG6175	gnu	37
CG9932	CG3192	38
CG9932	ND23	39
Dif	CG9686	40
Dif	Prx2540-2	41
Dif	Sclp	42
Atf6	pho	43
Ets98B	Cpr100A	44
Atf6	cta	45
Atf6	RpS15Ab	46
CG9932	SdhC	47
NfI	CG6329	48
Ets98B	Cpr97Eb	49
Atf6	exd	50
Atf6	neur	51
vfl	borr	52
Dif	Nc	53
CG13624	Moe	54
Atf3	Lpin	55
Ets98B	serp	56
Dif	tmod	57
Ets98B	Cpr62Bc	58
CG13624	sqd	59
Ets98B	Nplp3	60
Atf6	CG4455	61
Atf6	CG8223	62
mamo	CG6843	63
bun	eIF-1A	64
CG6175	HLH106	65
Atf6	Pli	66
Atf6	stas	67
CG6175	Ser7	68
jing	CG15523	69
Atf6	CG15717	70
bun	CG15771	71
CG6175	Atg2	72
Atf6	CG32267	73
Atf6	Arf51F	74
CG6175	BM-40-SPARC	75
Lin29	Actbeta	76
Atf6	CkIIalpha	77
E(spl)m3-HLH	E(spl)mbeta-HLH	78
Atf6	p120ctn	79
CG6175	Hn	80
CG6175	CG3164	81
Atf6	PlexA	82
Atf6	CG5694	83
Atf6	CG33129	84
Dif	CG12896	85
Ets98B	obst-A	86
NfI	pHCl	87
CG6175	CG16721	88
CG9932	Pgm	89
Atf6	Trl	90
vri	CG9527	91
Dif	Prx2540-1	92
CG6175	Ehbp1	93
CG6175	rpk	94
vfl	boi	95
Atf6	mRpS5	96
CG6175	alpha-Spec	97
CG6175	Drep-2	98
Ets98B	Clect27	99
Ets98B	CG8736	100
Atf6	stmA	101
Atf6	CG32000	102
Atf6	CG5385	103
Atf6	CG17715	104
CG13624	Aps	105
Ets98B	emp	106
ct	kermit	107
bowl	NKAIN	108
CG6175	TMS1	109
Atf6	Dyrk3	110
Dif	CG17754	111
vri	CG11151	112
ct	CG5096	113
CG13624	CHES-1-like	114
jing	CG5599	115
CG6175	nec	116
Atf6	lt	117
CG6175	beta-Spec	118
CG6175	Lon	119
NfI	CG33521	120
CG6175	NimB2	121
mamo	CG8818	122
NfI	CG1636	123
mamo	CG14777	124
CG6175	CG14629	125
CG6175	Cp1	126
Ets98B	CG16884	127
CG9932	NDUFA8	128
CG6175	CG9649	129
CG9932	CoVa	130
Atf6	CG40045	131
Dif	CG42678	132
NfI	Syt7	133
ct	CG10650	134
Atf6	Crk	135
CG6175	CG14767	136
CG32264	CG42389	137
NfI	nSyb	138
mamo	CG3149	139
jing	CG15100	140
Atf6	Df31	141
Atf6	Ccm3	142
bowl	jim	143
NfI	Aplip1	144
Ets98B	CG4962	145
NfI	CG42540	146
Atf6	Mkrn1	147
klu	fkh	148
CG6175	CG4538	149
CG6175	CG32521	150
CG6175	shf	151
CG9932	CG5548	152
Atf6	UbcD2	153
ct	CG9380	154
CG9932	RFeSP	155
Atf6	PRL-1	156
Atf6	AGO3	157
NfI	CG3556	158
Ets98B	CG7203	159
CG6175	Mkp3	160
NfI	Actbeta	161
NfI	hig	162
NfI	Snap25	163
Atf6	fabp	164
ct	fa2h	165
NfI	nAChRbeta1	166
jing	vas	167
NfI	Gad1	168
Atf6	Ras85D	169
Atf6	CG12547	170
CG9932	CG6020	171
CG6175	CG11395	172
NfI	CG2082	173
NfI	Syt4	174
NfI	amon	175
NfI	igl	176
mamo	spag	177
CG6175	CG9485	178
mamo	mRpL28	179
Atf6	myo	180
vfl	wisp	181
NfI	Shal	182
CG13624	yps	183
NfI	CG14989	184
Ets98B	CG9990	185
CG6175	CG11811	186
NfI	Syngr	187
Atf6	mei-218	188
CG6175	CG4250	189
CG6175	Fer1HCH	190
CG13624	jim	191
NfI	Fie	192
NfI	Cbp53E	193
NfI	GluClalpha	194
Atf6	Gprk1	195
Atf6	CG41099	196
bowl	Gp150	197
Atf6	Psf3	198
jing	c11.1	199
jing	CdGAPr	200
CG6175	CG5009	201
apt	JHDM2	202
ct	CG9304	203
jing	mv	204
CG6175	AdipoR	205
vfl	CG42388	206
CG6175	fs(1)Ya	207
Atf6	Tsp96F	208
dsx	CheA75a	209
NfI	unc-104	210
Atf6	Pten	211
CG6175	CycA	212
Atf6	r2d2	213
NfI	CG10186	214
CG6175	cad	215
mamo	Hydr1	216
Ets98B	Cda5	217
CG6175	CG4300	218
vfl	retn	219
Hnf4	CG1662	220
vri	CG3847	221
CG9932	Oscp	222
NfI	Shab	223
CG6175	CG3505	224
CG6175	CG7461	225
mamo	CG17065	226
