	A_C_0_5	A_C_1	A_C_2	A_C_3	A_C_4	A_C_5	A_C_6	A_C_8	A_C_12	A_C_24	B_C_0_5	B_C_1	B_C_2	B_C_3	B_C_4	B_C_5	B_C_6	B_C_8	B_C_12	B_C_24	C_C_0_5	C_C_1	C_C_4	C_C_5	C_C_6	C_C_8	C_C_12	C_C_24
FBgn0000592	422.210910074749	467.598995776169	469.960193389191	474.558380005861	360.234799938179	342.08372891442	278.465840739175	276.762549514803	197.749922517066	444.083649108376	491.110113258728	554.099784606981	487.717265525945	448.21108307884	311.879149452301	381.815128217652	309.90439316571	400.208056906409	221.9261384884	581.005489241787	613.153458736058	606.354717649343	352.336360938671	406.485814874724	399.75940519018	291.267337202727	197.233622688803	580.243686364404
FBgn0001247	95.1253378476892	96.7360092725023	95.8192386891639	99.5444874180567	97.6337308243664	103.054006980046	90.8312801594083	94.2703341945565	96.0975747063268	112.696518973816	97.1074465081798	102.112424806083	97.8223763779572	95.2660422872896	93.2126520877736	103.176377589113	101.167136611947	101.196774114779	96.099600712887	97.8031909190328	108.799576574706	107.161363943919	105.67199665461	97.1727698863771	95.7365423612307	96.1943568409139	97.9788097922659	121.687603957876
FBgn0001404	117.160576397723	112.717177557066	108.5987625779	104.725921239572	108.005278425842	111.208925469088	109.088538100028	106.550526788922	122.482746952284	121.467123169229	122.60337579225	105.376292265638	113.960080016683	108.565042716081	111.904632188134	118.433975244716	126.266831265037	117.935707590778	123.679327233269	117.713677444896	118.719433768101	116.856915919798	124.560926289177	118.75170209573	110.027792744699	110.982226005194	127.50916734826	129.220441132488
FBgn0002917	169.149967351708	158.613095224299	154.931334293659	140.508293630509	156.930746430711	163.339996995337	146.171815910882	133.249253971696	139.535900382828	149.368368393503	160.080998619654	138.01496686119	152.212414567738	148.76626950246	162.145509918201	140.132280107396	136.562828459468	131.520191597136	131.266137815865	135.360439404511	149.860699743082	145.603377041262	151.400553346458	140.240534379366	131.489393666587	137.532063712682	149.656935515256	127.627784129856
FBgn0003068	35.2662188401206	34.9088644715948	39.6980954841598	40.963806212452	70.8088904310199	79.6161671745021	106.813490381571	149.439557640885	159.699726751844	22.1850326645991	41.4715206751815	40.2155097695189	50.9034972801794	68.8853453582819	96.7235795669418	111.555550072108	101.269584345224	128.162229258485	157.700685380383	31.5892473562789	23.2762363430745	28.6188880691498	58.4014865232042	73.2512396083677	74.0276879725012	123.817901220395	170.346414420228	17.3900926773902
FBgn0003429	414.783854224179	407.419908954607	409.651716824899	394.215676749891	437.342640744965	472.743645149965	419.348170704644	382.396644020563	398.221683855293	424.474263309024	408.306393926311	436.483989368011	434.273574154485	420.309258649807	434.267114395134	442.720456564196	469.056946812959	443.556298005349	366.69584482549	428.924357018399	490.749506581838	476.102631236555	511.494867527898	433.921242255718	429.82542675817	454.665970740717	425.911607590008	501.385642342179
FBgn0004795	73.1392850979906	76.360019709683	85.5956195781748	69.4921712532667	66.8991970943378	60.4068036225357	55.6817929092428	54.8026505330636	55.4921833130754	58.5696352219909	73.8406695112414	64.6945157161826	80.3896718299506	64.9304138582165	58.7956728553649	53.5266540704734	48.6114494403733	55.4572568049817	59.1198635964583	66.5226332763332	66.1087625817002	72.5890667667738	60.3289283226499	51.3119076961444	47.8188204872469	50.3666038862624	57.5568543105264	50.5776210295382
FBgn0005386	53.1698501620228	52.5880318863938	52.5320003256143	49.1321842369588	53.7039820830358	56.0575137617132	52.3829737174797	50.464871059432	55.1588969268107	63.7975281157634	51.2705026040318	54.1452298201204	52.9954218259402	50.5014330008351	50.7353745581198	54.7147456911965	53.9387315708252	51.7940251628178	49.2904108919624	50.0591818854387	55.2323477303701	53.3680602181026	54.2093006094098	49.5099091817934	51.1814676362984	55.7839420949592	56.5998519823229	66.977683678265
FBgn0013953	10.6733186726725	10.7872885920808	10.9849524490415	8.41221020434282	8.90541260022029	9.72549538322825	7.39390508498627	10.5084235135863	10.8318075536033	11.9494694714802	11.1922021083077	10.2578691586019	11.0075077288842	8.86600028586089	10.0877352922577	11.2556048279033	9.57886306148557	9.66686127793259	10.6883369213936	10.5468985472918	8.57359086000613	10.7586607451633	8.52892996254715	8.82979272031984	9.39563173999681	12.0547976355686	11.4384563990041	12.0525394793793
FBgn0014396	65.8106008480911	51.9387969248334	56.4474289213122	56.1423594072444	139.337126415642	144.674294675973	231.42922916007	385.02374989896	578.307427900328	162.026380125311	114.708461441991	112.661710702145	128.205090018769	142.899063430934	193.991105644741	306.4025758707	347.553935145345	402.751967769023	557.463572556434	98.8321566309637	72.5212416960023	75.5657713207716	121.043345005189	145.871779736713	184.40163557078	370.184777594283	671.815634398876	124.700738827721
FBgn0020618	1839.79486152679	1907.45231706451	1913.39382138379	1837.27547506444	1570.82790060471	1555.11275245856	1605.72867968717	1862.12930389882	1591.33139895194	1608.37178115409	1669.07777498995	1685.84582620773	1515.99779522194	1493.52990109613	1545.055339248	1385.56495431489	1223.94306947132	1400.37205165167	1673.44046504551	1340.53652950359	1464.3480620522	1482.48391659242	1224.07010078297	1469.66493834181	1555.02650366284	1336.91122117867	1395.03596528411	891.758787122504
FBgn0023076	53.5633365647019	54.4857956201858	60.09095275342	39.5008131334358	32.6350791020268	42.4055761430201	36.2301349164327	31.2808885985826	15.0534351129564	61.1165574010083	48.6233842630628	53.0961295652634	57.0298477356217	37.8543443577688	36.7411143242524	35.1424995182313	36.8299601134124	26.7619422746976	16.5096632803669	52.631596165266	56.7557543707844	62.2981738800959	40.4280917433732	43.2930143072825	41.4396810427228	30.161396513285	16.8158980527191	62.1997126703682
FBgn0023094	26.8062611825184	31.912395418239	30.9971430492755	29.6256098500769	29.9743155812293	28.9952657388172	28.7224774455236	29.6924059744358	33.8285682058688	29.4428033852578	29.5827084771452	28.2091401861553	29.9842518225714	30.9440794290831	27.6918223709036	31.5156935181292	28.6341414511788	29.967269961591	31.5401370760766	27.9364190789242	26.8190424835729	27.2581088444652	25.5867898876414	29.3725757839211	29.3242611674637	28.0139831692971	27.2973521235197	27.6347512348626
FBgn0025680	209.875810029002	219.641181610978	220.78666803519	197.199275442384	177.456636448292	180.918376849495	161.585264203431	145.529446566062	85.0991239595911	169.073503146953	195.329469159925	203.408882747277	199.579563211036	180.318799931553	160.51367038563	155.827595728528	132.157575928517	126.279735220151	81.9280111340749	176.93065416652	210.61982505263	215.385836657123	159.543994949116	173.667606820577	169.764230333732	129.137629731638	83.7604894875277	149.666713463578
