	A_S_0_5	A_S_1	A_S_2	A_S_3	A_S_4	A_S_5	A_S_6	A_S_8	A_S_12	A_S_24	B_S_0_5	B_S_1	B_S_2	B_S_3	B_S_4	B_S_5	B_S_6	B_S_8	B_S_12	B_S_24	C_S_0_5	C_S_1	C_S_2	C_S_3	C_S_4	C_S_5	C_S_6	C_S_8	C_S_12	C_S_24
FBgn0000097	58.4364412512979	55.0642534599764	66.3787759004166	68.4849376323919	57.2056804076058	54.8294232928302	52.2057137810963	61.1221577614063	51.6309484024511	60.7602583542128	49.9361112050384	54.6161495125305	59.4065952740784	60.0442273105089	58.9443560071696	57.8116533130507	53.9878628660141	55.615456307899	55.5519417470016	60.8085163642117	56.6457472205783	53.7741676846288	61.6692074979714	57.9904360859266	60.2183559633375	57.9349933397228	56.0322040455848	59.4843495568099	58.1614262147795	61.8870210684341
FBgn0000286	81.3028747844145	82.6784431608438	76.3595636096716	77.7641261417378	74.290749654637	78.2737284249368	64.5951132472622	84.5887004733748	85.9668007883176	84.564601995149	78.0435110490024	79.1466919504303	71.6330148823535	69.5817219582321	72.6126124726002	69.5520371908695	77.2020486628669	84.140289199343	87.4352650602068	83.0977590172858	75.6364924463054	75.6857057625291	74.8511158271343	73.7903544552919	72.2730865418569	78.6531538057284	83.5608676736145	79.7906952311198	86.4861415810759	80.3132424621534
FBgn0000289	168.334812436603	184.477558536553	173.683139831359	184.587954834695	182.255765081127	183.01683361193	167.304180577462	173.890554345559	199.783792956282	166.323535494865	161.602879269889	164.627195916572	175.163180920166	162.797235685036	178.484649011082	163.141258434903	177.439712462611	170.352214307003	190.221759863809	168.197221865066	171.460854459215	174.622519616455	172.793616524585	179.395803392766	177.06076748816	166.977943160805	184.483826741636	171.721053637099	192.678624279984	164.099490003751
FBgn0000307	78.0647088156725	79.5600502674323	79.5412120934079	78.5336198230006	77.3561446646584	73.736120980013	77.5992539083143	77.9902857150412	78.3790013104533	79.040942144766	72.2929365506549	71.9562578178396	78.9787266631316	73.3007450284135	75.4032148342923	74.5041422388594	77.3210957695174	76.6505286077348	80.0933725742352	82.0157569467482	75.3100039897026	80.5655679545506	83.3317841228194	77.7080453861155	86.5396942907467	79.8384032603054	77.5723388236721	75.8728948428698	78.5229653748929	81.6156193669451
FBgn0000370	245.452980430643	241.059976957795	257.016179569768	251.352847767794	256.185880028703	237.231789229926	263.298382548138	232.730553619121	212.797504909938	279.514723857475	255.43113052354	266.61714431711	258.184514066679	253.313458473805	256.222857658218	285.608485520586	232.49899928848	256.564139414663	228.522821364052	289.11095324764	261.081935796671	263.703925513945	267.924591319662	250.818322670088	314.860715202244	287.636337636742	240.608876195747	290.910473899352	254.116040706168	267.469627298883
FBgn0000412	84.0926793113307	90.5564883652518	83.7252977706502	86.183292301437	93.1339130985922	90.7048821542596	72.8231877018915	95.5033715021974	86.8569895538771	91.4910960932483	84.7329548532026	85.2987962443798	76.957423421441	83.2581293776088	81.2691749007063	79.6788138058601	86.8448643015596	93.6485668298243	93.2882422867855	94.134180136769	86.7370999707991	87.4547851668162	83.0552405914384	82.3576126446753	80.7335167185241	91.7383077842583	91.4991501026079	90.3301300783839	93.5925203473531	87.596905892655
FBgn0000459	33.8761978268394	34.5074792547244	31.1627214502941	46.5769998834972	30.6539501002143	42.2564693308536	37.3100617511639	55.8136586701154	40.0584944501776	41.8658345802837	22.3568253456165	37.3019994531874	30.3195486253595	37.4901519171509	31.3800388018845	43.1222630583391	45.2974240805256	59.4400149078692	35.1178633594724	39.9258764028365	26.1734912709877	28.1788120696142	42.5416132441163	33.8385172706298	36.7171610281507	44.5653794920945	42.6160425135434	52.2557319390529	45.0070655197557	47.6091112973846
FBgn0000504	37.5129072994265	58.7981186349822	77.8850115128328	55.6298667218834	31.916171574929	32.2359195566467	33.9526290714014	34.2323773176708	29.545789028332	47.3018172901844	30.3372144453641	67.5952724955463	49.5465794609534	41.6890489318718	34.1136900949706	37.5581000830695	39.3450687479992	36.3333066997163	29.1108604164047	47.6080911036533	30.1457674929879	79.9914665201951	76.4181958382935	48.3899407279744	34.1735022822246	33.6610845099862	34.4920692674975	44.1442297267606	31.7519051259195	48.6220711122226
FBgn0000520	16.0413760297681	15.7150589233763	16.5620058057507	16.430953311671	17.2203072621792	14.6999574517846	12.625838387276	16.3720065432338	13.5647811894781	15.4311767248794	15.5500228781847	14.4327847571136	13.7547220593094	15.1160292529952	14.8642289061558	13.2983495108942	12.8570875182569	15.0326400526604	12.0653477916316	13.4709257781928	14.5831510615898	15.0223208656347	12.9514553863453	12.958516155801	10.4511196300007	12.1369544148683	15.5051832238818	11.8085814519085	12.751161899774	13.5543670461652
FBgn0000541	199.221933984604	191.493942546729	185.843138830845	181.147865436109	189.243062530441	184.009435240507	186.881323245374	183.316861143179	208.685680611877	195.037799002809	178.209130117158	174.413454645766	200.109020927373	185.471279564529	199.214837983651	186.455101301283	193.511071860432	188.890699742969	205.6243315127	200.71138408472	184.248319009489	194.763911605092	199.203523771474	207.723722431029	233.187150686312	208.129804223718	195.486007651995	197.600608314412	214.35055952466	191.352932641059
