	A_V_0_5	A_V_1	A_V_2	A_V_3	A_V_4	A_V_5	A_V_6	A_V_8	A_V_12	A_V_24	B_V_0_5	B_V_1	B_V_2	B_V_3	B_V_4	B_V_5	B_V_6	B_V_8	B_V_12	B_V_24	C_V_0_5	C_V_1	C_V_2	C_V_3	C_V_4	C_V_5	C_V_8	C_V_12	C_V_24
FBgn0000097	60.9558178291286	59.787270830144	61.5085953622499	59.1730344542691	62.724500584096	60.2379173445962	55.014499421449	62.1101927657199	56.1575599613342	60.3905886056986	53.5303637800267	61.304695343237	62.154751361084	57.8360265018419	57.7994009600409	56.1112076230756	56.0473153773592	54.7455652945373	55.9240594141715	62.7931697020561	65.1977162890499	60.9442054128611	60.2999561468518	54.3733025427734	64.5846501042876	58.4062644156493	57.1290541725507	55.1027852745793	62.1802494545545
FBgn0000286	80.1446467094702	79.8243360541783	79.4619605014919	80.7476275473301	83.0271498361884	85.217121977253	76.4835723664047	85.135834570502	85.5235567398719	76.0640995788194	69.2042668223173	78.2364683427977	77.9219493166531	77.5741556607165	84.2028672935235	78.5930566263279	83.7507026924539	77.3545052421401	77.1066400156966	78.0255310738448	74.9773737324074	77.4525136000516	78.0943002826943	78.539214784006	85.3986605644372	87.0207269996528	80.9328267444468	87.4430204244453	74.5764721240373
FBgn0000289	171.291583891093	179.269262535587	182.877007655595	177.152544742294	177.968749101894	177.013129125247	170.842064840998	158.109407059504	190.813527358908	157.78668714474	158.200156977697	175.480635876673	179.837460739607	177.753431307854	174.170234059464	170.388750340438	181.112896262267	171.137830172857	194.941140318384	166.480749581079	154.987553634496	166.758737214214	167.512274106379	170.979694619401	171.307468444074	177.112773775764	176.487970925915	193.70971617971	159.956078060435
FBgn0000307	81.5003791847117	76.6313626120112	86.2860712304384	76.1394620323074	76.6692149388226	80.2829580991974	76.5314944042283	69.372125950305	76.4475874531916	79.419132279136	77.5061222472594	76.9390144730996	91.4611736480657	76.4163324418998	79.4677427268951	64.2694409178846	72.8081315949695	77.3030042399816	79.5625913897865	79.566687636167	83.270065716541	74.4735707692804	77.2575756368083	76.1930097120416	76.8792004006015	76.5782397596944	75.9777557192766	74.9630066037919	76.3189130615148
FBgn0000370	268.017881643902	254.790025689453	257.163635859295	265.283710217104	238.235560566	263.104009289239	244.450314937989	298.388701747099	227.553749182873	271.657498495783	285.185337557611	257.479720441595	318.771610840854	256.540544626378	237.99147821837	253.092061909189	240.202780188682	266.672189176965	254.293298525556	267.229379736604	280.350180042915	255.196102502734	266.022655748692	249.401599149808	262.215720012669	260.345539717785	251.00835281426	211.787078391686	263.75577390731
FBgn0000412	86.4540170750173	91.6707302743926	90.6370143126527	89.3355723707815	87.9959561005163	90.6652612592728	92.202000772533	86.4937570359122	91.8941890276378	88.6830285412042	78.9008339586497	85.696828093562	84.5487426602981	87.498354679145	81.0632738308677	90.8615448635597	95.0669225591207	92.6503028832291	92.4051704501314	92.2901894878964	88.5888267822266	89.1821009962133	82.835739942715	96.0184425701402	87.0821467045964	86.3040857184791	92.9318712857903	94.9061516128759	92.0506655255975
FBgn0000459	36.2397719343408	30.3563851892991	31.8305836014622	44.3535930820938	43.0629876241749	42.300175746248	40.8295762256747	60.3389895499674	46.0779979169922	36.2543832093912	35.4655263753526	47.0327027765575	39.3037398312737	35.0103687594563	41.4838087032885	54.1183567419009	47.6669072685541	34.2481664354349	34.3833192372582	40.1775931712357	44.3230088807138	40.5260347602834	40.7763810761782	43.1115181973446	49.841392695015	51.8029268962639	60.140960089811	43.4934700925761	34.3509784816994
FBgn0000504	42.653429413368	41.0459049739456	33.479362032617	43.8299379099321	41.1395787476609	36.1324708986784	39.0564608262029	45.5199226448384	32.7694852610427	44.5668522877875	39.9817357265212	41.0644149759461	38.9609746583266	38.2633006599412	36.3369341743445	31.8233375087588	38.5392016213841	38.2652446038017	26.2479803105855	47.2023998274018	46.0387382567414	41.084586541053	34.4730554105036	35.4276965866614	42.2912124300588	38.596251857493	36.5800831564036	26.0380354796357	42.0177186066005
FBgn0000520	12.6187407310942	13.8824932268136	14.7932064795285	14.714710337743	16.2955474260215	13.928733447428	13.9932350444801	12.7526631534178	15.4466015744462	14.9724593640994	11.8882569685171	13.2989021644059	11.5397608225542	16.2646595024246	14.7200611527798	16.2541899995813	16.0135186792455	14.6262846130278	13.2519042893599	14.228817563765	11.609768777787	13.2811201205217	11.0447653256953	14.3705060657815	13.7739775103931	14.2816369605312	15.3024252247904	15.0091860567327	15.1343441426618
FBgn0000541	194.860471537599	194.216080243123	209.623857760996	185.478661979665	175.030207762776	198.548698551344	184.643611734184	178.360163826274	187.802749085923	183.875822023321	189.28230368868	180.346087888041	227.367564721613	185.692790522596	191.051982514401	170.077367390255	172.465596175474	191.63522903196	213.97476346758	197.447244228668	199.768090348817	183.949719800123	198.024832859689	191.626299252687	189.468712865185	196.973974996861	181.200146312597	185.790504751986	184.001762997625
