Experiment	Run1	Run2	Run3	Run4	Run5	Avg
V_0.5_A	80	82	81	83	82	81.6
V_1_A	80	82	81	83	82	81.6
V_2_A	80	82	81	83	82	81.6
V_3_A	80	82	81	83	82	81.6
V_4_A	80	82	81	83	82	81.6
V_5_A	82	83	81	80	82	81.6
V_6_A	82	82	81	80	82	81.4
V_8_A	82	82	81	82	80	81.4
V_12_A	80	82	82	81	82	81.4
V_24_A	82	82	80	81	82	81.4
V_0.5_B	80	82	81	82	82	81.4
V_1_B	80	82	81	82	82	81.4
V_2_B	82	81	82	82	80	81.4
V_3_B	80	82	81	82	82	81.4
V_4_B	80	82	81	82	82	81.4
V_5_B	80	82	81	82	82	81.4
V_6_B	79	82	81	82	82	81.2
V_8_B	80	82	81	82	82	81.4
V_12_B	80	82	81	82	82	81.4
V_24_B	80	82	81	83	82	81.6
V_0.5_C	79	82	81	82	82	81.2
V_1_C	82	81	82	82	79	81.2
V_2_C	80	82	81	82	82	81.4
V_3_C	80	82	81	82	82	81.4
V_4_C	81	82	82	80	82	81.4
V_5_C	80	82	81	82	82	81.4
V_6_C	80	82	81	82	82	81.4
V_8_C	80	82	81	82	82	81.4
V_12_C	80	82	81	82	82	81.4
V_24_C	80	82	81	82	82	81.4
SP-_0.5_A	79	82	81	82	82	81.2
SP-_1_A	80	82	81	82	82	81.4
SP-_2_A	80	82	81	83	82	81.6
SP-_3_A	79	82	81	82	82	81.2
SP-_4_A	80	82	81	82	82	81.4
SP-_5_A	79	82	81	82	82	81.2
SP-_6_A	80	82	81	82	82	81.4
SP-_8_A	80	82	81	83	82	81.6
SP-_12_A	80	82	81	83	82	81.6
SP-_24_A	80	82	81	82	82	81.4
SP-_0.5_B	80	82	81	82	82	81.4
SP-_1_B	80	82	81	83	82	81.6
SP-_2_B	80	82	81	82	82	81.4
SP-_3_B	80	82	81	82	82	81.4
SP-_4_B	80	82	81	82	82	81.4
SP-_5_B	81	82	82	80	82	81.4
SP-_6_B	80	82	81	82	82	81.4
SP-_8_B	82	82	80	82	81	81.4
SP-_12_B	80	82	81	83	82	81.6
SP-_24_B	80	82	81	82	82	81.4
SP-_0.5_C	80	82	81	82	82	81.4
SP-_1_C	80	82	81	82	82	81.4
SP-_2_C	80	82	81	82	82	81.4
SP-_3_C	80	82	81	82	82	81.4
SP-_4_C	79	82	81	82	82	81.2
SP-_5_C	80	82	81	82	82	81.4
SP-_6_C	80	82	81	82	82	81.4
SP-_8_C	82	81	82	82	80	81.4
SP-_12_C	80	82	81	82	82	81.4
SP-_24_C	79	82	81	82	82	81.2
SP+_0.5_A	80	82	81	82	82	81.4
SP+_1_A	80	82	81	82	82	81.4
SP+_2_A	80	82	81	83	82	81.6
SP+_3_A	80	82	81	83	82	81.6
SP+_4_A	80	82	81	82	82	81.4
SP+_5_A	80	82	81	83	82	81.6
SP+_6_A	80	82	82	82	82	81.6
SP+_8_A	80	82	81	82	82	81.4
SP+_12_A	80	82	81	83	82	81.6
SP+_24_A	82	81	82	82	80	81.4
SP+_0.5_B	80	82	81	83	82	81.6
SP+_1_B	80	82	81	83	82	81.6
SP+_2_B	80	82	81	83	82	81.6
SP+_3_B	80	82	81	83	82	81.6
SP+_4_B	80	82	81	83	82	81.6
SP+_5_B	80	82	81	83	82	81.6
SP+_6_B	80	82	81	83	82	81.6
SP+_8_B	80	81	82	82	82	81.4
SP+_12_B	80	82	81	82	82	81.4
SP+_24_B	80	82	81	82	82	81.4
SP+_0.5_C	80	82	81	82	82	81.4
SP+_1_C	80	82	81	82	82	81.4
SP+_2_C	80	82	81	82	82	81.4
SP+_3_C	80	82	81	82	82	81.4
SP+_4_C	80	82	81	82	82	81.4
SP+_5_C	80	82	81	82	82	81.4
SP+_6_C	80	82	81	82	82	81.4
SP+_8_C	80	82	81	82	82	81.4
SP+_12_C	80	82	81	82	82	81.4
SP+_24_C	80	82	81	82	82	81.4
