FBgn0029769	frma
FBgn0003068	per
FBgn0001404	egh
FBgn0002917	na
FBgn0000592	Est-6
FBgn0265577	IBIN
FBgn0023076	Clk
FBgn0027109	NPF
FBgn0029768	SPR
FBgn0023094	cyc
FBgn0028424	JhI-26
FBgn0014396	tim
FBgn0086676	spin
FBgn0265487	mbl
FBgn0060296	pain
FBgn0262636	dati
FBgn0020618	Rack1
FBgn0003429	slo
FBgn0005386	ash1
FBgn0025680	cry
FBgn0040092	lectin-46Cb
FBgn0061492	loj
FBgn0086370	sra
FBgn0036260	Rh7
FBgn0001247	Ide
FBgn0052484	Sk2
FBgn0050446	Tdc2
FBgn0013953	Esp
FBgn0033153	Gadd45
FBgn0053527	SIFa
FBgn0267796	Tmc
FBgn0260753	Pdfr
FBgn0004795	retn
FBgn0038842	hdly
FBgn0264975	Nrg
FBgn0030228	BTBD9
FBgn0034638	CG10433
