	A_C_0_5	A_C_1	A_C_2	A_C_3	A_C_4	A_C_5	A_C_6	A_C_8	A_C_12	A_C_24	B_C_0_5	B_C_1	B_C_2	B_C_3	B_C_4	B_C_5	B_C_6	B_C_8	B_C_12	B_C_24	C_C_0_5	C_C_1	C_C_4	C_C_5	C_C_6	C_C_8	C_C_12	C_C_24
FBgn0000097	19.72117418873786	19.03578922933661	20.28788206335147	19.811516423580876	19.93212933107362	20.75099534006288	20.65821830651032	17.965966133559334	18.858554499061583	19.190527919017224	20.667630790401333	18.546739211964677	21.47461701072243	20.7453271527302	22.812952169202752	23.42109092358616	22.754562238950104	22.483189549105724	17.884611014092794	19.807313563681408	21.27579024644993	19.172778275074013	25.123856802896952	20.31240667742577	18.580434698097758	21.00344752810035	19.92947682001513	19.936332998006822
FBgn0000286	33.56346237645044	31.34945892824672	33.27687565812809	29.10984381418631	33.61994215388006	34.182603294980126	35.61222100669275	28.591710780664293	30.10050103718827	25.808521119148512	33.63552491971273	32.54997318022721	33.776073878867024	35.11669324084295	34.845453441341874	33.86221881867628	32.287749144940115	33.608855622793165	29.286906294786	31.53513059801871	31.57797579140721	30.71339226626834	37.69220662157171	31.671544358014597	29.798820745358505	33.01333324688233	33.76317158391682	30.03749475282273
FBgn0000289	71.82341565764118	71.52218630942187	71.7186766357479	69.10799116350309	77.3977473025798	79.87182409368195	82.48507293190704	73.00897233131673	80.24180973469757	72.55980144802689	74.823978489183	65.67252979797898	81.04897462643885	80.52499730549087	85.54426324448322	80.74710442483568	83.44661270285688	76.36725593177924	75.02724963616684	71.28947988002584	68.82538003490859	70.04102535183537	86.43664092738406	73.68018949182245	67.47150556023675	80.52961073005547	87.59383058856062	74.59671345486807
FBgn0000307	19.03886822117969	18.782702686535423	17.855811327052606	17.519776256359446	19.090126678678025	20.427365556060774	20.40870087319704	17.26160962824471	19.433358165692177	21.835404225124805	19.700089059951143	18.483366698322147	19.004392402637023	19.75796632686787	19.135046304660108	20.908056374650485	23.52759075987287	19.85204431134848	17.74118103094054	19.06943670569573	21.02160046850961	19.534723737370868	22.444629551678503	18.694116602043763	16.682190123909198	19.81089256927101	21.149476262701626	27.064652597246383
FBgn0000370	178.77671238658658	193.83683788713407	177.1146473993413	188.48371557795727	193.82689150759043	185.2403807518344	224.23347610726955	182.24539101596784	186.7735600333784	228.35678422287955	203.63486030334053	216.51578342400973	210.17707320399592	219.96295945625036	199.47820660213856	219.2653604956405	254.44383140431145	232.5211812703067	178.41905256714475	216.96282598684124	233.91979432915053	220.7815768430233	253.53713908452812	229.84926426631824	211.86654011371607	206.67686552880411	170.96842656967286	312.2429400688487
FBgn0000412	82.09156142358002	82.60286542449866	83.023725934663	84.09943982750445	83.18471962073376	85.65627021362452	93.22394583257687	82.89057529376484	89.83845637340698	70.2486408881203	90.3465155872268	81.99682136198953	84.99534159310902	86.07560203260644	86.46601246147117	86.1580955825764	85.3645138960399	90.19498096163548	95.857497347676	89.7689302214831	75.82497033938394	76.18709426557416	89.6655256544167	78.01204544851335	76.41179719552083	84.55435906809373	95.565605790247	74.34209993904598
FBgn0000459	12.846648565861814	19.815866485975576	13.9647092166183	19.16990172200681	18.58685302813386	17.975418361809233	15.734709976991324	19.94286807612902	16.72991511497862	14.660782119107491	13.064542016331009	18.015830462299583	15.1216576539257	16.446030107471902	22.846970946168664	17.494828508399337	18.460979085122624	22.433174693417147	19.04757241033013	12.53788533774512	12.94307367986038	16.5223369945653	22.348215255327016	20.37551927814454	19.120791031892537	22.872192239386507	19.50114067402681	14.669337060662365
FBgn0000504	13.802041554225452	24.35806068811005	27.375575627494165	17.59559975249807	14.745012050149136	19.829697852988563	19.446184669732723	27.945587841936813	18.18549520361565	18.153871621445884	11.460942914862262	24.44994241111773	25.864945931285707	20.180171168767924	19.309477202682025	19.07727751665796	24.650088054436612	26.80682141929169	20.31660376510566	16.358305539614065	15.939498797289325	22.93741298345907	18.07524858775253	22.07105913980893	22.6412930438748	29.427473981122574	21.941637151258284	18.69818809745415
FBgn0000520	13.285345525743894	13.1792843869308	14.976467786923822	12.24941184605373	11.847941547177577	13.263318539942372	13.828616305054489	12.733318417051784	12.85384943112242	10.038842009478374	14.011082481091275	11.267074893430664	11.937103546240056	11.86800517172814	13.669455188910208	11.335349678183247	9.635546836252573	10.672203857925163	11.156254946584994	10.88396461297354	8.553607957233014	10.07743983138649	11.530858351108352	8.118544472787548	8.595926999096292	10.61562424224763	12.505043221955198	6.5995159062882776
FBgn0000541	34.72150694312579	32.75693547083593	31.347621052273976	32.281631750517874	36.92439777751999	39.30981416977061	37.50180651222608	32.756419613296295	34.97495281090747	38.65437561206828	35.144159222576505	33.4707961143425	35.30937887751017	36.210522625595154	37.30491357279184	37.894986663075805	43.76417863624759	38.826919268516825	33.74843082687151	33.280710586072765	43.54670958052362	38.904969161044185	44.42635002492717	36.8091014170702	34.49450370997937	40.12959689968986	37.47744350364503	50.21042891246603
