	A_S_0_5	A_S_1	A_S_2	A_S_3	A_S_4	A_S_5	A_S_6	A_S_8	A_S_12	A_S_24	B_S_0_5	B_S_1	B_S_2	B_S_3	B_S_4	B_S_5	B_S_6	B_S_8	B_S_12	B_S_24	C_S_0_5	C_S_1	C_S_2	C_S_3	C_S_4	C_S_5	C_S_6	C_S_8	C_S_12	C_S_24
FBgn0000097	20.53328283169268	20.666422616822576	23.25992411670214	25.14589860006622	21.70897751160637	20.0042635650211	18.75792267819917	22.37947300670119	20.84934939288441	23.569416815938872	18.4379216447182	18.555604171766703	22.501917376365604	22.75319796663538	22.700751546548727	19.76076343764769	19.90432610563801	19.61108581591728	22.181292484837872	22.711337746311223	20.39865108901612	20.35940357580531	21.81146391640411	23.905765587805192	23.03730188814424	20.76567010789151	20.86911706319476	21.82131494494935	23.678459044428617	21.398525937023035
FBgn0000286	33.69910570109646	36.604060448079785	31.5636700027607	33.68133024481476	33.25648744255364	33.68703248692952	27.37838272776365	36.53495133276419	40.95040221996078	38.69539258594597	33.99190222894128	31.719898620744555	32.006598066307944	31.10339388699357	32.98765876742423	28.043977343246187	33.57543054520829	34.998671438375574	41.18311929178608	36.61078519317868	32.1297201850222	33.802330383618695	31.228861350088668	35.88288072528003	32.614983678398985	33.255428908379464	36.71222726804052	34.52803574397812	41.53424625520708	32.75738938510208
FBgn0000289	70.25530178042898	82.23815698836223	72.28941889005479	80.50187355892106	82.15155038692016	79.31045876233841	71.4015718421639	75.62496517363411	95.8254078640107	76.63324378377385	70.87296741784778	66.43449215128845	78.80648592836953	73.27443650068099	81.64566934380737	66.23482809801118	77.70275966906506	71.34904990296224	90.21646745722596	74.61590359456024	73.33873239393657	78.5282429799512	72.59027104140768	87.8401032021922	80.45547366010022	71.08833983912074	81.61292512041499	74.82315571944524	93.17216797337122	67.39412592448261
FBgn0000307	18.667352067946343	20.320649213137205	18.96757773332767	19.623707223773824	19.977540030589385	18.30806820989149	18.97453878956744	19.43266227208797	21.53886150358476	20.865476769044783	18.165196166020657	16.636547472011383	20.3583215671426	18.90281801751138	19.762179978332806	17.330684972372342	19.39975841997655	18.39366484836475	21.76330255378288	20.845992890067865	18.455838857273143	20.7581098858788	20.05737559231327	21.80013818845322	22.530530638698096	19.474387665267628	19.661662381792173	18.94138947538077	21.75514888001557	19.204849341279232
FBgn0000370	182.9340026944339	191.9086264122424	191.04500834818413	195.75253866195715	206.2192667694241	183.5833421716628	200.67290153026468	180.75934439911111	182.28255738675625	229.98936309543757	200.05292597316628	192.1490626373932	207.43827310099533	203.61196025185967	209.3098731500665	207.0776708251492	181.82193106539845	191.9004198164104	193.55899518171137	229.04282400813085	199.42738718857103	211.7784593682872	201.00314848386316	219.32057552339504	255.48928690513384	218.6868026929788	190.0867518236454	226.36610275657847	219.44429964712947	196.1599080296761
FBgn0000412	78.8425473518867	90.69350655745704	78.29428688305681	84.43509650761385	94.31247326239408	88.30135777038316	69.82283187004121	93.31773719332617	93.60121693702956	94.7041751303847	83.48542614539345	77.33769800816293	77.78510673797847	84.18968881247666	83.51893138666959	72.67620808051848	85.43907805624218	88.11875263921618	99.4051380592894	93.81811936895951	83.34894504350709	88.35599086208369	78.38709291669998	90.59643348044789	82.41085457155434	87.74386972138214	90.93781175563927	88.42435613982191	101.67650298223906	80.81665544582629
FBgn0000459	16.86540376534272	18.350358168554216	15.472428995523302	24.23098449197899	16.48247472908169	21.843868351608457	18.994524685022427	28.955811215170787	22.920342015080564	23.010430149077365	11.696155667752176	17.956851807408974	16.272090603233003	20.129090132417826	17.123291252902966	20.884574588037317	23.6624989282222	29.69756244213185	19.868256393952112	21.12849318161256	13.354620638618703	15.11644937802989	21.318967219494557	19.76484287372044	19.902116588872733	22.632803727971627	22.48926414791822	27.161133792097225	25.961802695935752	23.32393415703992
FBgn0000504	14.051100614707122	23.524222908250334	29.09313773402534	21.77384389823437	12.911220839165882	12.53729785073525	13.00458259705717	13.361212116908389	12.71849189009768	19.55975255767785	11.94068531916351	24.48093294206868	20.00575038479336	16.840286577270092	14.0049967790352	13.685108645031018	15.463149546226717	13.657379121460158	12.390826244210372	18.95463308462905	11.572222892607538	32.28429584080798	28.81174305205573	21.264622501922997	13.936290772020213	12.861434145843472	13.694365788069424	17.26268909331243	13.779849731099102	17.921432607785732
FBgn0000520	12.786002343296817	13.379977071194531	13.166218843554915	13.685270555810051	14.824665895049328	12.165879163232692	10.291311746486334	13.59947585227247	12.426942246180714	13.579134026411916	13.024830603437806	11.1243139837413	11.818993311826803	12.994294748336316	12.986263114568205	10.31169068816022	10.753200593183635	12.025003149593646	10.929405332059636	11.413518748289835	11.913224307203608	12.90245024407031	10.391513982934208	12.118402173848322	9.069515110552748	9.868667450809086	13.10047602730752	9.826972366447992	11.776383849417844	10.631194208570752
FBgn0000541	35.90245256925958	36.85982093147716	33.39784995798121	34.112822307437405	36.831788718518965	34.43192615526805	34.43778684564284	34.4228253561866	43.21832965462544	38.8016900376784	33.74658467803606	30.38973606400413	38.873546141757245	36.045452595094055	39.34796900329083	32.68625986601778	36.58977935568753	34.16011629229624	42.10707086442478	38.446157786624816	34.028303967939344	37.81834088998277	36.13400446699741	43.91723691657116	45.75300998236644	38.25972943432895	37.34089097790307	37.17655195320908	44.75542024783945	33.93374073752134
