	A_V_0_5	A_V_1	A_V_2	A_V_3	A_V_4	A_V_5	A_V_6	A_V_8	A_V_12	A_V_24	B_V_0_5	B_V_1	B_V_2	B_V_3	B_V_4	B_V_5	B_V_6	B_V_8	B_V_12	B_V_24	C_V_0_5	C_V_1	C_V_2	C_V_3	C_V_4	C_V_5	C_V_8	C_V_12	C_V_24
FBgn0000097	22.44377289339073	22.939658580118223	24.56466932046797	21.172478214075976	21.57814750101956	22.267098472557645	20.72949155578601	20.80416381821641	21.90186484449158	24.11220475835918	18.27709851263152	21.314872121917222	23.247632562273974	22.07445224547976	21.89221862338493	18.788559692438422	19.93042633969669	21.843847564282417	22.06622135056982	23.20983183745629	20.606054504350627	19.09482770912696	21.317288354452643	19.1802282791246	23.62871956408013	20.78287362129131	20.12089570831781	20.632796469037533	22.48774174357942
FBgn0000286	34.8096954737109	36.129216017733	37.43513389574085	34.08180811967178	33.69318582282064	37.15913077200687	33.99547173447647	33.638855278836786	39.34595057567984	35.82521554451147	27.87284840977233	32.08777869781997	34.3799808767586	34.926089941760004	37.62138178537885	31.04341393443516	35.13080307603557	36.40887235775306	35.889093072561245	34.02054943489311	27.95313544107174	28.625737596004832	32.56684780556976	32.681052725336066	36.85558923221142	36.52668813903102	33.62454438628945	38.62345461088996	31.815345442217893
FBgn0000289	74.9125785124258	81.70000257738161	86.75055010080447	75.28930126830126	72.72081055048992	77.7207850097221	76.46110536577993	62.90416092842784	88.39267988989307	74.82940540349026	64.15761986183661	72.46903334600036	79.8948594575785	80.58306033473487	78.35643175515727	67.76712589494865	76.49652099443149	81.10740189573137	91.36230754785514	73.09061700084287	58.1821570708105	62.058669085907226	70.33894887773454	71.63856414499698	74.44258577944846	74.85663957046329	73.83115493521396	86.15296395926059	68.71133842244932
FBgn0000307	20.421185290557418	20.008999906717847	23.450732976111283	18.53951084222337	17.948930469230763	20.19564188932189	19.62450257826475	15.813185700916751	20.29007390618835	21.579420485628408	18.009018586892328	18.20466080223453	23.280277285036583	19.84836132253061	20.48350610474353	14.645202282152404	17.619557811196916	20.99053676011383	21.364128484618654	20.013888689383148	17.910376384932356	15.879573987493403	18.586731219009256	18.29069332361986	19.141092145413623	18.54379105729625	18.21057741118439	19.10198583681833	18.783327938559317
FBgn0000370	209.3344232292236	207.3752010634512	217.8616793601891	201.35138140482104	173.85200743965473	206.30859643244213	195.3781176617719	212.00377701330643	188.24814100173148	230.07169567181103	206.54186137719384	189.89164533415317	252.9052658313527	207.6927495539773	191.206072685159	179.76131353002373	181.1720928858637	225.7001015095704	212.83254232165427	209.5269871810311	187.93808506152143	169.59336601381722	199.48370418534	186.61267104132185	203.49017107288785	196.5034337656632	187.522025547348	168.21233422771755	202.33415326802788
FBgn0000412	84.94937701681269	93.86490165919491	96.59953180945742	85.30344994315465	80.78560420894786	89.43940813309817	92.70707947301258	77.30956327093055	95.636128024104	94.48638784644275	71.88689434824695	79.50872894198757	84.38643169502481	89.11533510450126	81.93164008368723	81.18673196601527	90.20259619255874	98.6479594344803	97.29412676496868	91.0352193907309	74.70836617878582	74.55707346142712	78.14366744320584	90.38238290017452	85.01607946715978	81.94804414870278	87.34057132158142	94.82873911218412	88.83444389307847
FBgn0000459	18.90646021868397	16.503358804167576	18.012076403065922	22.48644121369254	20.99061527126692	22.15541654252427	21.79827443420421	28.63658198452277	25.46256936447869	20.50991878012452	17.15731114047803	23.16992823850064	20.829269295627068	18.93319605627777	22.26285313018462	25.675814747429808	24.01630563066437	19.36213648417776	19.2226315045153	21.04202687575961	19.848109551863043	17.990568639238997	20.42487475107454	21.547512229822683	25.836685881752924	26.11777787475661	30.012100504246053	23.075140846863324	17.60225290755696
FBgn0000504	16.741419475052936	16.788259605445887	14.253118858929492	16.71769237591214	15.0867052652688	14.237999172371968	15.687750582088944	16.253436853654634	13.623816640093183	18.96862832703123	14.55207777940884	15.21986983253669	15.534258124298788	15.56790681178355	14.671382050616206	11.3591517975655	14.608965978627714	16.2757492980662	11.040315354610396	18.5986442440512	15.511038059967474	13.721994344929218	12.991253167547978	13.321934113421394	16.493670642280016	14.64022001383171	13.733817425290876	10.393194674705803	16.19877445439091
FBgn0000520	10.540611410037313	12.084112882900364	13.403138783234825	11.944518673413429	12.717887604610748	11.680848510076206	11.9611632620115	9.69018528104735	13.666257976007618	13.561402574541068	9.208079213023437	10.489350289849732	9.791404936002262	14.082516489776856	12.647941791510885	12.34676010854317	12.91716108191336	13.239086433650847	11.861821307825563	11.93156692158519	8.323472741779042	9.439229828157758	8.85758362026233	11.499631578939828	11.431785085711104	11.528371428394124	12.22628026287142	12.74927499013002	12.416545808594377
FBgn0000541	36.79572591417896	38.21697677826466	42.93473087911692	34.03570345391077	30.88039711939419	37.64034966716371	35.68193524654581	30.639937854608483	37.56448508633298	37.65259539132629	33.1451280093808	32.158689954820126	43.61496610434775	36.34872319679238	37.11253477653373	29.2074087022469	31.45405079018788	39.21553754417712	43.300655076937794	37.42860039912516	32.38179464799574	29.55934398452757	35.90353815392377	34.66776163680191	35.55093370131485	35.94658563121096	32.73041032251275	35.67883678209832	34.12856272598992
