"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB

0	0,6564270	0,5101127	0,7166384	0,1656692	0,6564148	0,1602761	0,3000856	0,6928806	0,0546438	0,2227232	0,7070419	0,3346969	0,6632777	0,4042932	0,6123937	0,7460468
20	0,7907423	0,4569146	0,5008637	0,1405766	0,6170472	0,1004428	0,3688111	0,5201487	0,0477751	0,2356878	0,6645030	0,4361559	0,6005117	0,5258944	0,4810349	0,6851447
40	0,7547285	0,5043294	0,3403865	0,0863909	0,7444389	0,0965170	0,4904128	0,6757595	0,0454096	0,2521887	0,6179934	0,5302299	0,8770489	0,6355057	0,5199520	0,7177157
60	0,8082831	0,6191404	0,3015706	0,1016028	0,7452278	0,1005537	0,4064900	0,6743529	0,0480995	0,1943563	0,6633223	0,5719643	0,8179805	0,5809231	0,5141027	0,6981898
80	0,7274539	0,5822845	0,2472477	0,0751220	0,7172329	0,0691321	0,3437738	0,5689468	0,0550646	0,3202687	0,6034069	0,6393032	0,6660349	0,4718421	0,3820636	0,6816851
100	0,7502928	0,4960843	0,2333991	0,1018988	0,7041138	0,0558496	0,3571965	0,4273640	0,0714951	0,3235963	0,7065675	0,6551174	0,7216912	0,4803604	0,3653504	0,6677072
120	0,7937617	0,5558828	0,2270668	0,1101296	0,7954140	0,0201803	0,3183030	0,4386032	0,1500459	0,3431193	0,5509300	0,4998260	0,6800932	0,5432397	0,4807195	0,7135227
140	0,7883814	0,6019455	0,2381598	0,1638733	0,6057832	0,0240564	0,3092077	0,5101440	0,1361585	0,4523655	0,5783205	0,5307464	0,7901781	0,5816543	0,4994380	0,6630024
160	0,7450690	0,5438319	0,1996010	0,1555864	0,6611447	0,0077051	0,2719525	0,4666651	0,1971769	0,6944448	0,4531333	0,4124373	0,7011471	0,5015109	0,4989382	0,5921832
180	0,7842768	0,4704464	0,1752670	0,2186667	0,6715171	0,0097309	0,4201692	0,4774779	0,3156277	0,4857621	0,3965052	0,5160774	0,7426052	0,5288610	0,4941726	0,8067832
200	0,6863622	0,4434348	0,1827963	0,2269387	0,7626185	0,0010846	0,4059435	0,4248696	0,2874711	0,4581332	0,4386098	0,2936972	0,5849974	0,4335966	0,5215236	0,7902410
220	0,6530795	0,4177949	0,1669582	0,2065225	0,7349195	0,0005499	0,2903539	0,5272760	0,4231108	0,5913712	0,3175248	0,2402987	0,5012962	0,4651950	0,5109368	0,7395305
240	0,5959374	0,3252663	0,1360372	0,1833967	0,6395351	0,0017913	0,3196774	0,3774465	0,4720266	0,5383360	0,2951548	0,2233086	0,5738240	0,5204669	0,5097072	0,7487287
260	0,7057272	0,3548881	0,1653336	0,2339807	0,7252541	0,0008111	0,3379375	0,4961093	0,4919576	0,5544781	0,2181479	0,1778443	0,5055939	0,5549778	0,4638190	0,6237240
280	0,8659840	0,3969597	0,1276780	0,2871662	0,5613713	0,0000000	0,2838017	0,4739985	0,4836128	0,6106668	0,2511145	0,1948572	0,5768440	0,5006305	0,4418090	0,6968903
300	0,7810915	0,4061743	0,1052548	0,3391863	0,6509722	0,0019968	0,4087900	0,4372494	0,6011937	0,5943481	0,2322323	0,1449501	0,5274201	0,5774669	0,4745697	0,7234033
320	0,7591382	0,3590308	0,1908099	0,2981093	0,7350600	0,0025997	0,2950639	0,4423569	0,5950488	0,5076371	0,2369928	0,1469838	0,4832374	0,3771446	0,4036691	0,6796174
340	0,6531220	0,3465726	0,1413777	0,3285065	0,7013769	0,0027481	0,3007440	0,4090463	0,4733087	0,6491490	0,1835155	0,1572463	0,4911122	0,4188467	0,4039596	0,6146305
360	0,7085262	0,3035292	0,1635345	0,2798811	0,6544080	0,0039584	0,3446219	0,4230528	0,4756643	0,5569436	0,2198660	0,2135741	0,4834516	0,4239284	0,3018081	0,8035149
380	0,6145010	0,3829536	0,1363226	0,2667358	0,5170762	0,0108400	0,3701218	0,4285627	0,4566172	0,6892076	0,1489294	0,1362042	0,4053376	0,5001666	0,3627378	0,6614360
400	0,7614676	0,3368824	0,1186227	0,3309831	0,7686988	0,0120102	0,2395867	0,4169660	0,5691633	0,7193355	0,2977677	0,0954126	0,5250328	0,5517945	0,3661008	0,6814910
420	0,5925584	0,4291059	0,1761281	0,2929794	0,7940601	0,0049338	0,3170276	0,4640193	0,5462634	0,5769876	0,2161813	0,0901202	0,4098380	0,4946471	0,2973629	0,7468170
440	0,5099126	0,3154240	0,1027734	0,2454193	0,8077949	0,0019303	0,3046780	0,4992209	0,4757523	0,5834035	0,2189197	0,1010778	0,5644300	0,4301355	0,3017749	0,6045789
460	0,6489075	0,2962518	0,1418568	0,2620459	0,6555366	0,0017676	0,2555329	0,4420220	0,4832540	0,5379803	0,1763890	0,1027192	0,5257188	0,4218098	0,3514900	0,5965835
480	0,6594555	0,3163446	0,1789784	0,3177029	0,7375080	0,0034990	0,3664518	0,5419086	0,4200815	0,6526686	0,2316882	0,1232003	0,5170246	0,5100938	0,3686650	0,6271650
500	0,8133065	0,2797434	0,1624099	0,2546950	0,7387589	0,0102386	0,3153057	0,5111767	0,5176741	0,5693016	0,2582958	0,1003073	0,4916673	0,4811190	0,2811418	0,6203081
520	0,7893341	0,3784177	0,2095682	0,2262228	0,8030049	0,0084764	0,3874573	0,4255418	0,4885309	0,6334372	0,2325618	0,0740367	0,4564234	0,5914683	0,3304765	0,7308525
540	0,7832897	0,3239437	0,2654856	0,2981457	0,8594764	0,0035086	0,2828502	0,3578599	0,6112566	0,6210483	0,2672159	0,1428868	0,5803076	0,4717110	0,3188218	0,6304525
560	0,8248377	0,3244266	0,1563632	0,2590514	0,7989815	0,0125979	0,2585771	0,3564515	0,5306216	0,6420361	0,2007365	0,1353773	0,5017231	0,4255565	0,3391245	0,6236393
580	0,7207459	0,2735773	0,3773564	0,3737756	0,7707402	0,0044901	0,3465204	0,4791667	0,4762548	0,7435360	0,2877028	0,0853050	0,5932914	0,3074956	0,3321187	0,6729374
600	0,7363656	0,3608146	0,4821259	0,5983828	0,6917209	0,0026696	0,3395808	0,6194887	0,4004217	0,6469511	0,3160114	0,1159942	0,4734021	0,3461139	0,2768859	0,8122057
