"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB

0	0,9495417	0,7226693	0,9912528	0,1941632	0,9943825	0,1853249	0,4784452	0,9821780	0,0620586	0,3138165	0,9778598	0,5020032	0,9254312	0,6149285	0,7509496	1,0951863
20	1,0431167	0,6457733	0,6815455	0,1238586	0,9836699	0,1277879	0,5168794	0,9036304	0,0477847	0,3003403	0,9428037	0,6581019	0,9259207	0,7326053	0,7338915	1,0263951
40	1,0866318	0,6846622	0,4993948	0,1101533	1,0294461	0,1217065	0,5686495	0,8630075	0,0507219	0,2918017	0,9305766	0,7861245	1,0240760	0,8600018	0,6467269	0,9373825
60	1,0647478	0,7176673	0,3991225	0,1280911	1,0008944	0,1198323	0,5269982	0,8483070	0,0593253	0,3303652	0,9161074	0,8624610	1,0027241	0,6974028	0,6035586	0,9715885
80	1,0158795	0,6709093	0,3524847	0,1024024	1,0204133	0,0917146	0,4650515	0,7461285	0,0957081	0,3700470	0,9022191	0,8572812	0,9700376	0,6522086	0,5679412	1,0108210
100	1,0264533	0,7104775	0,3033542	0,1375799	1,0028556	0,0615790	0,5021105	0,6785103	0,1428831	0,4541468	0,8800189	0,8833377	1,0313111	0,6960247	0,6184839	0,9702701
120	1,0132317	0,7013399	0,3068000	0,1514286	1,0134074	0,0378996	0,4377520	0,6737122	0,1823084	0,5198004	0,7946135	0,6947469	0,9827913	0,7719067	0,6614135	0,9603649
140	1,0100103	0,7122663	0,2982474	0,1940227	0,9748535	0,0276314	0,3819936	0,6815110	0,1908323	0,6059520	0,7020638	0,6913838	0,9608295	0,7407891	0,7466543	0,9161985
160	1,0101092	0,7164361	0,2631443	0,2357393	1,0051315	0,0166102	0,4230074	0,6839025	0,2830996	0,7151540	0,6292365	0,6304620	0,9316749	0,6984707	0,7171253	0,9125241
180	1,0183913	0,6660155	0,2377008	0,3142628	1,0136731	0,0174418	0,4664120	0,7058699	0,3937359	0,7194511	0,5583107	0,6381476	0,8954113	0,6966325	0,7044104	0,9999898
200	0,9752546	0,6114245	0,2503609	0,3376355	1,0171618	0,0034048	0,4553436	0,6335599	0,4855381	0,7529066	0,4986842	0,5167365	0,8523655	0,6368843	0,6770733	0,9443046
220	0,9658001	0,5542268	0,2477677	0,3029928	1,0542860	0,0023791	0,4384417	0,6557933	0,5118014	0,7899704	0,3798879	0,3651878	0,8173461	0,6953607	0,6130066	0,9195583
240	1,0616891	0,5238185	0,2298757	0,3306710	0,9882546	0,0030200	0,4768980	0,6222590	0,6042150	0,8553756	0,3515542	0,3507520	0,7543154	0,7093181	0,6963289	0,9334133
260	1,0338419	0,5211207	0,2273012	0,3447703	0,9642608	0,0006459	0,4509883	0,6555701	0,6363605	0,8909460	0,3037072	0,2855769	0,7192239	0,6620092	0,6560837	0,8514144
280	1,0777529	0,4977769	0,1831889	0,3543294	0,9594545	0,0000000	0,4333713	0,6673072	0,6863633	0,8954747	0,2747799	0,2711885	0,7492112	0,7508697	0,6663062	0,8825018
300	1,0014498	0,4542752	0,2127003	0,3750215	0,9830340	0,0024161	0,4408048	0,6366038	0,7591916	0,9205621	0,3116913	0,2184365	0,6760316	0,6728692	0,5887162	0,8758210
320	1,0336476	0,4349168	0,2328391	0,3599375	0,9742764	0,0018432	0,4173185	0,6339932	0,7243994	0,8633382	0,2846687	0,1856614	0,6431111	0,6523539	0,5646327	0,8942338
340	1,0010213	0,4696731	0,2414123	0,3755071	0,9866968	0,0031913	0,4537444	0,6373755	0,6918709	0,9073254	0,2756588	0,2499810	0,6346311	0,6202214	0,4746584	0,9266788
360	0,9413517	0,4093141	0,2144270	0,3950658	0,9382691	0,0082424	0,4802560	0,6474936	0,7140797	0,9293341	0,2733153	0,2188754	0,6455036	0,6192297	0,4242492	0,9328942
380	0,9368451	0,4413192	0,2280075	0,4195086	0,9651270	0,0064313	0,4639283	0,6218380	0,6884886	0,8598078	0,2507146	0,1740849	0,6894337	0,6823553	0,4342496	0,8817791
400	1,0287646	0,4627193	0,2503040	0,4417709	1,0476872	0,0071845	0,4099993	0,6572989	0,6612608	0,9037015	0,3190528	0,1542307	0,6923830	0,7117928	0,4648190	0,9727290
420	0,9764316	0,4621777	0,2377986	0,3991424	1,0507037	0,0037059	0,4692558	0,6391561	0,6726116	0,8947653	0,3210490	0,1548268	0,6775353	0,6530676	0,4848461	0,9785771
440	0,9087981	0,4642985	0,2049574	0,3768785	1,0174147	0,0075014	0,4563169	0,6539935	0,6861046	0,9805405	0,2708854	0,1390424	0,7042276	0,7057301	0,4589123	0,9115623
460	0,9728470	0,4264891	0,2142075	0,3443814	0,9272748	0,0040510	0,4436318	0,6258014	0,6694576	0,8800572	0,2937544	0,1577362	0,6941071	0,6367312	0,4599675	0,9339191
480	0,9999906	0,4392537	0,2508216	0,3869158	0,9763887	0,0057370	0,4569617	0,6531497	0,6835037	0,8420144	0,3083180	0,1837361	0,7038745	0,5841652	0,4351488	0,8877629
500	1,0497372	0,4399339	0,2514542	0,3779483	1,0179718	0,0064390	0,4796214	0,6279098	0,6582837	0,9001958	0,3146036	0,1821941	0,7017628	0,6304414	0,4602485	0,8798912
520	1,0275422	0,4611306	0,2363020	0,3634557	1,0447636	0,0085508	0,4269399	0,5866844	0,6746926	0,8929727	0,3146848	0,1632527	0,7561074	0,6852634	0,4982416	0,8946468
540	1,0167639	0,4731712	0,2443985	0,4174889	1,0832210	0,0076853	0,4259426	0,5847067	0,6444956	0,8955480	0,3194247	0,1881507	0,7868590	0,5542388	0,4644199	0,9503442
560	1,0642595	0,4254620	0,2529783	0,3763608	1,0561036	0,0045795	0,4227489	0,5789618	0,6662556	0,9103907	0,3370928	0,1463012	0,7427311	0,6114218	0,4936545	0,9530298
580	0,9421909	0,4596950	0,4918464	0,5848116	1,0479272	0,0046673	0,4689780	0,7754357	0,6570547	0,9260108	0,3498129	0,1444717	0,6812751	0,4390412	0,4642272	0,9798970
600	0,9765124	0,5228143	0,6376530	0,6481403	0,9921330	0,0063151	0,4899738	0,8446032	0,5423389	0,8221149	0,4314096	0,1308306	0,6119241	0,4463609	0,4280109	1,0696631
620	1,0435019	0,5644954	0,8011156	0,6757728	0,9655423	0,0052057	0,4687290	0,9266690	0,4938431	0,7331412	0,5872972	0,1048613	0,6271799	0,4742284	0,5045233	1,0553442
640	1,0224414	0,6564070	0,8537589	0,5527383	1,0272875	0,0128176	0,4376638	1,0257425	0,3794036	0,6054044	0,6515488	0,0792430	0,6993576	0,5092673	0,5754599	1,0036556
660	0,9552538	0,7065714	0,8329213	0,4758472	0,9842868	0,0249585	0,4568172	1,1020324	0,3089105	0,5177624	0,6718577	0,0919594	0,7406453	0,5927610	0,6127400	1,0076404
680	0,9354281	0,7345957	0,8845119	0,4453130	0,9709406	0,0392921	0,4438080	1,1252545	0,2158070	0,4631521	0,7859354	0,0966970	0,8011962	0,6091700	0,6972016	0,9752482
700	1,0219585	0,7356678	0,9641526	0,3793044	0,9840550	0,0914518	0,4630324	1,0784507	0,1582239	0,3962213	0,8482294	0,1490070	0,8622680	0,5855823	0,7231856	0,9831064
720	1,0365974	0,7499619	0,9614253	0,3035946	0,9068903	0,0931774	0,4648927	1,0154963	0,1136402	0,3838103	0,8921897	0,1194967	0,8884435	0,5821152	0,6600167	0,9664023
740	1,0896311	0,7526915	0,9791265	0,2472386	0,8722920	0,1148942	0,4779715	1,0460841	0,0900698	0,3444935	0,9011370	0,1625288	0,8502504	0,5815726	0,6725763	0,9678108
760	1,0112946	0,7531538	0,9701517	0,2303970	0,9072835	0,1205114	0,4591137	1,0053405	0,0761642	0,3456589	0,8793364	0,2062573	0,8492479	0,5825851	0,7424642	1,0538040
780	0,9817195	0,7463572	1,0160195	0,2025274	0,8601486	0,1264640	0,5033802	1,0004092	0,0683927	0,3540373	0,8943035	0,2896390	0,8238494	0,5902098	0,7391241	1,0645331
800	0,9564526	0,6952163	1,0286810	0,2097312	0,8831075	0,1555621	0,5046827	0,9684468	0,0600656	0,3234131	0,9635304	0,4145873	0,8085839	0,6602203	0,6683638	0,9720256
820	0,9594138	0,6673444	1,0483640	0,1709104	0,9361299	0,1679712	0,5029419	1,0206215	0,0553764	0,3223117	0,9412201	0,4347110	0,8534289	0,6778996	0,6930532	0,9804693
840	1,0707309	0,7055393	1,0089320	0,1509220	0,9683317	0,1606984	0,4561610	1,0423011	0,0541295	0,3254197	0,9515512	0,4785937	0,8487030	0,5656620	0,7415309	1,0020415
860	1,1005937	0,6717931	1,0412904	0,1211816	0,9906782	0,1720689	0,4849307	1,0700818	0,0588526	0,3388031	0,9513845	0,5081567	0,8747301	0,6106959	0,7608801	0,9573803
880	1,0289473	0,6482606	1,0264001	0,1430053	1,0184129	0,1656903	0,4526183	1,0677628	0,0558153	0,3182082	0,9906575	0,6380833	0,9012877	0,5614493	0,6887940	0,9605547
900	1,0050588	0,6779229	1,0443555	0,1394715	1,0140908	0,1577413	0,4329764	1,0028923	0,0601148	0,2952635	0,9715297	0,7504332	0,9635579	0,6031450	0,6442444	0,8657578
920	1,0118346	0,6936877	1,0232412	0,1340684	0,9637308	0,1450791	0,4683056	0,9682794	0,0506528	0,2424621	0,9440098	0,6736721	0,9295582	0,6095267	0,6843771	0,9294088
940	1,0403910	0,6463945	1,0690293	0,1260654	0,9339441	0,1469064	0,4958774	1,0112053	0,0513575	0,2625128	0,9968609	0,6747109	0,9227803	0,5896359	0,7335742	0,9437505
960	1,0030477	0,7073512	0,9944919	0,1282539	0,9617399	0,1483946	0,5208525	1,0292714	0,0554376	0,2786841	1,0096356	0,7383876	0,9483492	0,6456394	0,6985065	1,0034957
980	1,0459967	0,7407662	0,9828603	0,1246625	0,9030988	0,1566808	0,4416482	1,0253054	0,0382170	0,3034970	0,9749209	0,8024260	0,8817793	0,6048057	0,7833946	1,0233330
1000	1,0456904	0,7672959	0,9595802	0,1143402	0,9143714	0,1444532	0,4690482	1,0098575	0,0609288	0,3240380	0,9458015	0,8346741	0,8609099	0,6231579	0,8379788	0,9706077
1020	1,0109298	0,7174512	0,9254194	0,1323368	0,9525518	0,1657099	0,5309197	1,0191341	0,0632749	0,2975400	0,9435854	0,8180245	0,9176344	0,6515174	0,8069381	0,9405723
1040	1,0165867	0,6605306	0,9070328	0,1340319	1,0144076	0,1608955	0,5048529	1,0208974	0,0583518	0,3037577	0,9589431	0,7719744	0,9030438	0,6749052	0,7892204	1,0436388
1060	0,9817479	0,6795655	0,9340599	0,1511225	0,9894641	0,1655328	0,5004784	0,9440685	0,0532150	0,3302935	1,0241704	0,7510912	0,8405239	0,5943778	0,6883735	1,0606645
1080	1,0068837	0,6917097	0,9382169	0,1550066	1,0336505	0,1545975	0,5466332	0,9813511	0,0606788	0,3041320	0,9748781	0,7733903	0,8915886	0,6173868	0,6720905	0,9987236
1100	1,0067464	0,6670229	0,9424905	0,1717262	1,0176006	0,1621854	0,5564367	1,0282115	0,0637503	0,2824641	0,9453984	0,7308145	0,9021016	0,5674125	0,6853564	1,0234133

0	0,9495417	0,7226693	0,9912528	0,1941632	0,9943825	0,1853249	0,4784452	0,9821780	0,0620586	0,3138165	0,9778598	0,5020032	0,9254312	0,6149285	0,7509496	1,0951863
20	0,9550685	0,7018014	0,9223807	0,1609932	1,0374066	0,1547673	0,5019427	1,0659108	0,1586060	0,2925084	0,9603215	0,3924087	0,8545249	0,5116198	0,6974155	0,9597877
40	1,0051744	0,7180086	0,9202782	0,1703310	1,0940262	0,1406070	0,5018386	0,9968270	0,2571829	0,3095960	0,9592919	0,1746079	0,9262164	0,5606017	0,6615965	0,9838049
60	1,0285667	0,6861637	0,8073317	0,1799925	1,1374635	0,1299756	0,4901579	1,0433150	0,3263479	0,3064742	0,9847342	0,0953846	0,9026266	0,6288782	0,6394983	0,9454121
80	1,0355175	0,6679197	0,8121607	0,1923523	1,0384808	0,0996464	0,4601147	1,0114055	0,3560985	0,3188169	0,9933969	0,0676837	0,9123968	0,5726357	0,6807817	0,9302714
100	1,0062637	0,6671233	0,9029984	0,2012716	1,0354559	0,1184724	0,4562492	1,0329131	0,3721707	0,2852499	0,9853611	0,0486606	0,9617756	0,6612228	0,6601976	0,8896961
120	1,0196906	0,7023726	0,8801243	0,2135115	1,0496917	0,1218314	0,4675279	1,0343132	0,4158105	0,3045894	0,9634443	0,0333609	0,9798950	0,4791566	0,6547847	0,9921824
