"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB

0	0,9851113	0,7709064	0,9353354	0,2619588	1,0274794	0,1513846	0,4665870	1,0168457	0,0490436	0,3415107	0,8923247	0,7036610	0,8218056	0,6315514	0,7238413	1,0794851
20	0,9728891	0,7377140	0,9180966	0,1365229	1,0453009	0,1111973	0,5386288	1,0754732	0,0450991	0,3794571	0,9807981	0,6319807	0,9223392	0,6614341	0,6651670	1,0297551
40	1,0427261	0,6674251	0,7396233	0,1130799	1,0689874	0,1456057	0,5061860	1,0136852	0,0596885	0,3689824	0,9881541	0,7334193	0,8603153	0,7498435	0,7255751	1,0770367
60	1,1122206	0,6383147	0,6350655	0,1311470	1,1452025	0,1356484	0,5347962	0,9160735	0,0707808	0,3341924	0,9752345	0,7487309	1,0197734	0,7439459	0,6849781	0,9996288
80	1,0468507	0,6621823	0,5666100	0,1099793	1,1153652	0,1098070	0,4954915	0,8904866	0,0722221	0,3499953	0,9152800	0,8006298	0,9565412	0,7820737	0,6299372	1,0177436
100	1,1275241	0,6781404	0,5276127	0,1362712	1,0761431	0,0868995	0,5177276	0,8462333	0,0874662	0,3864883	0,8699244	0,8588654	0,9844769	0,7589379	0,5961635	1,0151391
120	1,0152188	0,6647092	0,4167379	0,1511810	1,0364685	0,0685272	0,5350542	0,8200262	0,1317881	0,4798416	0,8436949	0,7874484	0,9594778	0,6846674	0,6352121	1,0567459
140	1,0121057	0,7069554	0,3561064	0,1531897	1,0135403	0,0604175	0,4933551	0,8181026	0,1389367	0,4995718	0,7705601	0,7577225	0,9235990	0,7381369	0,6457951	0,9636370
160	0,9850448	0,7015496	0,3137878	0,1760303	1,0057741	0,0338374	0,4968978	0,7842417	0,1771657	0,5986309	0,7238300	0,7067185	0,9588847	0,7253095	0,6787230	0,9255135
180	0,9887713	0,6402719	0,2404388	0,1862935	1,0241261	0,0337638	0,4694058	0,7422051	0,2446152	0,6348991	0,6795490	0,6461020	0,9373807	0,6914363	0,6446100	0,9318081
200	1,1207761	0,6548374	0,2407725	0,2916308	1,0143752	0,0164776	0,4583204	0,7195058	0,3451566	0,6822573	0,6577715	0,6288609	0,9719386	0,6345823	0,6805357	1,0413838
220	1,0827291	0,6346395	0,2287760	0,3046158	0,9994920	0,0150651	0,4199050	0,7278146	0,4314883	0,7804990	0,5606096	0,5811754	0,9633777	0,6554543	0,6421999	0,9518316
240	1,0336691	0,5746176	0,2385040	0,3108217	0,9528327	0,0076360	0,4330927	0,6724473	0,4702899	0,7975027	0,4771308	0,5070465	0,7566608	0,6778423	0,6784639	0,9188909
260	1,0694486	0,5834336	0,1982308	0,3310900	0,9655831	0,0064667	0,3685314	0,6299467	0,5056913	0,8049728	0,3992738	0,4135297	0,6888875	0,7155978	0,7068856	0,8907296
280	1,0339397	0,5693578	0,1971706	0,3261384	0,9473645	0,0051843	0,4041492	0,6106187	0,6046588	0,8570957	0,3261003	0,3822590	0,7677219	0,7585583	0,7127760	0,8860055
300	1,0546939	0,5266470	0,1941564	0,3553320	0,9357258	0,0020047	0,3794380	0,6039598	0,6862181	0,9000391	0,3496079	0,3019661	0,7208067	0,7309266	0,6884632	0,8747514
320	1,0633309	0,4814478	0,2342923	0,3366599	0,9828192	0,0021660	0,4400929	0,5962945	0,7176999	0,9868535	0,3281302	0,2433395	0,6091940	0,7612868	0,6835258	0,8425582
340	1,0847089	0,4596757	0,2375788	0,3599856	0,9680706	0,0053799	0,4178501	0,5917393	0,6989521	1,0140938	0,3231599	0,2028399	0,6305665	0,7256702	0,6110042	0,8714790
