"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB

0	1,0000000	0,6830891	1,0000000	0,1715488	1,0000000	0,1421904	0,4737391	0,9991325	0,0572430	0,3023098	0,9414032	0,6384526	0,9111362	0,6048106	0,7012435	0,9823228
20	1,0000000	0,6830021	0,7014451	0,1275026	1,0000000	0,1397675	0,4737329	0,8495369	0,0579075	0,3041212	0,9397081	0,6496447	0,9178469	0,7223172	0,7015284	0,9820242
40	1,0000000	0,6819647	0,5205081	0,1096394	1,0000000	0,1262916	0,4736242	0,7645412	0,0619644	0,3144522	0,9302077	0,6931680	0,9185712	0,7337281	0,7017223	0,9805058
60	1,0000000	0,6792780	0,4108525	0,1137789	1,0000000	0,1002449	0,4733344	0,7162128	0,0725745	0,3388461	0,9081695	0,7476233	0,9129678	0,7347015	0,7016990	0,9774138
80	1,0000000	0,6741550	0,3443966	0,1360218	1,0000000	0,0707099	0,4727695	0,6886903	0,0937023	0,3812514	0,8700140	0,7854442	0,9013975	0,7343622	0,7012200	0,9726995
100	1,0000000	0,6658183	0,3041215	0,1707180	1,0000000	0,0465039	0,4718373	0,6729664	0,1291208	0,4414609	0,8147737	0,7892130	0,8847319	0,7334064	0,6999333	0,9664913
120	1,0000000	0,6538717	0,2797131	0,2106020	1,0000000	0,0296773	0,4705000	0,6639264	0,1798005	0,5132691	0,7460084	0,7499826	0,8643645	0,7316887	0,6973860	0,9591151
140	1,0000000	0,6386558	0,2649206	0,2491672	1,0000000	0,0188265	0,4688147	0,6586663	0,2421373	0,5870971	0,6711629	0,6718213	0,8420632	0,7290075	0,6930822	0,9510851
160	1,0000000	0,6212444	0,2559556	0,2824746	1,0000000	0,0120648	0,4669153	0,6555369	0,3093399	0,6546983	0,5983955	0,5736649	0,8196430	0,7252458	0,6865899	0,9430130
180	1,0000000	0,6030502	0,2505225	0,3091534	1,0000000	0,0079194	0,4649497	0,6536010	0,3746113	0,7115970	0,5336679	0,4770089	0,7986180	0,7204278	0,6776604	0,9354670
200	1,0000000	0,5853523	0,2472298	0,3294666	1,0000000	0,0053984	0,4630277	0,6523263	0,4332817	0,7567357	0,4798317	0,3947485	0,7799958	0,7147196	0,6663061	0,9288533
220	1,0000000	0,5690293	0,2452343	0,3444053	1,0000000	0,0038713	0,4612074	0,6514109	0,4831440	0,7910909	0,4372357	0,3306123	0,7642531	0,7083852	0,6528077	0,9233702
240	1,0000000	0,5545301	0,2440249	0,3551263	1,0000000	0,0029478	0,4595084	0,6506852	0,5238328	0,8164770	0,4047671	0,2831713	0,7514397	0,7017261	0,6376566	0,9190323
