"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB

0	1,0000000	0,6824549	1,0000000	0,1715493	1,0000000	0,1421279	0,4737072	0,9991218	0,0572415	0,3023198	0,9414026	0,6382793	0,9111324	0,6043422	0,6999406	0,9823226
20	1,0000000	0,6826564	0,9321022	0,1570808	1,0000000	0,1417906	0,4737243	0,9718037	0,0573181	0,3025157	0,9411210	0,6396861	0,9135970	0,6381123	0,7004591	0,9822791
40	1,0000000	0,6826254	0,8008715	0,1349141	1,0000000	0,1377357	0,4737038	0,9176587	0,0582302	0,3048044	0,9380808	0,6515978	0,9165833	0,6749481	0,7008795	0,9818325
60	1,0000000	0,6820174	0,6664392	0,1217999	1,0000000	0,1255224	0,4735908	0,8604659	0,0615949	0,3126981	0,9282377	0,6787759	0,9161823	0,6986789	0,7011835	0,9804972
80	1,0000000	0,6803631	0,5515078	0,1235089	1,0000000	0,1051841	0,4733144	0,8098739	0,0697862	0,3301759	0,9075206	0,7136295	0,9107950	0,7129891	0,7012934	0,9779380
100	1,0000000	0,6770873	0,4614624	0,1401944	1,0000000	0,0816076	0,4727908	0,7687248	0,0858143	0,3604806	0,8727694	0,7430254	0,9001180	0,7213258	0,7010525	0,9739968
120	1,0000000	0,6716035	0,3944628	0,1683575	1,0000000	0,0597355	0,4719449	0,7368286	0,1124907	0,4043846	0,8232308	0,7539434	0,8846982	0,7257999	0,7002149	0,9686970
140	1,0000000	0,6635035	0,3462839	0,2026060	1,0000000	0,0420049	0,4707467	0,7128434	0,1509813	0,4592756	0,7616112	0,7373561	0,8657053	0,7276028	0,6984505	0,9622512
160	1,0000000	0,6527459	0,3124691	0,2376873	1,0000000	0,0287892	0,4692343	0,6951629	0,1998684	0,5201120	0,6934303	0,6924757	0,8446866	0,7273859	0,6953787	0,9550407
180	1,0000000	0,6397127	0,2891625	0,2698502	1,0000000	0,0194635	0,4675012	0,6822975	0,2555739	0,5813959	0,6250208	0,6270423	0,8232589	0,7255240	0,6906326	0,9475474
200	1,0000000	0,6251002	0,2733230	0,2971475	1,0000000	0,0131244	0,4656591	0,6730060	0,3136893	0,6387214	0,5616177	0,5524368	0,8028184	0,7222835	0,6839356	0,9402553
220	1,0000000	0,6097252	0,2626787	0,3190607	1,0000000	0,0089281	0,4638038	0,6663131	0,3702271	0,6893643	0,5064533	0,4786311	0,7843604	0,7179141	0,6751655	0,9335598
240	1,0000000	0,5943503	0,2555908	0,3359424	1,0000000	0,0062035	0,4620004	0,6614803	0,4222907	0,7321604	0,4608001	0,4120286	0,7684346	0,7126810	0,6643859	0,9277166
260	1,0000000	0,5795798	0,2509072	0,3485502	1,0000000	0,0044599	0,4602843	0,6579629	0,4681994	0,7670836	0,4244908	0,3555983	0,7552041	0,7068622	0,6518375	0,9228366
280	1,0000000	0,5658274	0,2478321	0,3577435	1,0000000	0,0033560	0,4586704	0,6553668	0,5073035	0,7947967	0,3965186	0,3098895	0,7445537	0,7007295	0,6378993	0,9189117
300	1,0000000	0,5533301	0,2458243	0,3643224	1,0000000	0,0026627	0,4571623	0,6534118	0,5396918	0,8162939	0,3755185	0,2740706	0,7362029	0,6945275	0,6230317	0,9158549
320	1,0000000	0,5421842	0,2445196	0,3689600	1,0000000	0,0022299	0,4557591	0,6519019	0,5659082	0,8326587	0,3600831	0,2466950	0,7297977	0,6884594	0,6077177	0,9135386
340	1,0000000	0,5323861	0,2436754	0,3721893	1,0000000	0,0019608	0,4544592	0,6507019	0,5867272	0,8449212	0,3489358	0,2261735	0,7249751	0,6826802	0,5924129	0,9118241
360	1,0000000	0,5238674	0,2431311	0,3744152	1,0000000	0,0017938	0,4532610	0,6497201	0,6029961	0,8539869	0,3410036	0,2110238	0,7214004	0,6772965	0,5775098	0,9105801
380	1,0000000	0,5165234	0,2427813	0,3759362	1,0000000	0,0016903	0,4521635	0,6488950	0,6155364	0,8606119	0,3354299	0,1999775	0,7187859	0,6723725	0,5633192	0,9096929
400	1,0000000	0,5102328	0,2425573	0,3769680	1,0000000	0,0016260	0,4511653	0,6481863	0,6250893	0,8654045	0,3315555	0,1920050	0,7168953	0,6679364	0,5500642	0,9090695
420	1,0000000	0,5048708	0,2424141	0,3776633	1,0000000	0,0015859	0,4502643	0,6475675	0,6322926	0,8688409	0,3288876	0,1863005	0,7155417	0,6639898	0,5378854	0,9086370
440	1,0000000	0,5003171	0,2423228	0,3781292	1,0000000	0,0015608	0,4494572	0,6470214	0,6376759	0,8712853	0,3270654	0,1822490	0,7145806	0,6605148	0,5268520	0,9083402
460	1,0000000	0,4964605	0,2422647	0,3784398	1,0000000	0,0015449	0,4487396	0,6465366	0,6416674	0,8730119	0,3258298	0,1793901	0,7139034	0,6574811	0,5169757	0,9081387
480	1,0000000	0,4932012	0,2422278	0,3786460	1,0000000	0,0015348	0,4481061	0,6461051	0,6446065	0,8742237	0,3249974	0,1773844	0,7134293	0,6548513	0,5082250	0,9080029
500	1,0000000	0,4904508	0,2422045	0,3787822	1,0000000	0,0015282	0,4475504	0,6457213	0,6467574	0,8750693	0,3244398	0,1759846	0,7130993	0,6525848	0,5005385	0,9079121
