"Time"	rstA	csgD	ompR	bolA	rcsB	csgE	csgG	csgF	sra	ompF	omrA	ampC	omrB	iraP	adrA	tppB

0	0,7751450	0,5489826	0,6729259	0,1660942	0,7603784	0,1163308	0,3931028	0,7135485	0,0237294	0,2832001	0,6424091	0,5301223	0,5345941	0,4441067	0,4643872	0,7342107
20	0,6687836	0,5439286	0,6663819	0,1119273	0,6753153	0,1326154	0,4020171	0,7538321	0,0488340	0,2725233	0,7102916	0,4288257	0,6396438	0,4548707	0,5682364	0,7339154
40	0,7916509	0,4914618	0,5274099	0,0626474	0,6319006	0,1179695	0,3659884	0,7332084	0,0577421	0,2446614	0,6755302	0,6754816	0,6707591	0,5980801	0,4774521	0,8269244
60	0,8547805	0,4683547	0,4414376	0,0796651	0,8268705	0,1014313	0,3846168	0,6548208	0,1208313	0,2205027	0,7377502	0,5626071	0,7610164	0,5019017	0,4680095	0,6160936
80	0,7033990	0,4987797	0,3967268	0,0734774	0,8316288	0,0527822	0,3348106	0,5871253	0,0344233	0,2285364	0,6361817	0,6030945	0,6098741	0,4991943	0,4860505	0,6783621
100	0,7298142	0,5553044	0,3865278	0,1150063	0,6512983	0,0515806	0,3295454	0,7357654	0,0748875	0,2734698	0,6703111	0,6339144	0,6640953	0,4867614	0,4098756	0,8185048
120	0,7074999	0,4919013	0,2794820	0,1104154	0,7902152	0,0306783	0,3810134	0,7196301	0,0793999	0,3534331	0,6447502	0,5943862	0,7654142	0,4717567	0,4808361	0,8470711
140	0,7508225	0,5429937	0,2746619	0,1363414	0,7749372	0,0477477	0,3783442	0,5992380	0,1195801	0,4065053	0,5476982	0,5213466	0,5779008	0,6009370	0,4818807	0,7289424
160	0,7573015	0,5878345	0,2007107	0,1173874	0,6743980	0,0220602	0,3259306	0,4786491	0,1299477	0,3641660	0,5394107	0,5869281	0,6762890	0,6053872	0,5093143	0,7141689
180	0,6607643	0,4546809	0,1476670	0,1290428	0,6553109	0,0164566	0,3766615	0,4668748	0,1821609	0,4152770	0,4480367	0,3653119	0,7750040	0,4864257	0,4772950	0,5684224
200	0,7446961	0,4216279	0,1442366	0,2346830	0,7345232	0,0066783	0,3624847	0,4895284	0,3539988	0,5591954	0,4094646	0,4117297	0,8755185	0,4525785	0,5392246	0,7605060
