"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA

0	1,0278544	0,6278907	0,7209794	0,9147415	0,0239874	0,0854089	0,4799075	0,0058544	0,4959156	0,3867701	0,0196550	0,6377651	0,6928299	0,8934143	0,9091980	0,1622096
20	1,0154856	0,5699508	0,6676998	0,9312143	0,0235506	0,3439191	0,4081463	0,0071297	0,3661884	0,6591573	0,0112659	0,6585318	0,5340839	0,8151427	0,9853835	0,1773848
40	0,9810377	0,5975829	0,6726874	0,9162011	0,0312163	0,4895599	0,3786916	0,0091886	0,3957184	0,8343605	0,0144760	0,6619810	0,5459834	0,8144594	0,9432065	0,1501938
60	1,0039040	0,5872068	0,7174937	0,9031969	0,0260679	0,5653584	0,3394016	0,0111428	0,3896712	0,8568917	0,0184891	0,6012595	0,4627741	0,8156300	0,9234553	0,1731771
80	0,9781048	0,5714256	0,7675795	0,9210337	0,0211860	0,6234574	0,3604013	0,0111381	0,4173297	0,9061803	0,0254336	0,6534160	0,4993518	0,8238729	0,9472897	0,1570042
100	0,9916417	0,6556796	0,7249130	0,9543926	0,0190365	0,6645488	0,3884111	0,0224091	0,4457845	0,9136538	0,0183036	0,5857191	0,6013187	0,7923279	1,0063762	0,1504648
120	0,8962879	0,6594016	0,6359695	0,9403361	0,0156708	0,6784467	0,3752373	0,0322824	0,4519541	0,9337295	0,0258400	0,5704687	0,6745533	0,8699634	1,0352478	0,1505509
140	1,0100972	0,6264503	0,6080119	0,9214984	0,0108136	0,7183827	0,3794196	0,0281471	0,4685644	0,8857419	0,0286472	0,5870429	0,6518225	0,8371742	1,0273800	0,1597926
160	1,0394847	0,6038388	0,6296967	0,8827398	0,0277901	0,6939695	0,3380814	0,0259554	0,4525963	0,9677887	0,0206035	0,6460456	0,6459832	0,8014927	0,9907676	0,1560778
