"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA

0	0,9952826	0,6492347	0,7434686	0,8462526	0,0305394	0,0891638	0,4700268	0,0069775	0,4426839	0,3798406	0,0265086	0,6857390	0,7390327	0,8228484	0,9597602	0,2029886
20	0,9788624	0,6242553	0,6405830	0,8471379	0,0279603	0,1563720	0,3716508	0,0059994	0,4425107	0,4246971	0,0088547	0,6609342	0,5926245	0,9074338	1,0518835	0,1686879
40	0,9663020	0,6069558	0,6232736	0,8355408	0,0321315	0,2680513	0,4167517	0,0019987	0,4182224	0,5311980	0,0045090	0,6370467	0,5785400	0,9022373	0,9638122	0,1680130
60	0,9505341	0,6053472	0,6624100	0,8251129	0,0329302	0,3596827	0,3829809	0,0038548	0,4100444	0,7090609	0,0097819	0,6540427	0,5170699	0,9127383	0,9565060	0,1561701
80	0,8935498	0,6100333	0,7516984	0,8571500	0,0269412	0,4951271	0,3511273	0,0061125	0,4025399	0,7953583	0,0178090	0,6976357	0,4902398	0,8510480	0,9694719	0,1614203
100	0,9924736	0,6538760	0,7335031	0,9316404	0,0226840	0,6064026	0,3887366	0,0094440	0,3964304	0,7910169	0,0228806	0,6444775	0,5193413	0,7508081	1,0389084	0,1612572
120	1,0135430	0,6834257	0,7632867	0,9600063	0,0249594	0,6336266	0,4255073	0,0152861	0,4497798	0,8384742	0,0287423	0,6156562	0,6328055	0,7744546	1,0917659	0,1508380
140	0,9659850	0,6214701	0,7288152	0,9095991	0,0201712	0,6860056	0,3327795	0,0161982	0,4027292	0,8923133	0,0248687	0,5598475	0,6073948	0,8579314	1,1348788	0,1547554
160	0,9886791	0,6295080	0,6759731	0,9029687	0,0194120	0,7093846	0,3357606	0,0233564	0,4293203	0,9390592	0,0167796	0,6292756	0,6849889	0,7714295	1,1503867	0,1650747
180	0,9783448	0,6542423	0,6455672	0,8964471	0,0185093	0,7170307	0,3356411	0,0214166	0,4871666	0,9551976	0,0139160	0,6659139	0,6885965	0,8247013	1,0655976	0,1755332
200	0,9811503	0,6376183	0,6399187	0,8656961	0,0091959	0,7103383	0,3583232	0,0190331	0,4548136	0,9217281	0,0169451	0,7027821	0,6213884	0,8643987	1,0636825	0,1883694
220	1,0032854	0,6449283	0,6172400	0,8049827	0,0172560	0,7422775	0,3851362	0,0191038	0,4273528	0,9755445	0,0210900	0,6127756	0,5751345	0,8446255	1,0652714	0,1698838
240	1,0192960	0,6127545	0,6478401	0,8048790	0,0182340	0,6960576	0,3744420	0,0295281	0,3961619	0,9564841	0,0300051	0,6736560	0,5347911	0,8214871	1,0027357	0,1409472
260	1,0057005	0,6043382	0,7006898	0,8521647	0,0251154	0,6238541	0,3666509	0,0244181	0,3666668	0,9474553	0,0222693	0,6586488	0,4825578	0,7874250	0,9797689	0,1414267
280	1,0691946	0,5835744	0,6715328	0,8746301	0,0381597	0,6036051	0,3994445	0,0303387	0,3615997	0,9742911	0,0242543	0,7041984	0,5305820	0,7907204	0,9987576	0,1297408
300	1,0059076	0,6001537	0,7428936	0,8924510	0,0285997	0,6228910	0,3663640	0,0326842	0,3725680	0,8873604	0,0118634	0,6799324	0,5473939	0,7801490	1,0322401	0,1129339
320	0,9921684	0,5376554	0,6999674	0,9324435	0,0403913	0,7448588	0,3614408	0,0262702	0,4024241	0,9570555	0,0050121	0,6317205	0,6401779	0,7947840	1,0465305	0,1164574
340	1,0152465	0,6023419	0,6640176	0,9225243	0,0318008	0,7305597	0,3890224	0,0303564	0,4353841	1,0068072	0,0096401	0,6174508	0,6899944	0,7973397	1,0739547	0,1624121
360	0,9607921	0,6157380	0,5898093	0,9499557	0,0230241	0,7763362	0,3993762	0,0240772	0,4145244	0,9514623	0,0227707	0,7134698	0,5406961	0,8175623	1,0145855	0,1456183
380	0,9093594	0,6375083	0,6086489	0,9197044	0,0123393	0,7367935	0,3876325	0,0272317	0,4063955	0,9912353	0,0289320	0,7364088	0,5790749	0,8238837	1,0053333	0,1571124
400	0,9504971	0,6651989	0,6330932	0,9220755	0,0092577	0,7818499	0,3672382	0,0259053	0,4449999	1,0295200	0,0291524	0,6954653	0,5375714	0,8202921	0,9171893	0,1465310
420	1,0139544	0,6712672	0,6196342	0,8922392	0,0065091	0,6938752	0,3799804	0,0229818	0,3932536	1,0304621	0,0300109	0,7179965	0,5595745	0,7752910	0,9206366	0,1647256
440	0,9893588	0,6108025	0,6297742	0,8877359	0,0112262	0,7024394	0,4287518	0,0272135	0,3767361	0,9839704	0,0245231	0,7660675	0,5553099	0,7664836	0,9485350	0,1938361
460	0,9890625	0,5980094	0,6610899	0,9150490	0,0132063	0,7213385	0,3811404	0,0150349	0,3402041	0,9523287	0,0218429	0,7159594	0,5734692	0,7940364	0,9812098	0,1613695
480	0,9323130	0,5964994	0,6156432	0,8973360	0,0128371	0,7524476	0,3871186	0,0188547	0,3278609	0,9632393	0,0200245	0,7687984	0,5657039	0,8681240	0,9732841	0,1735965
500	0,9485246	0,5927432	0,6659118	0,8423846	0,0147162	0,6568506	0,3562610	0,0167019	0,4102129	0,9493939	0,0208593	0,6475759	0,5576793	0,8018576	0,9538984	0,1588095
520	1,0352269	0,5882644	0,6798206	0,8490557	0,0239144	0,6564962	0,3449389	0,0305170	0,3952060	0,9839519	0,0269225	0,6960185	0,5727580	0,8838578	0,9448122	0,1546467
540	1,0102975	0,5681739	0,6507770	0,8487321	0,0250352	0,6693070	0,3309919	0,0278789	0,4535244	1,0115415	0,0262381	0,6308094	0,6296565	0,7571937	1,0197872	0,1622314
560	0,9803978	0,5909376	0,6809194	0,8751004	0,0264075	0,6494285	0,3492909	0,0186953	0,4289259	1,0836283	0,0087218	0,7199210	0,6293885	0,7684416	0,9362808	0,1506407
580	0,9174598	0,5821561	0,6115454	0,8351641	0,0276752	0,6302053	0,3787165	0,0284542	0,4240691	0,9190116	0,0165112	0,6530051	0,6276053	0,7662932	1,0677655	0,1426994
600	0,9703707	0,5954444	0,6113665	0,8936176	0,0463977	0,5218159	0,3743242	0,0191184	0,4509080	0,7408436	0,0264624	0,6110956	0,6200878	0,7875009	1,0331953	0,1798740
620	0,9813609	0,5784815	0,6777273	0,8618669	0,0338500	0,3833869	0,4023366	0,0181374	0,4743982	0,5923131	0,0344466	0,7280054	0,5420837	0,8213954	1,0139605	0,1950327
640	0,9827457	0,5690715	0,6361149	0,8784129	0,0339527	0,2828664	0,3826622	0,0106303	0,4732468	0,5432050	0,0293010	0,7176257	0,4820523	0,8646886	0,9312855	0,2317891
660	0,9870833	0,5926182	0,6285960	0,8833565	0,0308024	0,2385639	0,3938313	0,0078310	0,4665115	0,4368295	0,0268279	0,6812118	0,5277807	0,8368018	0,9913521	0,2273903
680	1,0646977	0,6012974	0,6304551	0,8500348	0,0222256	0,2089945	0,4052839	0,0095819	0,4417699	0,3821113	0,0240267	0,6724830	0,4915711	0,7340711	0,9344216	0,2184833
700	1,0227362	0,5638354	0,6752044	0,8104799	0,0215611	0,1797068	0,4164352	0,0087569	0,4385155	0,3568626	0,0230468	0,6702829	0,5052566	0,8130048	0,9303189	0,1948934
720	0,9583812	0,6081494	0,6495126	0,8394393	0,0315675	0,1357878	0,4362846	0,0109542	0,4250418	0,3831560	0,0151248	0,6707209	0,5690721	0,7973646	0,9267000	0,1767138
740	0,9543525	0,6534116	0,6732912	0,8905439	0,0289405	0,1350564	0,4401854	0,0144423	0,4081510	0,3535045	0,0061898	0,6437444	0,4703869	0,7843985	0,8822521	0,1496761
760	0,9736115	0,6050494	0,6543636	0,8259619	0,0458376	0,1416240	0,4075124	0,0121500	0,4118033	0,3990561	0,0057555	0,6222270	0,5029274	0,7653940	0,9826766	0,1463355
780	0,9273873	0,6065048	0,6660400	0,8675759	0,0356030	0,1169732	0,4270384	0,0113357	0,4347854	0,3784647	0,0070904	0,5982402	0,5193753	0,7668379	0,9925571	0,1450712
800	0,9106094	0,6227465	0,7211591	0,8147155	0,0307681	0,0973119	0,4025155	0,0096820	0,4230042	0,4063022	0,0098642	0,6758524	0,4740948	0,8416275	0,9150938	0,1630856
820	0,9037333	0,5769850	0,7246400	0,7906769	0,0243539	0,0961276	0,4174671	0,0073833	0,4112581	0,4180689	0,0140394	0,5889341	0,5346494	0,8309410	0,8993447	0,1218459
