"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA

0	0,9827484	0,6092280	0,6700277	0,8724777	0,0212108	0,0875140	0,3731965	0,0051747	0,4200959	0,3658530	0,0117581	0,6596712	0,5937642	0,8534952	0,9930908	0,1553088
20	0,9827483	0,6092213	0,6700283	0,8727029	0,0212108	0,3212529	0,3731961	0,0088553	0,4200954	0,7010156	0,0161265	0,6596720	0,5937622	0,8626621	0,9930968	0,1553077
40	0,9827483	0,6092195	0,6700286	0,8728761	0,0212108	0,4598437	0,3731960	0,0113877	0,4200952	0,8560275	0,0186162	0,6596725	0,5937612	0,8682772	0,9931008	0,1553069
60	0,9827483	0,6092202	0,6700288	0,8730093	0,0212108	0,5420184	0,3731959	0,0131300	0,4200952	0,9277203	0,0200353	0,6596726	0,5937607	0,8717167	0,9931035	0,1553064
80	0,9827483	0,6092218	0,6700288	0,8731117	0,0212108	0,5907423	0,3731959	0,0143288	0,4200953	0,9608780	0,0208441	0,6596727	0,5937606	0,8738236	0,9931052	0,1553061
100	0,9827483	0,6092235	0,6700288	0,8731905	0,0212108	0,6196321	0,3731960	0,0151536	0,4200954	0,9762134	0,0213051	0,6596726	0,5937606	0,8751142	0,9931063	0,1553059
120	0,9827484	0,6092250	0,6700288	0,8732511	0,0212108	0,6367618	0,3731960	0,0157211	0,4200955	0,9833060	0,0215679	0,6596726	0,5937607	0,8759047	0,9931071	0,1553057
140	0,9827484	0,6092261	0,6700288	0,8732977	0,0212108	0,6469184	0,3731961	0,0161115	0,4200955	0,9865863	0,0217176	0,6596725	0,5937608	0,8763890	0,9931076	0,1553056
160	0,9827484	0,6092269	0,6700288	0,8733336	0,0212108	0,6529407	0,3731961	0,0163802	0,4200956	0,9881034	0,0218030	0,6596725	0,5937608	0,8766856	0,9931079	0,1553055
180	0,9827484	0,6092273	0,6700288	0,8733612	0,0212108	0,6565114	0,3731962	0,0165650	0,4200956	0,9888051	0,0218516	0,6596725	0,5937609	0,8768673	0,9931081	0,1553055
200	0,9827484	0,6092276	0,6700288	0,8733824	0,0212108	0,6586286	0,3731962	0,0166922	0,4200956	0,9891296	0,0218794	0,6596725	0,5937609	0,8769786	0,9931083	0,1553054
220	0,9827484	0,6092277	0,6700287	0,8733988	0,0212108	0,6598840	0,3731962	0,0167797	0,4200956	0,9892797	0,0218952	0,6596725	0,5937609	0,8770468	0,9931084	0,1553054
240	0,9827484	0,6092277	0,6700287	0,8734113	0,0212108	0,6606283	0,3731962	0,0168399	0,4200956	0,9893491	0,0219042	0,6596725	0,5937609	0,8770885	0,9931084	0,1553054
260	0,9827484	0,6092277	0,6700287	0,8734210	0,0212108	0,6610696	0,3731962	0,0168813	0,4200956	0,9893812	0,0219093	0,6596725	0,5937609	0,8771141	0,9931085	0,1553054
280	0,9827484	0,6092277	0,6700287	0,8734284	0,0212108	0,6613313	0,3731962	0,0169098	0,4200956	0,9893960	0,0219122	0,6596725	0,5937609	0,8771298	0,9931085	0,1553054
300	0,9827484	0,6092277	0,6700287	0,8734342	0,0212108	0,6614865	0,3731962	0,0169294	0,4200956	0,9894029	0,0219139	0,6596725	0,5937609	0,8771394	0,9931085	0,1553054
320	0,9827484	0,6092277	0,6700287	0,8734386	0,0212108	0,6615785	0,3731962	0,0169429	0,4200956	0,9894061	0,0219148	0,6596725	0,5937609	0,8771452	0,9931085	0,1553054
340	0,9827484	0,6092277	0,6700287	0,8734420	0,0212108	0,6616330	0,3731962	0,0169522	0,4200956	0,9894076	0,0219154	0,6596725	0,5937609	0,8771488	0,9931085	0,1553054
360	0,9827484	0,6092276	0,6700287	0,8734446	0,0212108	0,6616654	0,3731962	0,0169586	0,4200956	0,9894082	0,0219157	0,6596725	0,5937609	0,8771510	0,9931085	0,1553054
380	0,9827484	0,6092276	0,6700287	0,8734466	0,0212108	0,6616845	0,3731962	0,0169630	0,4200956	0,9894086	0,0219159	0,6596725	0,5937609	0,8771524	0,9931085	0,1553054
400	0,9827484	0,6092276	0,6700287	0,8734481	0,0212108	0,6616959	0,3731962	0,0169660	0,4200956	0,9894087	0,0219160	0,6596725	0,5937609	0,8771532	0,9931085	0,1553054
420	0,9827484	0,6092276	0,6700287	0,8734493	0,0212108	0,6617027	0,3731962	0,0169681	0,4200956	0,9894088	0,0219160	0,6596725	0,5937609	0,8771537	0,9931085	0,1553054
440	0,9827484	0,6092276	0,6700287	0,8734502	0,0212108	0,6617067	0,3731962	0,0169695	0,4200956	0,9894088	0,0219161	0,6596725	0,5937609	0,8771540	0,9931085	0,1553054
460	0,9827484	0,6092276	0,6700287	0,8734509	0,0212108	0,6617090	0,3731962	0,0169705	0,4200956	0,9894088	0,0219161	0,6596725	0,5937609	0,8771542	0,9931085	0,1553054
480	0,9827484	0,6092276	0,6700287	0,8734515	0,0212108	0,6617104	0,3731962	0,0169711	0,4200956	0,9894088	0,0219161	0,6596725	0,5937609	0,8771543	0,9931085	0,1553054
500	0,9827484	0,6092276	0,6700287	0,8734519	0,0212108	0,6617113	0,3731962	0,0169716	0,4200956	0,9894088	0,0219161	0,6596725	0,5937609	0,8771544	0,9931085	0,1553054
520	0,9827484	0,6092276	0,6700287	0,8734522	0,0212108	0,6617118	0,3731962	0,0169719	0,4200956	0,9894088	0,0219161	0,6596725	0,5937609	0,8771545	0,9931085	0,1553054
540	0,9827484	0,6092276	0,6700287	0,8734524	0,0212108	0,6617121	0,3731962	0,0169722	0,4200956	0,9894088	0,0219161	0,6596725	0,5937609	0,8771545	0,9931085	0,1553054
560	0,9827484	0,6092276	0,6700287	0,8734526	0,0212108	0,6617122	0,3731962	0,0169723	0,4200956	0,9894088	0,0219161	0,6596725	0,5937609	0,8771545	0,9931085	0,1553054
580	0,9827484	0,6092276	0,6700287	0,8734528	0,0212108	0,4279734	0,3731962	0,0132918	0,4200956	0,6542459	0,0175478	0,6596725	0,5937609	0,8679873	0,9931085	0,1553054
600	0,9827484	0,6092276	0,6700287	0,8734529	0,0212108	0,2893826	0,3731962	0,0107595	0,4200956	0,4992338	0,0150580	0,6596725	0,5937609	0,8623721	0,9931085	0,1553054
620	0,9827484	0,6092276	0,6700287	0,8734530	0,0212108	0,2072080	0,3731962	0,0090172	0,4200956	0,4275411	0,0136389	0,6596725	0,5937609	0,8589326	0,9931085	0,1553054
640	0,9827484	0,6092276	0,6700287	0,8734530	0,0212108	0,1584842	0,3731962	0,0078185	0,4200956	0,3943833	0,0128301	0,6596725	0,5937609	0,8568258	0,9931085	0,1553054
660	0,9827484	0,6092276	0,6700287	0,8734531	0,0212108	0,1295943	0,3731962	0,0069937	0,4200956	0,3790479	0,0123691	0,6596725	0,5937609	0,8555354	0,9931085	0,1553054
680	0,9827484	0,6092276	0,6700287	0,8734531	0,0212108	0,1124647	0,3731962	0,0064262	0,4200956	0,3719553	0,0121064	0,6596725	0,5937609	0,8547449	0,9931085	0,1553054
700	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,1023080	0,3731962	0,0060358	0,4200956	0,3686750	0,0119566	0,6596725	0,5937609	0,8542607	0,9931085	0,1553054
720	0,9827484	0,6092276	0,6700287	0,8734532	0,0212108	0,0962858	0,3731962	0,0057672	0,4200956	0,3671579	0,0118713	0,6596725	0,5937609	0,8539642	0,9931085	0,1553054
