"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA

0	0,9827490	0,6092637	0,6700277	0,8708502	0,0212108	0,0875140	0,3731946	0,0051747	0,4200808	0,3658557	0,0117581	0,6596693	0,5937662	0,8534887	0,9930246	0,1553732
20	0,9827487	0,6092520	0,6700279	0,8714493	0,0212108	0,1442221	0,3731954	0,0058648	0,4200853	0,4531156	0,0130903	0,6596708	0,5937635	0,8559384	0,9930530	0,1553499
40	0,9827486	0,6092426	0,6700281	0,8719107	0,0212108	0,2509936	0,3731957	0,0073329	0,4200884	0,5994385	0,0153825	0,6596717	0,5937619	0,8604784	0,9930718	0,1553346
60	0,9827484	0,6092359	0,6700284	0,8722660	0,0212108	0,3572253	0,3731958	0,0090063	0,4200905	0,7277830	0,0174479	0,6596722	0,5937611	0,8649240	0,9930843	0,1553246
80	0,9827484	0,6092315	0,6700285	0,8725396	0,0212108	0,4454012	0,3731958	0,0106008	0,4200920	0,8218790	0,0190009	0,6596725	0,5937607	0,8685588	0,9930925	0,1553180
100	0,9827484	0,6092289	0,6700287	0,8727501	0,0212108	0,5124639	0,3731959	0,0119937	0,4200930	0,8852867	0,0200721	0,6596726	0,5937606	0,8712847	0,9930980	0,1553137
120	0,9827484	0,6092276	0,6700287	0,8729122	0,0212108	0,5609007	0,3731960	0,0131496	0,4200938	0,9259999	0,0207748	0,6596726	0,5937607	0,8732278	0,9931016	0,1553109
140	0,9827484	0,6092270	0,6700288	0,8730369	0,0212108	0,5947100	0,3731960	0,0140770	0,4200943	0,9513494	0,0212209	0,6596726	0,5937607	0,8745679	0,9931039	0,1553090
160	0,9827484	0,6092269	0,6700288	0,8731329	0,0212108	0,6177431	0,3731961	0,0148031	0,4200947	0,9668064	0,0214977	0,6596725	0,5937608	0,8754708	0,9931055	0,1553077
180	0,9827484	0,6092269	0,6700288	0,8732067	0,0212108	0,6331527	0,3731961	0,0153616	0,4200950	0,9760925	0,0216667	0,6596725	0,5937608	0,8760688	0,9931065	0,1553069
200	0,9827484	0,6092271	0,6700288	0,8732636	0,0212108	0,6433180	0,3731961	0,0157851	0,4200952	0,9816110	0,0217685	0,6596725	0,5937609	0,8764597	0,9931072	0,1553064
220	0,9827484	0,6092273	0,6700288	0,8733073	0,0212108	0,6499488	0,3731961	0,0161028	0,4200953	0,9848639	0,0218293	0,6596725	0,5937609	0,8767126	0,9931077	0,1553061
240	0,9827484	0,6092274	0,6700288	0,8733409	0,0212108	0,6542345	0,3731962	0,0163389	0,4200954	0,9867695	0,0218653	0,6596725	0,5937609	0,8768749	0,9931080	0,1553058
