"Time"	hipB	hipA	ihfB	yeiL	tdcA	tdcD	tdcG	tdcE	tdcB	tdcF	tdcC	hemF	ibpB	htrE	ecpD	amiA

0	0,6961083	0,5829663	0,5612917	0,6436331	0,0261369	0,0627617	0,2951376	0,0035063	0,3126972	0,2829515	0,0165538	0,4730328	0,5211857	0,5688205	0,6980339	0,1183457
20	0,5889300	0,4521892	0,4691325	0,6453291	0,0193208	0,1353460	0,2301968	0,0180433	0,3272378	0,2962689	0,0075910	0,4439620	0,4520868	0,6378816	0,8167547	0,1147912
40	0,6190637	0,4442985	0,4214191	0,6145859	0,0186079	0,1563835	0,2808011	0,0011955	0,3382851	0,4941273	0,0057482	0,4695121	0,4640458	0,6087365	0,6551317	0,1025568
60	0,6951262	0,4809746	0,5415036	0,5809247	0,0212229	0,3013936	0,2461628	0,0073234	0,3312122	0,5214608	0,0120205	0,4514702	0,4137595	0,7090063	0,6138759	0,1333159
80	0,6686185	0,4925401	0,5374477	0,5944704	0,0273444	0,3928283	0,2337190	0,0024822	0,3352827	0,6891390	0,0103222	0,5243201	0,3295600	0,5357839	0,7457760	0,1316796
100	0,6519564	0,4472278	0,4814758	0,7794647	0,0148998	0,4682026	0,2389500	0,0065106	0,2470620	0,6242617	0,0111452	0,4018030	0,3270131	0,4641065	0,7688059	0,0885596
120	0,7121031	0,4607174	0,6042749	0,6502156	0,0323810	0,4614102	0,3145108	0,0111655	0,3248598	0,6463528	0,0181874	0,4803154	0,5924687	0,5698618	0,8019012	0,0700960
140	0,7551933	0,4534331	0,4523199	0,5500263	0,0103657	0,5269455	0,2113561	0,0184941	0,3235135	0,6969664	0,0227317	0,3565394	0,3954923	0,6593868	0,8192767	0,0975077
160	0,7482394	0,5413159	0,5139479	0,6929414	0,0091294	0,5001437	0,2741538	0,0161864	0,2493676	0,5041827	0,0090437	0,4167835	0,4506620	0,6358354	0,7135215	0,1434731
180	0,5851098	0,5786589	0,4725576	0,6307577	0,0190193	0,4912575	0,2647068	0,0230039	0,4153286	0,6741561	0,0187409	0,4355841	0,4822084	0,6152110	0,8045318	0,1372841
200	0,6582734	0,3934332	0,4491640	0,5578377	0,0112892	0,4972634	0,2374777	0,0094163	0,4221384	0,6170001	0,0098861	0,4594668	0,4797368	0,7110358	0,8786219	0,1566462
220	0,7720030	0,4026306	0,4926621	0,6112987	0,0087199	0,5783844	0,3679123	0,0086244	0,2535858	0,6460063	0,0274554	0,3950652	0,4707813	0,5703287	0,7246361	0,1689793
240	0,8065243	0,4785289	0,3823377	0,5323625	0,0201031	0,4939002	0,3868649	0,0225395	0,3563368	0,7707989	0,0114671	0,5032172	0,4143698	0,6289478	0,9659157	0,1319771
260	0,7139620	0,4946890	0,4372734	0,6597466	0,0141690	0,4807501	0,2706263	0,0160384	0,2316221	0,6343071	0,0124562	0,6060098	0,3711003	0,4644967	0,7042331	0,1360393
280	0,7252065	0,4005438	0,5676478	0,5973455	0,0412006	0,4394882	0,2927878	0,0110515	0,2766186	0,7248860	0,0258089	0,5941593	0,4422376	0,5543173	0,7154305	0,0951305
