isTs	is1stLast	prevCol	del.t	condName
True	f	NA	NA	"""0"""
True	m	"""0"""	20.0	"""1"""
True	m	"""1"""	20.0	"""2"""
True	m	"""2"""	20.0	"""3"""
True	m	"""3"""	20.0	"""4"""
True	m	"""4"""	20.0	"""5"""
True	m	"""5"""	20.0	"""6"""
True	m	"""6"""	20.0	"""7"""
True	m	"""7"""	20.0	"""8"""
True	m	"""8"""	20.0	"""9"""
True	m	"""9"""	20.0	"""10"""
True	m	"""10"""	20.0	"""11"""
True	m	"""11"""	20.0	"""12"""
True	m	"""12"""	20.0	"""13"""
True	m	"""13"""	20.0	"""14"""
True	m	"""14"""	20.0	"""15"""
True	m	"""15"""	20.0	"""16"""
True	m	"""16"""	20.0	"""17"""
True	m	"""17"""	20.0	"""18"""
True	m	"""18"""	20.0	"""19"""
True	m	"""19"""	20.0	"""20"""
True	m	"""20"""	20.0	"""21"""
True	m	"""21"""	20.0	"""22"""
True	m	"""22"""	20.0	"""23"""
True	m	"""23"""	20.0	"""24"""
True	m	"""24"""	20.0	"""25"""
True	m	"""25"""	20.0	"""26"""
True	m	"""26"""	20.0	"""27"""
True	m	"""27"""	20.0	"""28"""
True	m	"""28"""	20.0	"""29"""
True	m	"""29"""	20.0	"""30"""
True	m	"""30"""	20.0	"""31"""
True	m	"""31"""	20.0	"""32"""
True	m	"""32"""	20.0	"""33"""
True	m	"""33"""	20.0	"""34"""
True	m	"""34"""	20.0	"""35"""
True	m	"""35"""	20.0	"""36"""
True	m	"""36"""	20.0	"""37"""
True	m	"""37"""	20.0	"""38"""
True	m	"""38"""	20.0	"""39"""
True	m	"""39"""	20.0	"""40"""
True	m	"""40"""	20.0	"""41"""
True	m	"""41"""	20.0	"""42"""
True	m	"""42"""	20.0	"""43"""
True	m	"""43"""	20.0	"""44"""
True	m	"""44"""	20.0	"""45"""
True	m	"""45"""	20.0	"""46"""
True	m	"""46"""	20.0	"""47"""
True	m	"""47"""	20.0	"""48"""
True	m	"""48"""	20.0	"""49"""
True	m	"""49"""	20.0	"""50"""
True	m	"""50"""	20.0	"""51"""
True	m	"""51"""	20.0	"""52"""
True	m	"""52"""	20.0	"""53"""
True	m	"""53"""	20.0	"""54"""
True	l	"""54"""	20.0	"""55"""
True	f	NA	NA	"""56"""
True	m	"""56"""	20.0	"""57"""
True	m	"""57"""	20.0	"""58"""
True	m	"""58"""	20.0	"""59"""
True	m	"""59"""	20.0	"""60"""
True	m	"""60"""	20.0	"""61"""
True	m	"""61"""	20.0	"""62"""
True	m	"""62"""	20.0	"""63"""
True	m	"""63"""	20.0	"""64"""
True	m	"""64"""	20.0	"""65"""
True	m	"""65"""	20.0	"""66"""
True	m	"""66"""	20.0	"""67"""
True	m	"""67"""	20.0	"""68"""
True	m	"""68"""	20.0	"""69"""
True	m	"""69"""	20.0	"""70"""
True	m	"""70"""	20.0	"""71"""
True	m	"""71"""	20.0	"""72"""
True	m	"""72"""	20.0	"""73"""
True	m	"""73"""	20.0	"""74"""
True	m	"""74"""	20.0	"""75"""
True	m	"""75"""	20.0	"""76"""
True	m	"""76"""	20.0	"""77"""
True	m	"""77"""	20.0	"""78"""
True	m	"""78"""	20.0	"""79"""
True	m	"""79"""	20.0	"""80"""
True	m	"""80"""	20.0	"""81"""
True	m	"""81"""	20.0	"""82"""
True	m	"""82"""	20.0	"""83"""
True	m	"""83"""	20.0	"""84"""
True	m	"""84"""	20.0	"""85"""
True	m	"""85"""	20.0	"""86"""
True	m	"""86"""	20.0	"""87"""
True	m	"""87"""	20.0	"""88"""
True	m	"""88"""	20.0	"""89"""
True	m	"""89"""	20.0	"""90"""
True	m	"""90"""	20.0	"""91"""
True	m	"""91"""	20.0	"""92"""
True	m	"""92"""	20.0	"""93"""
True	m	"""93"""	20.0	"""94"""
True	m	"""94"""	20.0	"""95"""
True	m	"""95"""	20.0	"""96"""
True	m	"""96"""	20.0	"""97"""
True	m	"""97"""	20.0	"""98"""
True	m	"""98"""	20.0	"""99"""
True	m	"""99"""	20.0	"""100"""
True	m	"""100"""	20.0	"""101"""
True	m	"""101"""	20.0	"""102"""
True	m	"""102"""	20.0	"""103"""
True	m	"""103"""	20.0	"""104"""
True	m	"""104"""	20.0	"""105"""
True	m	"""105"""	20.0	"""106"""
True	m	"""106"""	20.0	"""107"""
True	m	"""107"""	20.0	"""108"""
True	m	"""108"""	20.0	"""109"""
True	m	"""109"""	20.0	"""110"""
True	l	"""110"""	20.0	"""111"""
True	f	NA	NA	"""112"""
True	m	"""112"""	20.0	"""113"""
True	m	"""113"""	20.0	"""114"""
True	m	"""114"""	20.0	"""115"""
True	m	"""115"""	20.0	"""116"""
True	m	"""116"""	20.0	"""117"""
True	m	"""117"""	20.0	"""118"""
True	m	"""118"""	20.0	"""119"""
True	m	"""119"""	20.0	"""120"""
True	m	"""120"""	20.0	"""121"""
True	m	"""121"""	20.0	"""122"""
True	m	"""122"""	20.0	"""123"""
True	m	"""123"""	20.0	"""124"""
True	m	"""124"""	20.0	"""125"""
True	m	"""125"""	20.0	"""126"""
True	m	"""126"""	20.0	"""127"""
True	m	"""127"""	20.0	"""128"""
True	m	"""128"""	20.0	"""129"""
True	m	"""129"""	20.0	"""130"""
True	m	"""130"""	20.0	"""131"""
True	m	"""131"""	20.0	"""132"""
True	m	"""132"""	20.0	"""133"""
True	m	"""133"""	20.0	"""134"""
True	m	"""134"""	20.0	"""135"""
True	m	"""135"""	20.0	"""136"""
True	m	"""136"""	20.0	"""137"""
True	m	"""137"""	20.0	"""138"""
True	m	"""138"""	20.0	"""139"""
True	m	"""139"""	20.0	"""140"""
True	m	"""140"""	20.0	"""141"""
True	m	"""141"""	20.0	"""142"""
True	m	"""142"""	20.0	"""143"""
True	m	"""143"""	20.0	"""144"""
True	m	"""144"""	20.0	"""145"""
True	m	"""145"""	20.0	"""146"""
True	m	"""146"""	20.0	"""147"""
True	m	"""147"""	20.0	"""148"""
True	m	"""148"""	20.0	"""149"""
True	m	"""149"""	20.0	"""150"""
True	m	"""150"""	20.0	"""151"""
True	m	"""151"""	20.0	"""152"""
True	m	"""152"""	20.0	"""153"""
True	m	"""153"""	20.0	"""154"""
True	m	"""154"""	20.0	"""155"""
True	m	"""155"""	20.0	"""156"""
True	m	"""156"""	20.0	"""157"""
True	m	"""157"""	20.0	"""158"""
True	m	"""158"""	20.0	"""159"""
True	m	"""159"""	20.0	"""160"""
True	m	"""160"""	20.0	"""161"""
True	m	"""161"""	20.0	"""162"""
True	m	"""162"""	20.0	"""163"""
True	m	"""163"""	20.0	"""164"""
True	m	"""164"""	20.0	"""165"""
True	m	"""165"""	20.0	"""166"""
True	l	"""166"""	20.0	"""167"""
True	f	NA	NA	"""168"""
True	m	"""168"""	20.0	"""169"""
True	m	"""169"""	20.0	"""170"""
True	m	"""170"""	20.0	"""171"""
True	m	"""171"""	20.0	"""172"""
True	m	"""172"""	20.0	"""173"""
True	m	"""173"""	20.0	"""174"""
True	m	"""174"""	20.0	"""175"""
True	m	"""175"""	20.0	"""176"""
True	m	"""176"""	20.0	"""177"""
True	m	"""177"""	20.0	"""178"""
True	m	"""178"""	20.0	"""179"""
True	m	"""179"""	20.0	"""180"""
True	m	"""180"""	20.0	"""181"""
True	m	"""181"""	20.0	"""182"""
True	m	"""182"""	20.0	"""183"""
True	m	"""183"""	20.0	"""184"""
True	m	"""184"""	20.0	"""185"""
True	m	"""185"""	20.0	"""186"""
True	m	"""186"""	20.0	"""187"""
