"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA

0	0,8278361	0,8435341	0,6175816	0,0547483	0,0275584	1,0430477	0,0942697	0,9319880	0,0999668	0,0670418	0,0589161	0,0139284	0,1704736	1,0555162	0,0015955	1,0000903
20	0,6160541	0,7605175	0,6744999	0,0327598	0,0402143	0,6688212	0,3142481	0,6119991	0,0617562	0,0441326	0,0551422	0,2671050	0,1633866	1,0393198	0,0104121	0,8752228
40	0,5475081	0,6989260	0,6963399	0,0261877	0,0446338	0,4369424	0,4820479	0,4372921	0,0828597	0,0348674	0,0607868	0,3742656	0,1965810	0,9831720	0,0100904	0,9160039
60	0,5710243	0,6954946	0,6983108	0,0310180	0,0418032	0,2943569	0,6140821	0,3397892	0,0798234	0,0302299	0,0568960	0,4531327	0,1733507	1,0531682	0,0122103	0,9237283
80	0,5577044	0,6818294	0,6589742	0,0472068	0,0424014	0,2067662	0,6998069	0,2826223	0,0943983	0,0469986	0,0592100	0,4835195	0,1617402	1,1370352	0,0092862	0,9088493
100	0,5530609	0,6947083	0,6436307	0,0649914	0,0479962	0,1477217	0,7602111	0,2503799	0,0942445	0,0547578	0,0820953	0,4762665	0,1614384	1,0469793	0,0059427	0,9336823
120	0,5156196	0,6192906	0,6532095	0,0549694	0,0453679	0,1287322	0,7443128	0,2297301	0,0718510	0,0627025	0,0701651	0,5390803	0,1564092	1,0597593	0,0091984	0,9431741
140	0,5346792	0,6311691	0,6616077	0,0601023	0,0522211	0,0884991	0,8062912	0,2296036	0,0509949	0,0560457	0,0646836	0,5143082	0,1653258	1,0261252	0,0114180	0,8599955
160	0,6182586	0,6369864	0,6654446	0,0449621	0,0622305	0,0643853	0,8429244	0,2511040	0,0773722	0,0435673	0,0559535	0,5704662	0,1662103	1,0264479	0,0073153	0,8670970
180	0,5627125	0,6473273	0,6710248	0,0551094	0,0490462	0,0467648	0,8713145	0,2348091	0,0598802	0,0406711	0,0664187	0,5455145	0,1642118	1,0262454	0,0063150	0,8479992
200	0,5816813	0,6872051	0,6288425	0,0360354	0,0409038	0,0241092	0,8868200	0,1903661	0,0684082	0,0411419	0,0812432	0,5358347	0,1713112	1,0074763	0,0075947	0,8214200
220	0,5314321	0,6411609	0,6370699	0,0385786	0,0234694	0,0250626	0,8301980	0,1916197	0,0694408	0,0552743	0,0890956	0,5352080	0,1649339	0,9486676	0,0051050	0,8598249
240	0,5821287	0,6410960	0,6447310	0,0449711	0,0367120	0,0217774	0,8842521	0,2102699	0,0651984	0,0599083	0,0848971	0,5457306	0,1435569	0,9492410	0,0021434	0,8499373
260	0,5985267	0,7122239	0,6825697	0,0490060	0,0296090	0,0227380	0,8162666	0,2068603	0,0665358	0,0576993	0,0847131	0,5461389	0,1368896	0,9239238	0,0035380	0,8528858
280	0,6226369	0,7013726	0,6815679	0,0478960	0,0232350	0,0250924	0,8505220	0,2191925	0,1006289	0,0466683	0,0896795	0,5481857	0,1550944	1,0036340	0,0068791	0,8113643
300	0,6377528	0,6933242	0,6053519	0,0449331	0,0312918	0,0245747	0,8060111	0,2334470	0,0768792	0,0514479	0,0847843	0,5980604	0,1548392	0,9982155	0,0099730	0,8341903
320	0,6449915	0,6899712	0,6525553	0,0480505	0,0433306	0,0197932	0,8304042	0,1911317	0,0733220	0,0555585	0,0951815	0,5497228	0,1255533	1,0038545	0,0170372	0,8210818
340	0,5849944	0,6493979	0,6140681	0,0431226	0,0534927	0,0133769	0,8991167	0,2107489	0,0786695	0,0563169	0,0811389	0,5387505	0,1226830	1,0150892	0,0126230	0,8052391
360	0,6123830	0,6566975	0,6079509	0,0457038	0,0602599	0,0113004	0,8888679	0,2071513	0,0733845	0,0463471	0,0794159	0,5206584	0,1496701	0,9762427	0,0093940	0,8395451
