"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA

0	0,7481054	0,8350477	0,7072648	0,0351994	0,0305130	1,0165021	0,1092707	0,9689308	0,0795370	0,0790270	0,0521901	0,0206896	0,1570893	1,0221352	0,0023986	0,9739668
20	0,8055050	0,8295580	0,6247784	0,0644228	0,0423506	0,9941903	0,1389309	0,8366541	0,0878315	0,0419285	0,0646016	0,0458808	0,1732681	1,0347986	0,0176648	0,9508904
40	0,7401014	0,8178846	0,5982514	0,0455710	0,0494230	0,9152302	0,3051965	0,6084918	0,0625804	0,0398996	0,0637319	0,1517196	0,2031788	1,0430666	0,0140642	0,8712647
60	0,6729741	0,7798796	0,6914832	0,0424500	0,0394956	0,7592341	0,4652107	0,5207933	0,0507883	0,0257018	0,0576516	0,2210790	0,2118474	1,0562908	0,0069776	0,8541544
80	0,6319841	0,7859546	0,6684110	0,0394779	0,0433291	0,5379282	0,6099283	0,3945646	0,0589487	0,0380126	0,0512802	0,3174876	0,1879355	1,0989711	0,0067501	0,9081189
100	0,6349180	0,8007099	0,6228903	0,0506206	0,0465095	0,4121594	0,6174620	0,3526540	0,0769577	0,0354010	0,0455138	0,3161390	0,1771399	1,0897590	0,0108618	0,8654709
120	0,6055259	0,7687682	0,6246878	0,0366950	0,0475582	0,2902503	0,6893015	0,2758460	0,0765781	0,0512811	0,0547865	0,4086482	0,1711410	1,0724737	0,0031008	0,8606604
140	0,6160897	0,7101159	0,6005281	0,0524072	0,0418989	0,2404193	0,7720600	0,2697440	0,0629009	0,0596362	0,0633546	0,4663208	0,1544389	1,0770847	0,0097889	0,8521658
160	0,6612009	0,6585399	0,6001883	0,0521836	0,0549298	0,1781262	0,8187827	0,2999358	0,0578875	0,0678776	0,0574688	0,4991464	0,1536937	0,9959409	0,0104621	0,8025605
180	0,6067494	0,6809020	0,6504021	0,0315772	0,0541018	0,1301807	0,8818645	0,2425593	0,0520220	0,0511957	0,0579143	0,5068968	0,1730839	1,0302805	0,0156596	0,7864826
200	0,5917517	0,7045585	0,6715865	0,0462550	0,0521997	0,1043927	0,8770455	0,2229476	0,0589087	0,0407272	0,0798498	0,5167785	0,1475357	1,0339624	0,0096445	0,7791531
220	0,5826008	0,6748860	0,6220808	0,0424713	0,0481420	0,0696909	0,8550950	0,2248079	0,0421268	0,0523207	0,0810218	0,5263269	0,1442734	1,0394283	0,0017787	0,8260438
240	0,5526647	0,6275733	0,6275963	0,0521152	0,0326542	0,0610346	0,8894768	0,2204869	0,0481072	0,0496000	0,0687816	0,5481555	0,1628889	1,0045710	0,0032823	0,8223935
260	0,5400806	0,6765734	0,6497818	0,0512042	0,0396033	0,0516089	0,8857784	0,2091096	0,0559849	0,0613955	0,0767608	0,5782134	0,1557802	1,0121767	0,0042233	0,8330649
280	0,5476062	0,7073634	0,6777326	0,0487213	0,0486737	0,0464654	0,8459922	0,2119433	0,0735187	0,0404905	0,0884835	0,5918051	0,1471697	0,9831001	0,0031609	0,8280673
300	0,5585486	0,6529378	0,6572999	0,0468695	0,0311287	0,0293960	0,8533475	0,2092928	0,0666710	0,0436597	0,0873268	0,5742252	0,1291526	1,0094725	0,0163819	0,8177610
320	0,5569788	0,7074220	0,6425797	0,0479011	0,0344255	0,0387853	0,8388665	0,2388567	0,0710774	0,0443744	0,0810914	0,6080209	0,1338743	1,0008588	0,0152762	0,7985718
340	0,6101638	0,7160735	0,6316876	0,0591640	0,0431955	0,0258239	0,8494169	0,2035450	0,0714787	0,0579523	0,0832758	0,6337150	0,1457085	1,0097444	0,0099195	0,7982162
360	0,5599331	0,7441985	0,6202688	0,0653687	0,0473490	0,0255836	0,9239398	0,1583850	0,0672699	0,0657918	0,0747071	0,5985440	0,1331698	1,0317730	0,0051810	0,8488285
380	0,6064616	0,7076974	0,6221216	0,0758128	0,0524850	0,0197742	0,9206046	0,1710789	0,0561990	0,0416607	0,0688993	0,5421201	0,1615326	0,9853638	0,0097304	0,7866861
400	0,5798198	0,6469912	0,6403187	0,0598636	0,0451048	0,0123216	0,9347329	0,1832284	0,0642971	0,0394101	0,0626782	0,4854930	0,1472923	1,0090941	0,0087879	0,7938008
