"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA

0	0,7748684	0,8599822	0,6325081	0,0425865	0,0423307	0,9895617	0,0809544	0,9824067	0,0775965	0,0507336	0,0717261	0,0246914	0,1471955	0,9992651	0,0070107	0,9998717
20	0,6823622	0,7787230	0,6325115	0,0425865	0,0423309	0,6492894	0,3278431	0,6552214	0,0775965	0,0507339	0,0717262	0,2528733	0,1472354	0,9992648	0,0070115	0,9378338
40	0,6291483	0,7247831	0,6325148	0,0425865	0,0423310	0,4289622	0,4965535	0,4678073	0,0775966	0,0507341	0,0717262	0,3774093	0,1472634	0,9992645	0,0070121	0,8990637
60	0,6025099	0,6911811	0,6325169	0,0425865	0,0423311	0,2862998	0,6118411	0,3604552	0,0775966	0,0507342	0,0717262	0,4453780	0,1472830	0,9992644	0,0070126	0,8748345
80	0,5919981	0,6711673	0,6325181	0,0425865	0,0423311	0,1939255	0,6906225	0,2989630	0,0775966	0,0507343	0,0717262	0,4824737	0,1472969	0,9992642	0,0070129	0,8596927
100	0,5901844	0,6596289	0,6325185	0,0425865	0,0423312	0,1341129	0,7444574	0,2637399	0,0775966	0,0507344	0,0717262	0,5027196	0,1473066	0,9992641	0,0070131	0,8502298
120	0,5923844	0,6531596	0,6325186	0,0425865	0,0423312	0,0953840	0,7812453	0,2435638	0,0775966	0,0507345	0,0717262	0,5137694	0,1473135	0,9992641	0,0070132	0,8443161
140	0,5959441	0,6496379	0,6325186	0,0425865	0,0423312	0,0703070	0,8063842	0,2320068	0,0775966	0,0507345	0,0717262	0,5198001	0,1473183	0,9992640	0,0070134	0,8406204
160	0,5995236	0,6477887	0,6325185	0,0425866	0,0423312	0,0540696	0,8235628	0,2253868	0,0775966	0,0507345	0,0717262	0,5230915	0,1473217	0,9992640	0,0070134	0,8383107
180	0,6025541	0,6468623	0,6325185	0,0425866	0,0423313	0,0435558	0,8353017	0,2215949	0,0775966	0,0507346	0,0717262	0,5248878	0,1473241	0,9992640	0,0070135	0,8368673
200	0,6048803	0,6464269	0,6325184	0,0425866	0,0423313	0,0367481	0,8433234	0,2194228	0,0775966	0,0507346	0,0717262	0,5258683	0,1473258	0,9992640	0,0070135	0,8359653
220	0,6065455	0,6462402	0,6325184	0,0425866	0,0423313	0,0323401	0,8488050	0,2181786	0,0775966	0,0507346	0,0717262	0,5264034	0,1473270	0,9992640	0,0070136	0,8354016
240	0,6076705	0,6461709	0,6325184	0,0425866	0,0423313	0,0294859	0,8525509	0,2174660	0,0775966	0,0507346	0,0717262	0,5266954	0,1473279	0,9992639	0,0070136	0,8350493
260	0,6083903	0,6461514	0,6325184	0,0425866	0,0423313	0,0276378	0,8551106	0,2170577	0,0775966	0,0507346	0,0717262	0,5268548	0,1473285	0,9992639	0,0070136	0,8348291
280	0,6088255	0,6461491	0,6325184	0,0425866	0,0423313	0,0264412	0,8568598	0,2168239	0,0775966	0,0507346	0,0717262	0,5269418	0,1473289	0,9992639	0,0070136	0,8346915
300	0,6090717	0,6461504	0,6325184	0,0425866	0,0423313	0,0256664	0,8580551	0,2166900	0,0775966	0,0507346	0,0717262	0,5269893	0,1473292	0,9992639	0,0070136	0,8346055
320	0,6091993	0,6461505	0,6325184	0,0425866	0,0423313	0,0251647	0,8588718	0,2166132	0,0775966	0,0507346	0,0717262	0,5270152	0,1473294	0,9992639	0,0070136	0,8345518
340	0,6092566	0,6461486	0,6325184	0,0425866	0,0423313	0,0248398	0,8594300	0,2165693	0,0775966	0,0507346	0,0717262	0,5270293	0,1473296	0,9992639	0,0070136	0,8345182
360	0,6092754	0,6461455	0,6325184	0,0425866	0,0423313	0,0246295	0,8598114	0,2165441	0,0775966	0,0507346	0,0717262	0,5270370	0,1473297	0,9992639	0,0070136	0,8344972
380	0,6092751	0,6461420	0,6325184	0,0425866	0,0423313	0,0244933	0,8600720	0,2165297	0,0775966	0,0507346	0,0717262	0,5270413	0,1473298	0,9992639	0,0070136	0,8344841
400	0,6092670	0,6461389	0,6325184	0,0425866	0,0423313	0,0244051	0,8602502	0,2165214	0,0775966	0,0507346	0,0717262	0,5270436	0,1473298	0,9992639	0,0070136	0,8344759
420	0,6092570	0,6461363	0,6325184	0,0425866	0,0423313	0,0243480	0,8603719	0,2165167	0,0775966	0,0507346	0,0717262	0,5270448	0,1473298	0,9992639	0,0070136	0,8344708
440	0,6092479	0,6461346	0,6325184	0,0425866	0,0423313	0,0243110	0,8604550	0,2165140	0,0775966	0,0507346	0,0717262	0,5270455	0,1473299	0,9992639	0,0070136	0,8344676
460	0,6092407	0,6461335	0,6325184	0,0425866	0,0423313	0,0242870	0,8605119	0,2165124	0,0775966	0,0507346	0,0717262	0,5270459	0,1473299	0,9992639	0,0070136	0,8344656
480	0,6092355	0,6461330	0,6325184	0,0425866	0,0423313	0,0242715	0,8605507	0,2165115	0,0775966	0,0507346	0,0717262	0,5270461	0,1473299	0,9992639	0,0070136	0,8344643
500	0,6092320	0,6461330	0,6325184	0,0425866	0,0423313	0,0242615	0,8605772	0,2165110	0,0775966	0,0507346	0,0717262	0,5270462	0,1473299	0,9992639	0,0070136	0,8344635
520	0,6092298	0,6461332	0,6325184	0,0425866	0,0423313	0,0242550	0,8605954	0,2165107	0,0775966	0,0507346	0,0717262	0,5270463	0,1473299	0,9992639	0,0070136	0,8344631
540	0,6092286	0,6461335	0,6325184	0,0425866	0,0423313	0,0242508	0,8606078	0,2165106	0,0775966	0,0507346	0,0717262	0,5270463	0,1473299	0,9992639	0,0070136	0,8344628
560	0,6092279	0,6461339	0,6325184	0,0425866	0,0423313	0,0242481	0,8606162	0,2165105	0,0775966	0,0507346	0,0717262	0,5270463	0,1473299	0,9992639	0,0070136	0,8344626
580	0,7132013	0,7360233	0,6325184	0,0425866	0,0423313	0,3645154	0,6137334	0,5436934	0,0775966	0,0507346	0,0717262	0,2988656	0,1473299	0,9992639	0,0070136	0,8965002
600	0,7724519	0,7972267	0,6325184	0,0425866	0,0423313	0,5848394	0,4450269	0,7311061	0,0775966	0,0507346	0,0717262	0,1743302	0,1473299	0,9992639	0,0070136	0,9352703
620	0,8003991	0,8356475	0,6325184	0,0425866	0,0423313	0,7274998	0,3297420	0,8384575	0,0775966	0,0507346	0,0717262	0,1063619	0,1473299	0,9992639	0,0070136	0,9594994
640	0,8086077	0,8568875	0,6325184	0,0425866	0,0423313	0,8198727	0,2509624	0,8999491	0,0775966	0,0507346	0,0717262	0,0692665	0,1473299	0,9992639	0,0070136	0,9746412
660	0,8061076	0,8663521	0,6325184	0,0425866	0,0423313	0,8796845	0,1971288	0,9351720	0,0775966	0,0507346	0,0717262	0,0490208	0,1473299	0,9992639	0,0070136	0,9841040
680	0,7991389	0,8687629	0,6325184	0,0425866	0,0423313	0,9184127	0,1603417	0,9553478	0,0775966	0,0507346	0,0717262	0,0379712	0,1473299	0,9992639	0,0070136	0,9900177
700	0,7914421	0,8676758	0,6325184	0,0425866	0,0423313	0,9434894	0,1352034	0,9669047	0,0775966	0,0507346	0,0717262	0,0319405	0,1473299	0,9992639	0,0070136	0,9937134
720	0,7848712	0,8653783	0,6325184	0,0425866	0,0423313	0,9597265	0,1180253	0,9735246	0,0775966	0,0507346	0,0717262	0,0286492	0,1473299	0,9992639	0,0070136	0,9960231
740	0,7800537	0,8631038	0,6325184	0,0425866	0,0423313	0,9702402	0,1062866	0,9773165	0,0775966	0,0507346	0,0717262	0,0268529	0,1473299	0,9992639	0,0070136	0,9974664
760	0,7769361	0,8613628	0,6325184	0,0425866	0,0423313	0,9770478	0,0982651	0,9794886	0,0775966	0,0507346	0,0717262	0,0258725	0,1473299	0,9992639	0,0070136	0,9983685
780	0,7751673	0,8602486	0,6325184	0,0425866	0,0423313	0,9814557	0,0927836	0,9807327	0,0775966	0,0507346	0,0717262	0,0253374	0,1473299	0,9992639	0,0070136	0,9989322
800	0,7743306	0,8596596	0,6325184	0,0425866	0,0423313	0,9843099	0,0890378	0,9814454	0,0775966	0,0507346	0,0717262	0,0250453	0,1473299	0,9992639	0,0070136	0,9992845
820	0,7740613	0,8594353	0,6325184	0,0425866	0,0423313	0,9861579	0,0864782	0,9818536	0,0775966	0,0507346	0,0717262	0,0248860	0,1473299	0,9992639	0,0070136	0,9995047
840	0,7740889	0,8594257	0,6325184	0,0425866	0,0423313	0,9873546	0,0847291	0,9820874	0,0775966	0,0507346	0,0717262	0,0247990	0,1473299	0,9992639	0,0070136	0,9996422
860	0,7742374	0,8595181	0,6325184	0,0425866	0,0423313	0,9881294	0,0835338	0,9822214	0,0775966	0,0507346	0,0717262	0,0247515	0,1473299	0,9992639	0,0070136	0,9997282
880	0,7744068	0,8596403	0,6325184	0,0425866	0,0423313	0,9886311	0,0827170	0,9822981	0,0775966	0,0507346	0,0717262	0,0247256	0,1473299	0,9992639	0,0070136	0,9997820
900	0,7745500	0,8597531	0,6325184	0,0425866	0,0423313	0,9889559	0,0821589	0,9823420	0,0775966	0,0507346	0,0717262	0,0247114	0,1473299	0,9992639	0,0070136	0,9998156
920	0,7746521	0,8598403	0,6325184	0,0425866	0,0423313	0,9891663	0,0817775	0,9823672	0,0775966	0,0507346	0,0717262	0,0247037	0,1473299	0,9992639	0,0070136	0,9998365
940	0,7747152	0,8598993	0,6325184	0,0425866	0,0423313	0,9893025	0,0815169	0,9823816	0,0775966	0,0507346	0,0717262	0,0246995	0,1473299	0,9992639	0,0070136	0,9998497
960	0,7747483	0,8599344	0,6325184	0,0425866	0,0423313	0,9893907	0,0813388	0,9823899	0,0775966	0,0507346	0,0717262	0,0246972	0,1473299	0,9992639	0,0070136	0,9998578
980	0,7747614	0,8599519	0,6325184	0,0425866	0,0423313	0,9894478	0,0812171	0,9823946	0,0775966	0,0507346	0,0717262	0,0246960	0,1473299	0,9992639	0,0070136	0,9998630
1000	0,7747629	0,8599583	0,6325184	0,0425866	0,0423313	0,9894847	0,0811339	0,9823973	0,0775966	0,0507346	0,0717262	0,0246953	0,1473299	0,9992639	0,0070136	0,9998662
1020	0,7747591	0,8599583	0,6325184	0,0425866	0,0423313	0,9895087	0,0810771	0,9823989	0,0775966	0,0507346	0,0717262	0,0246949	0,1473299	0,9992639	0,0070136	0,9998682
1040	0,7747536	0,8599555	0,6325184	0,0425866	0,0423313	0,9895242	0,0810382	0,9823998	0,0775966	0,0507346	0,0717262	0,0246947	0,1473299	0,9992639	0,0070136	0,9998694
1060	0,7747485	0,8599519	0,6325184	0,0425866	0,0423313	0,9895342	0,0810117	0,9824003	0,0775966	0,0507346	0,0717262	0,0246946	0,1473299	0,9992639	0,0070136	0,9998702
1080	0,7747446	0,8599486	0,6325184	0,0425866	0,0423313	0,9895407	0,0809935	0,9824006	0,0775966	0,0507346	0,0717262	0,0246945	0,1473299	0,9992639	0,0070136	0,9998707
1100	0,7747420	0,8599460	0,6325184	0,0425866	0,0423313	0,9895449	0,0809812	0,9824007	0,0775966	0,0507346	0,0717262	0,0246945	0,1473299	0,9992639	0,0070136	0,9998710

0	0,7748684	0,8599822	0,6325081	0,0425865	0,0423307	0,9895617	0,0809544	0,9824067	0,0775965	0,0507336	0,0717261	0,0246914	0,1471955	0,9992651	0,0070107	0,9998717
20	0,7747828	0,8599466	0,6325115	0,0426183	0,1571720	0,9884211	0,0809546	0,9804614	0,5349935	0,0919542	0,0717626	0,2088082	0,1526535	0,7163221	0,0073190	0,9998293
40	0,7747388	0,8599273	0,6325148	0,0432095	0,2286316	0,9821584	0,0809596	0,9708386	0,7436886	0,1143189	0,0721379	0,3133183	0,1782074	0,5332492	0,0095509	0,9994099
60	0,7747211	0,8599202	0,6325169	0,0473467	0,2761339	0,9693581	0,0810035	0,9533137	0,8391126	0,1328483	0,0736380	0,3768927	0,2214437	0,4116888	0,0157100	0,9977993
80	0,7747180	0,8599206	0,6325181	0,0624645	0,3124294	0,9512054	0,0812017	0,9308578	0,8831671	0,1526652	0,0773079	0,4191371	0,2731179	0,3252433	0,0269136	0,9939796
100	0,7747216	0,8599247	0,6325185	0,0977768	0,3449318	0,9297172	0,0817795	0,9064568	0,9041398	0,1743913	0,0839652	0,4497729	0,3259679	0,2584215	0,0430667	0,9872150
120	0,7747272	0,8599297	0,6325186	0,1584671	0,3773060	0,9065877	0,0830666	0,8820027	0,9149279	0,1974101	0,0940620	0,4737645	0,3760511	0,2042679	0,0634367	0,9771611
140	0,7747324	0,8599344	0,6325186	0,2426355	0,4111011	0,8828630	0,0855030	0,8583452	0,9213986	0,2212078	0,1078522	0,4938307	0,4217993	0,1600420	0,0872390	0,9636862
160	0,7747364	0,8599380	0,6325185	0,3426381	0,4468378	0,8590423	0,0896817	0,8356744	0,9262220	0,2456194	0,1255752	0,5115774	0,4629565	0,1242903	0,1138936	0,9466938
180	0,7747389	0,8599404	0,6325185	0,4484866	0,4845215	0,8352853	0,0964121	0,8138652	0,9306101	0,2706981	0,1475223	0,5279992	0,4998634	0,0957952	0,1430361	0,9260619
200	0,7747403	0,8599418	0,6325184	0,5509711	0,5238180	0,8115944	0,1067703	0,7927031	0,9350921	0,2965375	0,1739855	0,5437116	0,5330536	0,0733860	0,1744224	0,9016883
220	0,7747410	0,8599425	0,6325184	0,6434805	0,5641021	0,7879425	0,1220856	0,7720098	0,9398521	0,3231434	0,2051270	0,5590670	0,5630501	0,0559691	0,2078104	0,8735984
240	0,7747411	0,8599428	0,6325184	0,7224711	0,6045061	0,7643508	0,1437962	0,7517011	0,9448787	0,3503639	0,2408172	0,5742198	0,5902800	0,0425713	0,2428616	0,8420653
260	0,7747410	0,8599427	0,6325184	0,7870184	0,6440176	0,7409258	0,1731266	0,7318043	0,9500433	0,3778718	0,2805015	0,5891725	0,6150532	0,0323580	0,2790850	0,8076930
280	0,7747408	0,8599426	0,6325184	0,8379806	0,6816223	0,7178643	0,2106366	0,7124453	0,9551580	0,4051948	0,3231614	0,6038167	0,6375756	0,0246334	0,3158350	0,7714158
300	0,7747406	0,8599424	0,6325184	0,8771686	0,7164523	0,6954308	0,2558277	0,6938181	0,9600288	0,4317819	0,3674064	0,6179756	0,6579791	0,0188295	0,3523599	0,7344003
320	0,7747404	0,8599422	0,6325184	0,9067150	0,7478922	0,6739209	0,3070499	0,6761448	0,9644967	0,4570861	0,4116756	0,6314470	0,6763540	0,0144916	0,3878851	0,6978776
340	0,7747403	0,8599420	0,6325184	0,9286810	0,7756204	0,6536193	0,3618086	0,6596359	0,9684609	0,4806405	0,4544783	0,6440415	0,6927778	0,0112616	0,4217015	0,6629668
360	0,7747403	0,8599419	0,6325184	0,9448600	0,7995880	0,6347649	0,4173283	0,6444601	0,9718811	0,5021083	0,4945913	0,6556093	0,7073345	0,0088621	0,4532356	0,6305437
380	0,7747402	0,8599419	0,6325184	0,9567132	0,8199589	0,6175278	0,4711021	0,6307264	0,9747668	0,5213017	0,5311664	0,6660554	0,7201240	0,0070811	0,4820882	0,6011815
400	0,7747402	0,8599418	0,6325184	0,9653795	0,8370374	0,6020016	0,5212359	0,6184794	0,9771602	0,5381725	0,5637432	0,6753421	0,7312647	0,0057584	0,5080397	0,5751580
420	0,7747402	0,8599418	0,6325184	0,9717204	0,8512008	0,5882062	0,5665491	0,6077042	0,9791207	0,5527860	0,5921961	0,6834824	0,7408900	0,0047743	0,5310318	0,5525056
440	0,7747402	0,8599418	0,6325184	0,9763735	0,8628482	0,5760989	0,6065022	0,5983383	0,9807126	0,5652880	0,6166510	0,6905295	0,7491432	0,0040400	0,5511352	0,5330784
460	0,7747403	0,8599418	0,6325184	0,9798039	0,8723656	0,5655900	0,6410451	0,5902840	0,9819978	0,5758729	0,6373972	0,6965644	0,7561708	0,0034900	0,5685136	0,5166178
480	0,7747403	0,8599418	0,6325184	0,9823482	0,8801056	0,5565569	0,6704531	0,5834227	0,9830317	0,5847575	0,6548138	0,7016843	0,7621175	0,0030763	0,5833897	0,5028068
500	0,7747403	0,8599418	0,6325184	0,9842481	0,8863787	0,5488588	0,6951888	0,5776252	0,9838618	0,5921620	0,6693136	0,7059931	0,7671211	0,0027634	0,5960169	0,4913097
520	0,7747403	0,8599418	0,6325184	0,9856773	0,8914505	0,5423478	0,7157985	0,5727613	0,9845277	0,5982967	0,6813052	0,7095947	0,7713101	0,0025256	0,6066581	0,4817991
540	0,7747403	0,8599418	0,6325184	0,9867605	0,8955443	0,5368768	0,7328442	0,5687055	0,9850618	0,6033548	0,6911706	0,7125875	0,7748014	0,0023439	0,6155704	0,4739715
560	0,7747403	0,8599418	0,6325184	0,9875876	0,8988450	0,5323060	0,7468609	0,5653413	0,9854903	0,6075087	0,6992531	0,7150623	0,7776996	0,0022042	0,6229950	0,4675550
580	0,7747403	0,8599418	0,6325184	0,9881958	0,8849855	0,5286740	0,7579655	0,5627379	0,9074942	0,5927603	0,7054944	0,6269585	0,7800169	0,0134917	0,6289248	0,4625590
600	0,7747403	0,8599418	0,6325184	0,9885571	0,8764825	0,5263422	0,7655148	0,5612729	0,8718442	0,5863231	0,7091713	0,5788344	0,7815996	0,0207642	0,6328965	0,4594684
620	0,7747403	0,8599418	0,6325184	0,9887085	0,8708456	0,5252262	0,7697885	0,5608358	0,8547769	0,5827124	0,7105314	0,5520140	0,7824959	0,0254885	0,6350344	0,4581161
640	0,7747403	0,8599418	0,6325184	0,9887113	0,8668178	0,5250250	0,7715234	0,5611151	0,8459297	0,5800643	0,7102361	0,5366453	0,7828581	0,0285853	0,6357589	0,4580404
660	0,7747403	0,8599418	0,6325184	0,9886206	0,8637518	0,5254317	0,7714732	0,5618197	0,8407939	0,5778025	0,7089140	0,5275063	0,7828453	0,0306362	0,6355073	0,4587897
680	0,7747403	0,8599418	0,6325184	0,9884777	0,8613055	0,5261998	0,7702638	0,5627349	0,8374090	0,5757752	0,7070422	0,5218126	0,7825899	0,0320110	0,6346400	0,4600110
700	0,7747403	0,8599418	0,6325184	0,9883106	0,8592902	0,5271525	0,7683669	0,5637200	0,8349176	0,5739526	0,7049443	0,5180689	0,7821917	0,0329457	0,6334250	0,4614568
720	0,7747403	0,8599418	0,6325184	0,9881374	0,8575959	0,5281713	0,7661168	0,5646912	0,8329386	0,5723290	0,7028225	0,5154639	0,7817210	0,0335917	0,6320480	0,4629657
740	0,7747403	0,8599418	0,6325184	0,9879688	0,8561537	0,5291822	0,7637393	0,5656029	0,8312949	0,5708968	0,7007935	0,5135513	0,7812251	0,0340468	0,6306316	0,4644397
760	0,7747403	0,8599418	0,6325184	0,9878108	0,8549169	0,5301419	0,7613799	0,5664339	0,8298975	0,5696428	0,6989178	0,5120810	0,7807344	0,0343740	0,6292518	0,4658240
780	0,7747403	0,8599418	0,6325184	0,9876661	0,8538516	0,5310279	0,7591272	0,5671774	0,8286960	0,5685502	0,6972206	0,5109089	0,7802669	0,0346147	0,6279530	0,4670915
800	0,7747403	0,8599418	0,6325184	0,9875358	0,8529316	0,5318305	0,7570307	0,5678348	0,8276575	0,5676013	0,6957064	0,5099492	0,7798330	0,0347957	0,6267579	0,4682330
820	0,7747403	0,8599418	0,6325184	0,9874196	0,8521357	0,5325483	0,7551139	0,5684117	0,8267578	0,5667784	0,6943680	0,5091485	0,7794370	0,0349350	0,6256755	0,4692493
840	0,7747403	0,8599418	0,6325184	0,9873168	0,8514464	0,5331846	0,7533834	0,5689155	0,8259775	0,5660655	0,6931925	0,5084718	0,7790803	0,0350445	0,6247061	0,4701472
860	0,7747403	0,8599418	0,6325184	0,9872263	0,8508492	0,5337450	0,7518357	0,5693541	0,8253004	0,5654480	0,6921642	0,5078950	0,7787619	0,0351322	0,6238449	0,4709360
880	0,7747403	0,8599418	0,6325184	0,9871469	0,8503314	0,5342364	0,7504610	0,5697353	0,8247128	0,5649132	0,6912673	0,5074006	0,7784796	0,0352036	0,6230845	0,4716265
900	0,7747403	0,8599418	0,6325184	0,9870774	0,8498823	0,5346660	0,7492463	0,5700662	0,8242028	0,5644499	0,6904864	0,5069751	0,7782306	0,0352626	0,6224159	0,4722294
920	0,7747403	0,8599418	0,6325184	0,9870167	0,8494928	0,5350406	0,7481772	0,5703532	0,8237601	0,5640485	0,6898073	0,5066080	0,7780117	0,0353119	0,6218300	0,4727547
940	0,7747403	0,8599418	0,6325184	0,9869638	0,8491548	0,5353668	0,7472390	0,5706022	0,8233758	0,5637006	0,6892172	0,5062907	0,7778199	0,0353535	0,6213177	0,4732119
960	0,7747403	0,8599418	0,6325184	0,9869176	0,8488615	0,5356505	0,7464177	0,5708180	0,8230422	0,5633990	0,6887047	0,5060162	0,7776522	0,0353888	0,6208708	0,4736095
980	0,7747403	0,8599418	0,6325184	0,9868775	0,8486069	0,5358971	0,7457000	0,5710052	0,8227525	0,5631374	0,6882597	0,5057785	0,7775059	0,0354189	0,6204812	0,4739551
1000	0,7747403	0,8599418	0,6325184	0,9868425	0,8483859	0,5361113	0,7450736	0,5711676	0,8225010	0,5629106	0,6878733	0,5055725	0,7773783	0,0354448	0,6201421	0,4742553
1020	0,7747403	0,8599418	0,6325184	0,9868121	0,8481940	0,5362973	0,7445275	0,5713084	0,8222827	0,5627138	0,6875379	0,5053939	0,7772672	0,0354671	0,6198471	0,4745161
1040	0,7747403	0,8599418	0,6325184	0,9867857	0,8480275	0,5364588	0,7440518	0,5714305	0,8220930	0,5625431	0,6872468	0,5052391	0,7771704	0,0354863	0,6195906	0,4747425
1060	0,7747403	0,8599418	0,6325184	0,9867627	0,8478829	0,5365990	0,7436378	0,5715365	0,8219283	0,5623949	0,6869940	0,5051047	0,7770863	0,0355029	0,6193676	0,4749392
1080	0,7747403	0,8599418	0,6325184	0,9867427	0,8477573	0,5367207	0,7432775	0,5716285	0,8217853	0,5622663	0,6867746	0,5049881	0,7770132	0,0355172	0,6191738	0,4751099
1100	0,7747403	0,8599418	0,6325184	0,9867253	0,8476482	0,5368264	0,7429641	0,5717083	0,8216611	0,5621547	0,6865841	0,5048870	0,7769496	0,0355297	0,6190055	0,4752582

0	0,7748684	0,8599822	0,6325081	0,0425865	0,0423307	0,9895617	0,0809544	0,9824067	0,0775965	0,0507336	0,0717261	0,0246914	0,1471955	0,9992651	0,0070107	0,9998717
20	0,7748569	0,8457973	0,6325115	0,3548195	0,0423309	0,7980062	0,0809544	0,9824050	0,2703250	0,0507339	0,3495432	0,1703115	0,2634800	0,9992648	0,2677473	0,6669110
40	0,7751794	0,8359189	0,6325148	0,5422997	0,0423310	0,6739735	0,0809544	0,9824038	0,3582356	0,0507341	0,5154476	0,2497874	0,3433162	0,9992645	0,4434792	0,4588292
60	0,7758226	0,8292517	0,6325169	0,6548720	0,0423311	0,5936620	0,0809544	0,9824030	0,3983350	0,0507342	0,6145208	0,2931634	0,3981285	0,9992644	0,5619193	0,3287899
80	0,7766497	0,8248840	0,6325181	0,7224660	0,0423311	0,5416600	0,0809544	0,9824024	0,4166258	0,0507343	0,6736846	0,3168371	0,4357605	0,9992642	0,6417459	0,2475226
100	0,7775154	0,8221019	0,6325185	0,7630528	0,0423312	0,5079885	0,0809544	0,9824020	0,4249689	0,0507344	0,7090154	0,3297576	0,4615971	0,9992641	0,6955476	0,1967351
120	0,7783123	0,8203747	0,6325186	0,7874231	0,0423312	0,4861862	0,0809544	0,9824017	0,4287745	0,0507345	0,7301140	0,3368093	0,4793354	0,9992641	0,7318090	0,1649958
140	0,7789811	0,8193259	0,6325186	0,8020562	0,0423312	0,4720691	0,0809544	0,9824015	0,4305104	0,0507345	0,7427134	0,3406579	0,4915139	0,9992640	0,7562486	0,1451605
160	0,7795026	0,8186996	0,6325185	0,8108427	0,0423312	0,4629282	0,0809544	0,9824013	0,4313022	0,0507345	0,7502375	0,3427585	0,4998752	0,9992640	0,7727204	0,1327645
180	0,7798844	0,8183292	0,6325185	0,8161185	0,0423313	0,4570095	0,0809544	0,9824012	0,4316634	0,0507346	0,7547306	0,3439049	0,5056157	0,9992640	0,7838221	0,1250178
200	0,7801483	0,8181099	0,6325184	0,8192864	0,0423313	0,4531771	0,0809544	0,9824012	0,4318281	0,0507346	0,7574138	0,3445306	0,5095569	0,9992640	0,7913045	0,1201765
220	0,7803208	0,8179786	0,6325184	0,8211885	0,0423313	0,4506956	0,0809544	0,9824011	0,4319033	0,0507346	0,7590161	0,3448721	0,5122628	0,9992640	0,7963475	0,1171509
240	0,7804273	0,8178983	0,6325184	0,8223306	0,0423313	0,4490888	0,0809544	0,9824011	0,4319375	0,0507346	0,7599730	0,3450585	0,5141205	0,9992639	0,7997463	0,1152602
260	0,7804892	0,8178479	0,6325184	0,8230164	0,0423313	0,4480484	0,0809544	0,9824010	0,4319532	0,0507346	0,7605444	0,3451602	0,5153960	0,9992639	0,8020371	0,1140785
280	0,7805228	0,8178157	0,6325184	0,8234282	0,0423313	0,4473748	0,0809544	0,9824010	0,4319603	0,0507346	0,7608856	0,3452157	0,5162717	0,9992639	0,8035811	0,1133401
300	0,7805394	0,8177950	0,6325184	0,8236755	0,0423313	0,4469386	0,0809544	0,9824010	0,4319636	0,0507346	0,7610894	0,3452460	0,5168729	0,9992639	0,8046217	0,1128786
320	0,7805467	0,8177818	0,6325184	0,8238239	0,0423313	0,4466561	0,0809544	0,9824010	0,4319650	0,0507346	0,7612110	0,3452626	0,5172856	0,9992639	0,8053230	0,1125902
340	0,7805492	0,8177738	0,6325184	0,8239131	0,0423313	0,4464733	0,0809544	0,9824010	0,4319657	0,0507346	0,7612837	0,3452716	0,5175690	0,9992639	0,8057957	0,1124099
360	0,7805497	0,8177692	0,6325184	0,8239666	0,0423313	0,4463548	0,0809544	0,9824010	0,4319660	0,0507346	0,7613271	0,3452765	0,5177636	0,9992639	0,8061143	0,1122973
380	0,7805495	0,8177670	0,6325184	0,8239988	0,0423313	0,4462782	0,0809544	0,9824010	0,4319662	0,0507346	0,7613530	0,3452792	0,5178972	0,9992639	0,8063290	0,1122269
400	0,7805491	0,8177663	0,6325184	0,8240181	0,0423313	0,4462285	0,0809544	0,9824010	0,4319662	0,0507346	0,7613685	0,3452807	0,5179889	0,9992639	0,8064737	0,1121829
420	0,7805489	0,8177665	0,6325184	0,8240296	0,0423313	0,4461964	0,0809544	0,9824010	0,4319663	0,0507346	0,7613777	0,3452815	0,5180519	0,9992639	0,8065713	0,1121554
440	0,7805488	0,8177671	0,6325184	0,8240366	0,0423313	0,4461756	0,0809544	0,9824010	0,4319663	0,0507346	0,7613833	0,3452819	0,5180951	0,9992639	0,8066370	0,1121382
