"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA

0	0,7751538	0,8593762	0,6325255	0,0425863	0,0423272	0,9895934	0,0809544	0,9824156	0,0775963	0,0507328	0,0717257	0,0246654	0,1469960	0,9992697	0,0070078	0,9998720
20	0,7572767	0,8450621	0,6325180	0,0425864	0,0423283	0,9167331	0,1630302	0,8905969	0,0775964	0,0507333	0,0717258	0,0686128	0,1470950	0,9992681	0,0070095	0,9857678
40	0,7218324	0,8142805	0,6325158	0,0425864	0,0423292	0,7699110	0,3107307	0,7275621	0,0775964	0,0507337	0,0717259	0,1534396	0,1471647	0,9992670	0,0070107	0,9581650
60	0,6855190	0,7797745	0,6325159	0,0425865	0,0423298	0,6123272	0,4523500	0,5755550	0,0775965	0,0507339	0,0717260	0,2404864	0,1472137	0,9992661	0,0070116	0,9294908
80	0,6555659	0,7480066	0,6325168	0,0425865	0,0423302	0,4710695	0,5671963	0,4573701	0,0775965	0,0507341	0,0717261	0,3152884	0,1472481	0,9992655	0,0070122	0,9046249
100	0,6338287	0,7215087	0,6325175	0,0425865	0,0423305	0,3549973	0,6537019	0,3731581	0,0775965	0,0507343	0,0717261	0,3743945	0,1472723	0,9992651	0,0070126	0,8848616
120	0,6195656	0,7006829	0,6325181	0,0425865	0,0423307	0,2644019	0,7163799	0,3161552	0,0775965	0,0507344	0,0717261	0,4188974	0,1472894	0,9992648	0,0070129	0,8699426
140	0,6111005	0,6849524	0,6325183	0,0425865	0,0423309	0,1960553	0,7607937	0,2788508	0,0775966	0,0507344	0,0717262	0,4513871	0,1473014	0,9992645	0,0070131	0,8590576
160	0,6066829	0,6734032	0,6325184	0,0425865	0,0423310	0,1457238	0,7918469	0,2550130	0,0775966	0,0507345	0,0717262	0,4746120	0,1473098	0,9992644	0,0070133	0,8513057
180	0,6048493	0,6651022	0,6325185	0,0425865	0,0423311	0,1093216	0,8133793	0,2400477	0,0775966	0,0507345	0,0717262	0,4909667	0,1473157	0,9992642	0,0070134	0,8458840
200	0,6045167	0,6592323	0,6325185	0,0425865	0,0423311	0,0833591	0,8282320	0,2307798	0,0775966	0,0507345	0,0717262	0,5023568	0,1473199	0,9992642	0,0070134	0,8421447
220	0,6049523	0,6551334	0,6325184	0,0425865	0,0423312	0,0650476	0,8384432	0,2251017	0,0775966	0,0507346	0,0717262	0,5102238	0,1473229	0,9992641	0,0070135	0,8395944
240	0,6056987	0,6522980	0,6325184	0,0425866	0,0423312	0,0522494	0,8454483	0,2216533	0,0775966	0,0507346	0,0717262	0,5156228	0,1473249	0,9992640	0,0070135	0,8378708
260	0,6064958	0,6503498	0,6325184	0,0425866	0,0423312	0,0433718	0,8502473	0,2195740	0,0775966	0,0507346	0,0717262	0,5193099	0,1473264	0,9992640	0,0070136	0,8367148
280	0,6072132	0,6490171	0,6325184	0,0425866	0,0423312	0,0372530	0,8535322	0,2183277	0,0775966	0,0507346	0,0717262	0,5218181	0,1473274	0,9992640	0,0070136	0,8359444
300	0,6078002	0,6481073	0,6325184	0,0425866	0,0423313	0,0330585	0,8557792	0,2175845	0,0775966	0,0507346	0,0717262	0,5235192	0,1473282	0,9992640	0,0070136	0,8354338
320	0,6082506	0,6474865	0,6325184	0,0425866	0,0423313	0,0301967	0,8573158	0,2171432	0,0775966	0,0507346	0,0717262	0,5246700	0,1473287	0,9992640	0,0070136	0,8350969
340	0,6085794	0,6470623	0,6325184	0,0425866	0,0423313	0,0282522	0,8583663	0,2168822	0,0775966	0,0507346	0,0717262	0,5254472	0,1473291	0,9992639	0,0070136	0,8348756
360	0,6088099	0,6467719	0,6325184	0,0425866	0,0423313	0,0269356	0,8590844	0,2167283	0,0775966	0,0507346	0,0717262	0,5259711	0,1473293	0,9992639	0,0070136	0,8347307
380	0,6089658	0,6465726	0,6325184	0,0425866	0,0423313	0,0260472	0,8595752	0,2166378	0,0775966	0,0507346	0,0717262	0,5263239	0,1473295	0,9992639	0,0070136	0,8346362
400	0,6090679	0,6464354	0,6325184	0,0425866	0,0423313	0,0254493	0,8599106	0,2165848	0,0775966	0,0507346	0,0717262	0,5265612	0,1473296	0,9992639	0,0070136	0,8345747
420	0,6091326	0,6463409	0,6325184	0,0425866	0,0423313	0,0250480	0,8601398	0,2165537	0,0775966	0,0507346	0,0717262	0,5267208	0,1473297	0,9992639	0,0070136	0,8345348
440	0,6091725	0,6462757	0,6325184	0,0425866	0,0423313	0,0247792	0,8602964	0,2165356	0,0775966	0,0507346	0,0717262	0,5268279	0,1473298	0,9992639	0,0070136	0,8345090
460	0,6091964	0,6462307	0,6325184	0,0425866	0,0423313	0,0245996	0,8604035	0,2165250	0,0775966	0,0507346	0,0717262	0,5268998	0,1473298	0,9992639	0,0070136	0,8344923
480	0,6092102	0,6461998	0,6325184	0,0425866	0,0423313	0,0244798	0,8604766	0,2165189	0,0775966	0,0507346	0,0717262	0,5269481	0,1473299	0,9992639	0,0070136	0,8344815
500	0,6092180	0,6461786	0,6325184	0,0425866	0,0423313	0,0244001	0,8605266	0,2165153	0,0775966	0,0507346	0,0717262	0,5269805	0,1473299	0,9992639	0,0070136	0,8344746
520	0,6092223	0,6461641	0,6325184	0,0425866	0,0423313	0,0243471	0,8605608	0,2165132	0,0775966	0,0507346	0,0717262	0,5270022	0,1473299	0,9992639	0,0070136	0,8344702
540	0,6092245	0,6461544	0,6325184	0,0425866	0,0423313	0,0243119	0,8605841	0,2165120	0,0775966	0,0507346	0,0717262	0,5270167	0,1473299	0,9992639	0,0070136	0,8344673
560	0,6092258	0,6461478	0,6325184	0,0425866	0,0423313	0,0242885	0,8606001	0,2165113	0,0775966	0,0507346	0,0717262	0,5270265	0,1473299	0,9992639	0,0070136	0,8344655
580	0,6292168	0,6621477	0,6325184	0,0425866	0,0423313	0,0971209	0,7785352	0,3083248	0,0775966	0,0507346	0,0717262	0,4830944	0,1473299	0,9992639	0,0070136	0,8485683
600	0,6689116	0,6965889	0,6325184	0,0425866	0,0423313	0,2439240	0,6308421	0,4713560	0,0775966	0,0507346	0,0717262	0,3982782	0,1473299	0,9992639	0,0070136	0,8761703
620	0,7092068	0,7355284	0,6325184	0,0425866	0,0423313	0,4014949	0,4892279	0,6233607	0,0775966	0,0507346	0,0717262	0,3112387	0,1473299	0,9992639	0,0070136	0,9048439
640	0,7415635	0,7712581	0,6325184	0,0425866	0,0423313	0,5427440	0,3743852	0,7415440	0,0775966	0,0507346	0,0717262	0,2364417	0,1473299	0,9992639	0,0070136	0,9297095
660	0,7637254	0,8002673	0,6325184	0,0425866	0,0423313	0,6588102	0,2878818	0,8257550	0,0775966	0,0507346	0,0717262	0,1773390	0,1473299	0,9992639	0,0070136	0,9494726
680	0,7767100	0,8217745	0,6325184	0,0425866	0,0423313	0,7494017	0,2252055	0,8827573	0,0775966	0,0507346	0,0717262	0,1328383	0,1473299	0,9992639	0,0070136	0,9643914
700	0,7828206	0,8365561	0,6325184	0,0425866	0,0423313	0,8177457	0,1807928	0,9200613	0,0775966	0,0507346	0,0717262	0,1003503	0,1473299	0,9992639	0,0070136	0,9752763
720	0,7844853	0,8460536	0,6325184	0,0425866	0,0423313	0,8680754	0,1497404	0,9438988	0,0775966	0,0507346	0,0717262	0,0771264	0,1473299	0,9992639	0,0070136	0,9830282
740	0,7837043	0,8517914	0,6325184	0,0425866	0,0423313	0,9044765	0,1282085	0,9588639	0,0775966	0,0507346	0,0717262	0,0607725	0,1473299	0,9992639	0,0070136	0,9884499
760	0,7818846	0,8550703	0,6325184	0,0425866	0,0423313	0,9304382	0,1133562	0,9681317	0,0775966	0,0507346	0,0717262	0,0493828	0,1473299	0,9992639	0,0070136	0,9921892
780	0,7798832	0,8568632	0,6325184	0,0425866	0,0423313	0,9487491	0,1031452	0,9738097	0,0775966	0,0507346	0,0717262	0,0415163	0,1473299	0,9992639	0,0070136	0,9947394
800	0,7781370	0,8578262	0,6325184	0,0425866	0,0423313	0,9615470	0,0961403	0,9772581	0,0775966	0,0507346	0,0717262	0,0361175	0,1473299	0,9992639	0,0070136	0,9964629
820	0,7768051	0,8583626	0,6325184	0,0425866	0,0423313	0,9704243	0,0913413	0,9793374	0,0775966	0,0507346	0,0717262	0,0324306	0,1473299	0,9992639	0,0070136	0,9976189
840	0,7758874	0,8586974	0,6325184	0,0425866	0,0423313	0,9765430	0,0880566	0,9805837	0,0775966	0,0507346	0,0717262	0,0299225	0,1473299	0,9992639	0,0070136	0,9983894
860	0,7753111	0,8589426	0,6325184	0,0425866	0,0423313	0,9807374	0,0858096	0,9813269	0,0775966	0,0507346	0,0717262	0,0282215	0,1473299	0,9992639	0,0070136	0,9989000
880	0,7749827	0,8591457	0,6325184	0,0425866	0,0423313	0,9835991	0,0842730	0,9817681	0,0775966	0,0507346	0,0717262	0,0270706	0,1473299	0,9992639	0,0070136	0,9992369
900	0,7748168	0,8593222	0,6325184	0,0425866	0,0423313	0,9855436	0,0832225	0,9820291	0,0775966	0,0507346	0,0717262	0,0262935	0,1473299	0,9992639	0,0070136	0,9994582
920	0,7747470	0,8594744	0,6325184	0,0425866	0,0423313	0,9868601	0,0825045	0,9821830	0,0775966	0,0507346	0,0717262	0,0257696	0,1473299	0,9992639	0,0070136	0,9996030
940	0,7747275	0,8596011	0,6325184	0,0425866	0,0423313	0,9877486	0,0820137	0,9822735	0,0775966	0,0507346	0,0717262	0,0254168	0,1473299	0,9992639	0,0070136	0,9996975
960	0,7747300	0,8597022	0,6325184	0,0425866	0,0423313	0,9883465	0,0816783	0,9823265	0,0775966	0,0507346	0,0717262	0,0251795	0,1473299	0,9992639	0,0070136	0,9997590
980	0,7747389	0,8597792	0,6325184	0,0425866	0,0423313	0,9887478	0,0814491	0,9823576	0,0775966	0,0507346	0,0717262	0,0250200	0,1473299	0,9992639	0,0070136	0,9997989
1000	0,7747469	0,8598353	0,6325184	0,0425866	0,0423313	0,9890165	0,0812925	0,9823757	0,0775966	0,0507346	0,0717262	0,0249129	0,1473299	0,9992639	0,0070136	0,9998248
1020	0,7747517	0,8598745	0,6325184	0,0425866	0,0423313	0,9891961	0,0811854	0,9823863	0,0775966	0,0507346	0,0717262	0,0248409	0,1473299	0,9992639	0,0070136	0,9998414
1040	0,7747532	0,8599006	0,6325184	0,0425866	0,0423313	0,9893159	0,0811123	0,9823925	0,0775966	0,0507346	0,0717262	0,0247927	0,1473299	0,9992639	0,0070136	0,9998522
1060	0,7747524	0,8599174	0,6325184	0,0425866	0,0423313	0,9893956	0,0810623	0,9823960	0,0775966	0,0507346	0,0717262	0,0247603	0,1473299	0,9992639	0,0070136	0,9998591
1080	0,7747504	0,8599278	0,6325184	0,0425866	0,0423313	0,9894487	0,0810281	0,9823981	0,0775966	0,0507346	0,0717262	0,0247386	0,1473299	0,9992639	0,0070136	0,9998636
1100	0,7747479	0,8599339	0,6325184	0,0425866	0,0423313	0,9894839	0,0810048	0,9823993	0,0775966	0,0507346	0,0717262	0,0247240	0,1473299	0,9992639	0,0070136	0,9998664

