"Time"	mqsA	mqsR	alaS	yccA	cpxR	psd	dsbA	motA	ydeH	bacA	ftnB	yidQ	ppiD	rseA	rdoA	cheA

0	0,6472213	0,5495813	0,4405814	0,0385285	0,0184607	0,7560516	0,0860540	0,7616959	0,0531001	0,0644854	0,0437563	0,0112723	0,1163610	0,9041271	0,0013347	0,7599074
20	0,5330202	0,5468083	0,5199543	0,0349004	0,0129815	0,7702724	0,0918366	0,5584804	0,0841587	0,0503279	0,0807575	0,0150926	0,0991636	0,6761276	0,0095046	0,6325395
40	0,4842172	0,6638866	0,4091263	0,0346839	0,0264848	0,7711079	0,2132230	0,4012974	0,0298589	0,0353418	0,0313442	0,1169179	0,1303250	0,7363058	0,0126157	0,6596627
60	0,5725281	0,6098061	0,5643036	0,0371340	0,0363179	0,6072547	0,2728261	0,3970420	0,0718745	0,0262797	0,0757876	0,1451371	0,1423284	0,8300892	0,0056985	0,6612045
80	0,4175273	0,5984072	0,4832481	0,0209100	0,0232372	0,3970461	0,4186888	0,2711517	0,0394876	0,0107360	0,0430488	0,1847081	0,1016495	0,6987144	0,0036150	0,6571639
100	0,5277945	0,5753958	0,4841678	0,0347298	0,0477140	0,2837009	0,4754981	0,2853681	0,0428271	0,0364122	0,0712016	0,1886613	0,0999725	0,8764643	0,0039361	0,5542385
120	0,5166104	0,6079462	0,4342082	0,0393175	0,0355956	0,2470552	0,4916004	0,2436482	0,0468688	0,0342399	0,0277736	0,3192713	0,1291584	0,8058882	0,0011327	0,5884179
140	0,3919477	0,5010865	0,4924466	0,0708307	0,0358486	0,1530028	0,5433548	0,1779652	0,0740617	0,0558517	0,0327855	0,3288969	0,0973352	0,7236332	0,0042631	0,5664977
160	0,4271083	0,4515249	0,4615977	0,0656883	0,0484629	0,1235153	0,6726037	0,2580532	0,0348984	0,0602333	0,0539456	0,3835629	0,1355362	0,8534163	0,0132110	0,5392186
180	0,4913847	0,4252738	0,4602946	0,0257868	0,0312641	0,1570409	0,6196730	0,2274811	0,0392245	0,0185133	0,0411088	0,4137302	0,1168223	0,7021295	0,0130845	0,6131524
200	0,4396115	0,4219811	0,5062995	0,0359064	0,0347688	0,0387236	0,6269269	0,1307701	0,0366088	0,0217382	0,0703060	0,3256161	0,1251575	0,7192542	0,0046859	0,6101050
220	0,4122157	0,4987165	0,4578241	0,0347288	0,0189533	0,0480348	0,5913051	0,1628176	0,0406868	0,0523172	0,0579601	0,3760633	0,1039694	0,7604485	0,0032347	0,5963579
240	0,4074264	0,4958662	0,5037331	0,0515129	0,0171296	0,0370006	0,6439213	0,1544944	0,0343379	0,0575393	0,0681324	0,4576779	0,1023760	0,7736754	0,0123131	0,6083725
260	0,4241812	0,4452526	0,5452882	0,0353105	0,0213436	0,0367453	0,7308470	0,1779827	0,0417581	0,0603307	0,0386944	0,3590087	0,1537916	0,7768088	0,0011993	0,6976100
280	0,3491100	0,5308735	0,4592615	0,0143514	0,0392881	0,0333263	0,6459510	0,1839672	0,0784157	0,0744117	0,1003254	0,4516611	0,1199825	0,6468909	0,0046951	0,6890338
300	0,3899651	0,4650153	0,5831214	0,0256575	0,0229517	0,0188218	0,6325437	0,1814452	0,0569830	0,0201527	0,0944463	0,3381229	0,0954000	0,7774838	0,0321853	0,5911224
320	0,3863444	0,5103665	0,5165628	0,0492516	0,0157178	0,0239404	0,6651990	0,1337662	0,0511078	0,0255694	0,1130860	0,4761332	0,1124599	0,8005813	0,0296608	0,5184948
340	0,4352291	0,5374122	0,5086424	0,0477095	0,0298851	0,0139277	0,8034463	0,1694674	0,0689251	0,0439676	0,0580697	0,5350966	0,1118509	0,7416390	0,0070626	0,5791981
360	0,3762156	0,5663478	0,4906749	0,0483217	0,0416299	0,0131391	0,7579953	0,1334246	0,0501842	0,0607372	0,0925729	0,4533363	0,0964052	0,6865785	0,0070135	0,6350847
380	0,5573886	0,5019552	0,4412621	0,0485533	0,0459525	0,0176365	0,5735478	0,1516507	0,0361630	0,0128249	0,0385431	0,4332072	0,0853665	0,7207413	0,0068193	0,6006158
400	0,3773756	0,5371265	0,4707790	0,0327400	0,0334624	0,0104716	0,7043681	0,1567201	0,0361900	0,0294097	0,0381993	0,4483337	0,1287582	0,8294199	0,0044080	0,5072131
