Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16
0	0.7538709	0.2799412	0.4492218	0.0727972	0.0999373	0.6885951	0.6689266	0.5059265	0.5567216	0.3082491	0.6055637	0.3172223	0.2846015	0.275875	0.3630136	0.0275479
20	0.544179	0.3129115	0.3712097	0.098976	0.1238019	0.5081632	0.7091913	0.2665403	0.4029518	0.3492554	0.54738	0.2415807	0.2004723	0.4129153	0.3090037	0.0245895
40	0.4432423	0.2561092	0.5007442	0.0815824	0.154764	0.4864435	0.6520127	0.1625478	0.5143652	0.2155474	0.5607155	0.2405688	0.1640362	0.4684367	0.2385599	0.010237
60	0.4108554	0.3377302	0.5312539	0.1130751	0.1550517	0.6194246	0.7660048	0.1594904	0.5924045	0.2623092	0.5231663	0.2727156	0.0947871	0.5368598	0.171998	0.0553351
80	0.4144396	0.3549298	0.5351955	0.0858422	0.1985255	0.7297723	0.6762429	0.1157143	0.5838175	0.2550405	0.6917469	0.2939012	0.044471	0.6040714	0.1723514	0.0095863
100	0.2570454	0.4785801	0.3780049	0.1501881	0.1117193	0.6227489	0.6252613	0.1222585	0.6933282	0.2720833	0.6122731	0.2919651	0.0358732	0.6172464	0.0948523	0.0241323
120	0.3399003	0.2940459	0.4531852	0.0933262	0.1131633	0.7455776	0.7670148	0.0743778	0.6572743	0.2633448	0.5496104	0.2711244	0.0278122	0.6618056	0.1017864	0.0187981
140	0.2538269	0.3264668	0.3115813	0.0890927	0.0916184	0.6759497	0.754627	0.1189244	0.6422977	0.2819748	0.4966151	0.2895367	0.0221537	0.7951107	0.0980481	0.0229879
160	0.2567719	0.323776	0.4649699	0.08958	0.0967932	0.712462	0.7575806	0.1180003	0.6323314	0.2436819	0.4904831	0.3083043	0.0210127	0.6992948	0.088026	0.0687919
180	0.2283411	0.3756565	0.5047448	0.1072347	0.1225497	0.578551	0.6960119	0.0947987	0.6491418	0.3119868	0.5370763	0.2367742	0.0213082	0.5715052	0.1050271	0.0432548
200	0.2209962	0.3356846	0.373372	0.0522506	0.0983188	0.7013329	0.7941315	0.1004561	0.7407168	0.2281489	0.5048704	0.260019	0.0202147	0.5256866	0.0853737	0.0177086
220	0.2339983	0.4397644	0.433621	0.085309	0.1358569	0.6888514	0.9231096	0.0978359	0.6551963	0.2836928	0.5855115	0.2472844	0.0322915	0.7024244	0.1058783	0.0337964
240	0.1948109	0.3333644	0.4521319	0.0407424	0.1440673	0.7022714	0.772153	0.1077272	0.6565454	0.2705818	0.6343328	0.272237	0.0216747	0.5951226	0.0655849	0.0169851
