"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP

0	0,9966747	0,4498471	0,5764659	0,1306423	0,1335353	0,7998889	0,9767779	0,7138276	0,7222111	0,4361975	0,8811459	0,4369278	0,4351464	0,3444510	0,4379033	0,0294103
20	0,8003617	0,4171756	0,5899291	0,1011402	0,1711757	0,6961325	0,9632357	0,3671674	0,5644963	0,4037074	0,7549000	0,3332103	0,3144275	0,5464209	0,3484686	0,0312355
40	0,6236695	0,3845798	0,7174203	0,1270408	0,1624712	0,7193183	0,9204677	0,2444402	0,6573503	0,3194706	0,7622150	0,3770583	0,2121483	0,7043976	0,3104912	0,0213784
60	0,5277593	0,4371382	0,7514796	0,1229175	0,1547422	0,8495950	0,9351601	0,2020947	0,7278006	0,3747594	0,8489481	0,3916392	0,1397341	0,7729840	0,2359228	0,0197807
80	0,4723083	0,4250168	0,6812477	0,1434844	0,1595540	0,8948784	0,9377732	0,1688546	0,7686048	0,3826426	0,8029244	0,3530092	0,0907441	0,8422131	0,1807220	0,0272906
100	0,4023729	0,4463022	0,5943971	0,1319126	0,1595400	0,8686833	0,9521853	0,1260598	0,8091750	0,3224767	0,8322858	0,3774878	0,0617157	0,8822956	0,1557251	0,0340188
120	0,3489981	0,4045236	0,5361010	0,1079500	0,1415764	0,9069743	0,9636835	0,1299990	0,8669619	0,3911227	0,7986101	0,3538223	0,0518923	0,8666344	0,1383742	0,0335945
140	0,3317551	0,3968009	0,5238085	0,0925230	0,1502232	0,8442065	0,9038092	0,1368874	0,9127624	0,3916630	0,7418736	0,3633009	0,0402079	0,8996769	0,1366636	0,0306620
160	0,3371182	0,4169275	0,5470371	0,1476732	0,1194584	0,9048482	0,8755931	0,1443070	0,9386600	0,3868907	0,7676115	0,3976681	0,0285085	0,9512831	0,1379068	0,0479223
180	0,3285080	0,4727388	0,5885033	0,1472013	0,1296786	0,9092284	0,9129599	0,1434560	0,8622637	0,3658622	0,8079692	0,3612381	0,0235209	0,8790705	0,1067872	0,0413969
200	0,3160333	0,5127011	0,5775938	0,1328353	0,1192122	0,9189582	1,0225838	0,1460041	0,9974319	0,3442496	0,8157095	0,3629434	0,0343785	0,8687663	0,1043879	0,0286621
220	0,2823514	0,4792585	0,6473635	0,1334727	0,1483772	0,9257498	1,0514261	0,1589287	0,9736495	0,3851338	0,8168319	0,3734805	0,0423031	0,8759069	0,1163832	0,0357880
240	0,2430627	0,4672981	0,5857287	0,1118715	0,1425568	0,9319471	0,9906154	0,1552836	1,0042902	0,3919430	0,8113149	0,3675599	0,0326383	0,8263791	0,1144852	0,0296132
260	0,2458782	0,4875749	0,6267799	0,1071000	0,1495154	1,0050507	0,9656257	0,1339928	0,9193724	0,4261293	0,8304851	0,3220295	0,0232284	0,8443401	0,1414446	0,0342244
280	0,2470616	0,5122452	0,6157945	0,1090840	0,1365296	1,0388634	0,9478320	0,1331134	0,9842334	0,4125968	0,8524500	0,3326911	0,0215846	0,8317746	0,1248349	0,0455212
300	0,2696845	0,5445173	0,6293174	0,1219536	0,1166310	0,9880537	0,9351525	0,1486036	0,9676311	0,4015614	0,8807274	0,3118407	0,0134475	0,9306255	0,1442460	0,0315855
320	0,2234196	0,5743229	0,5503168	0,1397744	0,1140804	1,0123642	0,9270579	0,2054658	1,0083305	0,3716158	0,8460025	0,3350980	0,0125099	0,7993622	0,1200208	0,0232521
340	0,2359556	0,6031908	0,6279658	0,1518397	0,1228738	1,0356402	0,9997832	0,1925382	1,0363996	0,3819881	0,8841294	0,3792976	0,0228670	0,8496589	0,1247950	0,0172220
360	0,2772519	0,5793147	0,5680861	0,1247433	0,1394667	1,0073195	1,0369854	0,1735974	1,0564377	0,4329590	0,8057169	0,3197761	0,0383825	0,8553957	0,1304893	0,0267738
380	0,2739932	0,5270453	0,6122106	0,1378084	0,1382515	1,0351987	1,0403981	0,1802696	1,0872233	0,4445777	0,8150988	0,3088861	0,0306806	0,8979567	0,1504152	0,0283992
400	0,2594357	0,5475495	0,6594403	0,1242780	0,1471538	0,9874077	1,0316550	0,1705111	1,0186351	0,4390798	0,8439710	0,3457462	0,0391289	0,9128317	0,1442582	0,0145644
420	0,2474867	0,5519623	0,6111480	0,1154439	0,1498027	0,9755032	1,0112583	0,1584090	0,9634883	0,4449247	0,8152729	0,3604093	0,0413044	0,9209318	0,1400107	0,0192513
440	0,2587968	0,5131969	0,6572218	0,1275157	0,1274678	0,9660083	1,0678479	0,1323762	0,9676889	0,4677809	0,9045997	0,3158924	0,0310239	0,9085280	0,1419705	0,0274311
460	0,2899051	0,5173766	0,6584154	0,1012895	0,1499291	0,9302669	1,0693884	0,1630615	0,9278369	0,4178910	0,8458249	0,3719638	0,0413897	0,9481011	0,1372999	0,0340733
480	0,2970526	0,4872865	0,6706380	0,1482305	0,1589564	0,8733375	1,0165408	0,1647206	0,8915590	0,4098203	0,8209763	0,3699645	0,0277641	0,9129741	0,1293202	0,0379158
500	0,2660206	0,5255414	0,6739984	0,1900052	0,1554427	0,8330315	0,9896503	0,1714698	0,9381445	0,4281464	0,8840940	0,4109382	0,0236767	0,9212410	0,1068755	0,0223104
520	0,2771640	0,5015185	0,5727823	0,1311279	0,1799429	0,8384770	1,0817376	0,1430101	0,9131663	0,3460706	0,8507931	0,3232253	0,0133914	0,8681339	0,1087338	0,0367744
540	0,2858990	0,4691471	0,5602727	0,1007488	0,1899569	0,8001831	1,0217070	0,1359063	1,0306561	0,3768186	0,7242168	0,2806800	0,0250671	0,8279471	0,1058419	0,0379148
560	0,2978297	0,4849969	0,6561539	0,1311211	0,2098634	0,8899351	1,0765301	0,1316958	0,9632413	0,4144219	0,8097126	0,3218300	0,0215736	0,8400057	0,1177007	0,0201516
580	0,5479102	0,4557081	0,6381832	0,1753577	0,1632570	0,8986812	1,0375850	0,5000377	1,0119220	0,4001101	0,8331186	0,3504952	0,1905089	0,5662768	0,1746774	0,0268534
600	0,7167347	0,4122443	0,5818009	0,1411085	0,1844404	0,8473371	0,9816413	0,7079586	0,9974444	0,4126207	0,8643876	0,4032419	0,2807268	0,3611389	0,2192568	0,0429308
