"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP

0	0,9335875	0,4348751	0,5630813	0,1394687	0,1604337	0,8516916	0,9760119	0,6322314	0,7200508	0,3867464	0,9317268	0,3902552	0,4365331	0,3155895	0,4126695	0,0305835
20	1,0291586	0,4310393	0,6065565	0,1193265	0,1375874	0,7911125	0,9431951	0,6024358	0,5358405	0,3688696	0,8081050	0,3563816	0,4628992	0,3205047	0,4450786	0,0236678
40	0,8518188	0,4345568	0,5817659	0,1071326	0,1335648	0,8537183	0,9305707	0,5016695	0,5525482	0,3845602	0,8391550	0,3764815	0,3866876	0,4435291	0,3860666	0,0255621
60	0,7179805	0,4236723	0,5818381	0,1196875	0,1503750	0,8328070	0,9041587	0,3873949	0,6255994	0,3631237	0,8120994	0,3821477	0,3005435	0,5364448	0,3567639	0,0180469
80	0,6245041	0,4528824	0,7006546	0,1241335	0,1605252	0,8785494	0,8114600	0,2866544	0,5978664	0,3630134	0,7936770	0,4181949	0,2410536	0,5771670	0,3046177	0,0279726
100	0,5323146	0,4344173	0,6558899	0,1340184	0,1732650	0,8702031	0,8250517	0,2164396	0,6805696	0,3521979	0,8180185	0,4537292	0,1451185	0,6497337	0,2825727	0,0321058
120	0,4488002	0,4597315	0,6696481	0,1457378	0,1443618	0,8616164	0,8918430	0,1590228	0,7088368	0,3311226	0,8404945	0,4521209	0,1146039	0,7316444	0,2303141	0,0298675
140	0,4468598	0,4406033	0,6371152	0,1199562	0,1367453	0,8858790	0,9264986	0,1485014	0,7375077	0,3767387	0,8596560	0,3657600	0,0847012	0,7730482	0,1735733	0,0380889
160	0,4318134	0,4365860	0,7018065	0,0934587	0,1099583	0,9012774	0,9485176	0,1551861	0,7988696	0,3622788	0,8384118	0,3633231	0,0635056	0,8775761	0,1646547	0,0452751
180	0,4069430	0,4293290	0,6608711	0,1306338	0,0929513	0,9589997	0,9323822	0,1166146	0,7745460	0,3560986	0,7524429	0,3569868	0,0665705	0,8929105	0,1368191	0,0465671
200	0,3579882	0,4645846	0,5819838	0,1196082	0,0955042	0,9610277	0,9187031	0,1231365	0,8606640	0,3508962	0,7565837	0,3535928	0,0425508	0,8340078	0,1357859	0,0408782
220	0,3244167	0,4748229	0,6028387	0,1158445	0,0959313	0,9412767	0,9583027	0,1171235	0,8690773	0,3506184	0,7859815	0,3648194	0,0538301	0,8718396	0,1327196	0,0280599
240	0,3010618	0,5243848	0,6248700	0,1421192	0,0894489	0,9544474	0,9793417	0,1284217	0,8777817	0,3137975	0,8053441	0,3725069	0,0592943	0,9638683	0,1221352	0,0273966
260	0,3073355	0,4824527	0,6105975	0,1286940	0,0931875	0,9107263	1,0462228	0,1282007	0,8920934	0,3429465	0,7876709	0,4070164	0,0435495	0,9603404	0,1278501	0,0243020
280	0,2747996	0,5248748	0,6141806	0,1225292	0,1242309	0,9453736	0,9940335	0,1359341	0,8998433	0,3660737	0,7979885	0,3542894	0,0346012	0,9218403	0,1288349	0,0312674
300	0,2193243	0,5142018	0,6082156	0,1069663	0,1171937	0,9118627	0,9678342	0,1576832	0,8904729	0,3183687	0,8355607	0,3579578	0,0202244	0,9123535	0,1227212	0,0270117
320	0,1945776	0,5511414	0,6864732	0,0972664	0,1176708	0,9463590	0,9054975	0,1646510	0,9207431	0,3273804	0,8043307	0,3142981	0,0113157	0,8864730	0,1479476	0,0222369
340	0,2063255	0,5821965	0,6873971	0,1355893	0,1124806	0,9500590	0,8551124	0,1815574	0,9817590	0,3397385	0,7504396	0,3642917	0,0134299	0,8607766	0,1183482	0,0198285
360	0,2421766	0,5606857	0,6417432	0,1186585	0,1440228	1,0289634	0,9434941	0,1605368	1,0826768	0,3439315	0,7120544	0,2922643	0,0246396	0,8258179	0,1150728	0,0119698
380	0,2730208	0,5546191	0,6031063	0,1427442	0,1375235	1,0405502	0,9570033	0,1814511	1,0465018	0,4008624	0,7233102	0,3024160	0,0286329	0,8067676	0,1004230	0,0234814
