"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP

0	1,0000000	0,4164950	0,6247446	0,1194885	0,1525209	0,7749920	0,9122183	0,6901292	0,7000270	0,4063729	0,8464851	0,3924742	0,4679434	0,2734909	0,4125036	0,0330835
20	0,7607519	0,4165870	0,6247446	0,1194885	0,1524441	0,7761949	0,9125406	0,3788008	0,7044776	0,4063729	0,8464851	0,3924742	0,3114634	0,5535269	0,3338172	0,0330835
40	0,6010530	0,4171168	0,6247446	0,1194885	0,1523808	0,7821459	0,9144030	0,2285170	0,7263055	0,4063729	0,8464851	0,3924742	0,2109534	0,7033587	0,2761844	0,0330835
60	0,4944536	0,4184261	0,6247446	0,1194885	0,1523287	0,7932128	0,9186543	0,1595299	0,7652325	0,4063731	0,8464851	0,3924742	0,1463940	0,7835254	0,2339721	0,0330835
80	0,4232981	0,4209620	0,6247446	0,1194885	0,1522858	0,8079117	0,9255332	0,1315374	0,8120977	0,4063733	0,8464851	0,3924742	0,1049264	0,8264182	0,2030542	0,0330835
100	0,3758016	0,4252945	0,6247446	0,1194885	0,1522504	0,8243589	0,9344656	0,1239396	0,8571962	0,4063738	0,8464851	0,3924742	0,0782910	0,8493677	0,1804089	0,0330835
120	0,3440975	0,4319681	0,6247446	0,1194885	0,1522213	0,8409013	0,9442788	0,1260212	0,8949320	0,4063747	0,8464851	0,3924742	0,0611825	0,8616468	0,1638226	0,0330835
140	0,3229349	0,4412310	0,6247446	0,1194885	0,1521973	0,8563528	0,9538015	0,1321387	0,9238680	0,4063761	0,8464851	0,3924742	0,0501935	0,8682166	0,1516742	0,0330835
160	0,3088089	0,4528029	0,6247446	0,1194885	0,1521775	0,8700174	0,9622757	0,1393506	0,9448889	0,4063781	0,8464851	0,3924742	0,0431350	0,8717318	0,1427762	0,0330835
180	0,2993797	0,4658712	0,6247446	0,1194885	0,1521613	0,8816042	0,9693911	0,1462082	0,9596578	0,4063807	0,8464851	0,3924742	0,0386013	0,8736125	0,1362591	0,0330835
200	0,2930857	0,4793422	0,6247446	0,1194885	0,1521479	0,8911093	0,9751389	0,1520962	0,9698221	0,4063837	0,8464851	0,3924742	0,0356891	0,8746188	0,1314857	0,0330835
220	0,2888844	0,4921788	0,6247446	0,1194885	0,1521368	0,8987019	0,9796625	0,1568514	0,9767292	0,4063868	0,8464851	0,3924742	0,0338186	0,8751572	0,1279894	0,0330835
240	0,2860800	0,5036363	0,6247446	0,1194885	0,1521278	0,9046368	0,9831587	0,1605362	0,9813873	0,4063899	0,8464851	0,3924742	0,0326172	0,8754453	0,1254287	0,0330835
260	0,2842081	0,5133323	0,6247446	0,1194885	0,1521203	0,9091936	0,9858259	0,1633075	0,9845151	0,4063926	0,8464851	0,3924742	0,0318454	0,8755994	0,1235531	0,0330835
280	0,2829586	0,5211928	0,6247446	0,1194885	0,1521141	0,9126403	0,9878409	0,1653459	0,9866105	0,4063951	0,8464851	0,3924742	0,0313497	0,8756819	0,1221793	0,0330835
300	0,2821245	0,5273497	0,6247446	0,1194885	0,1521090	0,9152145	0,9893517	0,1668194	0,9880132	0,4063970	0,8464851	0,3924742	0,0310314	0,8757260	0,1211731	0,0330835
320	0,2815678	0,5320407	0,6247446	0,1194885	0,1521049	0,9171165	0,9904776	0,1678704	0,9889519	0,4063986	0,8464851	0,3924742	0,0308268	0,8757496	0,1204362	0,0330835
340	0,2811962	0,5355363	0,6247446	0,1194885	0,1521014	0,9185088	0,9913124	0,1686119	0,9895805	0,4063998	0,8464851	0,3924742	0,0306955	0,8757623	0,1198964	0,0330835
360	0,2809481	0,5380947	0,6247446	0,1194885	0,1520986	0,9195198	0,9919287	0,1691306	0,9900016	0,4064008	0,8464851	0,3924742	0,0306111	0,8757690	0,1195010	0,0330835
380	0,2807825	0,5399399	0,6247446	0,1194885	0,1520962	0,9202487	0,9923820	0,1694909	0,9902839	0,4064014	0,8464851	0,3924742	0,0305569	0,8757726	0,1192115	0,0330835
400	0,2806720	0,5412550	0,6247446	0,1194885	0,1520943	0,9207711	0,9927143	0,1697397	0,9904733	0,4064019	0,8464851	0,3924742	0,0305221	0,8757746	0,1189994	0,0330835
420	0,2805982	0,5421831	0,6247446	0,1194885	0,1520927	0,9211434	0,9929572	0,1699107	0,9906005	0,4064023	0,8464851	0,3924742	0,0304997	0,8757756	0,1188440	0,0330835
440	0,2805490	0,5428327	0,6247446	0,1194885	0,1520914	0,9214074	0,9931343	0,1700278	0,9906860	0,4064026	0,8464851	0,3924742	0,0304854	0,8757762	0,1187302	0,0330835
460	0,2805161	0,5432844	0,6247446	0,1194885	0,1520904	0,9215938	0,9932630	0,1701077	0,9907434	0,4064027	0,8464851	0,3924742	0,0304762	0,8757765	0,1186469	0,0330835
480	0,2804942	0,5435967	0,6247446	0,1194885	0,1520895	0,9217249	0,9933565	0,1701620	0,9907820	0,4064029	0,8464851	0,3924742	0,0304702	0,8757766	0,1185859	0,0330835
500	0,2804795	0,5438116	0,6247446	0,1194885	0,1520888	0,9218168	0,9934241	0,1701989	0,9908079	0,4064030	0,8464851	0,3924742	0,0304664	0,8757767	0,1185412	0,0330835
520	0,2804697	0,5439588	0,6247446	0,1194885	0,1520882	0,9218809	0,9934731	0,1702239	0,9908254	0,4064030	0,8464851	0,3924742	0,0304640	0,8757767	0,1185084	0,0330835
540	0,2804632	0,5440594	0,6247446	0,1194885	0,1520877	0,9219256	0,9935084	0,1702408	0,9908371	0,4064031	0,8464851	0,3924742	0,0304624	0,8757768	0,1184844	0,0330835
560	0,2804589	0,5441279	0,6247446	0,1194885	0,1520873	0,9219567	0,9935338	0,1702522	0,9908450	0,4064031	0,8464851	0,3924742	0,0304614	0,8757768	0,1184669	0,0330835
580	0,5197041	0,5341373	0,6247446	0,1194885	0,1520869	0,9199374	0,9930309	0,5104604	0,9900390	0,4064000	0,8464851	0,3924742	0,1869407	0,5957408	0,1971124	0,0330835
600	0,6794010	0,5037778	0,6247446	0,1194885	0,1520866	0,9105235	0,9897768	0,6618677	0,9844839	0,4063919	0,8464851	0,3924742	0,2874502	0,4459090	0,2547153	0,0330835
620	0,7859992	0,4739989	0,6247446	0,1194885	0,1520864	0,8947221	0,9824678	0,7191941	0,9694880	0,4063850	0,8464851	0,3924742	0,3520092	0,3657423	0,2969057	0,0330835
640	0,8571538	0,4525927	0,6247446	0,1194885	0,1520862	0,8760012	0,9722624	0,7341283	0,9432576	0,4063803	0,8464851	0,3924742	0,3934767	0,3228495	0,3278075	0,0330835
660	0,9046497	0,4387231	0,6247446	0,1194885	0,1520861	0,8572526	0,9613340	0,7321450	0,9088262	0,4063774	0,8464851	0,3924742	0,4201120	0,2999000	0,3504412	0,0330835
680	0,9363534	0,4300954	0,6247446	0,1194885	0,1520860	0,8401966	0,9512085	0,7247724	0,8715664	0,4063756	0,8464851	0,3924742	0,4372203	0,2876209	0,3670189	0,0330835
700	0,9575157	0,4248183	0,6247446	0,1194885	0,1520858	0,8255979	0,9425478	0,7167738	0,8360787	0,4063745	0,8464851	0,3924742	0,4482093	0,2810511	0,3791610	0,0330835
720	0,9716416	0,4216095	0,6247446	0,1194885	0,1520858	0,8136115	0,9354768	0,7098432	0,8050213	0,4063739	0,8464851	0,3924742	0,4552677	0,2775359	0,3880543	0,0330835
740	0,9810707	0,4196580	0,6247446	0,1194885	0,1520857	0,8040614	0,9298684	0,7043741	0,7793542	0,4063735	0,8464851	0,3924742	0,4598015	0,2756552	0,3945681	0,0330835
760	0,9873646	0,4184666	0,6247446	0,1194885	0,1520856	0,7966232	0,9255047	0,7002643	0,7589730	0,4063733	0,8464851	0,3924742	0,4627136	0,2746489	0,3993390	0,0330835
780	0,9915658	0,4177346	0,6247446	0,1194885	0,1520856	0,7909323	0,9221553	0,6972637	0,7432496	0,4063731	0,8464851	0,3924742	0,4645841	0,2741105	0,4028334	0,0330835
