"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP

0	1,0000000	0,4164950	0,6247446	0,1194885	0,1528325	0,7749976	0,9122823	0,6901266	0,7000079	0,4064347	0,8464851	0,3924606	0,4679445	0,2734966	0,4131750	0,0331008
20	0,9453554	0,4165072	0,6247446	0,1194885	0,1527010	0,7750960	0,9122910	0,6188626	0,7004236	0,4064180	0,8464851	0,3924651	0,4303976	0,3312167	0,4006918	0,0330958
40	0,8355916	0,4166449	0,6247446	0,1194885	0,1525925	0,7761708	0,9126149	0,4924977	0,7047792	0,4064057	0,8464851	0,3924681	0,3571350	0,4401244	0,3728077	0,0330923
60	0,7181314	0,4171219	0,6247446	0,1194885	0,1525032	0,7794197	0,9137769	0,3755150	0,7175593	0,4063969	0,8464851	0,3924701	0,2812394	0,5490356	0,3389344	0,0330897
80	0,6130783	0,4182281	0,6247446	0,1194885	0,1524295	0,7854771	0,9163055	0,2862386	0,7400599	0,4063904	0,8464851	0,3924714	0,2155689	0,6401753	0,3044714	0,0330879
100	0,5268865	0,4203527	0,6247446	0,1194885	0,1523688	0,7942942	0,9205124	0,2250686	0,7700525	0,4063859	0,8464851	0,3924723	0,1634583	0,7102711	0,2723017	0,0330867
120	0,4596639	0,4239649	0,6247446	0,1194885	0,1523188	0,8053265	0,9263303	0,1866261	0,8036101	0,4063827	0,8464851	0,3924729	0,1241605	0,7616206	0,2437675	0,0330857
140	0,4089500	0,4295069	0,6247446	0,1194885	0,1522777	0,8177822	0,9333414	0,1646417	0,8370116	0,4063807	0,8464851	0,3924733	0,0955001	0,7980808	0,2192998	0,0330851
160	0,3715753	0,4372178	0,6247446	0,1194885	0,1522437	0,8308319	0,9409600	0,1536953	0,8676789	0,4063797	0,8464851	0,3924736	0,0750849	0,8234208	0,1988178	0,0330846
180	0,3445031	0,4469821	0,6247446	0,1194885	0,1522158	0,8437478	0,9486230	0,1496501	0,8942687	0,4063797	0,8464851	0,3924738	0,0607948	0,8407641	0,1819782	0,0330843
200	0,3251513	0,4583058	0,6247446	0,1194885	0,1521928	0,8559717	0,9558967	0,1495850	0,9163827	0,4063804	0,8464851	0,3924739	0,0509252	0,8525003	0,1683252	0,0330841
220	0,3114616	0,4704384	0,6247446	0,1194885	0,1521738	0,8671314	0,9625045	0,1515633	0,9342123	0,4063817	0,8464851	0,3924740	0,0441806	0,8603742	0,1573786	0,0330839
240	0,3018578	0,4825694	0,6247446	0,1194885	0,1521582	0,8770231	0,9683080	0,1543785	0,9482516	0,4063835	0,8464851	0,3924741	0,0396105	0,8656219	0,1486815	0,0330838
260	0,2951664	0,4940023	0,6247446	0,1194885	0,1521454	0,8855779	0,9732715	0,1573319	0,9591053	0,4063857	0,8464851	0,3924741	0,0365356	0,8691014	0,1418238	0,0330837
280	0,2905305	0,5042520	0,6247446	0,1194885	0,1521348	0,8928248	0,9774276	0,1600587	0,9673753	0,4063879	0,8464851	0,3924741	0,0344786	0,8713990	0,1364510	0,0330837
300	0,2873339	0,5130630	0,6247446	0,1194885	0,1521260	0,8988564	0,9808482	0,1624006	0,9736035	0,4063901	0,8464851	0,3924741	0,0331093	0,8729113	0,1322647	0,0330836
320	0,2851386	0,5203749	0,6247446	0,1194885	0,1521189	0,9038011	0,9836234	0,1643191	0,9782496	0,4063922	0,8464851	0,3924742	0,0322016	0,8739040	0,1290182	0,0330836
340	0,2836361	0,5262656	0,6247446	0,1194885	0,1521130	0,9078018	0,9858482	0,1658387	0,9816882	0,4063942	0,8464851	0,3924742	0,0316020	0,8745544	0,1265111	0,0330836
360	0,2826108	0,5308942	0,6247446	0,1194885	0,1521081	0,9110019	0,9876135	0,1670124	0,9842166	0,4063958	0,8464851	0,3924742	0,0312072	0,8749797	0,1245819	0,0330835
380	0,2819129	0,5344550	0,6247446	0,1194885	0,1521041	0,9135360	0,9890021	0,1679011	0,9860652	0,4063973	0,8464851	0,3924742	0,0309479	0,8752575	0,1231022	0,0330835
400	0,2814389	0,5371455	0,6247446	0,1194885	0,1521008	0,9155249	0,9900858	0,1685634	0,9874104	0,4063985	0,8464851	0,3924742	0,0307780	0,8754387	0,1219707	0,0330835
420	0,2811176	0,5391474	0,6247446	0,1194885	0,1520980	0,9170736	0,9909260	0,1690507	0,9883853	0,4063995	0,8464851	0,3924742	0,0306669	0,8755568	0,1211075	0,0330835
440	0,2809001	0,5406175	0,6247446	0,1194885	0,1520958	0,9182712	0,9915735	0,1694052	0,9890892	0,4064003	0,8464851	0,3924742	0,0305944	0,8756337	0,1204507	0,0330835
460	0,2807532	0,5416848	0,6247446	0,1194885	0,1520940	0,9191914	0,9920698	0,1696608	0,9895959	0,4064009	0,8464851	0,3924742	0,0305471	0,8756838	0,1199520	0,0330835
480	0,2806541	0,5424521	0,6247446	0,1194885	0,1520924	0,9198944	0,9924484	0,1698436	0,9899595	0,4064014	0,8464851	0,3924742	0,0305164	0,8757163	0,1195740	0,0330835
500	0,2805872	0,5429990	0,6247446	0,1194885	0,1520912	0,9204288	0,9927360	0,1699735	0,9902198	0,4064018	0,8464851	0,3924742	0,0304964	0,8757375	0,1192881	0,0330835
520	0,2805422	0,5433860	0,6247446	0,1194885	0,1520902	0,9208332	0,9929535	0,1700652	0,9904058	0,4064022	0,8464851	0,3924742	0,0304834	0,8757513	0,1190721	0,0330835
540	0,2805120	0,5436580	0,6247446	0,1194885	0,1520893	0,9211378	0,9931174	0,1701296	0,9905384	0,4064024	0,8464851	0,3924742	0,0304750	0,8757602	0,1189092	0,0330835
560	0,2804916	0,5438481	0,6247446	0,1194885	0,1520886	0,9213665	0,9932406	0,1701746	0,9906327	0,4064026	0,8464851	0,3924742	0,0304696	0,8757660	0,1187865	0,0330835
580	0,3351225	0,5425472	0,6247446	0,1194885	0,1520880	0,9213665	0,9932877	0,2484903	0,9906280	0,4064024	0,8464851	0,3924742	0,0680124	0,8180477	0,1309835	0,0330835
600	0,4448772	0,5320757	0,6247446	0,1194885	0,1520876	0,9197344	0,9927820	0,3841138	0,9897152	0,4064007	0,8464851	0,3924742	0,1412724	0,7091411	0,1586524	0,0330835
620	0,5623313	0,5125999	0,6247446	0,1194885	0,1520872	0,9148602	0,9907883	0,5041364	0,9859029	0,4063972	0,8464851	0,3924742	0,2171664	0,6002307	0,1923641	0,0330835
640	0,6673802	0,4906082	0,6247446	0,1194885	0,1520869	0,9063641	0,9866584	0,5902948	0,9767372	0,4063932	0,8464851	0,3924742	0,2828358	0,5090915	0,2267059	0,0330835
660	0,7535692	0,4707242	0,6247446	0,1194885	0,1520866	0,8949057	0,9805144	0,6451908	0,9607833	0,4063893	0,8464851	0,3924742	0,3349457	0,4389960	0,2587847	0,0330835
680	0,8207900	0,4547468	0,6247446	0,1194885	0,1520864	0,8816029	0,9730188	0,6769926	0,9384766	0,4063858	0,8464851	0,3924742	0,3742431	0,3876467	0,2872508	0,0330835
700	0,8715026	0,4427835	0,6247446	0,1194885	0,1520862	0,8675931	0,9649516	0,6935956	0,9117176	0,4063829	0,8464851	0,3924742	0,4029032	0,3511866	0,3116676	0,0330835
720	0,9088765	0,4342260	0,6247446	0,1194885	0,1520860	0,8538089	0,9569612	0,7009840	0,8829320	0,4063805	0,8464851	0,3924742	0,4233182	0,3258467	0,3321115	0,0330835
740	0,9359481	0,4282930	0,6247446	0,1194885	0,1520859	0,8409071	0,9494910	0,7031964	0,8543220	0,4063786	0,8464851	0,3924742	0,4376082	0,3085035	0,3489227	0,0330835
760	0,9552995	0,4242691	0,6247446	0,1194885	0,1520858	0,8292822	0,9427933	0,7027586	0,8275118	0,4063772	0,8464851	0,3924742	0,4474776	0,2967673	0,3625545	0,0330835
780	0,9689891	0,4215827	0,6247446	0,1194885	0,1520857	0,8191168	0,9369744	0,7011541	0,8034899	0,4063761	0,8464851	0,3924742	0,4542222	0,2888935	0,3734853	0,0330835
800	0,9785927	0,4198094	0,6247446	0,1194885	0,1520857	0,8104397	0,9320408	0,6991989	0,7827062	0,4063753	0,8464851	0,3924742	0,4587923	0,2836457	0,3821706	0,0330835
820	0,9852839	0,4186482	0,6247446	0,1194885	0,1520856	0,8031785	0,9279384	0,6973047	0,7652185	0,4063747	0,8464851	0,3924742	0,4618672	0,2801663	0,3890195	0,0330835
840	0,9899198	0,4178919	0,6247446	0,1194885	0,1520856	0,7972023	0,9245809	0,6956511	0,7508336	0,4063742	0,8464851	0,3924742	0,4639242	0,2778687	0,3943857	0,0330835
860	0,9931163	0,4174010	0,6247446	0,1194885	0,1520855	0,7923526	0,9218688	0,6942916	0,7392201	0,4063739	0,8464851	0,3924742	0,4652935	0,2763564	0,3985672	0,0330835
