"Time"	deoR	nupG	cytR	crp	rhaR	tsx	deoC	deoA	deoB	deoD	udp	ppiA	cdd	nupC	rpoH	glgP

0	0,6755115	0,3489914	0,4830150	0,1147116	0,1191065	0,6069404	0,7334640	0,5084975	0,4231129	0,2495386	0,6732376	0,2863458	0,3196730	0,2285704	0,3202563	0,0139000
20	0,8841484	0,3137038	0,4818168	0,0964040	0,1011238	0,5412975	0,6372183	0,4348514	0,3589827	0,2530093	0,6234937	0,2463363	0,4476791	0,2079288	0,2452364	0,0126118
40	0,7353436	0,3751578	0,4962709	0,0551117	0,1013430	0,6580793	0,6369982	0,4211201	0,3893791	0,3169976	0,5270514	0,2783515	0,2188583	0,3464692	0,3357253	0,0262488
60	0,5524775	0,2928960	0,4862620	0,0620855	0,1111639	0,6287857	0,6336506	0,2383654	0,5092179	0,3496799	0,6656366	0,3138454	0,2098809	0,3286040	0,3052825	0,0144680
80	0,4914921	0,3338245	0,5385330	0,1015391	0,1694269	0,5882356	0,6917599	0,1739705	0,4584492	0,2720385	0,6047548	0,3135709	0,1488339	0,4394171	0,3011948	0,0148890
100	0,3818481	0,3947090	0,5319818	0,1008996	0,1263229	0,7261201	0,5527861	0,1570201	0,5179888	0,2479750	0,6522915	0,3310037	0,1087178	0,4982791	0,2138316	0,0267725
120	0,3263814	0,4080705	0,5280909	0,0848017	0,0923351	0,6820612	0,6493956	0,1429414	0,4780843	0,2281406	0,7039718	0,3350594	0,0573992	0,5818691	0,1179900	0,0245619
140	0,2873221	0,3118880	0,5067374	0,0859973	0,0867779	0,5900442	0,7736879	0,1143548	0,7010834	0,3221108	0,6577286	0,2359765	0,0572319	0,6101342	0,1498347	0,0229257
160	0,3747689	0,3589100	0,4950458	0,0654958	0,0856403	0,6566963	0,6778478	0,0945321	0,5931612	0,2819185	0,5911383	0,2108802	0,0357960	0,5273749	0,1037117	0,0427800
