"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD

0	0,5533752	0,2160099	0,2925202	0,4569171	0,6771310	0,1652768	0,0985000	0,2200364	0,3231500	0,7511730	0,6047787	0,2694482	0,6556904	0,1141272	0,7649729	0,1982480
20	0,5965165	0,3179643	0,2715100	0,5286783	0,5190518	0,1799767	0,2005029	0,1833175	0,5667141	0,7687564	0,6004273	0,2317454	0,6885323	0,1465692	0,7721188	0,1744716
40	0,5663731	0,2290126	0,2980218	0,4790255	0,4319997	0,2381448	0,1519532	0,1379536	0,5047245	0,7565759	0,6578575	0,2669875	0,5833495	0,1262641	0,6009259	0,1729271
60	0,6151166	0,3051280	0,2629350	0,4575478	0,5446200	0,1639520	0,1428484	0,1221621	0,3328543	0,8265984	0,6746940	0,3190412	0,5184967	0,2515343	0,5496949	0,1316388
80	0,6211748	0,2025187	0,3010690	0,4362138	0,5182788	0,1364159	0,1444654	0,1115018	0,3796474	0,8215373	0,4807730	0,2706140	0,5639921	0,1804410	0,5685620	0,2473352
100	0,5528036	0,1954698	0,3043949	0,4022458	0,5426117	0,2331286	0,1546214	0,1326362	0,5037536	0,6354922	0,5911252	0,2989821	0,7682589	0,1469903	0,8607572	0,2164167
120	0,5031239	0,2450562	0,3307629	0,5932735	0,5607433	0,1244059	0,2252541	0,1534590	0,5541355	0,7291521	0,5735770	0,3062845	0,6601636	0,1048537	0,8134225	0,2279815
140	0,6097943	0,2192171	0,3406717	0,4609165	0,6295891	0,2040488	0,1610879	0,1220283	0,4251287	0,8719899	0,5124129	0,2923747	0,5202449	0,1787669	0,7731672	0,2607100
160	0,6682545	0,2138324	0,2776800	0,4817890	0,6210289	0,2317519	0,1627925	0,2000221	0,4831672	0,8595165	0,5451724	0,2862268	0,6916410	0,1665415	0,8002079	0,3261245
180	0,7833363	0,2346494	0,2528305	0,5104154	0,4875571	0,1784951	0,1834329	0,1683628	0,4113164	0,7174231	0,6583658	0,2450469	0,4979621	0,1759098	0,7014930	0,2418260
200	0,6084041	0,3052747	0,2707035	0,5656370	0,5467628	0,1190130	0,1940873	0,1395797	0,5167101	0,6538834	0,5593095	0,2835521	0,6034132	0,1121406	0,6650011	0,2177609
220	0,6398302	0,2499133	0,2795960	0,4460186	0,5952270	0,1383522	0,1722969	0,1183707	0,4399508	0,8243414	0,5491074	0,2602678	0,6479706	0,1151687	0,7150950	0,1882712
240	0,5801212	0,2409184	0,2752018	0,4373660	0,4755773	0,0873993	0,2239877	0,1603024	0,4565543	0,6145270	0,6241770	0,3032697	0,5903731	0,1946791	0,6770682	0,1760228
260	0,6765890	0,2701716	0,2139030	0,5420864	0,4976278	0,1215993	0,1450850	0,1395639	0,4142134	0,6951713	0,6052513	0,2729286	0,7117785	0,1498134	0,5753392	0,1550694
280	0,5099491	0,3105351	0,3085032	0,3738269	0,5247334	0,1298161	0,1756351	0,1589027	0,4889159	0,6678243	0,6066127	0,3153422	0,5237356	0,1920353	0,6427175	0,2328111
300	0,5661277	0,2705307	0,3392658	0,4954532	0,5211134	0,1867470	0,2047976	0,1771313	0,4778923	0,7160838	0,7124054	0,2354047	0,6082773	0,1293216	0,6720002	0,2078928
320	0,4256086	0,2904099	0,2529199	0,5213588	0,5651445	0,2083785	0,2176279	0,2029197	0,5036203	0,8134776	0,5621435	0,3295556	0,5378312	0,1699312	0,8252372	0,2790832
340	0,5710331	0,2411783	0,2886561	0,4764963	0,5535911	0,2223448	0,2607846	0,1158860	0,4210045	0,7932218	0,5979933	0,2250325	0,6122823	0,1447134	0,6583149	0,2962803
360	0,5826860	0,2643602	0,2936147	0,4807827	0,5615919	0,1329744	0,1552055	0,1172339	0,3395493	0,7003465	0,4633347	0,2457353	0,6555035	0,1467688	0,7447586	0,2921082
380	0,5776139	0,2949817	0,2844263	0,6556548	0,5122030	0,1899514	0,1385495	0,1534036	0,4008156	0,7027915	0,4520231	0,2596401	0,6746226	0,1818094	0,7446429	0,1922439
400	0,5870749	0,3098981	0,1959473	0,5774185	0,6025158	0,1984022	0,1837497	0,1281404	0,4103171	0,7632660	0,6565711	0,2697992	0,5599450	0,1629016	0,5579784	0,2402888
420	0,5234932	0,2650286	0,3285739	0,5281114	0,6503595	0,1303449	0,1802232	0,1371973	0,4700613	0,8190720	0,6585722	0,2236402	0,5972015	0,1210731	0,8465186	0,1984787
440	0,5192386	0,2417762	0,3015295	0,5938384	0,5369359	0,1558268	0,1831683	0,1032427	0,4505689	0,7935851	0,5315076	0,2582234	0,5923045	0,1456808	0,7638772	0,1630589
460	0,4874349	0,2727797	0,2932609	0,5315355	0,5309074	0,1440323	0,1357973	0,0672358	0,4136702	0,8135652	0,4861105	0,3217861	0,4913206	0,1129672	0,7190472	0,1698542
480	0,5808132	0,2737700	0,2820858	0,3945662	0,5544316	0,1524191	0,2060089	0,1091439	0,4264365	0,7731089	0,5799283	0,3180955	0,5120375	0,1121272	0,5460331	0,2459499
500	0,4206750	0,1851906	0,2560152	0,3932782	0,4832134	0,2287358	0,2377604	0,1227552	0,5097125	0,7450401	0,5874343	0,2607577	0,6711068	0,1396196	0,7301682	0,2190161
520	0,5904151	0,3487336	0,3034949	0,5208440	0,6360532	0,2066418	0,1558271	0,1598880	0,4369543	0,8550718	0,6033158	0,3048557	0,6737987	0,1891383	0,6144851	0,2226067
540	0,5218566	0,3039358	0,2578391	0,5109549	0,5404183	0,2099400	0,1806641	0,0997363	0,5857878	0,6291530	0,5424391	0,2226233	0,6609709	0,1216863	0,5935094	0,1821396
