hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD	Time	Experiment
0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0
1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	20	0
1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	40	0
1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	60	0
1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	80	0
0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	100	0
0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	120	0
1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	140	0
1	0	1	0	1	0	0	0	0	1	0	1	1	0	1	1	160	0
1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	180	0
1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	200	0
1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	220	0
1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	240	0
1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	260	0
0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	280	0
1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	300	0
0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	320	0
1	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	340	0
1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	360	0
1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	380	0
1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	400	0
0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	420	0
0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	440	0
0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	460	0
1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	480	0
0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	500	0
1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	520	0
0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	540	0
0	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	560	0
0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	580	0
1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	600	0
0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	620	0
0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	640	0
1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	660	0
1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	680	0
1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	700	0
0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	720	0
1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	740	0
0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	760	0
0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	0	780	0
0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	800	0
0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	820	0
0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	840	0
1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	860	0
1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0	880	0
0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	900	0
0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	920	0
0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	940	0
1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	960	0
1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	980	0
1	1	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1000	0
1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1020	0
1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1040	0
1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1060	0
1	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1080	0
1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1100	0
1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1
0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	20	1
0	1	0	1	0	0	1	1	0	1	0	1	1	0	1	0	40	1
0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	60	1
0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	80	1
1	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0	100	1
1	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	120	1
0	1	1	0	1	0	1	1	1	0	0	1	1	0	1	0	140	1
0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	160	1
1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	0	180	1
0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	200	1
1	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	220	1
0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	240	1
0	1	0	0	1	0	1	1	1	1	0	0	1	0	1	0	260	1
1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	280	1
0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	300	1
0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	320	1
0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	340	1
1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	360	1
1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	0	380	1
1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	400	1
1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	420	1
0	1	1	1	0	0	1	1	0	1	1	0	0	0	1	0	440	1
0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	460	1
0	0	1	0	0	0	1	1	0	1	0	1	1	0	1	0	480	1
1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	500	1
0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	520	1
0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	540	1
0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	560	1
1	1	1	0	0	0	0	1	1	1	0	0	1	0	1	0	580	1
0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	600	1
0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	620	1
0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	640	1
0	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	660	1
0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	680	1
1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	700	1
0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	720	1
0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	740	1
0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	760	1
0	1	0	1	0	0	0	0	0	1	1	1	1	0	1	0	780	1
0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	0	800	1
1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	820	1
0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	840	1
0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	860	1
0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	880	1
0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	900	1
1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	920	1
0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	940	1
1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	960	1
0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	980	1
0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1000	1
1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	1020	1
1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	1040	1
0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1060	1
1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1080	1
1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1100	1
0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	2
0	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	20	2
0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	40	2
0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	0	60	2
1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	80	2
0	0	1	1	0	1	1	1	0	0	0	1	1	0	1	0	100	2
