"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD

0	0,6901887	0,3011659	0,3610637	0,5426894	0,7793742	0,1743977	0,1510436	0,2100146	0,5197872	0,9659991	0,7132291	0,3327858	0,7820050	0,1886105	0,9196860	0,2544122
20	0,7117997	0,3327288	0,3587540	0,6162805	0,6815561	0,2137823	0,2183673	0,1984140	0,5936646	0,9709743	0,7516520	0,3138625	0,8031939	0,1689693	0,8810419	0,2429566
40	0,7008549	0,3443866	0,3393969	0,5863818	0,6056733	0,2039076	0,1872860	0,1679157	0,5522467	1,0033959	0,7503403	0,3493139	0,7806291	0,1648938	0,8330889	0,2268694
60	0,7253187	0,3047534	0,3320138	0,6521036	0,6345977	0,1856628	0,1778017	0,1660925	0,5000835	0,9715128	0,8039671	0,3488611	0,7508918	0,1981436	0,8692714	0,2511307
80	0,6901416	0,2897599	0,3662171	0,5630033	0,6574247	0,1683545	0,1575290	0,1680000	0,5059106	0,9653951	0,7575871	0,3348074	0,7488529	0,1735810	0,8740384	0,2894063
100	0,6868720	0,3048123	0,3847444	0,5531776	0,7441534	0,2094280	0,1949559	0,1819851	0,5577385	0,9660609	0,7862143	0,3388123	0,7667641	0,1786480	0,9388412	0,2742221
120	0,6813333	0,3343615	0,3678222	0,5546865	0,7185972	0,1953132	0,2342824	0,1846526	0,5939652	0,9744750	0,7687229	0,3368894	0,7869674	0,1830141	0,9545852	0,2858713
140	0,6787615	0,3018444	0,3713678	0,5214009	0,7540000	0,2202888	0,2305075	0,2412219	0,5576550	0,9802952	0,7350220	0,2945727	0,7588884	0,2098897	0,9015079	0,3131573
160	0,7174314	0,3177379	0,3557171	0,5635404	0,6894940	0,2075725	0,2433586	0,2068653	0,5676073	0,9735250	0,7133156	0,3272743	0,7824744	0,2177561	0,9019438	0,2739125
180	0,7649146	0,2837932	0,3181824	0,5797996	0,6738552	0,2652691	0,2323650	0,2005191	0,5915653	0,8971681	0,7837280	0,3396554	0,7050729	0,2107855	0,8776617	0,2780762
200	0,7486839	0,2879172	0,3816674	0,5690314	0,6678501	0,1840873	0,2370280	0,1572125	0,5495107	0,8741039	0,7634768	0,3786654	0,7718475	0,1727112	0,8885397	0,2781927
220	0,7205048	0,2761196	0,3991224	0,5703371	0,6599615	0,1813803	0,1857218	0,1412171	0,5557960	0,8306471	0,7947407	0,3400750	0,7769756	0,1598119	0,9095427	0,2496373
240	0,7383549	0,3123420	0,3703222	0,6026688	0,6743053	0,1750040	0,2287061	0,1628644	0,5912257	0,8645012	0,7733534	0,3301336	0,7856509	0,1941892	0,8670997	0,2582222
260	0,7118976	0,3300960	0,3710674	0,6340446	0,6853828	0,1880699	0,2157370	0,1782325	0,5758856	0,8836180	0,7419767	0,3659134	0,8462227	0,1887138	0,8657993	0,2701998
280	0,6633486	0,3486755	0,3938030	0,5895273	0,6757748	0,1887154	0,2302483	0,1976936	0,5461313	0,8928522	0,7898055	0,3798107	0,8071076	0,2039072	0,8487507	0,2779587
300	0,6211429	0,3839145	0,3669572	0,5937195	0,6662443	0,2391779	0,2471674	0,2188771	0,5942645	0,9101518	0,7870319	0,3412010	0,8478393	0,1977051	0,8728443	0,2959088
320	0,5904446	0,3717092	0,3274430	0,6601481	0,7152534	0,2461141	0,2771269	0,1972458	0,6347335	0,9826058	0,7484483	0,3401240	0,7534698	0,2081939	0,8988626	0,3239323
340	0,6362771	0,3721427	0,3065957	0,6740338	0,6969449	0,2399550	0,2824578	0,1809932	0,5601581	0,9580797	0,7194495	0,3018182	0,7650132	0,1818623	0,9290452	0,2899734
360	0,6723234	0,3355001	0,3745981	0,6812539	0,7367527	0,2006964	0,2251213	0,1608297	0,5486008	0,9264445	0,7258848	0,3037135	0,7893149	0,1652686	0,9039044	0,2823901
380	0,6842690	0,3727577	0,3483378	0,6526077	0,7626451	0,2156515	0,2065672	0,1528850	0,5399245	0,8926413	0,6989922	0,2910891	0,7651679	0,1644995	0,8621871	0,2897836
400	0,6603271	0,3752776	0,2950867	0,6783404	0,7381099	0,2203893	0,2120710	0,1644453	0,5482309	0,8804625	0,7730598	0,3094453	0,7617264	0,1663692	0,8166861	0,2455871
420	0,6706376	0,3289289	0,3625131	0,5968329	0,6665298	0,2163757	0,2219826	0,1438324	0,5557054	0,9740796	0,7367532	0,3086659	0,7464978	0,1543355	0,8882459	0,2626636
440	0,6588069	0,3107259	0,4167095	0,5842634	0,6412422	0,2164303	0,2050238	0,1265652	0,5199458	0,9504673	0,7101206	0,3395968	0,7408383	0,1460458	0,8953010	0,2338942
460	0,6411605	0,3300930	0,3711858	0,5953394	0,6343545	0,2172845	0,2282336	0,1252062	0,5094051	0,9226026	0,6958794	0,3564253	0,7485306	0,1428035	0,9121598	0,2491586
480	0,6256410	0,3576295	0,3346751	0,5674181	0,6708833	0,2326121	0,2534587	0,1669940	0,5162513	0,9164309	0,7353218	0,3306382	0,7890220	0,1742298	0,8206872	0,2531384
500	0,6333053	0,3229192	0,3361680	0,5914979	0,6888876	0,2340731	0,2586358	0,1867090	0,5827357	0,9693424	0,7270587	0,3715218	0,7871692	0,1863512	0,8635247	0,2402715
520	0,6711278	0,3320366	0,3855946	0,6041843	0,6452965	0,2274620	0,2409216	0,1522255	0,5469085	0,9453616	0,6833672	0,3220171	0,7466052	0,1864493	0,8522644	0,2494954
540	0,6485695	0,3620322	0,3358922	0,6467549	0,6770560	0,2357963	0,2532889	0,1653817	0,5800791	0,9264528	0,6958071	0,2982316	0,7291687	0,1853763	0,8366073	0,2623975
