"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD

0	0,7081478	0,3190892	0,3726016	0,5738924	0,6608471	0,1615315	0,1952059	0,2017575	0,5682986	0,8925857	0,7770426	0,3591222	0,7936145	0,2199795	0,9712504	0,2517356
20	0,6380795	0,2881233	0,3636697	0,5498294	0,7178213	0,2209304	0,1866257	0,2154856	0,5766375	0,9622472	0,7021512	0,3619771	0,8904047	0,1569967	0,8525877	0,2563820
40	0,6950876	0,3216469	0,3565003	0,5481715	0,6495122	0,2139971	0,1623520	0,1587343	0,5874239	0,9629475	0,7271647	0,3444301	0,8776949	0,1700126	0,8863358	0,2269049
60	0,7073451	0,3148612	0,3441629	0,5654823	0,6393882	0,2172705	0,1620376	0,1523512	0,5532399	0,9668383	0,7873761	0,3544449	0,8320599	0,1854923	0,9572806	0,2398123
80	0,6913192	0,3367868	0,3315515	0,5626824	0,6784662	0,1898744	0,1294526	0,1736285	0,5259501	0,9560361	0,7460593	0,3498922	0,8444579	0,1647924	0,8873654	0,2571031
100	0,6886839	0,2948908	0,3896650	0,5723605	0,6718396	0,1528296	0,1456759	0,1265903	0,5345121	0,9477684	0,7029768	0,2985249	0,8715606	0,1613938	0,9416068	0,2651248
120	0,6881211	0,2980080	0,3130271	0,6140622	0,6608004	0,1640787	0,1963643	0,1594692	0,5496248	0,8989830	0,7269498	0,2757537	0,8711657	0,1590104	0,9013486	0,2787292
140	0,6681648	0,2918491	0,3851160	0,5556927	0,7018224	0,1988694	0,1901829	0,2161365	0,5883876	0,8788719	0,7330662	0,2839647	0,8005772	0,1537549	0,9077793	0,2897906
160	0,6610015	0,3219675	0,3588410	0,5224024	0,7283625	0,2052983	0,2024345	0,2287549	0,5574554	0,8982298	0,7574595	0,2965090	0,8108080	0,1759951	0,9837315	0,2925574
