"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD

0	0,6937970	0,3345596	0,3492908	0,6024895	0,6886799	0,2045647	0,2231066	0,1754042	0,5799005	0,9327251	0,7506237	0,3280954	0,7644073	0,1807616	0,8627472	0,2590920
20	0,6937976	0,3345596	0,3492908	0,6028013	0,6886799	0,2045647	0,2231068	0,1754043	0,5799007	0,9327259	0,7506237	0,3280954	0,7644073	0,1807616	0,8627472	0,2590920
40	0,6937980	0,3345595	0,3492908	0,6030705	0,6886799	0,2045647	0,2231069	0,1754043	0,5799009	0,9327265	0,7506237	0,3280954	0,7644073	0,1807616	0,8627472	0,2590920
60	0,6937983	0,3345595	0,3492908	0,6033031	0,6886799	0,2045647	0,2231069	0,1754044	0,5799010	0,9327269	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
80	0,6937984	0,3345595	0,3492908	0,6035040	0,6886799	0,2045647	0,2231070	0,1754044	0,5799010	0,9327272	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
100	0,6937986	0,3345595	0,3492908	0,6036775	0,6886799	0,2045648	0,2231070	0,1754044	0,5799011	0,9327274	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
120	0,6937987	0,3345595	0,3492908	0,6038273	0,6886799	0,2045648	0,2231070	0,1754044	0,5799011	0,9327275	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
140	0,6937987	0,3345595	0,3492908	0,6039566	0,6886799	0,2045648	0,2231070	0,1754044	0,5799011	0,9327276	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
160	0,6937988	0,3345595	0,3492908	0,6040684	0,6886799	0,2045648	0,2231070	0,1754044	0,5799011	0,9327277	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
180	0,6937988	0,3345595	0,3492908	0,6041648	0,6886799	0,2045648	0,2231071	0,1754044	0,5799011	0,9327278	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
200	0,6937988	0,3345595	0,3492908	0,6042481	0,6886799	0,2045648	0,2231071	0,1754044	0,5799011	0,9327278	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
220	0,6937989	0,3345595	0,3492908	0,6043201	0,6886799	0,2045648	0,2231071	0,1754044	0,5799012	0,9327278	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
240	0,6937989	0,3345595	0,3492908	0,6043822	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327278	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
260	0,6937989	0,3345595	0,3492908	0,6044358	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327278	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
280	0,6937989	0,3345595	0,3492908	0,6044821	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327278	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
300	0,6937989	0,3345595	0,3492908	0,6045221	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
320	0,6937989	0,3345595	0,3492908	0,6045566	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
340	0,6937989	0,3345595	0,3492908	0,6045864	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
360	0,6937989	0,3345595	0,3492908	0,6046121	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
380	0,6937989	0,3345595	0,3492908	0,6046343	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
400	0,6937989	0,3345595	0,3492908	0,6046535	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
420	0,6937989	0,3345595	0,3492908	0,6046701	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
440	0,6937989	0,3345595	0,3492908	0,6046844	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
460	0,6937989	0,3345595	0,3492908	0,6046967	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
480	0,6937989	0,3345595	0,3492908	0,6047074	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
500	0,6937989	0,3345595	0,3492908	0,6047166	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
520	0,6937989	0,3345595	0,3492908	0,6047245	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
540	0,6937989	0,3345595	0,3492908	0,6047314	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
560	0,6937989	0,3345595	0,3492908	0,6047373	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
580	0,6937989	0,3345595	0,3492908	0,6047424	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
600	0,6937989	0,3345595	0,3492908	0,6047468	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
620	0,6937989	0,3345595	0,3492908	0,6047506	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
640	0,6937989	0,3345595	0,3492908	0,6047539	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
660	0,6937989	0,3345595	0,3492908	0,6047568	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
680	0,6937989	0,3345595	0,3492908	0,6047592	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
700	0,6937989	0,3345595	0,3492908	0,6047613	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
720	0,6937989	0,3345595	0,3492908	0,6047632	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
740	0,6937989	0,3345595	0,3492908	0,6047647	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
760	0,6937989	0,3345595	0,3492908	0,6047661	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
780	0,6937989	0,3345595	0,3492908	0,6047673	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
800	0,6937989	0,3345595	0,3492908	0,6047683	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
820	0,6937989	0,3345595	0,3492908	0,6047692	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
840	0,6937989	0,3345595	0,3492908	0,6047699	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
