"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD

0	0,6937945	0,3345656	0,3492908	0,6012613	0,6886797	0,2045644	0,2231043	0,1754039	0,5798956	0,9326967	0,7506236	0,3280956	0,7644072	0,1807618	0,8627472	0,2590941
20	0,6937958	0,3345638	0,3492908	0,6017395	0,6886798	0,2045645	0,2231051	0,1754041	0,5798974	0,9327055	0,7506236	0,3280955	0,7644072	0,1807617	0,8627472	0,2590935
40	0,6937967	0,3345625	0,3492908	0,6021529	0,6886798	0,2045646	0,2231058	0,1754042	0,5798986	0,9327118	0,7506237	0,3280955	0,7644072	0,1807616	0,8627472	0,2590930
60	0,6937974	0,3345616	0,3492908	0,6025101	0,6886798	0,2045647	0,2231062	0,1754043	0,5798994	0,9327164	0,7506237	0,3280954	0,7644073	0,1807616	0,8627472	0,2590927
80	0,6937978	0,3345610	0,3492908	0,6028188	0,6886798	0,2045647	0,2231065	0,1754043	0,5799000	0,9327196	0,7506237	0,3280954	0,7644073	0,1807616	0,8627472	0,2590925
100	0,6937982	0,3345605	0,3492908	0,6030855	0,6886798	0,2045647	0,2231066	0,1754044	0,5799003	0,9327220	0,7506237	0,3280954	0,7644073	0,1807616	0,8627472	0,2590923
120	0,6937984	0,3345602	0,3492908	0,6033159	0,6886798	0,2045647	0,2231068	0,1754044	0,5799006	0,9327236	0,7506237	0,3280954	0,7644073	0,1807616	0,8627472	0,2590922
140	0,6937985	0,3345600	0,3492908	0,6035150	0,6886799	0,2045647	0,2231069	0,1754044	0,5799008	0,9327248	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590921
160	0,6937986	0,3345599	0,3492908	0,6036869	0,6886799	0,2045648	0,2231069	0,1754044	0,5799009	0,9327257	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590921
180	0,6937987	0,3345598	0,3492908	0,6038353	0,6886799	0,2045648	0,2231070	0,1754044	0,5799010	0,9327263	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590921
200	0,6937988	0,3345597	0,3492908	0,6039636	0,6886799	0,2045648	0,2231070	0,1754044	0,5799010	0,9327268	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
220	0,6937988	0,3345596	0,3492908	0,6040743	0,6886799	0,2045648	0,2231070	0,1754044	0,5799011	0,9327271	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
240	0,6937988	0,3345596	0,3492908	0,6041700	0,6886799	0,2045648	0,2231070	0,1754044	0,5799011	0,9327273	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
260	0,6937988	0,3345596	0,3492908	0,6042526	0,6886799	0,2045648	0,2231070	0,1754045	0,5799011	0,9327275	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
280	0,6937989	0,3345596	0,3492908	0,6043239	0,6886799	0,2045648	0,2231071	0,1754045	0,5799011	0,9327276	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
300	0,6937989	0,3345596	0,3492908	0,6043854	0,6886799	0,2045648	0,2231071	0,1754045	0,5799011	0,9327277	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
320	0,6937989	0,3345596	0,3492908	0,6044386	0,6886799	0,2045648	0,2231071	0,1754045	0,5799011	0,9327277	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
340	0,6937989	0,3345595	0,3492908	0,6044845	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327278	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
360	0,6937989	0,3345595	0,3492908	0,6045242	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327278	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
380	0,6937989	0,3345595	0,3492908	0,6045584	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327278	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
400	0,6937989	0,3345595	0,3492908	0,6045880	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327278	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
420	0,6937989	0,3345595	0,3492908	0,6046135	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327278	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
440	0,6937989	0,3345595	0,3492908	0,6046355	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327278	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
460	0,6937989	0,3345595	0,3492908	0,6046545	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
480	0,6937989	0,3345595	0,3492908	0,6046709	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
500	0,6937989	0,3345595	0,3492908	0,6046851	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
520	0,6937989	0,3345595	0,3492908	0,6046974	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
540	0,6937989	0,3345595	0,3492908	0,6047079	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
560	0,6937989	0,3345595	0,3492908	0,6047171	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
580	0,6937989	0,3345595	0,3492908	0,6047249	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
600	0,6937989	0,3345595	0,3492908	0,6047317	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
620	0,6937989	0,3345595	0,3492908	0,6047376	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
640	0,6937989	0,3345595	0,3492908	0,6047427	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
660	0,6937989	0,3345595	0,3492908	0,6047471	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
680	0,6937989	0,3345595	0,3492908	0,6047508	0,6886799	0,2045648	0,2231071	0,1754045	0,5799012	0,9327279	0,7506237	0,3280954	0,7644073	0,1807615	0,8627472	0,2590920
