"Time"	hipA	hipB	ihfB	yeiL	tdcA	tdcF	tdcG	tdcE	tdcC	tdcD	tdcB	hemF	amiA	ibpB	uspB	ecpD

0	0,6016027	0,2580350	0,3339541	0,4955313	0,4512707	0,1091478	0,1171619	0,1658825	0,4119465	0,8575771	0,5465039	0,2541022	0,5209789	0,1713293	0,5920342	0,1990732
20	0,4669196	0,2231041	0,2758974	0,4539912	0,5950095	0,1436836	0,1445882	0,2162960	0,4376763	0,7980269	0,4933775	0,2524839	0,8153020	0,0812112	0,6422856	0,2486033
40	0,6049649	0,2570147	0,3558743	0,4551134	0,5575761	0,2119588	0,1032323	0,1802464	0,4544334	0,7682858	0,4934029	0,2241522	0,6379418	0,1823042	0,6415351	0,2806929
60	0,5376237	0,2609913	0,2733759	0,4257159	0,4954686	0,1636284	0,1757896	0,1460946	0,4873441	0,7702402	0,7470483	0,2180173	0,5592682	0,1013487	0,7629221	0,1646638
80	0,5164456	0,2183581	0,1828258	0,4541041	0,4617249	0,1346273	0,1205785	0,1332710	0,3646037	0,8397569	0,5385397	0,2489212	0,6744439	0,1563554	0,6709381	0,1479212
100	0,5261495	0,2327614	0,3099900	0,4991986	0,5281831	0,1409654	0,1508798	0,1379793	0,4439636	0,6727221	0,6300828	0,1814950	0,6493678	0,1199804	0,8533513	0,1955060
120	0,4848669	0,2728966	0,2660492	0,4551192	0,5128840	0,0855092	0,1712821	0,1187165	0,3727720	0,7384976	0,5951513	0,1989243	0,6339994	0,1659993	0,7891138	0,2085832
140	0,5424381	0,2960066	0,3179852	0,4664179	0,4907651	0,1388095	0,1630291	0,1301883	0,4684827	0,6646812	0,6066011	0,2681223	0,6407586	0,1686015	0,7783246	0,2389820
160	0,5439299	0,1865467	0,2891710	0,3576322	0,4983225	0,1424640	0,1971715	0,1807578	0,4501466	0,6346488	0,6183484	0,2527137	0,6305011	0,1427945	0,8717100	0,2611524
180	0,4319959	0,3435189	0,2879974	0,4232698	0,4844270	0,1951623	0,1963283	0,1752545	0,4366745	0,7342170	0,5349214	0,2536090	0,7840933	0,1630854	0,8078802	0,1966076
200	0,6358158	0,2814145	0,2379618	0,3906316	0,5888879	0,1315359	0,1531201	0,1265838	0,3583856	0,8011427	0,5475607	0,2184219	0,6236735	0,1710974	0,7607378	0,1753822
220	0,6620036	0,2262354	0,3351759	0,4942577	0,6846021	0,1900123	0,2227262	0,1339167	0,4272185	0,6642018	0,5726908	0,2768863	0,6166493	0,1332123	0,8098965	0,2649097
240	0,7068211	0,2139361	0,2545924	0,4554003	0,6531466	0,1289965	0,2236670	0,1268906	0,4943871	0,7536468	0,6145454	0,3527603	0,7059776	0,1899288	0,6812507	0,2413886
260	0,6416929	0,2460060	0,3330734	0,4110082	0,6693026	0,1584992	0,2265191	0,1170775	0,4103809	0,6739198	0,5621088	0,2727043	0,6496164	0,1752996	0,6752107	0,2333628
280	0,6140402	0,2743310	0,2153813	0,3589398	0,6347664	0,1105236	0,2356309	0,1660700	0,4788050	0,6216210	0,5318828	0,2200829	0,7995455	0,1606681	0,7227268	0,2410515
300	0,4828389	0,3228190	0,3084303	0,4245121	0,5610799	0,1174845	0,1902270	0,2022736	0,4081719	0,7346559	0,6415471	0,4240946	0,7077920	0,1787346	0,6687317	0,2105506
320	0,5486215	0,3430123	0,3277196	0,3944491	0,5277028	0,1734059	0,1688511	0,2713628	0,4059121	0,7681252	0,5637909	0,2789848	0,6549137	0,2800863	0,5666519	0,1748983
340	0,4548790	0,3108552	0,3104260	0,4141052	0,4272323	0,1534043	0,1809647	0,0987040	0,4659968	0,7097531	0,6308849	0,2948506	0,5731516	0,2130610	0,6078200	0,2899998
360	0,4302633	0,3208967	0,2006092	0,4659873	0,5362309	0,1624524	0,1629505	0,0910424	0,4774392	0,8877669	0,5802155	0,3319765	0,7694880	0,1335059	0,6587981	0,2133912
380	0,6368836	0,3311064	0,2206738	0,4636949	0,5890625	0,1428167	0,2013402	0,1794895	0,4212854	0,7283379	0,6909325	0,2797348	0,5810913	0,1470197	0,7150827	0,2284091
400	0,5488010	0,2490163	0,2331611	0,4653205	0,6449432	0,1022296	0,2318125	0,1678660	0,4681930	0,7373994	0,7725956	0,3380532	0,5561539	0,1013180	0,7167648	0,2072860
420	0,5704585	0,3359491	0,3091478	0,4670841	0,4813828	0,2273438	0,1892931	0,1247856	0,3804875	0,7225549	0,5123815	0,3118880	0,5981063	0,1056493	0,6531412	0,2951637
440	0,5133104	0,3015584	0,2375106	0,5156267	0,5271587	0,2006075	0,1975254	0,1202293	0,5073031	0,6926697	0,5090900	0,3166394	0,5801149	0,1092191	0,6542949	0,3273816
460	0,5045257	0,3528998	0,3178441	0,4289626	0,4765123	0,2069861	0,2316246	0,1393286	0,5395618	0,6979602	0,5140880	0,4120353	0,5534545	0,1512667	0,8298789	0,1881572
480	0,6306647	0,2871124	0,3452194	0,4003979	0,5917909	0,1979410	0,1640477	0,0960768	0,4355856	0,5261235	0,4968998	0,3130767	0,6963470	0,1748886	0,6481980	0,2198813
500	0,5809341	0,4281450	0,2537689	0,5091532	0,5506684	0,1868085	0,1597569	0,0695998	0,4752773	0,6413414	0,5312197	0,3294787	0,6623555	0,1027014	0,7365731	0,2206458
520	0,5050175	0,2733627	0,3943552	0,4553872	0,4416226	0,1993392	0,1702241	0,1094967	0,3893168	0,7370108	0,5052120	0,2340129	0,6133595	0,1904231	0,7560998	0,2072506
540	0,4628103	0,2418808	0,3286330	0,5812335	0,5363746	0,1936567	0,1335154	0,1913837	0,5047957	0,6867000	0,5417382	0,2630535	0,5692626	0,1056223	0,6783082	0,1797400
560	0,6239170	0,3997379	0,3309004	0,4501757	0,5941365	0,1892168	0,2202594	0,1318370	0,4526459	0,6663539	0,5334472	0,2539904	0,5183169	0,2412152	0,6347961	0,2470913
580	0,5412639	0,2347557	0,2823063	0,5056929	0,5217075	0,2726885	0,1574289	0,1141722	0,4197963	0,7922597	0,5589404	0,3360679	0,5171655	0,1091485	0,6659187	0,1977624
600	0,4901684	0,3828768	0,3531269	0,5476539	0,4516822	0,1513800	0,2413640	0,2295670	0,5387603	0,8175534	0,4625876	0,2564215	0,6715930	0,1736053	0,6797283	0,2040433
620	0,5120369	0,3360669	0,3791369	0,5775423	0,6243846	0,1344159	0,2482807	0,1316471	0,5512879	0,7767566	0,6792922	0,2696830	0,6519395	0,1924271	0,5676824	0,1772565
640	0,4336062	0,4088731	0,2359627	0,6112625	0,5615120	0,1124981	0,1594397	0,2159839	0,5001828	0,8087608	0,6043448	0,2292672	0,7050344	0,1589191	0,6926762	0,1853083
660	0,4755664	0,3178655	0,2174423	0,5415043	0,6234444	0,0646237	0,1270194	0,1525350	0,4972030	0,8085736	0,5688244	0,2520879	0,7444973	0,1673697	0,6606967	0,2118010
680	0,5170471	0,3405821	0,2924825	0,4192002	0,5364915	0,1582876	0,1466594	0,1280236	0,4793695	0,7376123	0,5615974	0,2481020	0,7513491	0,1347855	0,7071856	0,2377624
700	0,5095336	0,2751055	0,2039623	0,6380644	0,4870364	0,1700988	0,1395804	0,1034785	0,4137427	0,7359424	0,5829971	0,2994121	0,5940306	0,1894521	0,6819552	0,2593711
720	0,4766708	0,2516759	0,2782047	0,5333006	0,5320030	0,1700297	0,1104904	0,1155042	0,5017429	0,7766603	0,6472939	0,2697668	0,6550646	0,1157397	0,5346077	0,2357402
740	0,6449451	0,2834161	0,3905874	0,6747827	0,6039803	0,1813596	0,1756268	0,1278186	0,4477877	0,9070671	0,5970107	0,2921207	0,6780741	0,0959339	0,5914174	0,1740040
760	0,5024919	0,2971156	0,2346496	0,5331345	0,5486246	0,1770634	0,1774277	0,1173755	0,5521128	0,8787797	0,7628583	0,2486609	0,7141374	0,1090036	0,7026718	0,1548770
780	0,5353648	0,2714422	0,2892268	0,5927662	0,5783954	0,1469701	0,1789516	0,1282973	0,4501796	0,9106929	0,6114255	0,2417981	0,5660543	0,1436853	0,6796147	0,2490656
800	0,5145933	0,2350008	0,2530957	0,6107810	0,6030710	0,1578420	0,2059320	0,1443519	0,4840462	0,9714923	0,7101226	0,2297368	0,6040690	0,0952394	0,6268257	0,1891628
820	0,4866772	0,3170250	0,2258186	0,5822522	0,4924792	0,1703805	0,1622393	0,1494501	0,3532270	0,7775432	0,7435623	0,4143573	0,6207540	0,0953220	0,6810184	0,2865259
840	0,6036350	0,2975898	0,3704385	0,6173283	0,5420773	0,1081239	0,1882575	0,1398170	0,4093532	0,7505086	0,5454086	0,3967131	0,5582492	0,0844094	0,7705579	0,2401359
860	0,6098778	0,2713704	0,2753517	0,6281344	0,5128053	0,1222424	0,1801433	0,1479359	0,4561367	0,7249217	0,6406273	0,3479917	0,7445787	0,0743679	0,7000219	0,2510991
880	0,7110435	0,3223212	0,2772578	0,6068818	0,5319453	0,1060076	0,1872055	0,1654172	0,5374538	0,7032218	0,4872507	0,3347361	0,4906189	0,1590231	0,6114794	0,2638501
900	0,6727729	0,2422944	0,3443286	0,5299781	0,5379318	0,1909798	0,2056947	0,1741290	0,4532892	0,7959644	0,5886977	0,3459812	0,5281251	0,1204098	0,7270182	0,1771337
920	0,6611372	0,2970812	0,3197984	0,4859974	0,6271318	0,1438460	0,1653083	0,1829896	0,4302371	0,7315861	0,5820238	0,3558453	0,6432745	0,1309610	0,6616792	0,1271861
940	0,5509875	0,3470199	0,2399389	0,4017958	0,5913157	0,1665348	0,2041605	0,1410452	0,4165643	0,8963609	0,6981536	0,2652544	0,6164376	0,1194381	0,6423176	0,1669301
960	0,6485606	0,2689896	0,3360277	0,4327914	0,4797205	0,1421180	0,1458989	0,1419618	0,4235720	0,8436484	0,6438131	0,3472296	0,5925289	0,0826022	0,6074266	0,1922027
980	0,6077736	0,3139534	0,2696356	0,4164470	0,5553193	0,1553412	0,2045835	0,1270279	0,4548515	0,8381228	0,5789972	0,3427797	0,6420168	0,1416875	0,6478819	0,2267044
1000	0,7090735	0,3408782	0,3581992	0,3630672	0,6200976	0,1065630	0,2129651	0,1144088	0,3964734	0,8092432	0,5396801	0,2556792	0,7261219	0,1652221	0,6850410	0,1986592
1020	0,5955440	0,2535974	0,2722985	0,4205866	0,5403504	0,1610827	0,1713295	0,1205934	0,4757658	0,8306598	0,5952134	0,3391601	0,6822845	0,0878142	0,6941239	0,1832857
1040	0,5325618	0,2226465	0,3579295	0,5197939	0,5764250	0,1586514	0,1196367	0,1568727	0,3929263	0,8126186	0,6271231	0,3341565	0,6653071	0,1417411	0,6240526	0,2124177
1060	0,4132068	0,2654875	0,2367658	0,4814851	0,4928160	0,1835513	0,1409163	0,0904640	0,4166097	0,9375014	0,7211638	0,3600037	0,5453101	0,1557930	0,6023445	0,2659386
1080	0,6428585	0,2512272	0,2373658	0,4228989	0,6006537	0,1959562	0,2790760	0,0710917	0,4112103	0,7267150	0,5592054	0,2983134	0,6316285	0,1884623	0,6047973	0,2186282
1100	0,6958485	0,3452424	0,2296283	0,4986573	0,4998596	0,1965090	0,1301890	0,1421237	0,3967621	0,8879828	0,6765109	0,2581941	0,6248050	0,1621605	0,6726351	0,1666793

0	0,5695183	0,2876110	0,2726238	0,5342985	0,4549727	0,0928612	0,1381251	0,1649320	0,4126512	0,7944455	0,7311817	0,2713553	0,6052032	0,1391241	0,6853360	0,1810076
20	0,4982559	0,2761635	0,3517650	0,4687437	0,5793668	0,1701924	0,1874002	0,1598249	0,4047987	0,9205757	0,5337459	0,2336383	0,5090310	0,1589429	0,6579568	0,2682205
40	0,5049946	0,2799924	0,2602819	0,5690584	0,6368370	0,2411592	0,3094568	0,2236346	0,4635762	0,7735000	0,5479241	0,2888438	0,6430332	0,2101370	0,5491990	0,1785603
60	0,5373620	0,2319852	0,3085234	0,4849979	0,5959505	0,1839317	0,3389009	0,2639926	0,5043240	0,7156943	0,6148357	0,2362112	0,5931773	0,1634973	0,7113867	0,1709613
80	0,4996204	0,2702287	0,1948426	0,4010852	0,4425431	0,2299546	0,3508535	0,4446751	0,5326156	0,7689016	0,5807660	0,1999675	0,4869787	0,2284063	0,5687946	0,1826633
100	0,4804750	0,2819996	0,2702287	0,5522765	0,5399280	0,1828110	0,5343511	0,3689028	0,4950146	0,7285493	0,5316123	0,1503937	0,5336547	0,2312589	0,6040638	0,2081947
120	0,4716683	0,3141972	0,2159136	0,3777896	0,5528980	0,1935163	0,7020272	0,3679776	0,5541319	0,8084351	0,5666509	0,1558896	0,5455316	0,2583600	0,6208851	0,1608518
140	0,5239967	0,2488068	0,2874605	0,3717715	0,6096781	0,2500102	0,5193538	0,4623396	0,3737162	0,8472273	0,5784675	0,1516151	0,5807983	0,1936579	0,6598723	0,1721232
160	0,5155636	0,2757365	0,2290054	0,3807268	0,5043538	0,1779077	0,7648986	0,3641145	0,3885026	0,7293045	0,6365926	0,1138273	0,6140145	0,1978957	0,7253510	0,1927175
180	0,5068149	0,2376895	0,3034201	0,4051113	0,5168292	0,1796277	0,7111426	0,3830002	0,3805071	0,8300696	0,5554151	0,1946596	0,6432562	0,1999163	0,8265395	0,2133936
200	0,4246863	0,2560389	0,2853616	0,5364452	0,6701008	0,1516808	0,6267435	0,4249974	0,4227727	0,6612307	0,6966662	0,0999362	0,6178672	0,1982484	0,5671534	0,2028339
220	0,5516659	0,3011517	0,2828493	0,5973152	0,5276785	0,1544540	0,6155402	0,4779043	0,4400036	0,7175663	0,6400764	0,1349432	0,6127628	0,1323706	0,6113105	0,2001984
240	0,6390429	0,3346516	0,2656548	0,5867370	0,4761937	0,2438469	0,6032174	0,4835661	0,5646475	0,7911853	0,6441699	0,1522594	0,6526145	0,1990985	0,6440905	0,2497570
260	0,6182373	0,3556332	0,2754111	0,5859235	0,6849333	0,2515332	0,6232598	0,3688876	0,6039931	0,7618600	0,5563075	0,1101542	0,4934166	0,2087299	0,5025515	0,2044323
280	0,6813406	0,2460640	0,3351795	0,3992046	0,5758378	0,1978369	0,6233810	0,4920677	0,4555005	0,7639595	0,5687273	0,1597174	0,5291585	0,2997848	0,6276046	0,2536388
300	0,5900075	0,2368951	0,3489297	0,5773424	0,6193187	0,1964941	0,5926283	0,4809200	0,5933042	0,7970468	0,5560777	0,1272005	0,4879972	0,1542749	0,5361545	0,2847453
320	0,6654315	0,3232518	0,3437009	0,5117349	0,6998488	0,1381024	0,6374573	0,5420758	0,4840103	0,7238380	0,5683171	0,1107104	0,4706468	0,1667702	0,5848139	0,1960087
340	0,5600745	0,3645311	0,2662809	0,5192944	0,6624157	0,2088145	0,5786353	0,4831335	0,5037302	0,8501153	0,6068091	0,0791749	0,5576742	0,1823684	0,4648197	0,2709533
360	0,5834964	0,3565107	0,2333501	0,5244618	0,6369355	0,1907066	0,5589106	0,5220460	0,5252271	0,7469939	0,4571095	0,0984944	0,4962871	0,1999863	0,5692145	0,2152084
380	0,5458711	0,2700106	0,1995470	0,5898441	0,5986025	0,1417383	0,6934126	0,5166497	0,5758546	0,8845589	0,6533655	0,0916319	0,5368431	0,2204840	0,5074975	0,2176850
400	0,5191736	0,1726155	0,3625325	0,5742078	0,5108077	0,2130194	0,5696391	0,3657906	0,4452949	0,7937596	0,5565532	0,1100941	0,6740598	0,2911946	0,6032752	0,2057763
420	0,5839524	0,2444984	0,1711463	0,5244951	0,5560494	0,2264394	0,5801978	0,4225403	0,5095064	0,9390076	0,5529538	0,2160295	0,6433564	0,1989563	0,6325874	0,2913062
440	0,5610229	0,2725206	0,2546298	0,5284703	0,6116109	0,1312479	0,5312163	0,4730398	0,5032984	0,8202809	0,4283724	0,0943421	0,6141794	0,2712997	0,4686184	0,2699593
460	0,4872568	0,1915953	0,2191045	0,4679747	0,5700947	0,1560659	0,6291631	0,4516532	0,4972301	0,8464437	0,6308940	0,1507654	0,5808838	0,2499149	0,5692178	0,2337302
480	0,4832261	0,2217049	0,2878916	0,4188723	0,6350315	0,1409984	0,5914247	0,4772230	0,4821712	0,7175362	0,5802406	0,1406994	0,5887458	0,1502619	0,7021071	0,2174241
500	0,4987112	0,1486142	0,2915122	0,4426799	0,6832557	0,1280475	0,6317347	0,4461034	0,4906462	0,5801053	0,6188559	0,1007993	0,7045185	0,2570439	0,6270857	0,2942549
520	0,5374470	0,2852012	0,2357785	0,5066050	0,5888150	0,1851162	0,6708997	0,4426921	0,4654558	0,8546131	0,7505039	0,1539100	0,6926832	0,1334085	0,6036754	0,2371024
540	0,4311743	0,2121296	0,3065661	0,4794073	0,5197703	0,1348171	0,6702798	0,3533517	0,4136946	0,7566429	0,5617638	0,1454955	0,5923400	0,1802876	0,5078623	0,2160713
