"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF

0	0,6114365	0,4623639	0,3614821	0,2557304	0,7383305	0,1202571	0,4970612	0,2802482	0,2396181	0,7045367	0,1478193	0,0109026	0,0027862	0,2255077	0,0705918	0,2272126
20	0,5690614	0,1106031	0,2532332	0,1463012	0,5821912	0,2232211	0,6140115	0,2889836	0,2978525	0,6480922	0,1879593	0,0077404	0,0004062	0,2480600	0,1113296	0,3158701
40	0,6571711	0,0947210	0,2202545	0,2116304	0,4123385	0,2402580	0,7023915	0,3299918	0,2716955	0,4919859	0,1074147	0,0184374	0,0013689	0,1598113	0,0791219	0,3300390
60	0,5703723	0,0487127	0,2911530	0,2933851	0,4267531	0,3955280	0,5827006	0,4409764	0,2988786	0,5277366	0,0966596	0,0856670	0,0054520	0,1834230	0,1318201	0,3330767
80	0,6192984	0,0302389	0,2436171	0,2015464	0,3590305	0,5512531	0,6017219	0,4589389	0,2431107	0,4879124	0,1659685	0,0774427	0,0060178	0,2117493	0,1610992	0,3565280
100	0,6211570	0,0093931	0,2425608	0,1948475	0,4031397	0,6377259	0,7509755	0,6702604	0,2745653	0,4840453	0,1466747	0,1234962	0,0053668	0,1993342	0,0925957	0,4562613
120	0,6507317	0,0204992	0,3124453	0,2308324	0,3211797	0,6777490	0,6614057	0,5938144	0,2501279	0,4575202	0,1193594	0,1772783	0,0089080	0,1992677	0,1225180	0,4020548
140	0,6278445	0,0299153	0,3020932	0,2408535	0,3172153	0,5935029	0,6673053	0,6654594	0,2109823	0,3982480	0,1462905	0,1843803	0,0268916	0,1913656	0,1167731	0,3995776
160	0,5788666	0,0300200	0,2901699	0,2283469	0,3521800	0,6600523	0,7668622	0,7213682	0,2252926	0,4717130	0,1254350	0,1995962	0,0196535	0,2143562	0,1016957	0,3953812
180	0,6027027	0,0094042	0,2732119	0,2230169	0,3151058	0,6749258	0,7898349	0,7296302	0,1848853	0,4777659	0,1854345	0,2689817	0,0681335	0,2192050	0,0829766	0,3163885
200	0,4496450	0,0327141	0,2774718	0,2429913	0,3149122	0,7125753	0,7510188	0,7208584	0,2008683	0,4331164	0,2406533	0,2474441	0,1513053	0,1999400	0,1181738	0,4023182
220	0,3893386	0,0104392	0,3698988	0,2862116	0,3274414	0,7471881	0,7323543	0,7309949	0,2243600	0,3351408	0,1505938	0,2869019	0,2262295	0,2080466	0,1059242	0,4481530
240	0,4569912	0,0147252	0,2908610	0,2561371	0,3638023	0,6851227	0,8780053	0,6337989	0,2800877	0,3708439	0,0972469	0,2464563	0,3301196	0,2221634	0,1287099	0,3670880
260	0,3501341	0,0112174	0,3480756	0,3232056	0,3654917	0,5323709	0,7719475	0,7466421	0,3114889	0,4524837	0,0875611	0,2415342	0,2690799	0,2568885	0,1112775	0,3505392
280	0,3753206	0,0136250	0,4076984	0,5275436	0,2662939	0,8136526	0,7533669	0,7301735	0,3196049	0,4356919	0,1771967	0,2499327	0,4367763	0,2712743	0,1305954	0,4267477
300	0,4694624	0,0203735	0,4040057	0,3961033	0,2813995	0,6699644	0,8041831	0,6329752	0,4399228	0,4265744	0,2040214	0,3585194	0,3840039	0,3320117	0,2154235	0,3701719
320	0,4302534	0,0204823	0,4371489	0,4041598	0,3696696	0,6989094	0,7779857	0,5839518	0,4833078	0,5124688	0,1865632	0,2241649	0,4493827	0,3796268	0,2073784	0,4417480
340	0,5372893	0,0148077	0,3774479	0,4204027	0,3527165	0,7546998	0,7203143	0,7193224	0,4462424	0,3918982	0,2498504	0,3584837	0,3806833	0,2181287	0,1704548	0,3873622
360	0,2828736	0,0146902	0,3190714	0,4421116	0,3481020	0,6901382	0,8277333	0,6442738	0,3841159	0,3973328	0,2079202	0,3130091	0,2921990	0,2544158	0,1895382	0,2773944
380	0,2315625	0,0215224	0,4584382	0,4395199	0,2804205	0,6745630	0,6648504	0,6884076	0,4380402	0,3628481	0,2803462	0,3371049	0,3436054	0,3358834	0,2269967	0,3510979
400	0,3721505	0,0325122	0,3413108	0,5711396	0,3963635	0,7616483	0,7097499	0,7214473	0,4582706	0,4807007	0,2567250	0,2758958	0,4425453	0,2578041	0,3062630	0,3976671
420	0,3884991	0,0115875	0,4131121	0,5683962	0,3523746	0,8913554	0,6922795	0,7856826	0,5455902	0,3974373	0,2343416	0,2597956	0,3353669	0,2459099	0,1636114	0,3954239
440	0,3384031	0,0378388	0,3565756	0,6243791	0,3223204	0,7269033	0,7583861	0,8305849	0,4731077	0,4970052	0,2823560	0,4178245	0,2941086	0,2181232	0,2178119	0,5055085
460	0,3139391	0,0313726	0,4042719	0,5659249	0,3701565	0,6658974	0,7003848	0,8176317	0,4332081	0,4493698	0,2356850	0,3461274	0,4750750	0,2853760	0,2179615	0,3528184
480	0,3738119	0,0325072	0,3962797	0,5374789	0,2893583	0,6772966	0,7681754	0,8460872	0,5096684	0,4124665	0,2784708	0,3092899	0,4312606	0,2324790	0,2178155	0,4031018
500	0,3144152	0,0351834	0,5022486	0,6213011	0,2256062	0,8034493	0,6874614	0,7984564	0,5471193	0,5267118	0,3128960	0,2727024	0,3900911	0,3858242	0,2378337	0,3403547
520	0,2667363	0,0158833	0,4048412	0,6328801	0,2525143	0,7129774	0,7896086	0,8146566	0,4544216	0,3546284	0,2617635	0,2476492	0,4278077	0,3614066	0,2923926	0,4168100
540	0,3237286	0,0152276	0,3232065	0,5136463	0,2870571	0,7198530	0,8853917	0,6210631	0,5534186	0,5048496	0,3011176	0,3027295	0,3853694	0,3173782	0,2802203	0,4041726
560	0,2979680	0,0240707	0,3442962	0,5246110	0,3814374	0,6793683	0,8346079	0,6861867	0,6664584	0,4634831	0,2740564	0,2759288	0,4642686	0,2423275	0,3530240	0,4640627
580	0,3953544	0,3223392	0,4918925	0,5281019	0,4915748	0,6496343	0,6903640	0,8169465	0,5323708	0,5363585	0,2667991	0,2687799	0,3318511	0,2247353	0,4012651	0,2636437
600	0,4850697	0,5005156	0,4601939	0,4782374	0,5744672	0,7697724	0,6965446	0,6381942	0,5781346	0,8309593	0,2563466	0,2675019	0,2070819	0,2889355	0,3580082	0,2023517
620	0,3684747	0,5507196	0,5298558	0,5573085	0,8558353	0,7103440	0,6360246	0,6553143	0,5549734	0,6649995	0,3273792	0,1680595	0,0717026	0,3121577	0,3134585	0,2675687
640	0,3923809	0,5472699	0,3805026	0,5368820	0,6944895	0,5967459	0,6281371	0,5059585	0,6434698	0,7246950	0,2490009	0,0994688	0,0296780	0,3335112	0,2995382	0,2272555
660	0,4227271	0,4756430	0,5205657	0,5345030	0,5856656	0,5600085	0,5110310	0,3256309	0,5541217	0,6571334	0,3359875	0,0824504	0,0335777	0,1801522	0,2557687	0,2297930
680	0,6492297	0,3960089	0,3763954	0,3597589	0,7657244	0,5541839	0,5131345	0,4107689	0,5824548	0,7837367	0,2949799	0,0725192	0,0116432	0,2523418	0,3067280	0,2448629
700	0,6510810	0,4059499	0,3747729	0,4132826	0,6490041	0,3446429	0,5364695	0,2553094	0,5281495	0,7831965	0,3273238	0,0758100	0,0016660	0,2381135	0,2013440	0,3304696
720	0,6441557	0,3907021	0,2818932	0,3868722	0,7032442	0,3810883	0,5628267	0,2432977	0,4773067	0,7075985	0,2050189	0,0319835	0,0062196	0,2410305	0,2291719	0,1835228
740	0,6892497	0,4424333	0,3537889	0,2883086	0,8122973	0,2478852	0,5611785	0,2720677	0,4704253	0,6847964	0,1636085	0,0367402	0,0024540	0,2272415	0,2040117	0,3113502
760	0,6661914	0,4273261	0,3399098	0,2120637	0,7078653	0,2027694	0,6847516	0,2860189	0,3129232	0,5827412	0,2343302	0,0300262	0,0007965	0,2212363	0,1702134	0,1855742
780	0,5508729	0,4209721	0,3970957	0,2532590	0,7505706	0,1807520	0,6570309	0,2428487	0,4650729	0,6823192	0,1985488	0,0616883	0,0004084	0,2453923	0,1092086	0,2930430
800	0,6091179	0,4470496	0,4496230	0,2123161	0,8050042	0,2238491	0,6485634	0,2517424	0,4842196	0,7662825	0,2116226	0,0220089	0,0020558	0,2052772	0,1451856	0,2016378
820	0,6423932	0,4294734	0,2873213	0,2542960	0,7637047	0,1654855	0,5850288	0,3550951	0,4293329	0,9256537	0,1975345	0,0153144	0,0002020	0,2730809	0,1519256	0,2727024
840	0,5617722	0,3885085	0,2532314	0,2335344	0,6160933	0,2138509	0,6112948	0,2248976	0,3703185	0,8018599	0,1719447	0,0396159	0,0080662	0,2462116	0,1105883	0,2261308
860	0,6081788	0,4824279	0,3087262	0,2102225	0,8337884	0,1681100	0,4795039	0,2445466	0,3873610	0,7906506	0,2267591	0,0211297	0,0096644	0,2396648	0,1356119	0,2636634
880	0,7275469	0,4183365	0,3866959	0,2981090	0,8205587	0,1884125	0,5180203	0,3664340	0,2888088	0,7652167	0,2194294	0,0262495	0,0004736	0,1958359	0,1391994	0,2890142
900	0,6080152	0,3913093	0,4023504	0,3067531	0,7730236	0,1912512	0,5346936	0,1960240	0,2894108	0,8439324	0,2024334	0,0193523	0,0023026	0,1694098	0,1500749	0,2991959
920	0,5583713	0,4814812	0,3874334	0,2530342	0,7433248	0,2631490	0,4564643	0,2209142	0,3665554	0,7659869	0,2256252	0,0441613	0,0020370	0,2132133	0,1183721	0,2645714
940	0,5177740	0,3610651	0,3721868	0,2479612	0,7337594	0,2096016	0,5662107	0,2451151	0,4269661	0,8488073	0,1927481	0,0718424	0,0094037	0,2080377	0,1420763	0,2128149
960	0,6990992	0,5150130	0,3107036	0,2554657	0,6539870	0,2865688	0,5600828	0,2469645	0,4972349	0,7059220	0,1645913	0,0299340	0,0072099	0,1895501	0,0948538	0,2306110
980	0,5953400	0,4670363	0,3835078	0,4353486	0,7606533	0,3859028	0,5145619	0,2506532	0,3925699	0,7877299	0,1871664	0,0201580	0,0047839	0,2160045	0,1132104	0,2550572
1000	0,7494556	0,4265661	0,3227924	0,2625773	0,6257537	0,3604929	0,5661284	0,1805773	0,3223704	0,8257990	0,2381382	0,0366606	0,0007458	0,3102581	0,1101813	0,2407832
1020	0,5474823	0,4045542	0,3387613	0,2212078	0,6755379	0,2298245	0,4809001	0,2290129	0,2459941	0,7011559	0,2143290	0,0382189	0,0034077	0,2960504	0,1371700	0,2076227
1040	0,6300375	0,3935174	0,2517048	0,2278866	0,7061928	0,1926752	0,4560663	0,1511185	0,3768700	0,6812818	0,2119529	0,0066621	0,0214490	0,1758122	0,1094773	0,2413842
1060	0,6829705	0,4479710	0,3173798	0,2522393	0,6929537	0,2469561	0,4720297	0,1496783	0,3144163	0,6812515	0,1457228	0,0131627	0,0023039	0,2005511	0,1516947	0,3046871
1080	0,7561151	0,4393836	0,3220304	0,2295105	0,6071818	0,1927652	0,5105865	0,2814777	0,3745304	0,7803561	0,2077799	0,0424259	0,0000899	0,2391008	0,1292198	0,3144684
1100	0,7314352	0,4672202	0,3303717	0,2751783	0,6929644	0,2633250	0,4475421	0,1794022	0,2378862	0,7884710	0,1509449	0,0132165	0,0004871	0,3120168	0,1470613	0,2180853

0	0,5761126	0,4750776	0,3598235	0,2257657	0,6901689	0,2606262	0,5488259	0,3381099	0,2567114	0,7313149	0,1369764	0,0140094	0,0011079	0,1818453	0,0836376	0,2330854
20	0,6429053	0,4519529	0,1948619	0,1429103	0,7624232	0,1678814	0,2439152	0,2180590	0,2937321	0,5876938	0,0940740	0,0112072	0,0109380	0,1883326	0,1598696	0,1270421
40	0,5786420	0,4056756	0,0757685	0,2052037	0,5878958	0,2206368	0,2019568	0,2667343	0,2449981	0,5009982	0,0616491	0,0136818	0,0026003	0,2012565	0,0912911	0,2053516
60	0,6680139	0,5446219	0,0726824	0,1932562	0,6888465	0,2094387	0,1842037	0,2233821	0,1681122	0,4135010	0,0250071	0,0143865	0,0068641	0,1218888	0,0499399	0,1949306
80	0,7241707	0,3925545	0,0642200	0,2203751	0,6936380	0,3268844	0,2217160	0,2806772	0,1332449	0,3296009	0,0285999	0,0351432	0,0093632	0,1576260	0,0679279	0,1942287
100	0,6248608	0,4383508	0,0618638	0,2266955	0,6490007	0,2215547	0,1294089	0,2183460	0,1069312	0,3219210	0,0208250	0,0464562	0,0091529	0,0787784	0,0473815	0,2456531
120	0,6261815	0,3931463	0,0611936	0,2002126	0,8435039	0,3254505	0,1532147	0,2481742	0,1163362	0,3723717	0,0131909	0,0372237	0,0002946	0,0881487	0,0128008	0,1964630
140	0,7173406	0,3506428	0,0485454	0,2067323	0,6508690	0,2546149	0,1212092	0,2863697	0,1000378	0,3213267	0,0109663	0,0308773	0,0006609	0,0432164	0,0176157	0,2134743
160	0,6128483	0,4243901	0,0904648	0,2063359	0,6992250	0,2026440	0,1449198	0,2727872	0,1317118	0,3580373	0,0022235	0,0150430	0,0007738	0,0648029	0,0185661	0,2019518
180	0,6109218	0,3730582	0,0353273	0,2236847	0,6585496	0,1875388	0,1609988	0,2717191	0,1026036	0,3653322	0,0084933	0,0198087	0,0000490	0,0783045	0,0166004	0,2398363
200	0,6512165	0,3811087	0,0467967	0,1992336	0,7627865	0,1174058	0,1582967	0,2675395	0,0859420	0,3169218	0,0019753	0,0177179	0,0002903	0,0737931	0,0147366	0,1986344
220	0,5697788	0,3584454	0,0754643	0,1526453	0,7218830	0,1652510	0,1395700	0,2568867	0,0865119	0,2491224	0,0020351	0,0111779	0,0035468	0,0555138	0,0459995	0,1224506
240	0,4848948	0,4251106	0,0473956	0,2040065	0,6776439	0,1580373	0,1219325	0,2843509	0,0657687	0,2374622	0,0068519	0,0516323	0,0013226	0,0378963	0,0297257	0,1827404
