narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF	Time	Experiment
1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	20	0
1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	40	0
0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	60	0
1	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	80	0
1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	100	0
1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	120	0
1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	140	0
0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	160	0
1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1	180	0
0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1	200	0
0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	220	0
0	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	240	0
0	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	260	0
0	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	280	0
0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	300	0
0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	320	0
0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	340	0
0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	360	0
0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	380	0
0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	400	0
0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	420	0
0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	440	0
0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	460	0
0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	480	0
0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	500	0
