"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF

0	0,8016550	0,5854463	0,4675161	0,3449086	1,0009285	0,2883042	0,7216852	0,3609168	0,3545963	0,9675988	0,2186726	0,0232954	0,0054050	0,2912893	0,1213646	0,3258233
20	0,9085723	0,2502898	0,3737729	0,2384217	0,7486489	0,2420452	0,7771247	0,3554644	0,3841461	0,7999892	0,1731930	0,0269278	0,0007630	0,2634919	0,1515118	0,3829773
40	0,8446113	0,1202488	0,3299775	0,2723327	0,6039458	0,2979330	0,8701867	0,4064849	0,3554886	0,6603516	0,1527775	0,0219105	0,0015507	0,2721830	0,1216027	0,4708857
60	0,7911759	0,0689219	0,3631007	0,2744677	0,5223264	0,4997458	0,8459590	0,5003872	0,3707932	0,6213440	0,1692302	0,0594916	0,0031214	0,2892672	0,1500265	0,5181268
80	0,8629510	0,0390786	0,3955426	0,3019835	0,5102724	0,6991610	0,8798076	0,6368903	0,3255157	0,6127571	0,1479914	0,1184907	0,0061245	0,2979643	0,1470799	0,5237990
100	0,9046428	0,0269605	0,3837489	0,3275477	0,4748576	0,8101794	0,9330213	0,7690236	0,2831965	0,5915829	0,1742645	0,1574441	0,0057247	0,2685541	0,1320588	0,5837460
120	0,8872789	0,0266629	0,4412070	0,2980549	0,5151360	0,8721662	0,9393127	0,8249324	0,3002826	0,6028806	0,1561438	0,2189276	0,0156815	0,3001187	0,1212347	0,5687654
140	0,8190306	0,0212700	0,4205299	0,2939263	0,4689280	0,8867743	1,0044774	0,9387563	0,2976196	0,6013688	0,1702838	0,2742705	0,0383429	0,2766904	0,1321496	0,5576487
160	0,7142433	0,0213798	0,3926247	0,3141964	0,4830973	0,9318095	1,0218342	0,9242844	0,2907176	0,5963718	0,2036784	0,3156294	0,0324364	0,2870563	0,1482625	0,5393077
180	0,7158793	0,0275310	0,3892131	0,2958608	0,4156641	0,9147664	1,0236365	0,9617203	0,2797158	0,5462872	0,2288666	0,3375063	0,0901190	0,2830305	0,1536904	0,5051253
200	0,6288467	0,0284250	0,3916383	0,2877382	0,4625336	0,9618374	0,9907960	0,9011995	0,2994770	0,5404800	0,2045124	0,3296778	0,1782378	0,2654016	0,1417697	0,5001599
220	0,5807417	0,0247648	0,4377866	0,3708372	0,4349120	0,9618217	1,0491752	0,9961880	0,3272070	0,5465580	0,1912018	0,3454578	0,2977495	0,2553638	0,1564152	0,5146570
240	0,5046601	0,0270621	0,4737163	0,4030876	0,4568391	0,9217137	1,0478918	0,9395556	0,3444749	0,5243182	0,1770033	0,3731555	0,3788672	0,2614134	0,1340528	0,5131810
260	0,5035697	0,0200673	0,4732927	0,4711163	0,4316160	0,8665333	1,0489341	0,9501405	0,3834805	0,5252652	0,1725124	0,3733380	0,4081986	0,2998412	0,1583106	0,4853003
280	0,5288240	0,0280470	0,5672602	0,5489169	0,4003578	0,9168516	1,1111800	0,9910587	0,4825106	0,5454949	0,2224408	0,3752898	0,5618067	0,3604968	0,2197802	0,5038532
300	0,5274237	0,0305539	0,5452484	0,5747074	0,3857460	0,9014897	0,9958071	0,9559628	0,5034989	0,5497150	0,2642012	0,3634324	0,5477356	0,3439045	0,2520827	0,4851052
