"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF

0	0,8360879	0,5986869	0,4247729	0,3078706	0,9601988	0,2401325	0,7407693	0,2975510	0,3355675	0,9680479	0,2224896	0,0389599	0,0019486	0,3154852	0,1214798	0,2543569
20	0,9329635	0,5280947	0,4078113	0,2353980	1,0062166	0,2692434	0,7707713	0,3827396	0,3840366	0,9142607	0,1677316	0,0308208	0,0018649	0,3125593	0,1576487	0,3591485
40	0,8174817	0,3635096	0,4099370	0,2483343	0,9646801	0,2937043	0,8319554	0,3809460	0,3422091	0,8146247	0,1841597	0,0331436	0,0007849	0,3150183	0,1025485	0,4076109
60	0,7780897	0,2469460	0,4081902	0,2303699	0,9156443	0,3562001	0,8870961	0,3672260	0,4187337	0,7617480	0,1677352	0,0376040	0,0022905	0,3224629	0,1199362	0,4428398
80	0,7542075	0,1624943	0,3859922	0,2471805	0,8199451	0,4610660	0,8253135	0,4341532	0,3882928	0,7063952	0,1671426	0,0516671	0,0002148	0,3178567	0,1439508	0,4910825
100	0,8318083	0,0995476	0,4040563	0,2609306	0,7035545	0,5993191	0,8926762	0,5346816	0,3544781	0,6646818	0,1588731	0,0858852	0,0046691	0,3075981	0,1361134	0,5143359
120	0,8898321	0,0590434	0,4184875	0,2915398	0,6531595	0,7062654	0,8781961	0,5968370	0,3326990	0,6419439	0,1579529	0,0993102	0,0187235	0,3148431	0,1265364	0,5348581
140	0,8815148	0,0526445	0,4137694	0,2651671	0,6009806	0,8040289	0,9439536	0,7216352	0,3000297	0,6378846	0,1755647	0,1541514	0,0216195	0,3275090	0,1608167	0,5299695
160	0,7798764	0,0468357	0,4133765	0,2602177	0,5426581	0,9125010	1,0116705	0,7783383	0,2839746	0,6064366	0,1662709	0,2322763	0,0279438	0,2867013	0,1653490	0,5660523
180	0,7949805	0,0258892	0,4264074	0,2196322	0,5047514	0,9811187	1,0565250	0,8629300	0,2741243	0,5419306	0,1688193	0,3035921	0,0315015	0,3128660	0,1345705	0,5488192
200	0,6872987	0,0198468	0,3888388	0,2208100	0,4458205	0,9463017	1,0689993	0,8671606	0,2791155	0,5317738	0,1817968	0,3194470	0,0700736	0,3114042	0,1209630	0,5443248
220	0,6220072	0,0239849	0,3672442	0,2593604	0,4377064	1,0150418	1,0114182	0,9250160	0,3089742	0,5553398	0,2129761	0,3310591	0,1086240	0,2972561	0,1630619	0,4931045
240	0,5402827	0,0211109	0,3611685	0,2784958	0,4016240	0,9408808	1,0076264	0,9235315	0,3315934	0,5556955	0,1918946	0,3193659	0,1999881	0,2914616	0,1491959	0,5348596
260	0,5414158	0,0174461	0,4248244	0,3549834	0,4202910	0,8781798	1,0180033	0,8981997	0,4370050	0,5531882	0,1900801	0,3722223	0,2639796	0,2608190	0,1686496	0,4827392
280	0,4786189	0,0171817	0,4561340	0,4415134	0,4424569	0,9036805	1,0774576	0,9481351	0,4807662	0,5788926	0,1848787	0,3565200	0,3509594	0,2522276	0,1910077	0,4883569
300	0,5015478	0,0229820	0,4659880	0,5288248	0,4487212	0,9105243	1,0573754	0,9764464	0,5116267	0,5466511	0,1928335	0,3371794	0,4177512	0,3160712	0,2452137	0,5159405
320	0,5567314	0,0354664	0,4942591	0,5352073	0,4195043	0,8493224	1,0254823	0,9892221	0,5291859	0,5545848	0,2314704	0,3654514	0,4602035	0,3466458	0,2501320	0,5470562
340	0,5047590	0,0276588	0,4735294	0,6180774	0,3950050	0,8451725	0,9583711	1,0183383	0,5223032	0,5632224	0,2626024	0,3843288	0,4609819	0,3772764	0,2843352	0,5142659
360	0,5264274	0,0326357	0,4279262	0,6335229	0,3963218	0,8844502	0,9781927	1,0665831	0,5894911	0,5680974	0,2990942	0,4015290	0,4658933	0,4113923	0,2692464	0,5373325
380	0,4594350	0,0307306	0,5001436	0,6457752	0,4091782	0,9243016	0,9025773	1,0659534	0,5733313	0,5447404	0,2813843	0,4115779	0,4320339	0,3904227	0,2465260	0,5318869
400	0,4504641	0,0385657	0,5014960	0,7083922	0,4025376	0,9679304	0,9481081	1,0024978	0,6242720	0,5471600	0,3358636	0,4160847	0,4421108	0,3777414	0,2748622	0,4932219
420	0,4466090	0,0255629	0,4803843	0,6893817	0,4034221	1,0414718	0,9485030	0,9887901	0,6063146	0,5517169	0,3603763	0,3919163	0,4191061	0,3740076	0,2819991	0,5334853
440	0,4365964	0,0248267	0,5340302	0,7387860	0,3896741	1,0400925	1,0087527	1,0730663	0,6347725	0,6408323	0,3285448	0,4073779	0,3850666	0,3641487	0,3138059	0,5599611
460	0,4422699	0,0217621	0,5448386	0,7427615	0,3951695	1,1447415	1,0232762	1,1617665	0,6107194	0,6117912	0,3201428	0,3821850	0,4819787	0,4175235	0,3203793	0,5567266
480	0,4472281	0,0263753	0,5575090	0,7975215	0,4198450	1,1456566	1,0852603	1,0965680	0,5685755	0,6047922	0,3802375	0,4226884	0,5028864	0,3783322	0,3447570	0,5071220
500	0,4157625	0,0360024	0,5642956	0,7872436	0,3653025	1,0678488	1,0429423	1,0012647	0,5459593	0,5631004	0,3795343	0,3516654	0,5193543	0,3924487	0,3615820	0,4930526
520	0,3878550	0,0313671	0,5535720	0,8144256	0,3854518	1,0481611	1,0743892	1,0054137	0,6414604	0,5649753	0,4122946	0,3736035	0,4995985	0,4069251	0,4246059	0,4911614
540	0,3821790	0,0287789	0,5591935	0,7528105	0,3605072	0,9625848	1,1447869	0,9891945	0,6792776	0,5620135	0,4420479	0,3685901	0,4607423	0,4146149	0,4202675	0,5329612
560	0,4003714	0,0363968	0,5031572	0,8050907	0,3779716	0,9568531	1,0188099	0,9357497	0,6836049	0,5955630	0,4091466	0,4445813	0,4174752	0,3901772	0,4414428	0,5592358
580	0,3911429	0,1280766	0,5576723	0,8148468	0,4452823	0,9425972	0,9689892	0,9448530	0,7450437	0,6388103	0,4560415	0,4493354	0,4579920	0,4042778	0,4945903	0,5335808
600	0,4891285	0,2635640	0,6524033	0,7972053	0,5363619	0,9597760	0,9827048	0,9000474	0,7309474	0,7536110	0,4012558	0,4151318	0,4368234	0,4118408	0,5396270	0,4564119
620	0,5736002	0,4308751	0,6596318	0,7473048	0,6098684	0,9836718	0,9413301	0,8803022	0,7574188	0,8672712	0,3900807	0,3606033	0,3247508	0,3812261	0,4903935	0,3902542
640	0,5521237	0,5576185	0,6313380	0,7089459	0,7235339	0,9869912	0,9075392	0,7834083	0,7713939	0,8432939	0,3944759	0,2694971	0,2467182	0,4234725	0,4628617	0,3759949
660	0,5891088	0,6338442	0,6647887	0,6813328	0,8126534	0,8964665	0,7736969	0,7406697	0,7557673	0,9385737	0,3446537	0,2284928	0,1885449	0,4178828	0,3918360	0,3987926
680	0,6794688	0,6023280	0,6448248	0,6710227	0,8738540	0,8348863	0,7169077	0,6609051	0,7121752	0,9322359	0,3582736	0,1883936	0,1361962	0,3961368	0,4286420	0,3918694
700	0,8204786	0,6842517	0,6011249	0,6496662	0,8791899	0,6801194	0,8069788	0,5593275	0,7508271	0,8799583	0,3699516	0,1272165	0,0859971	0,4243606	0,3809091	0,4010713
720	0,8179574	0,5938568	0,5121939	0,5466879	0,8243845	0,5583919	0,7861809	0,4737191	0,7062252	0,9507018	0,3298067	0,1116630	0,0660157	0,3517252	0,3363272	0,3235359
740	0,8659956	0,5417608	0,4688067	0,5150274	0,8561407	0,4359969	0,7417575	0,4181197	0,7318595	0,9672217	0,2988440	0,0645395	0,0396915	0,2980973	0,3314750	0,3359586
760	0,8510526	0,5723440	0,4456640	0,4250945	0,8714547	0,4055073	0,7266443	0,4219792	0,6797248	0,9030657	0,3086231	0,0516953	0,0256340	0,3018956	0,2675295	0,3103277
780	0,7809822	0,6230308	0,4865967	0,4170752	0,8467643	0,3553777	0,7835520	0,3883019	0,5480124	0,8669373	0,3086463	0,0446640	0,0210483	0,3133316	0,2340732	0,3395815
800	0,8552316	0,6382487	0,4992096	0,4152777	0,9227111	0,3220739	0,8442941	0,3777977	0,4986253	0,8847221	0,2775910	0,0261730	0,0100943	0,3823296	0,1829343	0,3102628
820	0,7938341	0,5611049	0,4773330	0,3955957	0,9667106	0,2812023	0,7347841	0,3396421	0,5273164	0,9061315	0,2891485	0,0259674	0,0074461	0,3812463	0,1928714	0,3213085
840	0,8555774	0,5346547	0,4680054	0,3332989	1,0292312	0,2689700	0,7562513	0,3290250	0,4609358	0,9608494	0,2936910	0,0374263	0,0064874	0,3896027	0,1791087	0,3147488
860	0,8570249	0,6000524	0,4781864	0,2985557	1,0372391	0,2799578	0,7132597	0,3467049	0,4667099	0,9630082	0,2888120	0,0223389	0,0055866	0,3583836	0,1749936	0,3168001
880	0,8571906	0,5868519	0,5086988	0,3180193	1,0291918	0,2701514	0,6651296	0,3576910	0,4127177	0,9353978	0,2691104	0,0209241	0,0087274	0,2919438	0,1740671	0,3342712
