"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF

0	0,8842762	0,5586871	0,4364222	0,2780186	1,0000000	0,2212335	0,7475818	0,3559967	0,3523417	0,9998509	0,2001396	0,0271303	0,0032983	0,2890099	0,1346429	0,2740337
20	0,8824502	0,2971171	0,3881536	0,2780296	0,7509077	0,2365916	0,7573538	0,3634858	0,3498318	0,8123394	0,1981556	0,0279114	0,0021646	0,2877331	0,1329439	0,3634033
40	0,8730398	0,1627539	0,3687665	0,2783786	0,6132946	0,3241391	0,7969587	0,4024337	0,3396489	0,7064507	0,1904001	0,0326192	0,0017285	0,2827477	0,1265692	0,4269072
60	0,8540588	0,0939256	0,3623807	0,2799087	0,5372691	0,4935791	0,8519007	0,4794561	0,3249389	0,6466485	0,1796100	0,0453763	0,0018975	0,2758268	0,1182261	0,4703280
80	0,8261428	0,0586965	0,3629260	0,2836803	0,4952682	0,6705596	0,9025594	0,5819390	0,3109603	0,6128706	0,1693528	0,0721436	0,0028691	0,2693322	0,1109220	0,4988035
100	0,7914373	0,0408287	0,3680159	0,2907581	0,4720644	0,7997553	0,9402054	0,6872223	0,3016065	0,5937912	0,1618100	0,1172950	0,0053196	0,2647603	0,1063115	0,5166517
120	0,7529632	0,0320203	0,3765133	0,3021207	0,4592453	0,8811357	0,9648904	0,7777499	0,2990526	0,5830159	0,1579485	0,1760630	0,0107938	0,2627785	0,1051001	0,5273111
140	0,7138861	0,0279728	0,3875885	0,3185307	0,4521633	0,9299559	0,9799106	0,8471714	0,3041549	0,5769339	0,1580183	0,2353688	0,0221689	0,2635067	0,1075348	0,5333449
160	0,6768619	0,0264282	0,4004015	0,3403161	0,4482508	0,9588152	0,9886463	0,8968242	0,3168136	0,5735051	0,1618812	0,2847758	0,0434539	0,2667319	0,1136417	0,5365400
180	0,6436805	0,0261786	0,4140660	0,3671429	0,4460893	0,9758008	0,9935898	0,9308896	0,3362031	0,5715762	0,1691548	0,3213903	0,0777406	0,2720378	0,1232636	0,5380701
200	0,6152352	0,0265654	0,4277291	0,3979300	0,4448951	0,9857844	0,9963411	0,9536783	0,3609532	0,5704946	0,1792607	0,3469331	0,1240134	0,2788882	0,1360092	0,5386689
220	0,5916984	0,0272248	0,4406731	0,4310089	0,4442354	0,9916498	0,9978561	0,9686780	0,3893531	0,5698910	0,1914595	0,3643166	0,1765205	0,2866988	0,1512182	0,5387764
240	0,5727656	0,0279574	0,4523837	0,4644825	0,4438709	0,9950951	0,9986837	0,9784358	0,4195863	0,5695566	0,2049151	0,3760959	0,2280015	0,2949050	0,1680036	0,5386470
260	0,5578761	0,0286585	0,4625698	0,4966138	0,4436696	0,9971187	0,9991317	0,9847197	0,4499583	0,5693730	0,2187891	0,3841230	0,2731628	0,3030179	0,1853759	0,5384224
280	0,5463766	0,0292789	0,4711380	0,5260938	0,4435583	0,9983073	0,9993709	0,9887242	0,4790708	0,5692735	0,2323377	0,3896410	0,3097202	0,3106614	0,2023981	0,5381776
300	0,5376241	0,0298014	0,4781439	0,5521336	0,4434969	0,9990053	0,9994956	0,9912450	0,5059130	0,5692207	0,2449830	0,3934627	0,3376612	0,3175837	0,2183138	0,5379496
320	0,5310406	0,0302266	0,4837376	0,5744206	0,4434629	0,9994153	0,9995578	0,9928073	0,5298718	0,5691935	0,2563435	0,3961209	0,3581429	0,3236498	0,2326120	0,5377536
340	0,5261358	0,0305640	0,4881159	0,5930039	0,4434442	0,9996560	0,9995863	0,9937560	0,5506817	0,5691802	0,2662249	0,3979711	0,3726902	0,3288199	0,2450290	0,5375933
360	0,5225103	0,0308265	0,4914865	0,6081672	0,4434338	0,9997974	0,9995968	0,9943162	0,5683451	0,5691741	0,2745871	0,3992556	0,3827661	0,3331238	0,2555079	0,5374665
380	0,5198474	0,0310277	0,4940462	0,6203187	0,4434281	0,9998805	0,9995983	0,9946340	0,5830473	0,5691719	0,2815004	0,4001432	0,3895984	0,3366351	0,2641399	0,5373689
400	0,5179018	0,0311799	0,4959682	0,6299107	0,4434249	0,9999292	0,9995955	0,9948033	0,5950820	0,5691715	0,2871035	0,4007526	0,3941439	0,3394507	0,2711068	0,5372952
420	0,5164865	0,0312940	0,4973979	0,6373864	0,4434232	0,9999579	0,9995910	0,9948840	0,6047923	0,5691720	0,2915682	0,4011681	0,3971132	0,3416750	0,2766334	0,5372404
440	0,5154605	0,0313788	0,4984534	0,6431497	0,4434222	0,9999747	0,9995863	0,9949137	0,6125297	0,5691727	0,2950743	0,4014493	0,3990176	0,3434096	0,2809534	0,5372002
460	0,5147189	0,0314414	0,4992277	0,6475520	0,4434217	0,9999845	0,9995818	0,9949156	0,6186279	0,5691735	0,2977933	0,4016380	0,4002150	0,3447472	0,2842883	0,5371711
480	0,5141842	0,0314873	0,4997928	0,6508879	0,4434214	0,9999903	0,9995780	0,9949036	0,6233882	0,5691742	0,2998791	0,4017639	0,4009514	0,3457686	0,2868351	0,5371501
500	0,5137994	0,0315208	0,5002035	0,6533983	0,4434212	0,9999937	0,9995748	0,9948859	0,6270723	0,5691749	0,3014643	0,4018472	0,4013922	0,3465418	0,2887621	0,5371352
