"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF

0	0,8842761	0,5586873	0,4364270	0,2781468	1,0000000	0,2212620	0,7475792	0,3559946	0,3525983	0,9998511	0,2001824	0,0271346	0,0033142	0,2890467	0,1346971	0,2743157
20	0,8837820	0,4949921	0,4239400	0,2780986	0,9587390	0,2232296	0,7491151	0,3567886	0,3520822	0,9517417	0,1998340	0,0272279	0,0030611	0,2888483	0,1344086	0,2936212
40	0,8791975	0,3816279	0,4038941	0,2781217	0,8762844	0,2457640	0,7625469	0,3653922	0,3486228	0,8643385	0,1970743	0,0283391	0,0026297	0,2872755	0,1322213	0,3342329
60	0,8668767	0,2756799	0,3874132	0,2784747	0,7881978	0,3160936	0,7935069	0,3920248	0,3405796	0,7807720	0,1908460	0,0324807	0,0023143	0,2836432	0,1274275	0,3792850
80	0,8456539	0,1930395	0,3768661	0,2796896	0,7092095	0,4330920	0,8354130	0,4418656	0,3293806	0,7141510	0,1823892	0,0429259	0,0023217	0,2785973	0,1211521	0,4204680
100	0,8163834	0,1339385	0,3720549	0,2825015	0,6439524	0,5651253	0,8781836	0,5114774	0,3179606	0,6654926	0,1737292	0,0639076	0,0029404	0,2733405	0,1150504	0,4544584
120	0,7812892	0,0938379	0,3721997	0,2877545	0,5924872	0,6844557	0,9149500	0,5912335	0,3092472	0,6317457	0,1666132	0,0979263	0,0047565	0,2689956	0,1105092	0,4806801
140	0,7432848	0,0676425	0,3764599	0,2963050	0,5530659	0,7797173	0,9432072	0,6708391	0,3054486	0,6091288	0,1621878	0,1424646	0,0089574	0,2663437	0,1084642	0,4999126
160	0,7052733	0,0510789	0,3840019	0,3088940	0,5234529	0,8503949	0,9633265	0,7430058	0,3078701	0,5943373	0,1610402	0,1909941	0,0175989	0,2657896	0,1094669	0,5134538
180	0,6696045	0,0409503	0,3939771	0,3259791	0,5015075	0,9004449	0,9768982	0,8041415	0,3169535	0,5848404	0,1633286	0,2370787	0,0333647	0,2674141	0,1137768	0,5226563
200	0,6378171	0,0350036	0,4055252	0,3475685	0,4854015	0,9347780	0,9856999	0,8534708	0,3323898	0,5788311	0,1688888	0,2768508	0,0583607	0,2710482	0,1214003	0,5287082
220	0,6106462	0,0317066	0,4178167	0,3731336	0,4736645	0,9577950	0,9912426	0,8918692	0,3532689	0,5750737	0,1773056	0,3090298	0,0925722	0,2763474	0,1320880	0,5325581
240	0,5881910	0,0300426	0,4301138	0,4016585	0,4651563	0,9729608	0,9946547	0,9209537	0,3782638	0,5727482	0,1879734	0,3339675	0,1334663	0,2828644	0,1453364	0,5349190
260	0,5701315	0,0293504	0,4418235	0,4318184	0,4590128	0,9828191	0,9967173	0,9425160	0,4058396	0,5713217	0,2001678	0,3527487	0,1770986	0,2901167	0,1604301	0,5363026
280	0,5559234	0,0292090	0,4525259	0,4622144	0,4545900	0,9891584	0,9979450	0,9582252	0,4344580	0,5704540	0,2131306	0,3666280	0,2196277	0,2976455	0,1765330	0,5370642
300	0,5449429	0,0293565	0,4619737	0,4915866	0,4514131	0,9931988	0,9986654	0,9695031	0,4627468	0,5699302	0,2261541	0,3767557	0,2582609	0,3050579	0,1928048	0,5374428
320	0,5365789	0,0296351	0,4700699	0,5189512	0,4491351	0,9957548	0,9990820	0,9774960	0,4896105	0,5696166	0,2386486	0,3840813	0,2914808	0,3120520	0,2085067	0,5375953
340	0,5302827	0,0299535	0,4768332	0,5436535	0,4475037	0,9973618	0,9993187	0,9830946	0,5142760	0,5694302	0,2501798	0,3893453	0,3188369	0,3184228	0,2230713	0,5376217
360	0,5255884	0,0302627	0,4823603	0,5653544	0,4463367	0,9983666	0,9994504	0,9869730	0,5362846	0,5693206	0,2604761	0,3931075	0,3405963	0,3240557	0,2361289	0,5375835
380	0,5221161	0,0305388	0,4867924	0,5839770	0,4455024	0,9989920	0,9995212	0,9896308	0,5554471	0,5692567	0,2694128	0,3957827	0,3574194	0,3289109	0,2474967	0,5375177
400	0,5195642	0,0307731	0,4902891	0,5996375	0,4449065	0,9993796	0,9995576	0,9914323	0,5717832	0,5692199	0,2769819	0,3976756	0,3701200	0,3330046	0,2571458	0,5374447
420	0,5176987	0,0309653	0,4930092	0,6125775	0,4444809	0,9996190	0,9995746	0,9926395	0,5854571	0,5691991	0,2832582	0,3990081	0,3795149	0,3363909	0,2651584	0,5373756
440	0,5163410	0,0311188	0,4950997	0,6231073	0,4441771	0,9997664	0,9995812	0,9934385	0,5967213	0,5691875	0,2883676	0,3999411	0,3863413	0,3391453	0,2716869	0,5373151
460	0,5153564	0,0312392	0,4966897	0,6315618	0,4439603	0,9998569	0,9995824	0,9939602	0,6058715	0,5691813	0,2924610	0,4005909	0,3912226	0,3413531	0,2769192	0,5372647
480	0,5146445	0,0313322	0,4978880	0,6382704	0,4438057	0,9999123	0,9995811	0,9942954	0,6132132	0,5691781	0,2956946	0,4010408	0,3946620	0,3430999	0,2810528	0,5372243
500	0,5141310	0,0314032	0,4987842	0,6435389	0,4436953	0,9999461	0,9995787	0,9945069	0,6190397	0,5691766	0,2982180	0,4013507	0,3970523	0,3444661	0,2842778	0,5371926
520	0,5137614	0,0314568	0,4994499	0,6476383	0,4436166	0,9999667	0,9995761	0,9946371	0,6236187	0,5691760	0,3001660	0,4015629	0,3986916	0,3455237	0,2867664	0,5371683
540	0,5134958	0,0314969	0,4999416	0,6508020	0,4435605	0,9999793	0,9995737	0,9947149	0,6271861	0,5691758	0,3016556	0,4017074	0,3998012	0,3463351	0,2886683	0,5371499
560	0,5133052	0,0315268	0,5003030	0,6532259	0,4435205	0,9999869	0,9995716	0,9947594	0,6299435	0,5691759	0,3027853	0,4018053	0,4005424	0,3469524	0,2901098	0,5371363
580	0,5157399	0,1265512	0,5163241	0,6550403	0,4847530	0,9999887	0,9993758	0,9938796	0,6324781	0,6172881	0,3040049	0,3988039	0,3933909	0,3476115	0,2914780	0,5139118
600	0,5363001	0,2954648	0,5411696	0,6553271	0,5671872	0,9996832	0,9951627	0,9787787	0,6372257	0,7046959	0,3073477	0,3673007	0,3418743	0,3494427	0,2940934	0,4677127
620	0,5798297	0,4488435	0,5586583	0,6500023	0,6552593	0,9948410	0,9762270	0,9283897	0,6435472	0,7882644	0,3124052	0,3067119	0,2702117	0,3524597	0,2966197	0,4218964
640	0,6352100	0,5533551	0,5640957	0,6340462	0,7342372	0,9687000	0,9368724	0,8455860	0,6469524	0,8548827	0,3164071	0,2402260	0,2016336	0,3552627	0,2962946	0,3864473
