"Time"	narL	nikR	dcuR	caiF	modE	nikD	nikC	nikB	frdB	frdC	frdA	nikE	nikA	frdD	dcuB	ccmF

0	0,7340678	0,3845570	0,3093530	0,2417819	0,7190027	0,1894975	0,5558339	0,1898659	0,2467498	0,5944097	0,1453618	0,0226546	0,0010505	0,2335002	0,0761065	0,2621109
20	0,7183623	0,3669441	0,3106960	0,1435273	0,7613976	0,1559710	0,5805272	0,2876677	0,3004266	0,5515590	0,1703695	0,0554398	0,0005610	0,3121935	0,1051360	0,2777148
40	0,6612501	0,2009808	0,4804089	0,1591151	0,7419514	0,2122150	0,5310725	0,3134347	0,2928746	0,5538519	0,1378868	0,0236877	0,0009773	0,1788230	0,0992728	0,3112042
60	0,5664344	0,1518356	0,3021774	0,2048580	0,6393352	0,3196249	0,6456294	0,3202542	0,4686238	0,5986731	0,1500233	0,0258057	0,0016742	0,2717325	0,0879323	0,2856974
80	0,5612959	0,1349505	0,2162318	0,1855398	0,6620023	0,2866092	0,5427989	0,3200348	0,3706660	0,4664068	0,1074403	0,0563857	0,0008122	0,2491223	0,0779551	0,5017371
100	0,6223583	0,0986981	0,3254111	0,1717545	0,4568336	0,4068781	0,7550076	0,4194291	0,2447422	0,5531169	0,0965761	0,0599228	0,0019537	0,2705261	0,1054837	0,2701458
120	0,7118109	0,0390418	0,2583372	0,2667377	0,4625073	0,5737573	0,6328400	0,3841281	0,2803723	0,4504768	0,1409208	0,0973609	0,0153006	0,2393630	0,0730235	0,4293062
140	0,6774120	0,0389806	0,2254614	0,2990853	0,5114832	0,6286598	0,7625386	0,4881021	0,2003009	0,4658633	0,1394264	0,1446140	0,0124640	0,2684788	0,1392852	0,4313042
160	0,6567807	0,0324954	0,3491986	0,2212534	0,4297542	0,7142418	0,8885381	0,5651598	0,1978467	0,5515037	0,1537000	0,1914651	0,0291994	0,1838103	0,1097306	0,4519773
180	0,5381292	0,0129245	0,3257241	0,1423553	0,3207171	0,7364269	0,7460440	0,5547889	0,1960555	0,4110656	0,1379085	0,2297459	0,0315053	0,2055331	0,0959000	0,4394431
200	0,4904769	0,0272311	0,2991142	0,1697393	0,2848547	0,7186038	0,7803405	0,6018980	0,1905795	0,4552651	0,2196467	0,2221674	0,0410906	0,2620222	0,0843108	0,4472703
220	0,4665361	0,0103344	0,2560416	0,1814143	0,3190266	0,7628418	0,7082179	0,6619028	0,2271910	0,4058259	0,1317181	0,2302544	0,0820785	0,2322324	0,1384956	0,4772924
240	0,4082869	0,0432689	0,2206716	0,2252960	0,2595401	0,7269930	0,8104066	0,6719497	0,2320019	0,4375435	0,1143447	0,2161325	0,1458858	0,2199165	0,1228418	0,3393807
