"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP

0	0,3089979	0,4158493	0,4311799	0,7033383	0,3695068	0,1346955	0,2567604	0,4690134	0,0085329	0,7300300	0,0945740	0,9336799	0,6409168	0,4070014	0,0134681	0,2175298
20	0,3144024	0,4422932	0,4808433	0,4248164	0,2750785	0,1044957	0,2525314	0,3324081	0,0103421	0,6703612	0,0632915	0,6679435	0,5959833	0,4740311	0,0071197	0,1891547
40	0,3022667	0,5107204	0,2511784	0,2229106	0,2508787	0,0616559	0,2422588	0,3129539	0,0158968	0,7955330	0,0649824	0,6835826	0,7736694	0,4958448	0,0127571	0,3149749
60	0,2752464	0,4826116	0,2228389	0,2142561	0,1807185	0,0323371	0,3758271	0,3140065	0,0089205	0,7540883	0,0719648	0,8653728	0,6460814	0,4570285	0,0080947	0,1702318
80	0,3022053	0,4551950	0,2482339	0,1452276	0,1574436	0,0481655	0,3181019	0,3201063	0,0052128	0,8489310	0,0439739	1,0000000	0,6920651	0,5155978	0,0014594	0,2496051
100	0,3648940	0,4369017	0,2055687	0,1126582	0,1398783	0,0376645	0,3230841	0,3843480	0,0130529	0,7746149	0,0300848	0,7314614	0,6294471	0,4396417	0,0011625	0,2739218
120	0,2836592	0,5876837	0,2486060	0,1229062	0,0871038	0,0342782	0,2375703	0,3135107	0,0112475	0,7591492	0,0103025	0,9122741	0,6306025	0,5169249	0,0016529	0,1945213
140	0,1861368	0,5310150	0,2795090	0,0971086	0,1222409	0,0294915	0,2656686	0,2886276	0,0161057	0,7419422	0,0108937	0,7400658	0,6354272	0,5507711	0,0009352	0,1865800
160	0,2578249	0,6030655	0,1993966	0,0729699	0,0936760	0,0265947	0,3420363	0,3030753	0,0198576	0,6639404	0,0154354	0,8479658	0,7391780	0,4960242	0,0000370	0,1248749
180	0,2645695	0,5452034	0,2377228	0,1026427	0,0870163	0,0475956	0,1982779	0,2815095	0,0085847	0,6471481	0,0117640	0,8571417	0,5270793	0,3972297	0,0000116	0,2063147
200	0,2740109	0,5766566	0,1944672	0,0797608	0,1105221	0,0447349	0,2862736	0,2361615	0,0055772	0,6903808	0,0120630	0,7714380	0,7854011	0,4078345	0,0002323	0,2293007
220	0,3125946	0,5816922	0,1793052	0,1089656	0,1552936	0,0442686	0,2810406	0,2873638	0,0186705	0,6309600	0,0127520	0,7063429	0,6740081	0,5785896	0,0001898	0,1983944
240	0,3368121	0,4786275	0,1923239	0,0735746	0,1300702	0,0526021	0,2461751	0,2714004	0,0421209	0,7724286	0,0059496	0,8241517	0,6458619	0,4788686	0,0014025	0,2117568
260	0,3698658	0,4635226	0,1887717	0,0737563	0,0744063	0,0531304	0,2831752	0,3201673	0,0074693	0,7597184	0,0036345	0,6396947	0,6361623	0,4475910	0,0000355	0,1517883
280	0,2975919	0,5057569	0,1951552	0,0669873	0,0972712	0,0554603	0,2099835	0,2816114	0,0119088	0,6854994	0,0180059	0,8828822	0,5689821	0,4552199	0,0000103	0,2521798
300	0,3070240	0,5827922	0,1368620	0,1471809	0,0932829	0,0615024	0,2574546	0,2683317	0,0337244	0,7330924	0,0069186	0,8522696	0,6680611	0,5006854	0,0002417	0,1838356
320	0,3008959	0,4681680	0,2394075	0,0825704	0,1086373	0,0637779	0,2753742	0,3271369	0,0420731	0,6680013	0,0104185	0,7224126	0,6189668	0,4654141	0,0002186	0,2256926
340	0,3027260	0,4297920	0,2273752	0,0822019	0,1134817	0,0783112	0,3908995	0,3319185	0,0396360	0,6610431	0,0196191	0,8706891	0,6390652	0,4773004	0,0003515	0,2226773
360	0,2389215	0,5635271	0,1919083	0,0498594	0,1063053	0,0428693	0,2365820	0,3395866	0,0136988	0,6363927	0,0132360	0,8527408	0,7172965	0,5017766	0,0000320	0,1685803
380	0,3060720	0,5736807	0,2355763	0,0826538	0,0869874	0,0434865	0,2181444	0,2927554	0,0203485	0,6970371	0,0098694	0,7194125	0,5835067	0,4882277	0,0000100	0,2731601
400	0,3379155	0,5437250	0,1648979	0,1127530	0,0821094	0,0905023	0,2831041	0,2827914	0,0063017	0,6646353	0,0164689	0,8349902	0,5790747	0,4915160	0,0000766	0,2121502
420	0,2769551	0,5252100	0,1501225	0,0390933	0,0997507	0,0969932	0,2757312	0,3114267	0,0036024	0,6216680	0,0186207	0,8485493	0,6278567	0,4345555	0,0000123	0,2017181
440	0,2919695	0,6277415	0,1384054	0,0994008	0,0957069	0,1096707	0,2262630	0,2329568	0,0017265	0,6040392	0,0034183	0,7886033	0,5632159	0,5332318	0,0003435	0,2277051
460	0,2816348	0,5912916	0,1967225	0,0769894	0,0591420	0,0568401	0,2064609	0,3048402	0,0082091	0,6106805	0,0232406	0,8146572	0,6907947	0,4057958	0,0028741	0,1741525
480	0,2598824	0,3753308	0,2213328	0,0439623	0,0821513	0,0880971	0,2557535	0,2968147	0,0061111	0,7581401	0,0050423	0,8990930	0,5154103	0,4269491	0,0009708	0,1589183
500	0,2611617	0,5928061	0,2613339	0,0694308	0,1095643	0,0936800	0,2981560	0,3021578	0,0027751	0,7450257	0,0210247	0,7006227	0,5984832	0,3581214	0,0100143	0,2577574
520	0,2357603	0,5140935	0,2102813	0,0653377	0,0492345	0,0477228	0,2653902	0,2453077	0,0030962	0,7004682	0,0086991	0,8265397	0,6292843	0,4616910	0,0053944	0,2496623
540	0,2379006	0,5705256	0,2438692	0,1111525	0,0942431	0,0951448	0,2039961	0,3247795	0,0044925	0,6600694	0,0214191	0,7910267	0,8259398	0,5019894	0,0009734	0,2592569
560	0,2303272	0,5260562	0,2714635	0,0685817	0,0687983	0,0944576	0,2879425	0,2518796	0,0013706	0,6079708	0,0413471	0,7615538	0,7111010	0,5008838	0,0006787	0,2573886
580	0,3169842	0,4690880	0,3669129	0,4205222	0,3392225	0,3040175	0,2476510	0,2630451	0,0053505	0,8023290	0,0602223	0,7892559	0,5891267	0,4270689	0,0127482	0,2704268
600	0,2207099	0,6520524	0,5548085	0,5136584	0,3784235	0,4887186	0,3000602	0,2681770	0,0387537	0,6900573	0,0478723	0,7303482	0,6218138	0,5668323	0,0083262	0,2130596
620	0,2116694	0,4853471	0,5393045	0,8253985	0,5549657	0,3378857	0,2759109	0,2525894	0,0125842	0,7631509	0,1159999	0,7545489	0,6828125	0,5027132	0,0236360	0,2674001
640	0,3102055	0,6685597	0,5585014	0,6436997	0,4804574	0,3331956	0,2834983	0,2977015	0,0270964	0,6631409	0,1158107	0,6129602	0,6030627	0,4140087	0,0060123	0,2203927
660	0,3143659	0,4824289	0,4780381	0,6706260	0,3444029	0,2048753	0,2748309	0,2724577	0,0072481	0,6528986	0,1289791	0,8613322	0,7182100	0,4841961	0,0062091	0,2049224
680	0,2436276	0,4711511	0,6391211	0,6375707	0,3818985	0,1309920	0,2407770	0,2973260	0,0089724	0,8239875	0,1341659	0,7310379	0,7435831	0,4625915	0,0072107	0,2371206
700	0,2541016	0,4389309	0,5413494	0,8045051	0,3050557	0,2342241	0,2395037	0,2911740	0,0090537	0,8128570	0,1269170	0,8086251	0,6594664	0,5825609	0,0067922	0,3225821
720	0,2908815	0,4380071	0,5096491	0,6627671	0,3578826	0,1497861	0,2253711	0,3672548	0,0131392	0,6991599	0,1939270	0,7635897	0,7677501	0,5300331	0,0060918	0,2180395
740	0,3006157	0,4455190	0,4981480	0,6671540	0,3293689	0,1323392	0,2145786	0,2512582	0,0067766	0,6540851	0,0991559	0,6732278	0,6743544	0,4003476	0,0180253	0,1986352
760	0,3776134	0,4383555	0,4888104	0,8033741	0,4003814	0,1887279	0,2221429	0,3235414	0,0303073	0,6606161	0,1132385	0,7007246	0,7232654	0,4884711	0,0021400	0,2021780
780	0,2600811	0,5847150	0,4260175	0,7115500	0,4389476	0,2386005	0,2010996	0,2306285	0,0223692	0,7118971	0,1193584	0,7888129	0,6494510	0,4078265	0,0119175	0,1965476
800	0,2610351	0,4868337	0,5951600	0,7527305	0,4231124	0,1373577	0,1955979	0,3326008	0,0238250	0,6007283	0,1033528	0,7619171	0,6263165	0,4248793	0,0105837	0,2488890
820	0,2541234	0,4526285	0,4780274	0,6212585	0,3917180	0,2080618	0,2188079	0,2728904	0,0230925	0,6702665	0,1267447	0,7361285	0,5611909	0,4869403	0,0183897	0,1875085
