"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP

0	0,4563836	0,6569254	0,6275925	0,9955480	0,4832859	0,1843241	0,3957313	0,4476964	0,0085664	0,9521242	0,1361506	0,9823080	0,9188061	0,6338424	0,0171187	0,2811143
20	0,3441459	0,6843560	0,6082085	0,8432630	0,4653605	0,2354820	0,3943901	0,3900185	0,0064133	0,8380695	0,1306367	1,0539785	0,8091058	0,6384405	0,0293167	0,2574112
40	0,3444075	0,6952216	0,5602557	0,6886706	0,4232410	0,1741329	0,3574495	0,3821821	0,0104959	0,8828440	0,1262247	1,0338153	0,8415677	0,6263285	0,0229591	0,2446624
60	0,3679157	0,6861080	0,4667639	0,5860709	0,3554085	0,1368790	0,3523581	0,3565674	0,0118595	0,8603945	0,1176555	1,0328331	0,8205558	0,6038856	0,0264056	0,2821467
80	0,3825254	0,7074624	0,4193308	0,4739983	0,2956595	0,1070592	0,3670256	0,4078400	0,0315315	0,8487006	0,0965140	0,9985852	0,7560507	0,5902751	0,0155734	0,3001056
100	0,3695516	0,6667007	0,3496954	0,4266336	0,2489721	0,0899085	0,3844110	0,4718427	0,0224925	0,9526776	0,0943580	1,0553792	0,8325244	0,6216807	0,0138748	0,3021995
120	0,3409353	0,6427307	0,3361325	0,3572766	0,2301727	0,0855371	0,3480138	0,3876260	0,0248374	0,9742294	0,0804418	1,1128200	0,8625844	0,5793842	0,0041947	0,2719040
140	0,3694533	0,6800116	0,3345885	0,2708735	0,1985240	0,0735689	0,3424272	0,4168371	0,0256912	0,8693943	0,0650620	0,9723485	0,8330041	0,6112712	0,0047362	0,2697213
160	0,3950969	0,7101810	0,3426857	0,2180652	0,1951154	0,0518945	0,3616525	0,4351413	0,0228344	0,9059338	0,0562874	1,0535643	0,8346058	0,6658808	0,0014384	0,2496990
180	0,3637258	0,6868731	0,3303569	0,1819398	0,1712625	0,0501274	0,3870594	0,4259717	0,0149652	0,8460859	0,0511832	0,9553690	0,8561392	0,6059805	0,0006000	0,2473621
200	0,4125391	0,6676849	0,3365493	0,1579038	0,1828466	0,0569737	0,3630646	0,4509375	0,0188192	0,8144916	0,0382722	0,9833719	0,9380910	0,5651336	0,0001493	0,2679707
220	0,4826451	0,6664028	0,3112437	0,1261838	0,1671523	0,0517155	0,3703755	0,4138113	0,0309251	0,8700846	0,0253249	0,9370758	0,9182069	0,6371533	0,0019276	0,2429973
240	0,4646998	0,6271649	0,2979443	0,1469439	0,1506702	0,0737421	0,3483040	0,3979075	0,0244514	0,9367172	0,0186598	1,0338177	0,8961588	0,6056773	0,0013955	0,2749140
260	0,4432965	0,6597993	0,3300622	0,1370990	0,1497927	0,0604727	0,3781138	0,4086876	0,0226338	0,9748817	0,0247069	0,9609692	0,9454079	0,5981290	0,0007735	0,3193526
280	0,4520572	0,6382562	0,3078465	0,1153491	0,1128420	0,0646478	0,3141920	0,3817977	0,0205529	0,9980142	0,0184299	0,9997586	0,8848985	0,6282979	0,0011303	0,2842743
300	0,4043033	0,6098050	0,2828909	0,1151323	0,1041377	0,0654061	0,3678753	0,4177552	0,0185114	0,9477900	0,0102131	1,0921024	0,8665654	0,6285345	0,0022927	0,3011572
320	0,4089023	0,5807538	0,2763050	0,1102525	0,1080580	0,0804214	0,3528762	0,4256794	0,0302244	0,9112502	0,0146903	1,1213567	0,8280439	0,6832276	0,0018460	0,2964905
340	0,4374457	0,5637578	0,2726889	0,0834753	0,1048469	0,1027028	0,3184712	0,3857278	0,0420284	0,8758899	0,0151717	1,0570691	0,7348639	0,6540337	0,0010629	0,3281114
360	0,3700672	0,5692140	0,2775741	0,0965339	0,0712941	0,0858011	0,3503136	0,4047849	0,0349141	0,8318775	0,0150945	0,9721030	0,7826654	0,5945849	0,0031056	0,3518415
380	0,4066925	0,6066150	0,2787724	0,1045934	0,0950298	0,0816540	0,3641145	0,4403340	0,0311691	0,8504328	0,0162663	1,0502646	0,7841358	0,6779156	0,0027808	0,3199247
400	0,4224763	0,6392904	0,2525668	0,1156220	0,1255131	0,0876350	0,3232555	0,3843174	0,0235581	0,7944172	0,0132111	0,9917649	0,7779621	0,6745660	0,0012311	0,2944309
