"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP

0	0,3787516	0,6642103	0,6220841	0,9721681	0,4870590	0,2043697	0,3354457	0,4046523	0,0141792	0,8993376	0,1415097	0,9725412	0,8873498	0,6356676	0,0111103	0,2881517
20	0,3787295	0,6642510	0,4452263	0,5754644	0,3391838	0,1209380	0,3354421	0,4046523	0,0141792	0,8993377	0,1028653	0,9725441	0,8873521	0,6356684	0,0066115	0,2881517
40	0,3787119	0,6642836	0,3463661	0,3628252	0,2476744	0,0761143	0,3354396	0,4046523	0,0141792	0,8993378	0,0757349	0,9725461	0,8873537	0,6356689	0,0039458	0,2881517
60	0,3786977	0,6643096	0,2966109	0,2489503	0,1939501	0,0542563	0,3354377	0,4046523	0,0141792	0,8993378	0,0566880	0,9725476	0,8873548	0,6356692	0,0023663	0,2881517
80	0,3786863	0,6643305	0,2742374	0,1879176	0,1628458	0,0462367	0,3354363	0,4046523	0,0141792	0,8993378	0,0433162	0,9725486	0,8873556	0,6356695	0,0014305	0,2881517
100	0,3786772	0,6643472	0,2654734	0,1551718	0,1443879	0,0462446	0,3354353	0,4046523	0,0141792	0,8993379	0,0339284	0,9725493	0,8873562	0,6356696	0,0008759	0,2881517
120	0,3786698	0,6643606	0,2628660	0,1375900	0,1330738	0,0502843	0,3354346	0,4046523	0,0141792	0,8993379	0,0273378	0,9725499	0,8873566	0,6356697	0,0005474	0,2881517
140	0,3786640	0,6643713	0,2627863	0,1281459	0,1259724	0,0557151	0,3354341	0,4046523	0,0141792	0,8993379	0,0227108	0,9725503	0,8873569	0,6356698	0,0003527	0,2881517
160	0,3786593	0,6643800	0,2635828	0,1230719	0,1214507	0,0610359	0,3354337	0,4046523	0,0141792	0,8993379	0,0194624	0,9725505	0,8873571	0,6356698	0,0002374	0,2881517
180	0,3786555	0,6643869	0,2645506	0,1203454	0,1185479	0,0655787	0,3354334	0,4046523	0,0141792	0,8993379	0,0171819	0,9725507	0,8873572	0,6356699	0,0001690	0,2881517
200	0,3786525	0,6643924	0,2654195	0,1188803	0,1166756	0,0691724	0,3354332	0,4046523	0,0141792	0,8993379	0,0155808	0,9725508	0,8873573	0,6356699	0,0001285	0,2881517
220	0,3786501	0,6643969	0,2661111	0,1180929	0,1154647	0,0718860	0,3354331	0,4046523	0,0141792	0,8993379	0,0144568	0,9725509	0,8873574	0,6356699	0,0001045	0,2881517
240	0,3786482	0,6644004	0,2666261	0,1176698	0,1146804	0,0738745	0,3354330	0,4046523	0,0141792	0,8993379	0,0136677	0,9725510	0,8873575	0,6356699	0,0000903	0,2881517
260	0,3786466	0,6644033	0,2669932	0,1174425	0,1141719	0,0753032	0,3354329	0,4046523	0,0141792	0,8993379	0,0131137	0,9725511	0,8873575	0,6356699	0,0000819	0,2881517
280	0,3786454	0,6644056	0,2672465	0,1173203	0,1138420	0,0763157	0,3354329	0,4046523	0,0141792	0,8993379	0,0127248	0,9725511	0,8873575	0,6356699	0,0000769	0,2881517
300	0,3786444	0,6644074	0,2674168	0,1172547	0,1136281	0,0770265	0,3354328	0,4046523	0,0141792	0,8993379	0,0124517	0,9725511	0,8873575	0,6356699	0,0000739	0,2881517
320	0,3786436	0,6644089	0,2675286	0,1172194	0,1134893	0,0775221	0,3354328	0,4046523	0,0141792	0,8993379	0,0122600	0,9725511	0,8873575	0,6356699	0,0000722	0,2881517
340	0,3786430	0,6644100	0,2676005	0,1172005	0,1133993	0,0778657	0,3354328	0,4046523	0,0141792	0,8993379	0,0121255	0,9725512	0,8873576	0,6356699	0,0000711	0,2881517
360	0,3786424	0,6644110	0,2676458	0,1171903	0,1133409	0,0781030	0,3354327	0,4046523	0,0141792	0,8993379	0,0120310	0,9725512	0,8873576	0,6356699	0,0000705	0,2881517
380	0,3786420	0,6644117	0,2676738	0,1171848	0,1133031	0,0782664	0,3354327	0,4046523	0,0141792	0,8993379	0,0119646	0,9725512	0,8873576	0,6356699	0,0000702	0,2881517
400	0,3786417	0,6644123	0,2676907	0,1171819	0,1132786	0,0783784	0,3354327	0,4046523	0,0141792	0,8993379	0,0119181	0,9725512	0,8873576	0,6356699	0,0000699	0,2881517
420	0,3786414	0,6644128	0,2677007	0,1171803	0,1132627	0,0784552	0,3354327	0,4046523	0,0141792	0,8993379	0,0118854	0,9725512	0,8873576	0,6356699	0,0000698	0,2881517
440	0,3786412	0,6644132	0,2677065	0,1171795	0,1132524	0,0785076	0,3354327	0,4046523	0,0141792	0,8993379	0,0118624	0,9725512	0,8873576	0,6356699	0,0000697	0,2881517
460	0,3786411	0,6644135	0,2677097	0,1171790	0,1132458	0,0785433	0,3354327	0,4046523	0,0141792	0,8993379	0,0118463	0,9725512	0,8873576	0,6356699	0,0000697	0,2881517
480	0,3786409	0,6644138	0,2677114	0,1171788	0,1132415	0,0785675	0,3354327	0,4046523	0,0141792	0,8993379	0,0118350	0,9725512	0,8873576	0,6356699	0,0000697	0,2881517
500	0,3786408	0,6644140	0,2677122	0,1171787	0,1132387	0,0785840	0,3354327	0,4046523	0,0141792	0,8993379	0,0118271	0,9725512	0,8873576	0,6356699	0,0000696	0,2881517
520	0,3786407	0,6644141	0,2677126	0,1171786	0,1132369	0,0785952	0,3354327	0,4046523	0,0141792	0,8993379	0,0118215	0,9725512	0,8873576	0,6356699	0,0000696	0,2881517
540	0,3786407	0,6644143	0,2677128	0,1171786	0,1132357	0,0786027	0,3354327	0,4046523	0,0141792	0,8993379	0,0118176	0,9725512	0,8873576	0,6356699	0,0000696	0,2881517
560	0,3786406	0,6644144	0,2677128	0,1171785	0,1132350	0,0786078	0,3354327	0,4046523	0,0141792	0,8993379	0,0118148	0,9725512	0,8873576	0,6356699	0,0000696	0,2881517
580	0,3786406	0,6644145	0,5396264	0,5254133	0,4185588	0,4199928	0,3354327	0,4046523	0,0141792	0,8993379	0,0504544	0,9725512	0,8873576	0,6356699	0,0045685	0,2881517
600	0,3786405	0,6644145	0,6847641	0,7445920	0,6082125	0,4930263	0,3354327	0,4046523	0,0141792	0,8993379	0,0775813	0,9725512	0,8873576	0,6356699	0,0072342	0,2881517
