"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP

0	0,3788135	0,6639576	0,6220837	0,9721122	0,4870598	0,2043728	0,3354537	0,4046523	0,0141792	0,8993254	0,1419514	0,9725366	0,8873374	0,6356632	0,0111116	0,2881520
20	0,3787792	0,6640485	0,5867102	0,9114717	0,4570817	0,1873415	0,3354479	0,4046523	0,0141792	0,8993295	0,1365973	0,9725408	0,8873433	0,6356654	0,0100747	0,2881519
40	0,3787517	0,6641214	0,5178158	0,7898985	0,3966940	0,1549394	0,3354438	0,4046523	0,0141792	0,8993322	0,1246314	0,9725438	0,8873475	0,6356669	0,0080959	0,2881518
60	0,3787297	0,6641798	0,4483832	0,6592962	0,3329737	0,1228313	0,3354407	0,4046523	0,0141792	0,8993341	0,1100389	0,9725459	0,8873504	0,6356679	0,0060967	0,2881517
80	0,3787120	0,6642265	0,3913077	0,5412102	0,2774469	0,0970923	0,3354385	0,4046523	0,0141792	0,8993353	0,0951230	0,9725474	0,8873525	0,6356686	0,0044111	0,2881517
100	0,3786978	0,6642639	0,3490167	0,4425710	0,2331663	0,0791767	0,3354369	0,4046523	0,0141792	0,8993362	0,0811270	0,9725485	0,8873540	0,6356690	0,0031088	0,2881517
120	0,3786864	0,6642939	0,3195837	0,3637141	0,1994823	0,0683658	0,3354358	0,4046523	0,0141792	0,8993367	0,0686423	0,9725493	0,8873551	0,6356693	0,0021533	0,2881517
140	0,3786772	0,6643179	0,2999468	0,3023410	0,1745664	0,0630571	0,3354349	0,4046523	0,0141792	0,8993371	0,0578715	0,9725498	0,8873558	0,6356695	0,0014756	0,2881517
160	0,3786699	0,6643371	0,2872534	0,2553987	0,1564727	0,0615057	0,3354343	0,4046523	0,0141792	0,8993374	0,0487965	0,9725502	0,8873563	0,6356697	0,0010065	0,2881517
180	0,3786640	0,6643526	0,2792609	0,2199115	0,1435051	0,0622180	0,3354339	0,4046523	0,0141792	0,8993375	0,0412837	0,9725505	0,8873567	0,6356698	0,0006877	0,2881517
200	0,3786593	0,6643649	0,2743476	0,1932997	0,1343041	0,0640902	0,3354336	0,4046523	0,0141792	0,8993376	0,0351479	0,9725507	0,8873569	0,6356698	0,0004740	0,2881517
220	0,3786556	0,6643748	0,2713984	0,1734560	0,1278276	0,0663949	0,3354333	0,4046523	0,0141792	0,8993377	0,0301904	0,9725508	0,8873571	0,6356699	0,0003323	0,2881517
240	0,3786526	0,6643828	0,2696729	0,1587186	0,1232988	0,0687019	0,3354332	0,4046523	0,0141792	0,8993378	0,0262198	0,9725509	0,8873573	0,6356699	0,0002393	0,2881517
260	0,3786501	0,6643891	0,2686926	0,1478047	0,1201494	0,0707885	0,3354330	0,4046523	0,0141792	0,8993378	0,0230623	0,9725510	0,8873574	0,6356699	0,0001786	0,2881517
280	0,3786482	0,6643942	0,2681555	0,1397392	0,1179697	0,0725638	0,3354329	0,4046523	0,0141792	0,8993378	0,0205665	0,9725511	0,8873574	0,6356699	0,0001394	0,2881517
300	0,3786466	0,6643983	0,2678752	0,1337875	0,1164673	0,0740137	0,3354329	0,4046523	0,0141792	0,8993378	0,0186038	0,9725511	0,8873575	0,6356699	0,0001141	0,2881517
320	0,3786454	0,6644016	0,2677390	0,1294005	0,1154356	0,0751631	0,3354328	0,4046523	0,0141792	0,8993378	0,0170671	0,9725511	0,8873575	0,6356699	0,0000978	0,2881517
340	0,3786444	0,6644042	0,2676805	0,1261692	0,1147294	0,0760544	0,3354328	0,4046523	0,0141792	0,8993379	0,0158684	0,9725511	0,8873575	0,6356699	0,0000875	0,2881517
360	0,3786436	0,6644063	0,2676619	0,1237907	0,1142474	0,0767336	0,3354328	0,4046523	0,0141792	0,8993379	0,0149365	0,9725512	0,8873575	0,6356699	0,0000809	0,2881517
380	0,3786430	0,6644080	0,2676619	0,1220406	0,1139193	0,0772439	0,3354328	0,4046523	0,0141792	0,8993379	0,0142140	0,9725512	0,8873575	0,6356699	0,0000767	0,2881517
400	0,3786424	0,6644093	0,2676694	0,1207532	0,1136965	0,0776229	0,3354327	0,4046523	0,0141792	0,8993379	0,0136553	0,9725512	0,8873576	0,6356699	0,0000741	0,2881517
420	0,3786420	0,6644104	0,2676788	0,1198065	0,1135456	0,0779018	0,3354327	0,4046523	0,0141792	0,8993379	0,0132243	0,9725512	0,8873576	0,6356699	0,0000724	0,2881517
440	0,3786417	0,6644113	0,2676875	0,1191103	0,1134435	0,0781053	0,3354327	0,4046523	0,0141792	0,8993379	0,0128924	0,9725512	0,8873576	0,6356699	0,0000714	0,2881517
460	0,3786414	0,6644120	0,2676947	0,1185985	0,1133746	0,0782528	0,3354327	0,4046523	0,0141792	0,8993379	0,0126373	0,9725512	0,8873576	0,6356699	0,0000707	0,2881517
480	0,3786412	0,6644125	0,2677002	0,1182223	0,1133282	0,0783590	0,3354327	0,4046523	0,0141792	0,8993379	0,0124415	0,9725512	0,8873576	0,6356699	0,0000703	0,2881517
500	0,3786411	0,6644130	0,2677042	0,1179457	0,1132970	0,0784350	0,3354327	0,4046523	0,0141792	0,8993379	0,0122915	0,9725512	0,8873576	0,6356699	0,0000700	0,2881517
520	0,3786409	0,6644133	0,2677071	0,1177424	0,1132760	0,0784893	0,3354327	0,4046523	0,0141792	0,8993379	0,0121767	0,9725512	0,8873576	0,6356699	0,0000699	0,2881517
540	0,3786408	0,6644136	0,2677090	0,1175930	0,1132619	0,0785277	0,3354327	0,4046523	0,0141792	0,8993379	0,0120889	0,9725512	0,8873576	0,6356699	0,0000698	0,2881517
560	0,3786407	0,6644139	0,2677103	0,1174831	0,1132525	0,0785549	0,3354327	0,4046523	0,0141792	0,8993379	0,0120219	0,9725512	0,8873576	0,6356699	0,0000697	0,2881517
580	0,3786407	0,6644140	0,3221038	0,1798064	0,1749441	0,1506611	0,3354327	0,4046523	0,0141792	0,8993379	0,0172160	0,9725512	0,8873576	0,6356699	0,0011061	0,2881517
600	0,3786406	0,6644142	0,4272097	0,3049264	0,3002416	0,2649627	0,3354327	0,4046523	0,0141792	0,8993379	0,0290603	0,9725512	0,8873576	0,6356699	0,0030846	0,2881517
620	0,3786406	0,6644143	0,5272327	0,4391950	0,4252071	0,3327955	0,3354327	0,4046523	0,0141792	0,8993379	0,0435602	0,9725512	0,8873576	0,6356699	0,0050836	0,2881517
640	0,3786405	0,6644144	0,5966089	0,5591222	0,5047945	0,3459877	0,3354327	0,4046523	0,0141792	0,8993379	0,0584059	0,9725512	0,8873576	0,6356699	0,0067690	0,2881517
660	0,3786405	0,6644145	0,6323250	0,6563036	0,5312154	0,3272816	0,3354327	0,4046523	0,0141792	0,8993379	0,0723485	0,9725512	0,8873576	0,6356699	0,0080712	0,2881517
680	0,3786405	0,6644145	0,6434370	0,7313742	0,5243327	0,2974399	0,3354327	0,4046523	0,0141792	0,8993379	0,0847927	0,9725512	0,8873576	0,6356699	0,0090267	0,2881517
700	0,3786404	0,6644146	0,6412574	0,7888776	0,5060592	0,2687502	0,3354327	0,4046523	0,0141792	0,8993379	0,0955328	0,9725512	0,8873576	0,6356699	0,0097044	0,2881517
720	0,3786404	0,6644146	0,6344330	0,8332723	0,4903579	0,2465516	0,3354327	0,4046523	0,0141792	0,8993379	0,1045844	0,9725512	0,8873576	0,6356699	0,0101734	0,2881517
740	0,3786404	0,6644147	0,6278639	0,8677070	0,4823123	0,2316625	0,3354327	0,4046523	0,0141792	0,8993379	0,1120796	0,9725512	0,8873576	0,6356699	0,0104922	0,2881517
760	0,3786404	0,6644147	0,6234368	0,8942908	0,4809435	0,2225516	0,3354327	0,4046523	0,0141792	0,8993379	0,1182020	0,9725512	0,8873576	0,6356699	0,0107060	0,2881517
780	0,3786404	0,6644147	0,6212440	0,9145634	0,4829907	0,2170847	0,3354327	0,4046523	0,0141792	0,8993379	0,1231493	0,9725512	0,8873576	0,6356699	0,0108476	0,2881517
800	0,3786404	0,6644147	0,6206282	0,9297834	0,4856030	0,2135639	0,3354327	0,4046523	0,0141792	0,8993379	0,1271123	0,9725512	0,8873576	0,6356699	0,0109406	0,2881517
820	0,3786404	0,6644147	0,6208353	0,9410454	0,4873331	0,2110172	0,3354327	0,4046523	0,0141792	0,8993379	0,1302639	0,9725512	0,8873576	0,6356699	0,0110013	0,2881517
840	0,3786404	0,6644147	0,6213072	0,9492988	0,4879490	0,2090374	0,3354327	0,4046523	0,0141792	0,8993379	0,1327553	0,9725512	0,8873576	0,6356699	0,0110406	0,2881517
860	0,3786404	0,6644148	0,6217380	0,9553287	0,4878301	0,2075058	0,3354327	0,4046523	0,0141792	0,8993379	0,1347147	0,9725512	0,8873576	0,6356699	0,0110659	0,2881517
880	0,3786404	0,6644148	0,6220181	0,9597457	0,4874507	0,2063861	0,3354327	0,4046523	0,0141792	0,8993379	0,1362489	0,9725512	0,8873576	0,6356699	0,0110821	0,2881517
900	0,3786404	0,6644148	0,6221507	0,9629986	0,4871231	0,2056281	0,3354327	0,4046523	0,0141792	0,8993379	0,1374457	0,9725512	0,8873576	0,6356699	0,0110924	0,2881517
920	0,3786404	0,6644148	0,6221830	0,9654053	0,4869574	0,2051524	0,3354327	0,4046523	0,0141792	0,8993379	0,1383762	0,9725512	0,8873576	0,6356699	0,0110990	0,2881517
940	0,3786404	0,6644148	0,6221651	0,9671890	0,4869311	0,2048697	0,3354327	0,4046523	0,0141792	0,8993379	0,1390976	0,9725512	0,8873576	0,6356699	0,0111032	0,2881517
960	0,3786404	0,6644148	0,6221326	0,9685088	0,4869751	0,2047034	0,3354327	0,4046523	0,0141792	0,8993379	0,1396554	0,9725512	0,8873576	0,6356699	0,0111058	0,2881517
980	0,3786404	0,6644148	0,6221045	0,9694820	0,4870300	0,2046003	0,3354327	0,4046523	0,0141792	0,8993379	0,1400858	0,9725512	0,8873576	0,6356699	0,0111075	0,2881517
1000	0,3786404	0,6644148	0,6220868	0,9701968	0,4870661	0,2045304	0,3354327	0,4046523	0,0141792	0,8993379	0,1404172	0,9725512	0,8873576	0,6356699	0,0111085	0,2881517
1020	0,3786404	0,6644148	0,6220789	0,9707206	0,4870788	0,2044797	0,3354327	0,4046523	0,0141792	0,8993379	0,1406720	0,9725512	0,8873576	0,6356699	0,0111092	0,2881517
1040	0,3786404	0,6644148	0,6220773	0,9711043	0,4870761	0,2044424	0,3354327	0,4046523	0,0141792	0,8993379	0,1408675	0,9725512	0,8873576	0,6356699	0,0111096	0,2881517
1060	0,3786404	0,6644148	0,6220787	0,9713857	0,4870681	0,2044160	0,3354327	0,4046523	0,0141792	0,8993379	0,1410173	0,9725512	0,8873576	0,6356699	0,0111099	0,2881517
1080	0,3786404	0,6644148	0,6220809	0,9715925	0,4870612	0,2043985	0,3354327	0,4046523	0,0141792	0,8993379	0,1411320	0,9725512	0,8873576	0,6356699	0,0111100	0,2881517
1100	0,3786404	0,6644148	0,6220827	0,9717447	0,4870578	0,2043876	0,3354327	0,4046523	0,0141792	0,8993379	0,1412196	0,9725512	0,8873576	0,6356699	0,0111101	0,2881517

0	0,3788135	0,6639576	0,6220837	0,9721122	0,4870598	0,2043728	0,3354537	0,4046523	0,0141792	0,8993254	0,1419514	0,9725366	0,8873374	0,6356632	0,0111116	0,2881520
20	0,3585490	0,6643264	0,6220839	0,9695452	0,4542517	0,2048388	0,3356438	0,3921820	0,0125789	0,8994770	0,1372440	0,9726253	0,8874613	0,6361086	0,0100822	0,2883313
40	0,3185657	0,6672541	0,6220839	0,9653430	0,3872732	0,2101308	0,3375040	0,3702759	0,0098237	0,9008770	0,1268962	0,9733417	0,8885945	0,6403236	0,0081207	0,2901133
