"Time"	yoeB	yefM	alaS	mngB	mngR	mngA	artJ	argR	argB	artI	artQ	argA	artM	argC	argE	artP

0	0,3290743	0,5207414	0,4167368	0,6919447	0,4108643	0,1608788	0,2987413	0,3597726	0,0069219	0,7065192	0,0813540	0,7655485	0,7086187	0,4793006	0,0081090	0,1584677
20	0,2501418	0,5954567	0,4872327	0,7188653	0,3212649	0,1165639	0,3194889	0,2722524	0,0036206	0,5717177	0,0891892	0,8561049	0,6659851	0,4704097	0,0207936	0,2561526
40	0,2523343	0,5184650	0,4036213	0,4476894	0,3160290	0,1303045	0,2528499	0,3184216	0,0040458	0,5498809	0,0916065	0,7661704	0,5321116	0,4571118	0,0247024	0,1749127
60	0,2735161	0,5152461	0,4414262	0,5666442	0,2662724	0,1087844	0,3262938	0,2578772	0,0050875	0,6639366	0,0693669	0,7276635	0,6256305	0,5109855	0,0130279	0,2150250
80	0,2974092	0,6053163	0,3030718	0,4715154	0,2154414	0,0719311	0,3058671	0,3048496	0,0342312	0,5894477	0,0714501	0,8159095	0,5986399	0,4249243	0,0225437	0,1948522
100	0,2806624	0,5234061	0,2626227	0,3245915	0,2039050	0,0712520	0,3076718	0,3499292	0,0147006	0,6624081	0,0960905	0,7012733	0,6886037	0,4290207	0,0144508	0,1875439
120	0,2732292	0,5472715	0,3549586	0,2371187	0,1844310	0,0354278	0,2668773	0,3165755	0,0176411	0,6999839	0,0488329	0,8036609	0,7228746	0,4141009	0,0054812	0,1910870
140	0,2442685	0,5173590	0,2345402	0,2090425	0,1629525	0,0735500	0,2473624	0,3326055	0,0152480	0,6848416	0,0787290	0,7714707	0,6753822	0,4407512	0,0053346	0,1956743
160	0,4357402	0,5133716	0,2628581	0,1425007	0,1399074	0,0381939	0,2377365	0,3314092	0,0221343	0,7358224	0,0453746	0,8712220	0,6424142	0,5207977	0,0005242	0,2837104
180	0,2838947	0,5170759	0,2362133	0,1423222	0,1080829	0,0307086	0,2623638	0,3017029	0,0077375	0,6599413	0,0318644	0,6371782	0,6683077	0,4554905	0,0002474	0,2557771
200	0,3248335	0,5505473	0,2536045	0,1267177	0,1182932	0,0449248	0,3302539	0,3839346	0,0164778	0,6258639	0,0167775	0,6672465	0,8304853	0,5253288	0,0001464	0,1865200
220	0,4582463	0,6175174	0,2597682	0,1205012	0,1751747	0,0673659	0,3029469	0,3142740	0,0454998	0,5827343	0,0270117	0,7708182	0,6118311	0,3809585	0,0020792	0,1785589
240	0,3824134	0,5501396	0,2351269	0,1001551	0,0950881	0,0356585	0,2613711	0,2984125	0,0289649	0,7429453	0,0120612	0,8811719	0,7202320	0,4678159	0,0019448	0,2573515
260	0,3021263	0,5142763	0,2924850	0,1679250	0,1075471	0,0889806	0,2966033	0,3065320	0,0097015	0,7098723	0,0180192	0,7562038	0,6953559	0,5241489	0,0010776	0,2497178
280	0,3976857	0,4837458	0,2339289	0,0585831	0,1437738	0,0500324	0,2280122	0,2812594	0,0089422	0,8142198	0,0087469	0,8708540	0,6082815	0,5469183	0,0006888	0,1998265
300	0,2596651	0,4043890	0,2515776	0,1015769	0,0628773	0,0416584	0,2457221	0,3600050	0,0187918	0,8359131	0,0118465	0,9028123	0,6134732	0,5066018	0,0016711	0,2592663
320	0,3310840	0,4946489	0,2253522	0,1020749	0,0504067	0,0387172	0,2475135	0,2765459	0,0384228	0,6792479	0,0160353	0,9826835	0,5786720	0,4760323	0,0015114	0,2575201
340	0,4040092	0,4113757	0,2062391	0,0613933	0,0679646	0,0733756	0,2076075	0,3133612	0,0460110	0,7213827	0,0060147	0,7200576	0,7174212	0,4380375	0,0002915	0,2530279
360	0,3150977	0,4161344	0,2268868	0,0510841	0,0452215	0,0444617	0,2573086	0,2779446	0,0165415	0,5787163	0,0137575	0,7179107	0,5580811	0,4969201	0,0032000	0,2072054
380	0,3214168	0,5086362	0,1881647	0,0645992	0,0407344	0,0598063	0,2762322	0,3590019	0,0126417	0,6879829	0,0078545	0,7612253	0,7246341	0,5869288	0,0017090	0,2620294
