"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB

0	0,1667159	0,7330711	0,2910473	0,2981119	0,0000387	0,3383648	0,0562836	0,0239718	0,0497033	0,3723615	0,0529136	0,2247666	0,0349343	0,0008537	0,0172919	0,0889721
20	0,1432806	0,7954130	0,3632512	0,2448869	0,0001956	0,3781074	0,0823303	0,0143174	0,2275798	0,3430764	0,0848671	0,3423147	0,0127429	0,0607696	0,0064457	0,0631564
40	0,1374493	0,6917984	0,3085638	0,3446610	0,0006634	0,3918876	0,2008760	0,0307581	0,2543311	0,3073668	0,0770250	0,2137424	0,0108598	0,0980441	0,0098045	0,0805135
60	0,0962826	0,8011547	0,3032111	0,2669822	0,0000000	0,3588154	0,2962302	0,0148911	0,4142125	0,2757335	0,0933548	0,2446378	0,0068781	0,1626807	0,0131305	0,0267892
80	0,1043081	0,6733398	0,3297020	0,3454154	0,0001298	0,3633673	0,1765593	0,0237003	0,3712354	0,3485786	0,1016491	0,2440184	0,0029456	0,1765402	0,0116438	0,0160613
100	0,1375785	0,6612608	0,3082925	0,2921911	0,0000245	0,4441154	0,2331293	0,0158969	0,4151715	0,3861545	0,1098765	0,3152864	0,0048565	0,1996687	0,0118882	0,0203604
120	0,1852730	0,6823862	0,2351321	0,2986124	0,0000628	0,3625744	0,2295228	0,0247233	0,5650207	0,3017598	0,1041382	0,2187610	0,0080320	0,1744506	0,0108867	0,0075370
140	0,1365308	0,7211422	0,3695450	0,3066515	0,0001629	0,3424697	0,3916866	0,0157059	0,4425500	0,3167416	0,1055856	0,2277546	0,0152209	0,1885593	0,0138976	0,0030891
160	0,1823581	0,6794479	0,2696144	0,3235994	0,0004375	0,3624587	0,3099270	0,0247576	0,4518699	0,3315053	0,1049087	0,2337375	0,0143044	0,2078788	0,0151601	0,0108385
180	0,1968011	0,7573128	0,2363888	0,3349750	0,0003214	0,3193761	0,3568085	0,0255624	0,4568168	0,3151240	0,1407675	0,3260824	0,0275925	0,1440887	0,0076269	0,0032793
200	0,1068216	0,6281595	0,2951244	0,2905713	0,0002811	0,3747040	0,2697732	0,0611109	0,4770160	0,3332566	0,1231938	0,2828205	0,0159037	0,1903459	0,0145279	0,0002012
220	0,1541451	0,6544256	0,2731643	0,2537230	0,0000416	0,4356767	0,2016519	0,0324146	0,4455156	0,3438294	0,1357419	0,3727513	0,0238519	0,1800576	0,0139832	0,0018930
