norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB	Time	Experiment
1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	20	0
1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	40	0
1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	60	0
1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	80	0
1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	100	0
1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	120	0
1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	140	0
1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	160	0
1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	180	0
1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	200	0
1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	220	0
1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	240	0
1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	260	0
1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	280	0
1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	300	0
1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	320	0
1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	340	0
1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	360	0
1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	380	0
1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	400	0
1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	420	0
1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	440	0
1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	460	0
1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	480	0
1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	500	0
1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	520	0
1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	540	0
1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	560	0
1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	580	0
1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	600	0
1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	620	0
1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	640	0
1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	660	0
1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	680	0
1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	700	0
1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	720	0
1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	740	0
1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	760	0
1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	780	0
1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	800	0
1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	820	0
1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	840	0
1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	860	0
1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	880	0
1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	900	0
1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	920	0
1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	940	0
1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	960	0
1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	980	0
1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1000	0
1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1020	0
1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1040	0
1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1060	0
1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1080	0
1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1100	0
1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	20	1
1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	40	1
1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	60	1
1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	80	1
1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	100	1
