"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB

0	0,2047126	1,0951503	0,4561080	0,4243780	0,0005961	0,4925884	0,0249694	0,0423739	0,0994897	0,4769992	0,1765674	0,3602823	0,0322255	0,0005082	0,0247264	0,1036493
20	0,2240147	0,9600971	0,4186110	0,3977103	0,0003430	0,4786260	0,0559459	0,0248187	0,1577798	0,5201197	0,1126759	0,3162216	0,0490761	0,0179972	0,0137841	0,1266705
40	0,2880718	1,0735417	0,4298759	0,4148552	0,0012636	0,4962950	0,1703005	0,0191620	0,2272136	0,5358427	0,1158233	0,3663865	0,0372008	0,0741142	0,0152054	0,1189977
60	0,2450185	0,9477038	0,3654162	0,3800081	0,0010892	0,4912871	0,2179566	0,0241804	0,2831783	0,5288629	0,1183385	0,3452428	0,0268695	0,1214719	0,0208615	0,0830048
80	0,2432304	0,8999180	0,3768153	0,4281130	0,0000000	0,5517097	0,2818981	0,0256840	0,3668989	0,5120358	0,1122249	0,3189017	0,0264782	0,1855835	0,0152968	0,0750978
100	0,2445089	0,9549145	0,4425909	0,3911962	0,0000816	0,5974282	0,2891225	0,0378538	0,4628967	0,4712083	0,1140285	0,3292803	0,0170291	0,2258166	0,0126901	0,0535900
120	0,2316748	1,0286955	0,3871974	0,4146817	0,0001119	0,6600038	0,3557898	0,0344502	0,5566431	0,4650550	0,1149215	0,3357844	0,0240017	0,2290749	0,0118496	0,0534950
140	0,2207422	0,9296663	0,3440652	0,3823978	0,0022922	0,6105430	0,3596918	0,0320143	0,5168076	0,4531736	0,1190498	0,3253728	0,0138392	0,2419133	0,0117510	0,0430038
160	0,2142611	0,9933912	0,4226172	0,3729829	0,0013160	0,6025076	0,3925988	0,0554746	0,5629886	0,4670287	0,1445494	0,3538362	0,0077044	0,2175716	0,0093531	0,0403760
