"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB

0	0,2225206	1,0000000	0,4386192	0,3666935	0,0000393	0,4904181	0,0140205	0,0355394	0,0895915	0,4436188	0,1322273	0,3335521	0,0187737	0,0000843	0,0149094	0,0912021
20	0,2225206	1,0000000	0,3992823	0,3666935	0,0000375	0,4904178	0,2067086	0,0355394	0,3117118	0,4436188	0,1443440	0,3335520	0,0187733	0,1134950	0,0149074	0,0605561
40	0,2225206	1,0000000	0,3821782	0,3666935	0,0000361	0,4904176	0,3005356	0,0355394	0,4536268	0,4436188	0,1515159	0,3335520	0,0187730	0,1795551	0,0149061	0,0402942
60	0,2225206	1,0000000	0,3783662	0,3666935	0,0000350	0,4904175	0,3462236	0,0355394	0,5442979	0,4436188	0,1557609	0,3335520	0,0187728	0,2180342	0,0149052	0,0268978
80	0,2225206	1,0000000	0,3800116	0,3666935	0,0000343	0,4904174	0,3684707	0,0355394	0,6022287	0,4436188	0,1582736	0,3335520	0,0187726	0,2404477	0,0149046	0,0180407
100	0,2225206	1,0000000	0,3825825	0,3666935	0,0000337	0,4904173	0,3793037	0,0355394	0,6392413	0,4436188	0,1597608	0,3335520	0,0187725	0,2535033	0,0149042	0,0121847
120	0,2225206	1,0000000	0,3843705	0,3666935	0,0000333	0,4904173	0,3845787	0,0355394	0,6628890	0,4436188	0,1606411	0,3335520	0,0187724	0,2611080	0,0149039	0,0083129
140	0,2225206	1,0000000	0,3852029	0,3666935	0,0000330	0,4904172	0,3871473	0,0355394	0,6779978	0,4436188	0,1611622	0,3335520	0,0187723	0,2655376	0,0149038	0,0057531
160	0,2225206	1,0000000	0,3854219	0,3666935	0,0000327	0,4904172	0,3883980	0,0355394	0,6876510	0,4436188	0,1614706	0,3335520	0,0187723	0,2681178	0,0149036	0,0040606
180	0,2225206	1,0000000	0,3853765	0,3666935	0,0000325	0,4904172	0,3890071	0,0355394	0,6938185	0,4436188	0,1616531	0,3335520	0,0187722	0,2696207	0,0149035	0,0029416
200	0,2225206	1,0000000	0,3852741	0,3666935	0,0000324	0,4904172	0,3893036	0,0355394	0,6977590	0,4436188	0,1617612	0,3335520	0,0187722	0,2704962	0,0149035	0,0022018
220	0,2225206	1,0000000	0,3851973	0,3666935	0,0000323	0,4904172	0,3894480	0,0355394	0,7002766	0,4436188	0,1618251	0,3335520	0,0187722	0,2710061	0,0149034	0,0017126
240	0,2225206	1,0000000	0,3851592	0,3666935	0,0000322	0,4904172	0,3895183	0,0355394	0,7018852	0,4436188	0,1618630	0,3335520	0,0187722	0,2713031	0,0149034	0,0013892
260	0,2225206	1,0000000	0,3851477	0,3666935	0,0000322	0,4904172	0,3895526	0,0355394	0,7029129	0,4436188	0,1618854	0,3335520	0,0187721	0,2714761	0,0149034	0,0011754
280	0,2225206	1,0000000	0,3851485	0,3666935	0,0000321	0,4904172	0,3895693	0,0355394	0,7035695	0,4436188	0,1618986	0,3335520	0,0187721	0,2715769	0,0149034	0,0010340
300	0,2225206	1,0000000	0,3851525	0,3666935	0,0000321	0,4904172	0,3895774	0,0355394	0,7039890	0,4436188	0,1619065	0,3335520	0,0187721	0,2716356	0,0149034	0,0009406
320	0,2225206	1,0000000	0,3851558	0,3666935	0,0000321	0,4904172	0,3895813	0,0355394	0,7042570	0,4436188	0,1619111	0,3335520	0,0187721	0,2716698	0,0149033	0,0008788
340	0,2225206	1,0000000	0,3851575	0,3666935	0,0000321	0,4904172	0,3895833	0,0355394	0,7044283	0,4436188	0,1619139	0,3335520	0,0187721	0,2716897	0,0149033	0,0008379
360	0,2225206	1,0000000	0,3851581	0,3666935	0,0000321	0,4904172	0,3895842	0,0355394	0,7045377	0,4436188	0,1619155	0,3335520	0,0187721	0,2717013	0,0149033	0,0008109
380	0,2225206	1,0000000	0,3851581	0,3666935	0,0000321	0,4904172	0,3895847	0,0355394	0,7046076	0,4436188	0,1619165	0,3335520	0,0187721	0,2717081	0,0149033	0,0007930
400	0,2225206	1,0000000	0,3851580	0,3666935	0,0000321	0,4904172	0,3895849	0,0355394	0,7046523	0,4436188	0,1619170	0,3335520	0,0187721	0,2717120	0,0149033	0,0007812
420	0,2225206	1,0000000	0,3851578	0,3666935	0,0000320	0,4904172	0,3895850	0,0355394	0,7046808	0,4436188	0,1619174	0,3335520	0,0187721	0,2717143	0,0149033	0,0007734
440	0,2225206	1,0000000	0,3851577	0,3666935	0,0000320	0,4904172	0,3895850	0,0355394	0,7046990	0,4436188	0,1619176	0,3335520	0,0187721	0,2717156	0,0149033	0,0007683
460	0,2225206	1,0000000	0,3851577	0,3666935	0,0000320	0,4904172	0,3895851	0,0355394	0,7047107	0,4436188	0,1619177	0,3335520	0,0187721	0,2717164	0,0149033	0,0007648
480	0,2225206	1,0000000	0,3851577	0,3666935	0,0000320	0,4904172	0,3895851	0,0355394	0,7047181	0,4436188	0,1619178	0,3335520	0,0187721	0,2717169	0,0149033	0,0007626
500	0,2225206	1,0000000	0,3851577	0,3666935	0,0000320	0,4904172	0,3895851	0,0355394	0,7047229	0,4436188	0,1619178	0,3335520	0,0187721	0,2717171	0,0149033	0,0007611
520	0,2225206	1,0000000	0,3851577	0,3666935	0,0000320	0,4904172	0,3895851	0,0355394	0,7047259	0,4436188	0,1619178	0,3335520	0,0187721	0,2717173	0,0149033	0,0007601
540	0,2225206	1,0000000	0,3851577	0,3666935	0,0000320	0,4904172	0,3895851	0,0355394	0,7047279	0,4436188	0,1619179	0,3335520	0,0187721	0,2717174	0,0149033	0,0007595
560	0,2225206	1,0000000	0,3851577	0,3666935	0,0000320	0,4904172	0,3895851	0,0355394	0,7047291	0,4436188	0,1619179	0,3335520	0,0187721	0,2717174	0,0149033	0,0007590
580	0,2225206	1,0000000	0,4268820	0,3666935	0,0000320	0,4904172	0,1968970	0,0355394	0,4826087	0,4436188	0,1498011	0,3335520	0,0187721	0,1583068	0,0149033	0,0314000
600	0,2225206	1,0000000	0,4434095	0,3666935	0,0000320	0,4904172	0,1030699	0,0355394	0,3406935	0,4436188	0,1426292	0,3335520	0,0187721	0,0922467	0,0149033	0,0516586
620	0,2225206	1,0000000	0,4460257	0,3666935	0,0000320	0,4904172	0,0573820	0,0355394	0,2500223	0,4436188	0,1383841	0,3335520	0,0187721	0,0537676	0,0149033	0,0650528
640	0,2225206	1,0000000	0,4437293	0,3666935	0,0000320	0,4904172	0,0351348	0,0355394	0,1920915	0,4436188	0,1358715	0,3335520	0,0187721	0,0313540	0,0149033	0,0739085
660	0,2225206	1,0000000	0,4409988	0,3666935	0,0000320	0,4904172	0,0243019	0,0355394	0,1550788	0,4436188	0,1343843	0,3335520	0,0187721	0,0182985	0,0149033	0,0797635
680	0,2225206	1,0000000	0,4392541	0,3666935	0,0000320	0,4904172	0,0190269	0,0355394	0,1314310	0,4436188	0,1335040	0,3335520	0,0187721	0,0106938	0,0149033	0,0836347
700	0,2225206	1,0000000	0,4384978	0,3666935	0,0000320	0,4904172	0,0164583	0,0355394	0,1163222	0,4436188	0,1329829	0,3335520	0,0187721	0,0062642	0,0149033	0,0861941
720	0,2225206	1,0000000	0,4383308	0,3666935	0,0000320	0,4904172	0,0152075	0,0355394	0,1066690	0,4436188	0,1326745	0,3335520	0,0187721	0,0036840	0,0149033	0,0878863
740	0,2225206	1,0000000	0,4384001	0,3666935	0,0000320	0,4904172	0,0145985	0,0355394	0,1005015	0,4436188	0,1324920	0,3335520	0,0187721	0,0021811	0,0149033	0,0890051
