"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB

0	0,2225206	1,0000000	0,4386192	0,3666939	0,0000472	0,4904199	0,0140205	0,0355394	0,0896105	0,4436188	0,1322287	0,3335990	0,0187759	0,0000843	0,0149414	0,0912592
20	0,2225206	1,0000000	0,4258676	0,3666938	0,0000433	0,4904190	0,0616714	0,0355394	0,1335651	0,4436188	0,1348530	0,3335850	0,0187750	0,0316848	0,0149292	0,0842912
40	0,2225206	1,0000000	0,4060368	0,3666937	0,0000404	0,4904184	0,1443922	0,0355394	0,2232662	0,4436188	0,1399403	0,3335751	0,0187742	0,0883134	0,0149209	0,0703543
60	0,2225206	1,0000000	0,3919693	0,3666936	0,0000383	0,4904180	0,2197660	0,0355394	0,3208840	0,4436188	0,1451697	0,3335682	0,0187737	0,1416633	0,0149153	0,0554832
80	0,2225206	1,0000000	0,3851851	0,3666936	0,0000367	0,4904177	0,2771610	0,0355394	0,4096194	0,4436188	0,1496573	0,3335633	0,0187733	0,1835891	0,0149115	0,0422215
100	0,2225206	1,0000000	0,3832369	0,3666935	0,0000355	0,4904175	0,3173100	0,0355394	0,4835607	0,4436188	0,1531874	0,3335599	0,0187730	0,2137912	0,0149089	0,0313741
120	0,2225206	1,0000000	0,3834662	0,3666935	0,0000346	0,4904174	0,3440544	0,0355394	0,5420846	0,4436188	0,1558255	0,3335576	0,0187728	0,2344637	0,0149071	0,0229415
140	0,2225206	1,0000000	0,3842236	0,3666935	0,0000340	0,4904173	0,3613192	0,0355394	0,5868563	0,4436188	0,1577313	0,3335559	0,0187726	0,2481462	0,0149059	0,0166019
160	0,2225206	1,0000000	0,3848219	0,3666935	0,0000335	0,4904173	0,3722274	0,0355394	0,6202890	0,4436188	0,1590755	0,3335547	0,0187725	0,2569904	0,0149051	0,0119471
180	0,2225206	1,0000000	0,3851300	0,3666935	0,0000331	0,4904173	0,3790138	0,0355394	0,6448075	0,4436188	0,1600068	0,3335539	0,0187724	0,2626079	0,0149045	0,0085885
200	0,2225206	1,0000000	0,3852294	0,3666935	0,0000328	0,4904172	0,3831880	0,0355394	0,6625383	0,4436188	0,1606431	0,3335533	0,0187723	0,2661282	0,0149042	0,0061976
220	0,2225206	1,0000000	0,3852285	0,3666935	0,0000326	0,4904172	0,3857333	0,0355394	0,6752180	0,4436188	0,1610732	0,3335529	0,0187723	0,2683110	0,0149039	0,0045135
240	0,2225206	1,0000000	0,3851993	0,3666935	0,0000325	0,4904172	0,3872751	0,0355394	0,6842032	0,4436188	0,1613614	0,3335527	0,0187722	0,2696529	0,0149037	0,0033375
260	0,2225206	1,0000000	0,3851740	0,3666935	0,0000324	0,4904172	0,3882041	0,0355394	0,6905221	0,4436188	0,1615530	0,3335525	0,0187722	0,2704721	0,0149036	0,0025220
280	0,2225206	1,0000000	0,3851601	0,3666935	0,0000323	0,4904172	0,3887616	0,0355394	0,6949375	0,4436188	0,1616796	0,3335523	0,0187722	0,2709693	0,0149035	0,0019598
300	0,2225206	1,0000000	0,3851552	0,3666935	0,0000322	0,4904172	0,3890950	0,0355394	0,6980060	0,4436188	0,1617629	0,3335522	0,0187722	0,2712695	0,0149035	0,0015741
320	0,2225206	1,0000000	0,3851548	0,3666935	0,0000322	0,4904172	0,3892940	0,0355394	0,7001283	0,4436188	0,1618173	0,3335522	0,0187721	0,2714501	0,0149034	0,0013107
340	0,2225206	1,0000000	0,3851559	0,3666935	0,0000321	0,4904172	0,3894124	0,0355394	0,7015902	0,4436188	0,1618529	0,3335521	0,0187721	0,2715583	0,0149034	0,0011314
360	0,2225206	1,0000000	0,3851570	0,3666935	0,0000321	0,4904172	0,3894827	0,0355394	0,7025934	0,4436188	0,1618759	0,3335521	0,0187721	0,2716229	0,0149034	0,0010097
380	0,2225206	1,0000000	0,3851576	0,3666935	0,0000321	0,4904172	0,3895245	0,0355394	0,7032797	0,4436188	0,1618909	0,3335521	0,0187721	0,2716614	0,0149034	0,0009274
400	0,2225206	1,0000000	0,3851578	0,3666935	0,0000321	0,4904172	0,3895492	0,0355394	0,7037478	0,4436188	0,1619005	0,3335520	0,0187721	0,2716843	0,0149033	0,0008718
420	0,2225206	1,0000000	0,3851578	0,3666935	0,0000321	0,4904172	0,3895639	0,0355394	0,7040663	0,4436188	0,1619068	0,3335520	0,0187721	0,2716979	0,0149033	0,0008344
