"Time"	norR	nsrR	dsdC	feaR	fhlA	feaB	hypA	hycE	hycF	hycD	hypB	hycG	hypE	hycH	hypD	hycB

0	0,1519692	0,7339305	0,3181243	0,3353344	0,0001576	0,3784988	0,0170179	0,0297335	0,0437049	0,3116662	0,0894442	0,2376469	0,0326189	0,0005268	0,0131022	0,1143729
20	0,1892748	0,7167697	0,2513926	0,3224520	0,0002016	0,4398119	0,0615871	0,0226502	0,0593984	0,4777182	0,0853047	0,1961848	0,0281530	0,0099403	0,0080897	0,0941233
40	0,2596394	0,8138313	0,4075691	0,3033102	0,0005411	0,4119317	0,1110621	0,0147432	0,1732608	0,5006939	0,0594013	0,2930773	0,0443663	0,0485939	0,0103122	0,0888095
60	0,1978197	0,6506636	0,3238044	0,3038701	0,0005273	0,3088233	0,1452302	0,0214849	0,2447867	0,3554441	0,0854509	0,2646194	0,0241720	0,1020411	0,0162160	0,0381175
80	0,1595682	0,7371169	0,2552420	0,3467180	0,0000000	0,4890166	0,2403351	0,0193286	0,2743374	0,3978853	0,0708837	0,1773246	0,0344098	0,2215991	0,0170596	0,0613938
100	0,1731776	0,6398515	0,3236174	0,2593629	0,0000829	0,4179144	0,2406578	0,0203730	0,3463845	0,2560356	0,0985331	0,2675562	0,0114864	0,1846416	0,0063776	0,0259305
120	0,1440226	0,7647199	0,2713412	0,3519210	0,0001794	0,4668960	0,2531264	0,0153363	0,3659247	0,3306334	0,1005538	0,2271405	0,0135019	0,1904384	0,0033111	0,0252098
140	0,1612149	0,7327724	0,2376631	0,4035898	0,0022586	0,4662079	0,1824093	0,0109738	0,3556724	0,3430223	0,0731065	0,2190496	0,0084639	0,1547676	0,0032563	0,0399397
160	0,1663863	0,7924001	0,3152019	0,2919160	0,0005000	0,3660713	0,2474582	0,0181957	0,4741460	0,3247270	0,1209863	0,2781529	0,0022922	0,2232995	0,0048486	0,0589178
180	0,1818790	0,6457835	0,4205364	0,2578037	0,0010720	0,3750516	0,3426625	0,0406470	0,5397825	0,2849298	0,0532481	0,2514421	0,0042020	0,2065155	0,0059698	0,0325604
200	0,1677914	0,8817397	0,2241966	0,2343691	0,0008992	0,3899712	0,3450635	0,0307071	0,5028585	0,4702174	0,0941849	0,2818118	0,0040587	0,1189114	0,0059657	0,0200578
220	0,1747566	0,7278840	0,1989032	0,2563446	0,0013402	0,3317163	0,2562542	0,0315916	0,4638295	0,3049775	0,0979300	0,2631719	0,0371094	0,1729451	0,0051809	0,0081996
240	0,1823782	0,7771380	0,2441366	0,3343983	0,0054749	0,4201651	0,3830264	0,0155526	0,4985604	0,2914993	0,0855663	0,2266172	0,0170005	0,2338079	0,0147945	0,0054537
260	0,1489267	0,7959484	0,2398195	0,2489141	0,0001961	0,4335495	0,2478564	0,0334889	0,4828676	0,3443495	0,0672967	0,3013638	0,0109944	0,2969722	0,0189741	0,0024007
280	0,0962188	0,6912228	0,2382682	0,2863401	0,0021034	0,4053414	0,2146596	0,0213150	0,5166311	0,2488827	0,0749326	0,2677650	0,0205461	0,1923100	0,0146039	0,0083262
300	0,1240641	0,6459034	0,2766108	0,2381007	0,0003012	0,3951869	0,2565160	0,0355777	0,5265347	0,4316774	0,1178092	0,2693331	0,0163585	0,1818418	0,0110795	0,0055797
320	0,1866892	0,6120297	0,3750869	0,3011944	0,0025263	0,3904521	0,2425603	0,0182983	0,4816572	0,3990405	0,1242239	0,3498751	0,0157270	0,1944255	0,0111938	0,0008339
340	0,1671588	0,6450385	0,2924394	0,3309734	0,0005264	0,3650298	0,2793109	0,0281204	0,4612650	0,3280455	0,1446655	0,3058010	0,0273563	0,1425990	0,0097757	0,0084634
360	0,1229338	0,6943553	0,3162674	0,2668814	0,0002509	0,3932343	0,2629087	0,0414973	0,5303252	0,3788202	0,1459015	0,3404071	0,0179213	0,2446290	0,0046035	0,0136878
380	0,1439687	0,6961282	0,2530079	0,3697491	0,0011573	0,3666192	0,3115485	0,0482804	0,6462999	0,4001681	0,1716169	0,2485435	0,0294715	0,2343803	0,0141717	0,0111336
400	0,1395258	0,7559119	0,3149295	0,3530665	0,0012666	0,4624375	0,2982204	0,0157667	0,4895354	0,3882223	0,1306221	0,2308666	0,0092741	0,2312954	0,0136648	0,0120672
420	0,1476980	0,7002355	0,1807231	0,2463911	0,0004926	0,3504327	0,2208888	0,0464219	0,6008058	0,4419937	0,1740493	0,3160851	0,0199188	0,1959119	0,0075229	0,0027930
440	0,1493429	0,6924478	0,2814331	0,3323080	0,0002171	0,4788487	0,3074705	0,0389234	0,5258799	0,2742606	0,1404233	0,3331256	0,0086923	0,2173881	0,0119940	0,0038001
460	0,1773794	0,7505905	0,2887074	0,2701920	0,0022787	0,4232644	0,2743000	0,0203513	0,4789412	0,3276536	0,1520529	0,2803017	0,0251306	0,1758613	0,0248531	0,0020731
480	0,1292752	0,7536925	0,3166763	0,2356416	0,0017576	0,4927377	0,2726196	0,0110716	0,5177464	0,3252473	0,0832992	0,2566317	0,0231523	0,1752510	0,0295417	0,0011254
500	0,1282253	0,7060701	0,3513635	0,2255403	0,0016350	0,4025205	0,2450692	0,0447059	0,4355270	0,2370447	0,0799171	0,2258866	0,0168987	0,1817468	0,0124130	0,0019743
520	0,1733288	0,8357347	0,2545745	0,2168581	0,0002532	0,2892611	0,3136359	0,0154723	0,5171054	0,2744927	0,1041840	0,1878980	0,0220594	0,1716077	0,0057893	0,0020854
540	0,1414073	0,7243974	0,3298048	0,2960316	0,0003459	0,2797787	0,2142643	0,0257470	0,5888818	0,3036373	0,1037284	0,1947164	0,0217703	0,1330841	0,0086773	0,0007137
560	0,2005139	0,7936263	0,2449908	0,3037148	0,0015591	0,2856614	0,2118330	0,0230125	0,5300690	0,3006053	0,0935502	0,2131554	0,0347299	0,1500220	0,0078798	0,0018850
580	0,1569207	0,6921516	0,3080934	0,3293204	0,0003257	0,2194065	0,2009319	0,0523654	0,4852642	0,3513448	0,0768971	0,2073983	0,0218199	0,1210665	0,0138752	0,0123848
600	0,1517642	0,8173408	0,2479828	0,2873917	0,0005165	0,2902387	0,1979661	0,0551363	0,4617671	0,3357275	0,0692671	0,2122309	0,0091669	0,0932781	0,0140636	0,0319465
