"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK

0	0,8551576	0,3732324	0,1958273	0,7751905	0,1929592	0,3452358	0,0121753	0,1166756	0,2688978	0,1447910	0,2864184	0,0190577	0,2889727	0,1368122	0,1111155	0,0185554
20	0,7325906	0,3933529	0,1501765	0,5703435	0,2888930	0,3743383	0,1245494	0,0645813	0,1367478	0,0699381	0,2451883	0,0385655	0,3547491	0,2030206	0,1236987	0,1968550
40	0,6710398	0,3458697	0,1335758	0,5270534	0,2648568	0,2927782	0,1567489	0,1454208	0,0936440	0,0667222	0,1917641	0,0207876	0,2399493	0,2754705	0,1310837	0,2937193
60	0,7863975	0,3917550	0,0942816	0,5731267	0,2524926	0,2688283	0,2297561	0,0917264	0,1456365	0,0478885	0,2855344	0,0359319	0,2434729	0,3170018	0,1706041	0,3442579
80	0,7657539	0,3795715	0,0864898	0,5509856	0,3410735	0,2513440	0,2208192	0,0587439	0,1465263	0,0509390	0,2786670	0,0218652	0,2155791	0,2533731	0,1204196	0,5001874
100	0,6456423	0,2916838	0,0847763	0,5446854	0,3372492	0,3633464	0,1781584	0,0506870	0,1201917	0,0539601	0,2175203	0,0292419	0,2898692	0,2580855	0,0754792	0,3374875
120	0,9647307	0,2617631	0,0905126	0,4737980	0,3034237	0,2375610	0,1793654	0,0603053	0,1464930	0,0907050	0,2054010	0,0329429	0,3039890	0,3155185	0,0454071	0,3800659
140	0,7794666	0,2625249	0,1567675	0,5198123	0,2218445	0,2849878	0,2123559	0,0579554	0,1370597	0,0815052	0,2243087	0,0128082	0,2860147	0,2210836	0,0684641	0,5035639
160	0,7922272	0,2709482	0,1148719	0,6345334	0,2990310	0,2523054	0,2301556	0,0545357	0,1803348	0,0688733	0,1917993	0,0144616	0,3482071	0,2496601	0,0702577	0,4145228
180	0,8965503	0,2710066	0,1123816	0,4543582	0,1805793	0,2401248	0,2615420	0,0546786	0,1925008	0,0412446	0,2226013	0,0127637	0,2889994	0,3677097	0,1000541	0,5445816
200	0,7984090	0,2309583	0,1748564	0,5132256	0,2170489	0,2635930	0,2155154	0,0542463	0,1359977	0,0584274	0,1142469	0,0157830	0,2865434	0,3360114	0,0718925	0,5266468
220	0,6893523	0,3082450	0,0927171	0,4992222	0,2004268	0,2170474	0,1670580	0,0402393	0,1571788	0,0388759	0,1011604	0,0147209	0,2848352	0,2830300	0,0846037	0,5265329
240	0,7230694	0,2437051	0,1619073	0,4149231	0,2362300	0,2771564	0,2274699	0,0409143	0,1637820	0,0888735	0,2195606	0,0188708	0,3413728	0,3524037	0,0454447	0,4129307
260	0,7122574	0,2261323	0,1077792	0,4637144	0,3217672	0,3008357	0,1913540	0,0432221	0,1689795	0,0489694	0,1952605	0,0151053	0,2972427	0,3724174	0,0460226	0,4370300
280	0,6809439	0,3392718	0,0869042	0,4031365	0,3114152	0,2054479	0,2074041	0,0707694	0,1867362	0,0743572	0,1516066	0,0250187	0,2994024	0,3301232	0,0301798	0,4604304
300	0,7785094	0,2994071	0,1000818	0,4902092	0,2161532	0,2521311	0,1805521	0,0382097	0,1459198	0,0745456	0,1100814	0,0165076	0,2144570	0,3148605	0,0940000	0,4549684
320	0,7953249	0,3238823	0,1144384	0,4184345	0,3213002	0,2526893	0,2311369	0,1055647	0,2002516	0,0552284	0,1661327	0,0164437	0,3219579	0,3114893	0,0463445	0,4584916
340	0,6436934	0,3967438	0,1312781	0,4805065	0,3647213	0,2422875	0,1847681	0,0634346	0,2113019	0,0692934	0,1563054	0,0161481	0,2979055	0,3156598	0,0838045	0,4951084
