"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK

0	1,0452188	0,5218371	0,2431001	0,9937943	0,3502292	0,4619982	0,0154682	0,1587941	0,3179983	0,1064183	0,4190559	0,0202205	0,4101721	0,1783405	0,1809217	0,0357007
20	0,9429011	0,5238070	0,1995319	0,7476616	0,3292926	0,3534576	0,1619293	0,1128993	0,1708081	0,0773509	0,3428910	0,0320677	0,3557269	0,2394843	0,1572968	0,2488724
40	0,9742070	0,5307951	0,1465083	0,6915302	0,3219112	0,3784454	0,1952779	0,1410168	0,1496511	0,0792243	0,3172960	0,0288313	0,3541925	0,3823490	0,1726393	0,3498725
60	1,0414836	0,4727080	0,1324933	0,6502466	0,3249284	0,3690897	0,2730279	0,1119990	0,1474624	0,0741721	0,3168907	0,0304290	0,3639284	0,3590294	0,1596620	0,4403730
80	1,0316188	0,4628067	0,1145712	0,6875016	0,3987076	0,3730491	0,2418717	0,0874878	0,1676682	0,0846926	0,3026657	0,0319157	0,3659601	0,3538459	0,1655017	0,5281081
100	1,0192010	0,4291071	0,1235946	0,6779039	0,3879962	0,3775622	0,2586200	0,0625876	0,1671260	0,0932411	0,2772984	0,0261432	0,3783989	0,3296889	0,1342928	0,5483685
120	1,0561057	0,3754603	0,1165261	0,6813233	0,3541887	0,3488968	0,2988105	0,0825696	0,1496690	0,0820533	0,2638939	0,0229940	0,4239107	0,4157679	0,1044999	0,5695084
140	1,0417401	0,3534039	0,1607657	0,6575518	0,3636393	0,3544166	0,2816859	0,0758795	0,1671237	0,0807746	0,2552748	0,0229456	0,4347070	0,3720505	0,0933425	0,5788916
160	0,9692051	0,3817419	0,1252543	0,6567508	0,3106309	0,3324200	0,3039177	0,0830599	0,1852823	0,0925652	0,2253473	0,0180181	0,4253263	0,3968608	0,0917359	0,6179875
180	1,0513578	0,4260340	0,1411077	0,6138845	0,2776324	0,3618490	0,3032567	0,0586297	0,2119850	0,0689102	0,2255426	0,0173312	0,4193476	0,3832293	0,0957086	0,6628027
200	1,0042085	0,3869868	0,1672609	0,5773713	0,2763816	0,3550262	0,3180921	0,0711755	0,2150867	0,0824524	0,1870848	0,0168166	0,4106502	0,4171438	0,0705940	0,6389808
220	1,0278474	0,3827470	0,1567946	0,5648159	0,3116055	0,3209044	0,2807486	0,0677353	0,2113567	0,0779624	0,1853263	0,0180563	0,4014325	0,3695609	0,0690951	0,6640102
240	1,0194742	0,3404836	0,1792118	0,5472055	0,3555609	0,3525637	0,2926651	0,0707645	0,1932520	0,0805039	0,2084498	0,0186877	0,3491284	0,3921204	0,0732528	0,6417476
260	0,9756236	0,3663915	0,1450056	0,6195578	0,4068285	0,3512796	0,2852529	0,0611759	0,2060720	0,0622283	0,2121607	0,0192235	0,3374857	0,3905263	0,0684614	0,6368729
280	0,9785215	0,4154816	0,1351963	0,5990778	0,4018242	0,3090156	0,2436010	0,0812513	0,2324847	0,0559704	0,1839353	0,0223534	0,3581659	0,4355444	0,0841225	0,6393766
300	1,0035399	0,3983270	0,1351675	0,6353700	0,3185480	0,3236327	0,2809799	0,0774626	0,2110180	0,0666649	0,1809011	0,0185829	0,3669122	0,4141811	0,0815279	0,5803295
320	0,9586256	0,3960700	0,1428521	0,5937360	0,3100669	0,3241454	0,2799876	0,0893988	0,2438165	0,0570527	0,1678036	0,0220632	0,4211477	0,4196699	0,0840109	0,5621024
340	0,8890434	0,4080744	0,1416634	0,6404805	0,3556820	0,3102820	0,2517836	0,0694061	0,2863663	0,0819519	0,1678160	0,0220809	0,3816805	0,4053666	0,0879546	0,5796109
360	0,9726794	0,3614759	0,1513676	0,6094256	0,3173789	0,3045218	0,3126834	0,0618504	0,3447859	0,0661334	0,1936064	0,0220064	0,3751815	0,3982481	0,0804008	0,6001569
380	1,0089244	0,3589544	0,1309832	0,6256981	0,3365762	0,3527246	0,2655959	0,0749309	0,2748872	0,0572709	0,1811313	0,0265155	0,4249244	0,4492734	0,0791173	0,6403189
400	1,0114514	0,3407045	0,1407351	0,6371488	0,2959572	0,3683283	0,3304871	0,0606880	0,2669910	0,0635773	0,1642156	0,0194024	0,4007752	0,4416404	0,0748588	0,6379776
420	0,9503162	0,3376742	0,1253454	0,6077825	0,2859948	0,3707046	0,3006791	0,0527467	0,2730313	0,0684858	0,1880448	0,0202234	0,3688777	0,4199960	0,0689888	0,6342664
440	1,0446794	0,3148666	0,1505750	0,6402694	0,3729403	0,3596383	0,2737017	0,0724168	0,2619576	0,0568196	0,2004706	0,0189120	0,3881932	0,3964578	0,0528899	0,5940215
460	1,0427708	0,3641907	0,1407535	0,6703978	0,3779313	0,3496036	0,2964076	0,0663080	0,2572713	0,0547444	0,1931887	0,0176002	0,3875119	0,4239830	0,0712257	0,5655709
480	1,0108161	0,3983168	0,1392763	0,5572038	0,3505721	0,3230581	0,2976420	0,0590284	0,2334344	0,0544759	0,2394538	0,0172842	0,3856144	0,3481175	0,0943406	0,6012907
500	0,9891437	0,3914871	0,1212599	0,5397514	0,3269921	0,2976083	0,2919511	0,0793536	0,1952160	0,0630884	0,2249606	0,0095218	0,4207805	0,3747810	0,0895553	0,6203338
520	0,9539624	0,3778422	0,1268092	0,5282960	0,3951551	0,3279150	0,2775451	0,0859984	0,2399334	0,0550137	0,2238660	0,0144661	0,3764714	0,3467437	0,0794779	0,5826554
540	0,9910582	0,3772032	0,1275242	0,5397643	0,3368977	0,3680377	0,2884968	0,0738100	0,2324991	0,0556451	0,1967598	0,0153085	0,4069737	0,3458689	0,0747755	0,5981180
560	1,0113100	0,3686959	0,1622053	0,5963981	0,2661526	0,3237741	0,3038387	0,0743770	0,2369221	0,0548815	0,1717197	0,0129236	0,3655180	0,3680465	0,0625984	0,5903628
580	0,9281860	0,3884962	0,2550752	0,8104456	0,3137302	0,3919162	0,1574020	0,0793004	0,2339785	0,0439906	0,2110280	0,0178015	0,3906864	0,2376807	0,0756900	0,4380863
600	0,9837239	0,3998834	0,2718725	0,9147121	0,2552385	0,4292717	0,0603746	0,1054563	0,2322625	0,0625671	0,2397758	0,0190657	0,3957099	0,1525506	0,0787653	0,2826075
620	0,9945643	0,4662589	0,2593663	0,9694292	0,2941320	0,4283662	0,0346386	0,0919754	0,2225404	0,0873987	0,2908901	0,0200398	0,3805101	0,1461297	0,0766513	0,1984930
640	1,0173960	0,4567597	0,2361215	0,9692451	0,3578709	0,4476648	0,0205756	0,0932604	0,1762446	0,0680902	0,3287380	0,0146742	0,3736429	0,1504609	0,1101132	0,1520387
660	1,0285696	0,5681891	0,2750988	0,9435461	0,3382153	0,4096632	0,0149769	0,0797870	0,2294795	0,0850092	0,3423518	0,0218563	0,3573455	0,1154189	0,1061748	0,1256918
680	1,0863975	0,5591165	0,2288022	0,9252669	0,3707334	0,4316775	0,0160944	0,0855517	0,2393965	0,0798995	0,3828838	0,0220737	0,4030575	0,1349501	0,1321612	0,1116085
700	1,0123793	0,5735035	0,2387347	0,9582442	0,3305460	0,4618855	0,0170902	0,0928012	0,2786163	0,0929672	0,3575925	0,0149375	0,3967289	0,1725572	0,1200137	0,0839019
720	1,0279351	0,4961927	0,2469878	0,9069587	0,3482107	0,4591163	0,0137037	0,0841298	0,2934976	0,1028724	0,3585891	0,0237681	0,4048094	0,2083865	0,1128161	0,0561658
740	1,0155345	0,5238895	0,2430177	0,9371804	0,3716795	0,4122772	0,0091723	0,0777089	0,2440304	0,1142321	0,3463050	0,0214834	0,4169721	0,1690360	0,1270747	0,0641391
760	1,0172886	0,4856339	0,2284593	0,9651566	0,3690027	0,4271466	0,0056345	0,0861685	0,2260752	0,1116371	0,4175848	0,0259976	0,4247610	0,1441448	0,1228370	0,0730677
780	1,0468911	0,4923804	0,2226530	0,9286455	0,3987714	0,4560306	0,0109084	0,1077731	0,2233214	0,0894218	0,3989022	0,0207371	0,4738445	0,1082985	0,1399827	0,0786256
800	0,9967057	0,4783260	0,2609679	0,9338122	0,2997109	0,4279145	0,0131603	0,1223928	0,2485272	0,0884720	0,3964890	0,0276784	0,4507635	0,1437940	0,1495834	0,0600939
820	0,9677713	0,5199124	0,2535839	0,9522102	0,2950895	0,4316275	0,0148361	0,1280036	0,2832989	0,0800140	0,3752432	0,0229035	0,4474429	0,1645680	0,1751373	0,0532091
840	1,0509296	0,5618055	0,2317103	0,9383438	0,3386455	0,4736068	0,0213428	0,1413124	0,2835755	0,1044548	0,3850376	0,0251229	0,4392894	0,1519894	0,1895311	0,0570994
860	1,1041656	0,5888246	0,2249615	0,9197811	0,3726131	0,4605468	0,0165460	0,1009917	0,2530405	0,0853772	0,4033171	0,0152979	0,4447475	0,1598588	0,1905572	0,0450454
880	0,9832933	0,5273962	0,2152558	0,9154008	0,3350534	0,3692293	0,0090303	0,1072537	0,2361699	0,0893698	0,3979658	0,0144390	0,4022972	0,1815735	0,1664653	0,0464435
900	0,9123256	0,5426714	0,2033063	0,9957976	0,3211226	0,3952348	0,0069213	0,0942514	0,2101884	0,1172127	0,3997946	0,0134405	0,3884118	0,1574264	0,1543700	0,0390516
920	0,9909949	0,5154336	0,2415512	1,0537542	0,3544575	0,4127713	0,0112132	0,0872466	0,2037968	0,0951929	0,3746896	0,0105506	0,3905328	0,1664199	0,1218365	0,0414675
940	1,0149124	0,5654504	0,2250879	0,9938965	0,3580936	0,3779697	0,0096637	0,1131782	0,2168698	0,0998938	0,3475429	0,0109054	0,4194990	0,1380301	0,1111547	0,0501617
