"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK

0	1,0168799	0,6180102	0,2157128	0,9610993	0,3481701	0,4535668	0,0136403	0,1081878	0,2993641	0,1270029	0,4084998	0,0264635	0,3794365	0,1733925	0,1849556	0,0342330
20	1,0303218	0,4784161	0,2349024	0,8796929	0,3577595	0,3945419	0,0376555	0,0959001	0,2240840	0,0851968	0,3430889	0,0382068	0,2952872	0,1362792	0,1786079	0,0395156
40	1,0475744	0,4647470	0,2376718	0,8009888	0,3311880	0,4086670	0,0838141	0,1016943	0,2142032	0,0792708	0,3281340	0,0347937	0,3178926	0,2005513	0,1781583	0,0668422
60	1,1119995	0,5152172	0,2113442	0,7184775	0,3497694	0,3572580	0,1521065	0,1117657	0,1944155	0,0746554	0,3225032	0,0323779	0,3407637	0,2321857	0,1808259	0,1657825
80	1,0592592	0,4976836	0,1668378	0,7122953	0,3369958	0,3423539	0,2117131	0,0993872	0,1830649	0,0635948	0,3126032	0,0309957	0,3324106	0,2485042	0,1630456	0,2892735
100	1,0476126	0,4643738	0,1557519	0,7212980	0,3585823	0,3622909	0,2429400	0,0929469	0,1896110	0,0712998	0,2677769	0,0245731	0,3658733	0,2739024	0,1865168	0,3540519
120	1,0620522	0,4267428	0,1452255	0,6985282	0,3622327	0,3754582	0,2894797	0,0712612	0,1812035	0,0804851	0,2866840	0,0178850	0,3994496	0,2896349	0,1589613	0,3883066
140	1,0205387	0,4297516	0,1392438	0,6544620	0,3611130	0,3730591	0,2689290	0,0491906	0,1766084	0,0921014	0,2401771	0,0263638	0,4102280	0,3194678	0,1536703	0,4475177
160	0,9902770	0,4147650	0,1690224	0,7059345	0,3696946	0,3796033	0,2387120	0,0563986	0,2184762	0,0715211	0,2588961	0,0258887	0,4159128	0,3181482	0,1182424	0,4923966
180	0,9653989	0,4322272	0,1221338	0,7134583	0,3675077	0,3321498	0,2768701	0,0465049	0,2178749	0,0758154	0,2312759	0,0212329	0,3905440	0,3317012	0,1116073	0,5527357
200	1,0254341	0,4178916	0,1164213	0,6638034	0,3871548	0,3213347	0,2796082	0,0540588	0,2146862	0,0836629	0,2468559	0,0165647	0,3997904	0,3455961	0,0907634	0,6296100
